runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3292,20178,250000,-1.4222671424587768e+308,-2.788907226281207e+306
1,3280,19665,250000,7.662052088420875e+307,8.825817329104301e+306
1,3245,21026,250000,6.427015143189329e+307,-2.7278164112309696e+307
1,3277,20358,250000,-7.219604289574179e+307,1.6875515261179064e+308
1,3280,19727,250000,7.814511427985553e+307,-1.0789058417402742e+308
1,3246,19902,250000,-1.0066747248474311e+306,-8.33350760307968e+307
1,3282,20387,250000,6.450376405721175e+306,1.8489968699016042e+307
1,3275,20226,250000,-5.382511709151248e+307,5.946757698093747e+307
1,3398,20202,250000,-1.1962155026311515e+307,1.5804756920017482e+308
1,3277,19655,250000,-5.965635731461785e+307,-7.207284279684384e+307
1,3268,19802,250000,-1.6343777664059276e+307,-1.1580602479072611e+308
1,3247,19761,250000,1.4034917198186296e+308,-1.1299102319782384e+308
1,3267,20635,250000,-9.842359792552413e+307,3.0336945843718685e+307
1,3292,20719,250000,-1.549270005186504e+308,-5.444943485284834e+307
1,3245,20520,250000,6.312000875550289e+307,-1.4597804540511735e+307
1,3346,20650,250000,1.5569862528817806e+308,-1.0376199576469943e+308
1,3290,20538,250000,-7.29234110198893e+307,-1.388401547211381e+308
1,3247,20318,250000,1.1540538743349848e+308,-5.25266039730973e+307
1,3282,21245,250000,-3.0645552949513226e+307,7.468473733992971e+307
1,3376,20004,250000,5.064542920246714e+307,1.7215351918412482e+308
1,3247,19843,250000,8.331271153685477e+307,3.8282691333791777e+307
1,3288,20738,250000,-5.736861639445912e+307,1.4436870646763549e+308
1,3346,20954,250000,-2.4886044202634375e+307,9.176060461354656e+307
1,3246,20611,250000,-1.4492566922676812e+308,-1.483120560283583e+308
1,3275,20533,250000,-5.120148523649224e+307,-1.1695131159616162e+308
1,3271,20373,250000,7.048888433323148e+307,-1.4575818950788758e+308
1,3245,21437,250000,1.1364008459874769e+308,1.7437888554544702e+308
1,3283,20656,250000,-6.584133072675826e+307,-2.654885562492795e+307
1,3285,20616,250000,1.2637688573386667e+308,7.649104436038787e+307
1,3244,20465,250000,-1.149161511511546e+308,-1.4525181269473545e+308
1,3301,20574,250000,1.612113590599096e+308,1.226717893498348e+308
1,3283,20305,250000,-1.4418194870264912e+308,1.2953736144381661e+308
1,3246,20259,250000,1.3153801584075123e+308,-1.5683192358247026e+308
1,3276,20122,250000,-4.615536472773556e+307,3.065615121704244e+307
1,3427,19665,250000,1.4023414117917111e+308,3.530564491546105e+307
1,3245,20454,250000,8.245309389489541e+307,-1.6185901506816245e+308
1,3275,20669,250000,-1.7239119493863438e+307,-4.073364203509897e+307
1,3297,20928,250000,1.4555278379272481e+308,-9.713492828834062e+307
1,3264,21053,250000,4.0802289865467365e+307,-3.471398838428449e+307
1,3248,20607,250000,4.0189788166837134e+305,1.794763204661068e+308
1,3291,19769,250000,1.6418769104370295e+308,8.794028941417837e+307
1,3244,20201,250000,-1.236098250431578e+308,-1.6613065818949747e+308
1,3286,20849,250000,1.3049900390146887e+308,-6.791152387455891e+307
1,3278,20672,250000,-2.953997169660982e+307,-1.564032631662176e+308
1,3244,20709,250000,7.805344631451906e+307,1.0225529239021906e+308
1,3276,20841,250000,-3.5894116522459745e+307,1.4164556536150113e+308
1,3281,20885,250000,8.001066952024748e+307,9.881409790153684e+307
1,3249,20330,250000,-1.619339142016686e+308,3.6122899825702516e+307
1,3288,20164,250000,2.2459395264023765e+306,-3.7464978868476885e+307
1,3296,21308,250000,-1.5747174761793715e+308,-8.810004493419914e+307
1,3244,20806,250000,-5.429138189229725e+307,-1.3968385090009786e+308
1,3267,20839,250000,1.5203767286240567e+308,1.1740557758633764e+308
1,3277,21067,250000,-1.6371647091616655e+308,5.3276341646849e+307
1,3254,21141,250000,-8.508221000302808e+306,6.087749221107691e+307
1,3275,20781,250000,-4.367448349571556e+307,7.195480419094872e+307
1,3274,20696,250000,1.7324662803009329e+308,1.0902372034544261e+308
1,3244,20620,250000,6.13475280225336e+307,5.284517959367444e+307
1,3282,20070,250000,1.4554440347851552e+308,-7.305968607794861e+307
1,3274,20949,250000,-9.662178487833605e+307,1.1408395751606608e+308
1,3252,20584,250000,9.097219950739037e+307,-1.541821864229275e+308
1,3289,20621,250000,1.7460904632963476e+308,2.8291498658940034e+307
1,3293,21478,250000,1.3241316155448083e+308,8.274388976628212e+307
1,3258,21491,250000,6.533909193568186e+307,1.2104460047080237e+308
1,3277,20820,250000,-1.7843693725848378e+308,4.971230015938202e+307
1,3288,20972,250000,7.268238298593596e+307,1.0639887614174597e+308
1,3251,22729,250000,-1.02124665904017e+307,-5.924474209835124e+307
1,3270,20665,250000,5.452507582155608e+307,6.680384863757789e+307
1,3274,20976,250000,-1.0362936144000792e+308,1.148831547621345e+308
1,3247,20535,250000,-1.4211227752091946e+308,-1.6395161213688765e+308
1,3286,20521,250000,-1.7910813228228099e+308,-1.8673145613830152e+307
1,3281,20966,250000,-1.40939491788352e+308,1.2679426674116804e+308
1,3248,20921,250000,-9.930649250948829e+307,1.7189183727407908e+308
1,3291,20474,250000,4.2117105803055783e+307,-5.581631400018277e+307
1,3282,20613,250000,-1.6721924745042965e+308,1.311599088282998e+305
1,3252,20794,250000,-6.944514623083845e+306,1.0288220575727892e+308
1,3291,19957,250000,-2.7313795609531646e+307,-8.427328449327224e+307
1,3275,20297,250000,-1.5754956187406917e+308,-5.280242940673297e+307
1,3253,19917,250000,-1.44369312768531e+308,-1.6230497800215784e+308
1,3319,20213,250000,-4.813318058906976e+307,1.2749963459512985e+308
1,3314,20099,250000,5.086984739284136e+307,-1.7833334763506865e+308
1,3249,20469,250000,-1.5582529062728324e+308,1.0130318013242502e+308
1,3278,20050,250000,-7.202014307395302e+307,1.1295261002031457e+308
1,3277,19928,250000,-4.8699049734793256e+305,-3.7157030868872113e+307
1,3248,20066,250000,-5.714447334127072e+307,-3.257300559795399e+307
1,3283,20231,250000,-9.231280460231019e+307,-9.063431175626527e+307
1,3278,20243,250000,-1.6763770985364339e+308,-2.7696060089604423e+307
1,3247,19976,250000,5.911039090149983e+307,-1.5984321201395673e+308
1,3275,20356,250000,-8.283279150110345e+307,1.4585429933969681e+308
1,3282,19997,250000,7.64078879651824e+307,5.751706094803252e+307
1,3245,20410,250000,1.237884161335729e+308,1.7840146209288745e+308
1,3285,19967,250000,1.0687990159945189e+308,-1.7882014301635677e+308
1,3276,19857,250000,4.276935872999395e+307,-1.533905333714644e+307
1,3247,20520,250000,-3.322765148774531e+307,1.7948893808006541e+308
1,3289,20117,250000,6.90328398914288e+307,-9.785720448961435e+307
1,3427,20093,250000,1.1740076998200841e+308,3.195263613087595e+307
1,3244,20155,250000,8.626566720348537e+307,-9.801491215353028e+307
1,3277,19834,250000,5.524884669222543e+306,-1.587483015514464e+308
1,3282,20014,250000,1.7576525754882308e+308,1.6714220215162338e+308
1,3247,20188,250000,2.3016465816898306e+307,7.52891122690632e+307
1,3286,20203,250000,-1.275299177837772e+308,1.4134998705259755e+308
2,3270,20298,250000,1.6487102638533045e+307,1.6472989158178154e+308
2,3279,20166,250000,-1.5567858928772064e+308,-1.2957819112333321e+308
2,3283,19795,250000,3.3672130624010214e+307,-5.861524995652909e+307
2,3328,19785,250000,3.722092600387768e+307,-1.2525691216885081e+308
2,3333,19865,250000,-2.4596859585004804e+307,-9.048953479645825e+307
2,3264,20492,250000,5.845477274168681e+307,6.239669208236479e+307
2,3344,21844,250000,1.2009580773024943e+308,1.1218113460048218e+307
2,3267,19673,250000,6.655467115195779e+307,-1.4754507950893742e+308
2,3274,20030,250000,-8.267097426165483e+307,-1.5711622658831299e+307
2,3331,19622,250000,8.646905339696788e+307,2.1693358133228752e+307
2,3271,19994,250000,2.2553406256882617e+307,-1.5477812388436669e+307
2,3276,19703,250000,1.0062567820833608e+308,-1.1495764644628454e+308
2,3272,19702,250000,1.479014783914384e+308,-4.610053183482589e+307
2,3275,19664,250000,5.404964185395201e+307,2.668902112605547e+307
2,3280,20004,250000,-1.4087827513182665e+308,3.0526733386833145e+307
2,3345,19870,250000,9.862497685806235e+307,-2.9851428098221274e+307
2,3276,20091,250000,6.265715452361282e+307,1.4930921519313717e+308
2,3288,20181,250000,3.8513922610885287e+307,1.2442948905677874e+308
2,3277,19670,250000,-6.756326605652446e+307,-7.320944966688969e+307
2,3277,20176,250000,-1.5231622860676438e+308,1.754603196726016e+308
2,3283,20008,250000,-2.939563289497502e+307,1.5873753946883091e+308
2,3348,20060,250000,1.4961893994329128e+308,1.61578347631875e+308
2,3276,19676,250000,-1.1198693944614572e+307,-1.4100457942369123e+307
2,3277,19755,250000,1.3177040754631201e+308,4.2768200317731825e+307
2,3268,19676,250000,2.9590639534070675e+307,-6.165053379406631e+307
2,3274,20151,250000,1.6085163431822442e+308,-7.732394805675779e+307
2,3285,19877,250000,4.621124232254311e+307,-1.6538869190191285e+308
2,3339,20115,250000,-8.817687168996314e+307,1.2672529224219694e+308
2,3269,20522,250000,-1.6862974561277297e+308,-1.2283454505228538e+308
2,3278,19986,250000,-5.771629247898206e+307,-8.11849555492241e+307
2,3323,20526,250000,-9.714200335095537e+307,-7.855328883919841e+307
2,3292,20392,250000,-1.2156665261991545e+308,-1.755618719619225e+308
2,3277,20261,250000,6.700418720820439e+307,9.146021883856326e+307
2,3354,20526,250000,6.624129871225095e+307,7.740910662657122e+307
2,3274,20338,250000,-4.948124197268609e+307,1.0741733724939298e+308
2,3304,19881,250000,9.533860532272685e+307,-1.3054923724394825e+308
2,3291,19786,250000,-8.991338202801177e+307,-9.533103801393532e+307
2,3308,20136,250000,-2.1148405806484162e+306,1.502589742933462e+308
2,3271,20109,250000,-1.569794642231378e+308,1.6830342677309591e+308
2,3339,20143,250000,-1.443188112947764e+308,1.2240369808439482e+307
2,3279,19835,250000,1.216514749021985e+308,-1.4382749503141394e+308
2,3279,19939,250000,9.369617310588097e+307,1.6757043246796214e+306
2,3271,19744,250000,7.472706789982983e+307,-4.665158601473032e+306
2,3274,20027,250000,7.928884950470715e+307,6.557044251828067e+307
2,3270,19962,250000,6.827400429562092e+307,-6.473814764397393e+307
2,3342,20094,250000,-8.328282256248296e+307,-6.53134853498655e+306
2,3269,19622,250000,9.977700042475304e+307,-3.6417892695382253e+306
2,3287,20278,250000,1.050622382857987e+308,1.4615391063338547e+308
2,3287,20173,250000,3.8887651871415797e+307,6.392915406331721e+307
2,3296,20406,250000,5.26629706349732e+307,9.346742325543953e+307
2,3277,19761,250000,7.670505631793866e+307,-1.0488869757826446e+308
2,3331,19922,250000,7.810049175651375e+307,-1.695149145642593e+308
2,3268,20060,250000,-1.7109169447090215e+308,-1.1684795263019392e+308
2,3267,19832,250000,-8.535329853115888e+307,-9.151421194446306e+307
2,3272,19769,250000,1.6571359447973842e+308,1.2151215875270645e+308
2,3407,20163,250000,-1.2304828115124613e+308,1.801022354312379e+306
2,3288,20100,250000,-1.1548328675973653e+308,1.4195081826149481e+308
2,3329,20293,250000,-1.0034117508049457e+306,3.051027014032816e+307
2,3293,19908,250000,1.3001731101771872e+308,-8.558920780171706e+307
2,3279,20526,250000,-1.1704304653437413e+308,-4.744828891914906e+307
2,3267,20205,250000,1.6528517603104319e+308,-1.5052800470819006e+308
2,3342,20086,250000,7.461390624914035e+307,-5.39143306133629e+307
2,3244,19710,250000,3.5722325552165523e+306,-1.0280131188725691e+308
2,3343,19980,250000,1.3046459414956846e+308,3.054752138625793e+307
2,3271,20179,250000,3.206582665707271e+307,-1.1131633710283004e+308
2,3343,20296,250000,6.125751673514607e+307,6.753395425997856e+307
2,3320,20101,250000,9.88116899210445e+307,-1.4427763849182963e+308
2,3271,20582,250000,1.35419650330079e+307,1.4149363331633275e+308
2,3274,20139,250000,-1.0610699698073743e+308,6.230828827097158e+307
2,3337,19691,250000,9.727119949552133e+307,-1.5575142415908254e+308
2,3276,20191,250000,2.3155080473665613e+306,-1.0991193656636024e+308
