runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3292,20182,250000,-5247265916604532,4529497461599399
1,3248,19950,250000,6504331866604865,-2706726045689005
1,3391,20230,250000,-505435941059646,6660267187819480
1,3277,19938,250000,1746624044741862,-2804110062217051
1,3341,19981,250000,1411260508274330,-8245613198907946
1,3282,19916,250000,3922575932406325,-6528214528869350
1,3280,20223,250000,-5744353909856301,6448860158868908
1,3253,19845,250000,-270246556773160,-2891982984166274
1,3268,20360,250000,-7326474666120064,2014836681129488
1,3282,19967,250000,1288639952423,-680590485153832
1,3290,19874,250000,8390645248132222,-9005135430126419
1,3288,20304,250000,-4107687558105434,8791749806559863
1,3283,20156,250000,-5845951559145491,2251970554689496
1,3255,20617,250000,3065236239327484,4559348527072956
1,3291,19801,250000,-253018185933289,-317289088709582
1,3276,19663,250000,-505526069376656,-3494823158212043
1,3253,20222,250000,5400343026417093,6786602402241251
1,3283,20307,250000,-3811290143354079,5824576600032712
1,3283,19767,250000,3458317857228530,-4305103448888904
1,3245,20335,250000,-7210922919567121,-3865655145475582
1,3278,20214,250000,3163450885686946,6208974675433699
1,3284,20071,250000,8749674655056466,1174536398578017
1,3247,20657,250000,-4388292443013822,4915222025960309
1,3277,19972,250000,-1742790626656086,-2737784802892664
1,3291,20476,250000,435286312226324,787382733968745
1,3253,20304,250000,1433543428960113,-1072180559074107
1,3281,20344,250000,8910910419228869,-4220764060091198
1,3275,20266,250000,1468604858407625,2111231307924428
1,3257,20059,250000,-4522502889380851,-7900824038639420
1,3273,20324,250000,-8135476651523575,-6679956293569662
1,3281,19947,250000,3396610722607097,-3738407794213645
1,3244,20268,250000,-8312882354688518,5805877844062946
1,3275,19752,250000,4199228579224144,-1594273947671859
1,3286,19739,250000,6633004296090935,2111283414097534
1,3247,19985,250000,624419636653928,6227428732238425
1,3277,19777,250000,4715545428528669,-3078867767452397
1,3285,20285,250000,-1710594344848863,2190339843104330
1,3249,19880,250000,4901624626574770,-5762463233171609
1,3278,20163,250000,-8958915675454773,8033608440417623
1,3281,19906,250000,4935404534425660,4558415881994703
1,3248,20428,250000,-3719045552393211,-386649081735034
1,3310,20262,250000,-531766514199923,7334069727457512
1,3281,20462,250000,-4866612407193931,1848414248706438
1,3246,20126,250000,-1082319007322678,-7047616790591641
1,3292,20360,250000,-3460826296828346,-1102382738177579
1,3284,19816,250000,-319051680816031,-4501919397528164
1,3282,20280,250000,1686985979760860,2611243358250343
1,3279,20257,250000,-4961242176941882,-4384808230644157
1,3277,20405,250000,-2216520059696957,-366290266491038
1,3248,20176,250000,5776445366250781,4545006892834618
1,3285,19975,250000,8933089347514383,-7951885601223100
1,3286,20185,250000,-5716607281902532,-5640100677793187
1,3276,19877,250000,-194790860998313,-2111831975375406
1,3337,19639,250000,8450758982757741,-4708476825005420
1,3283,20357,250000,2897155831619348,8562489306221610
1,3245,22071,250000,-2721001631111915,6088843659708411
1,3276,20424,250000,-4056225298479874,1450228842547396
1,3289,20497,250000,-3586008976908469,7545021529481002
1,3276,20273,250000,-6385194302226091,6626950611907378
1,3278,20255,250000,-2689157969060896,6603737599797773
1,3277,20346,250000,-2800485038290103,5969525476550390
1,3372,19601,250000,6416374036143172,1353963277755053
1,3282,19884,250000,2053392464547239,-6026569395731280
1,3277,20497,250000,2392099209657221,6261093442275665
1,3244,20236,250000,-7854790863777759,2264628368162990
1,3294,20387,250000,8619815885979979,4113872918838020
1,3295,20029,250000,5268503466012332,4999120783375655
1,3274,20374,250000,-467890264168000,5255453842199092
1,3287,20589,250000,-3571165621100972,8388904204773345
1,3275,20461,250000,-767477798509302,2316066935166499
1,3385,20150,250000,-4873338190008442,8401704726000542
1,3271,20113,250000,-2884955937125513,-1805219332234384
1,3284,20366,250000,-3437641386415325,6994831327400233
1,3295,20037,250000,3162241956159405,-6910196205247969
1,3287,20003,250000,7600883785898458,5323663097058
1,3304,20146,250000,4989405751866626,919419409435157
1,3273,19982,250000,-1064674220996431,-4185673184072660
1,3278,20117,250000,5768892150912769,-2734636207858332
1,3283,20228,250000,4167937865130652,-6060074699816122
1,3279,20212,250000,-2632717024133324,-4820651562015234
1,3276,20611,250000,-1336799699122299,4821152803107924
1,3276,20208,250000,-557823335759610,-4459031683012519
1,3274,20217,250000,-3482977467930698,-5569271890245300
1,3288,20676,250000,5871133410905012,8696559503097339
1,3284,20688,250000,-5134983859511433,2073662097414961
1,3268,20479,250000,-8370338419158270,-8018749230404534
1,3278,19916,250000,8835198423807094,-4988740985313659
1,3283,20540,250000,-7200461702166611,7895268568910605
1,3275,20422,250000,3379823182304601,8356964125188434
1,3275,20286,250000,-5343247779378503,-2713811780112315
1,3271,19979,250000,-4680156909276194,4139501678011640
1,3281,20035,250000,-8966979112729124,7108695369779380
1,3279,20160,250000,1695574941886209,2635032921794293
1,3269,20024,250000,-1940879733752488,2742281001796875
1,3274,19828,250000,5345083413191093,3910751267682510
1,3280,19797,250000,1691544963624429,-8964016724351308
1,3279,20007,250000,281701679195415,-6653725510311435
1,3280,20066,250000,-2503530586142672,-4448552994311638
1,3273,20377,250000,301351803172643,3522548987153446
1,3280,19580,250000,78599775617758,-3340747071660347
2,3273,20023,250000,-5019757877943139,1788858817440300
2,3267,19549,250000,-3621615854319989,-4295284873895370
2,3274,19641,250000,-104396625286510,-5490520330449755
2,3272,20261,250000,-8244468563354216,6907707005391068
2,3272,19521,250000,5878568656473960,2973069137002275
2,3332,19658,250000,7921075377472708,-6362225816995491
2,3270,19483,250000,5173513896396694,-645220033513202
2,3244,19953,250000,-7910193859455643,-4884110944594679
2,3276,19623,250000,7610546834775636,-6237667226799372
2,3388,19552,250000,2524728142694625,-7416027358603717
2,3244,19564,250000,8530572454759877,-2802105829121720
2,3325,19504,250000,-279468225744290,-3254502181670936
2,3266,19999,250000,-7802069330972363,5343016068220749
2,3270,19686,250000,-812590868305181,-4259564824200921
2,3268,19976,250000,-5273071050790134,5317343943354614
2,3266,20071,250000,-8765953125412711,5582016701693662
2,3245,19751,250000,4901509120825807,-8014429003325708
2,3330,19681,250000,5792371874267591,1687134570667236
2,3269,19827,250000,5191527637321589,2419767800281376
2,3244,19929,250000,1998655361366033,8569287925643531
2,3265,19868,250000,-5411994385011637,4059729847968888
2,3273,19951,250000,-5206635808081806,1260277584422811
2,3245,19468,250000,-2550718817561028,-2746372144321937
2,3329,19577,250000,-1114286559472389,-5468380657985990
2,3269,19870,250000,-283727772934239,-378519147364713
2,3244,19590,250000,8902131933950289,-3564642390033829
2,3269,20229,250000,-2489441978924861,6161786919035663
2,3265,19623,250000,6284231010537818,6218456258561267
2,3246,19965,250000,3571054136506050,1963128749328698
2,3331,20014,250000,-3657051352479483,-1260301740373334
2,3273,19964,250000,-3085652365764005,5755747317092571
2,3244,19638,250000,2532088223925999,-2809270064612294
2,3266,19841,250000,6406127246900027,7380449957982224
2,3269,19637,250000,1019977856175834,-3287996517860038
2,3247,21204,250000,-1239914526241893,-616078226475830
2,3344,19845,250000,-5889771249398471,-6869147321863116
2,3272,19762,250000,8957738024420593,302670622690069
2,3255,19587,250000,734057478298663,355609909342958
2,3269,19896,250000,-7001921995113211,1486551584240680
