runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,4383,23561,250000,-1.7865321994392422e+308,-6.615715850087532e+307
1,4654,23611,250000,9.326055490270358e+307,1.1460539101102166e+308
1,4161,24392,250000,1.1309539904295121e+308,5.666365846259245e+307
1,4455,24288,250000,1.0237683864454333e+308,-1.7425303261225876e+308
1,3993,23527,250000,1.6796260739686436e+307,4.015044190743039e+307
1,4216,24319,250000,1.5160329973022533e+308,1.2038688947679042e+308
1,4547,24230,250000,-1.0501415575595875e+308,-1.078991298507278e+308
1,4817,23606,250000,-6.672079668153933e+306,2.3050748324507563e+307
1,3904,23548,250000,-1.0535321668259583e+308,9.39202053260449e+307
1,4603,23366,250000,1.5397765202552813e+307,6.547944911646711e+307
1,3955,23423,250000,-4.781491581394188e+307,6.864551147010402e+307
1,3902,24359,250000,-5.958182442258917e+307,-6.515392145398304e+307
1,3905,24466,250000,6.615223720047982e+306,-9.805997488548835e+307
1,4161,24280,250000,-3.1379201743217083e+307,-1.5515921360304524e+308
1,3907,23613,250000,8.643158199294493e+307,1.6540821718642198e+308
1,3947,24355,250000,1.2507836060960063e+307,-7.475465224179362e+307
1,4281,23437,250000,-1.7929961239193247e+308,-3.364266383127351e+307
1,3905,23712,250000,-8.32920526888339e+307,5.661916139728638e+307
1,4847,24248,250000,1.841981847815974e+307,1.5669422546964878e+307
1,3905,23358,250000,6.881212395588441e+306,8.607671009479201e+307
1,4599,24417,250000,6.847836972457141e+307,-3.2694952863636284e+307
1,4890,23421,250000,-3.7031250430032917e+307,1.316014207118355e+307
1,4481,24210,250000,1.963455041342976e+307,-8.975367650410253e+307
1,4581,23526,250000,-5.698684267837978e+307,8.711129217019701e+307
1,4186,23295,250000,-4.990774316337256e+307,5.642862500408253e+306
1,4408,24205,250000,1.6712413023138243e+308,9.993032974697157e+307
1,4772,23415,250000,1.074447710162202e+308,1.0747400396678859e+308
1,4294,23522,250000,-1.0860373483046365e+308,-5.154868514281493e+307
1,4601,23494,250000,6.300189463522881e+307,1.1723210286543527e+308
1,4888,24470,250000,-1.9984533226567784e+307,-8.90934778384123e+307
1,4353,24301,250000,5.591953446515093e+307,-3.5518824724886684e+307
1,4546,23562,250000,-1.5716319336840081e+308,-9.032239718135103e+307
1,4887,23426,250000,-1.5082825280399508e+308,5.575061526056507e+307
1,4331,24300,250000,1.411631214486592e+308,8.132725583155244e+307
1,4675,24232,250000,6.378420231639497e+307,-1.1314635004446702e+308
1,4587,24497,250000,1.6230854204305798e+308,4.754652419534554e+307
