runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3349,20031,250000,-1.7664366667836777e+308,7.128813574954927e+307
1,3268,19966,250000,-1.073299595879956e+308,-2.9061410011844004e+307
1,3339,20341,250000,1.1145849715446873e+308,1.4796732281014649e+308
1,3279,20206,250000,2.1207252708881958e+306,3.3093275093085853e+307
1,3280,19860,250000,1.7093019973007617e+308,8.508140691004227e+307
1,3286,20443,250000,-1.0034504538282406e+308,-1.2923419852467894e+307
1,3269,20324,250000,-1.045155542850618e+308,8.410495289729721e+307
1,3294,20335,250000,-3.802907557989428e+306,1.046752783728652e+308
1,3278,20371,250000,-1.524709781400245e+308,-1.515309725330033e+308
1,3270,20030,250000,-1.6569137967915624e+308,4.816314523385681e+307
1,3274,19879,250000,5.4431113561005215e+307,1.7939507541913816e+308
1,3277,19627,250000,4.562021920037963e+307,7.290111894805648e+306
1,3283,20223,250000,1.24121782501623e+308,1.3585808149560632e+308
1,3268,19757,250000,1.024445970258027e+308,-1.4624368591295152e+308
1,3273,19630,250000,9.57590509387712e+307,4.969230862438137e+307
1,3279,19635,250000,7.697194676883431e+307,4.567707884919016e+307
1,3276,20060,250000,3.845814484645293e+307,-1.7343687573089817e+308
1,3284,19664,250000,1.2525726570223774e+308,-2.755044594178995e+307
1,3273,19946,250000,-1.3818482842620275e+308,-8.281833845439859e+307
1,3270,20101,250000,9.138814020116918e+307,1.0725841662538883e+308
1,3282,20211,250000,-1.5927967716007522e+308,-8.656159904190823e+307
1,3294,20256,250000,-8.233101314815801e+307,5.964245866406305e+306
1,3278,20077,250000,-6.003077651672677e+307,8.181119162970076e+307
1,3270,19948,250000,-8.527447499289106e+307,6.925496615351769e+307
1,3362,20530,250000,-5.638785037580149e+307,1.2031133874661138e+308
1,3282,20089,250000,-2.3248570687769003e+307,-8.177881337581306e+307
1,3295,20655,250000,3.4230083526338377e+307,8.067465470336727e+307
1,3269,20119,250000,-9.845532247526904e+307,1.4183493293811944e+308
1,3274,19919,250000,8.71639492910759e+307,-8.971991540847257e+307
1,3276,19893,250000,6.262046507071947e+306,1.1350824645691672e+308
1,3267,19928,250000,1.7116110477234873e+308,-1.7849258702813561e+307
1,3281,19519,250000,6.526812150024894e+307,-1.5331285435780211e+308
1,3277,20103,250000,-6.151392135226191e+307,1.6448630586682192e+308
1,3270,19696,250000,1.3149722719554674e+307,8.940981436888653e+305
1,3267,19962,250000,-3.768654727890309e+307,2.5908963935724195e+307
1,3274,19562,250000,9.20769519957972e+307,-6.751694219478459e+307
1,3266,20018,250000,-6.169015695814144e+307,1.2656083326939585e+308
1,3265,19686,250000,1.3403944615431181e+308,-1.0876863455431587e+308
1,3280,19916,250000,-9.155315811529482e+307,-8.953050626114724e+307
1,3281,19611,250000,1.5854727793942333e+308,9.633904119057256e+307
1,3288,19748,250000,6.655179055112269e+307,-2.455999138505566e+307
1,3279,19545,250000,2.369266651699798e+307,-1.5656763378505973e+308
1,3276,19901,250000,-7.196973578361642e+307,-6.421596373881913e+307
1,3279,20005,250000,-9.922927884808615e+307,-8.168467888165056e+307
