runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3282,20550,250000,-2654136593951402,-7989673444129630
1,3285,20509,250000,-736940336678099,5283939742009651
1,3267,20682,250000,666231473324230,6542330076034494
1,3273,20976,250000,8281383364498490,8734659380982912
1,3281,20272,250000,-3382277954399102,-4265075501885508
1,3274,20556,250000,-7405126629061177,-1204736849304793
1,3281,20271,250000,7219124937865450,2775944897788349
1,3290,20031,250000,8463064591037178,-6947101701962891
1,3275,19906,250000,-3718645204174383,-5424378862363702
1,3278,20072,250000,6464674043427820,5216292538035519
1,3268,20444,250000,6074115286934124,6718460809738603
1,3271,20877,250000,-2380137170564823,-1419580287030609
1,3267,20426,250000,7803022831344614,919343346375431
1,3280,21343,250000,5546998749173098,7665274956195720
1,3278,20715,250000,295039334562781,2678340791653469
1,3284,21103,250000,-2119041694259611,3136371799207261
1,3278,20405,250000,8620018322978226,7217801762638791
1,3285,21109,250000,5355502607628356,6985655344481760
1,3284,20547,250000,-695229232554421,-3367911388258534
1,3283,20584,250000,7590732384327247,-5013565895319767
1,3280,19987,250000,7279575243593421,7669719646721586
1,3273,20362,250000,-7215655264390802,7191065550384281
1,3280,20611,250000,-1674538144050129,-5044179857810832
1,3276,20212,250000,464194680483545,3161003514764178
1,3273,20521,250000,-9471856354112,-5678523785105262
1,3279,20869,250000,-383183511566051,-4176117266617200
1,3280,20952,250000,-5536964466562724,-1896823805505694
1,3271,20669,250000,7180151769377012,-4743928161103667
1,3284,20512,250000,-8655172928844612,1948147785610892
1,3320,20690,250000,156845169232161,1025950233256611
1,3270,20600,250000,-5196390206724672,1325699164207953
1,3275,21335,250000,4156056822645711,3076994663477122
1,3272,20662,250000,6478891992590470,8047354829822460
1,3281,20652,250000,7230890139716898,8884438854689511
1,3273,20671,250000,-438127868877051,796009332846402
1,3264,20727,250000,4035787496920072,-380616756637017
1,3290,20432,250000,6867855123397306,2637035393233629
1,3301,20769,250000,-5961698158123155,-4760656051721939
1,3277,20558,250000,2952178306737701,2569994583428291
1,3278,21115,250000,1916545356273241,8936468497079219
1,3287,20810,250000,-4955974418111954,5386880376816415
1,3280,21017,250000,5173207218508768,7787725128446709
1,3287,26455,250000,6676338126829001,2196792933688836
1,3291,21114,250000,-6387999060690780,6809823911103164
1,3331,20760,250000,-5267887183412359,-1303189464253421
1,3281,19818,250000,1608106337724593,-3524007130357347
1,3272,20103,250000,-1520004899110151,3089456803600597
1,3300,20777,250000,-5090541755779764,-1067581274536181
1,3275,20760,250000,-8532127149773707,-8444638207831611
1,3276,20183,250000,-567853871389659,822072090003510
1,3282,20198,250000,-2534187941035332,7982487819005097
1,3296,19914,250000,-2220770617723235,-2586011231826780
1,3330,22870,250000,-6403756078601808,5656053079581578
1,3280,20217,250000,3954549701230526,-5247251131237469
1,3305,20123,250000,-1770695304296129,-1995593441524162
1,3299,19922,250000,4609626070117541,4557344919215377
1,3307,20046,250000,-6022241562109878,-7578574528923054
1,3345,20259,250000,525899763822562,1976452229888853
1,3296,20493,250000,-4818252524545681,-2398443280305467
1,3389,20398,250000,-6233497939170873,-1323588075954306
1,3288,20557,250000,-2808034940146376,4706638148169253
1,3354,20484,250000,5249040246832785,4088674926104201
1,3461,20170,250000,-5405662917528914,3447151346171916
1,3277,20248,250000,-8462171115408620,5307385837717588
1,3294,19723,250000,3908976171121491,69510424100157
1,3272,20071,250000,-2982231008530240,-318149607127003
1,3295,19696,250000,8182389895212477,1313671818290521
1,3310,19878,250000,7805747819742898,-6845333290934389
1,3267,20055,250000,6999417908591098,2640022274365315
1,3287,20030,250000,8960611858513888,-460212865301257
1,3293,19841,250000,-4576779705254180,-6301579469138314
1,3279,19903,250000,-4326525798870234,-6098663788785660
1,3279,20102,250000,-7405216832685862,3780381361015464
1,3290,19696,250000,8135718401877279,7057121980523571
1,3290,20046,250000,-8456409062557680,-2412492104584050
1,3290,20145,250000,-5678133254229484,-253416370183366
1,3283,20096,250000,-3399575192014096,-1590579825569503
1,3299,19670,250000,7853022167566624,7232110991864457
1,3282,20129,250000,-5948032839960945,5039842999112095
1,3314,27939,250000,8910601591054587,-6950243671304019
1,3286,20046,250000,208931587592422,2826810858111134
1,3310,20366,250000,-3342193090907713,-1728857818757950
1,3247,20356,250000,-8620197620449928,4801956463339735
1,3287,20299,250000,-2844006699623064,186642097962431
1,3288,22583,250000,-2782548904767052,-5890575130103659
1,3284,20598,250000,-8907193115395292,-1314235112636897
1,3279,20318,250000,1002863347012912,-4933316070283900
1,3274,21417,250000,-7694648248213077,-6133318498795491
1,3428,24613,250000,-6715307496660257,3459031825071063
1,3379,24666,250000,-6679081537216366,7055232575977077
1,3270,24282,250000,-6375024310121132,-1063528204544537
1,3248,21196,250000,7579448841189264,-2737232234709458
1,3282,25061,250000,-1608430070423024,-6851986529089678
1,3417,20642,250000,6161498938591927,6626081760327033
1,3246,20334,250000,-1103637593794943,-2948126357636301
1,3348,21552,250000,-7351827474955306,1754419607359829
1,3286,21032,250000,4913583976095802,4851704583774159
1,3360,21005,250000,1218473184975504,7404708773382118
1,3303,20952,250000,-1173081294916784,4496690914407934
1,3303,20985,250000,1439828621100364,-1284640195920463
2,3280,19974,250000,3970671489405108,4236285486974531
