runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,4717,24407,250000,-9.564373891030842e+307,-1.463735278603879e+308
1,3921,24877,250000,-1.2907734049140982e+308,1.0449534646012842e+308
1,3910,24865,250000,-1.6635545509279474e+308,1.2419121570859707e+308
1,3910,23943,250000,-2.2838448780525343e+306,-5.009163302687008e+307
1,3909,23974,250000,1.408030934722399e+308,2.028211868366815e+307
1,3911,24814,250000,-8.473278394505899e+307,1.4599141142228467e+308
1,4642,24330,250000,9.625121338735303e+307,1.165375980171904e+307
1,3911,25048,250000,-1.4672997022571758e+308,-1.2029066165932755e+308
1,3916,24297,250000,1.6589608441650336e+308,-1.33740491194074e+308
1,3909,25179,250000,-1.0768197722584615e+308,1.378162628944281e+308
1,3915,24251,250000,1.7519541909085688e+308,2.327971489819008e+307
1,3909,24732,250000,3.0035380318871494e+307,3.299598506352869e+307
1,4004,25193,250000,-1.0285758082800241e+308,8.94518173367235e+307
1,3906,23989,250000,-1.5965991444612695e+308,-7.266455529830381e+307
1,4895,23784,250000,3.102766411488938e+307,-1.6782474293798724e+308
1,4354,23443,250000,1.4717148016894656e+308,-1.2255222744767118e+308
1,3915,24303,250000,1.2721536951698457e+308,1.692477307681242e+308
1,4594,23656,250000,9.906719558036436e+307,-2.667999562888599e+306
1,3968,23777,250000,-8.678601190482551e+307,-1.153931918950085e+308
1,3905,24329,250000,-4.863514711259737e+307,-4.1856409501013573e+307
1,4235,24237,250000,-4.3165255850351997e+307,5.358452729241241e+307
1,3909,23601,250000,1.5084621993728062e+308,-8.04901081298038e+307
1,3920,24414,250000,-1.3200854671331614e+308,1.1947050356602902e+308
1,3905,24332,250000,-1.0725190183306357e+308,-1.0735128314491371e+307
1,4674,24044,250000,-1.793529582746466e+308,5.528038138406434e+307
1,4099,23729,250000,4.787572876772237e+307,3.9187885909424993e+307
1,4373,23667,250000,1.0212589957879371e+308,-8.451135167642495e+307
1,3904,25645,250000,1.224146088196114e+308,-3.5767340751710384e+307
1,3903,24275,250000,1.5465314258529073e+308,1.4727572183705565e+308
1,3911,30661,250000,9.209888648003188e+307,1.4523518102802712e+308
1,4025,24834,250000,9.101806623980528e+307,-6.087509476596815e+307
1,3908,29370,250000,-8.107017285026263e+306,-1.539913272779288e+308
1,4556,24121,250000,7.433148853202899e+307,-8.591170039891587e+307
1,4707,25939,250000,-3.6967102303254614e+307,1.0581684237492483e+308
1,4324,24235,250000,-9.327112614578275e+307,6.695439133604804e+307
1,3904,23558,250000,4.925583934115237e+307,-1.6731482816408572e+308
1,4692,24308,250000,3.4586976845970265e+307,1.473318201344059e+308
1,4462,23434,250000,9.417918866239834e+307,-1.00744482249734e+308
1,3901,24807,250000,9.406639826114317e+307,7.822893916037268e+307
1,4175,30003,250000,2.159658300723013e+307,-4.806347775956943e+305
1,4466,26910,250000,-8.579261837841947e+306,8.714706329806118e+307
1,4773,25826,250000,1.4482207469887152e+308,-3.335553034611982e+307
1,3971,26033,250000,-1.869402641046472e+307,-1.163217062934804e+308
1,3902,26203,250000,5.195029313887338e+307,-1.504430491768933e+308
1,4728,27182,250000,4.611263841493284e+307,1.195710771344992e+308
1,3902,25326,250000,-1.3559816345859143e+308,3.0673572748323456e+307
1,4610,25447,250000,-1.238226277320891e+308,9.415039274420413e+307
1,3913,25081,250000,1.5919091748064158e+308,-1.7541480411130402e+308
1,4450,24310,250000,1.0111510110342037e+308,8.008862774190727e+307
1,4700,25272,250000,-5.1814399909147e+307,2.3879873347465934e+307
1,3908,26598,250000,5.165765603307733e+307,1.7622073996326163e+308
1,4465,25168,250000,1.0866894345122547e+308,6.766393426641792e+307
1,4772,25757,250000,1.1030450616503283e+308,-1.0507826712040387e+307
1,3899,27492,250000,1.0172240427569146e+308,-1.5049904944872721e+308
1,4573,25090,250000,-1.2829293928289614e+308,-4.887845024967266e+307
1,4046,25857,250000,9.177808367776227e+307,1.0592914024408574e+308
1,3916,24504,250000,3.159227932240301e+307,-1.513158507793773e+308
1,3904,25835,250000,3.6045263694960075e+307,-1.6646769093770611e+307
1,4882,25954,250000,2.5053701999575235e+307,1.7920230429524896e+306
1,3910,25060,250000,-5.132206725117731e+307,2.7130311995209657e+307
1,3950,25448,250000,-1.1387679150289981e+308,1.0939043328125688e+308
1,3915,25573,250000,7.153304625815059e+307,-1.104754549000228e+308
1,4507,27142,250000,1.4143677197179898e+308,2.0969351961747558e+307
1,4784,23317,250000,-3.1043220414591754e+307,-1.1492104879888937e+308
1,4284,24006,250000,7.318341681871575e+307,1.709608631929711e+308
1,4578,24173,250000,-2.0879980264339543e+307,1.0759715009130153e+308
1,4905,23463,250000,1.7916353200452639e+308,1.6129072351524776e+308
1,3906,23591,250000,-5.069755505757968e+307,-5.584709088490804e+307
1,3906,24185,250000,6.769140527652139e+306,1.5971752070749145e+308
1,4147,24064,250000,-1.6079762911223867e+308,-2.1876441181517898e+307
1,4450,24223,250000,1.1824159759091539e+308,1.6240695196810308e+308
1,3898,23631,250000,-1.4305716505999441e+308,-1.5269042658441345e+308
1,3948,24328,250000,-1.6076673432383022e+308,-1.1076488909801187e+308
1,3899,24359,250000,-1.3513512655752162e+308,-7.120724580411798e+307
1,4015,23659,250000,-1.133836522332167e+307,-1.5514509785250365e+308
1,3902,23600,250000,1.4694489128552203e+308,-1.4235596676353178e+308
1,4594,24155,250000,1.2066004029775955e+308,1.2896717251330349e+308
1,4059,23752,250000,-1.4095498695500129e+308,-1.6457721893453466e+308
1,4407,23558,250000,9.599642120617613e+306,-1.0448489987291361e+307
1,4648,24270,250000,4.964237390210906e+307,1.5734371445531116e+308
1,4896,23719,250000,-5.2374841379310295e+306,-3.7044391167585167e+307
1,4458,23482,250000,-2.8083238559669196e+307,-5.962411648244546e+307
1,4720,23636,250000,1.6265518807702332e+308,-4.879650331822709e+307
1,4217,23430,250000,6.500924437575575e+307,-1.6170282542530153e+308
1,4560,23372,250000,8.324595886728817e+307,-1.6981612559068097e+308
