runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3395,20806,250000,-1.3644840656415628e+308,-1.7918327363190084e+308
1,3426,21375,250000,-9.766499576752683e+307,-1.5862249040810581e+308
1,3301,20241,250000,-1.7797331669089561e+308,-1.4787234522639881e+308
1,3304,20449,250000,-1.566144729667587e+308,-1.3663288433722942e+308
1,3294,21656,250000,8.074193792225295e+307,3.2672126750946423e+307
1,3297,20681,250000,-2.8929491267383306e+307,-7.443885372952539e+307
1,3372,20509,250000,-1.7880081629707018e+308,-1.3535679548724034e+307
1,3308,25216,250000,1.2614600417326141e+308,1.5403775520177156e+308
1,3283,20814,250000,-6.411402749480344e+307,1.3317151893388198e+308
1,3352,21489,250000,-1.6784310110988465e+308,1.7449222607557271e+308
1,3366,21253,250000,-1.0252499706341327e+308,-1.601375803903895e+308
1,3284,21050,250000,5.79210368827692e+307,9.851442191673742e+307
1,3247,21212,250000,3.0217790859977354e+307,2.40915740717807e+307
1,3299,21145,250000,-3.7879108548159656e+307,1.0114757033495357e+308
1,3291,21280,250000,1.4422481266246863e+308,1.7718160465018577e+308
1,3311,20850,250000,1.2262586443380383e+308,-1.0334163594058482e+308
1,3278,21227,250000,1.7755755019336494e+308,-7.713583214676557e+307
1,3285,21071,250000,1.4760527697865815e+308,7.66415646137897e+307
1,3337,21027,250000,1.077095998260663e+308,2.9517837058140127e+307
1,3291,20998,250000,-8.030926888243918e+307,1.590439602672382e+308
1,3292,21240,250000,4.13845207646095e+307,-4.1017912117984716e+307
1,3322,21309,250000,-6.662061614533756e+307,1.7118765769928008e+308
1,3284,21662,250000,9.721093330704378e+307,1.9136039968343077e+307
1,3300,21107,250000,5.202859016611887e+307,7.141844627312238e+307
1,3248,21080,250000,1.5379108552344005e+308,-6.717118276299311e+307
1,3293,20463,250000,-3.318920506210556e+307,7.348867515070785e+307
1,3277,20397,250000,-8.547719198219624e+307,-1.4755383413999642e+307
1,3244,20586,250000,6.65455251361521e+307,-1.2554632203297477e+308
1,3277,21472,250000,5.596197325076874e+307,1.604276151924298e+308
1,3287,21184,250000,-7.623501203720914e+307,-2.41588336278614e+307
1,3251,21026,250000,1.1416707454368952e+308,-3.349598191671351e+307
1,3283,21675,250000,1.0862756248542113e+308,-6.756557741663822e+307
1,3290,21631,250000,-2.052242709681926e+307,1.5859654775783836e+308
1,3271,20454,250000,-9.733496032974948e+307,1.161354713719941e+308
1,3285,19921,250000,-2.569352176475985e+307,7.788609622272596e+307
1,3289,20741,250000,1.6527002725404522e+308,6.698534051969704e+306
1,3267,20934,250000,-1.4192246652540277e+307,-1.6598868263297298e+308
1,3302,21355,250000,1.2212759011682299e+308,9.685706453995172e+307
1,3327,20399,250000,-1.0940513227378156e+308,-7.838338575894988e+307
1,3248,20644,250000,1.6970536096886301e+308,7.627216025290427e+307
1,3298,21264,250000,-1.3221371010943693e+308,-3.103639405117988e+307
1,3279,20651,250000,1.4819879860634473e+308,-1.257297542932915e+308
1,3265,24625,250000,6.080291355508996e+307,-1.3265667497030484e+308
1,3270,20883,250000,9.721205313855745e+306,-1.939956003039812e+307
1,3272,21653,250000,-1.5711514225474936e+308,-1.3973908470224308e+308
1,3245,20896,250000,-1.803617926048799e+307,-8.132411337471059e+307
1,3286,20236,250000,-1.3079088492339726e+308,1.3618498870365374e+307
1,3291,20073,250000,9.983405152025249e+307,1.2600724319645747e+308
1,3249,20467,250000,1.7769785435850038e+308,-5.128469637570335e+307
1,3275,20476,250000,-2.0216562839215654e+307,-1.2030397313685005e+308
1,3296,20683,250000,9.877494665445044e+307,-9.249505815511578e+307
1,3263,20067,250000,-8.115839758431932e+307,-6.016083709616312e+307
