runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3309,19859,250000,-7751435533845637,7330921137419213
1,3308,20585,250000,-1708203852439717,-8706345658243538
1,3246,19809,250000,-3362143133888504,2837050054298886
1,3279,20689,250000,7529240526753814,-7415717337133242
1,3310,20582,250000,8100079568740352,5267639077267961
1,3247,20441,250000,606751417918946,217131140924301
1,3274,20281,250000,-5649199274663709,-4825434426110417
1,3288,20537,250000,1279405803281595,-4025280987756324
1,3253,19835,250000,4361941776000615,8275799986281729
1,3276,20527,250000,4897443945034483,1727640495000277
1,3277,20309,250000,-6654991332071620,-4915363618404200
1,3245,20602,250000,8301159498190865,2594225057656083
1,3276,20498,250000,-8222640521425569,-4404000725339935
1,3295,21785,250000,2798007633683981,7196184857786927
1,3273,21023,250000,-4374505850915520,-4843043628716969
1,3329,20588,250000,-2875564646086357,-8585372998126363
1,3292,20431,250000,3063426560270196,4788600866542535
1,3289,21155,250000,-6567967119036786,8054076962454176
1,3280,22278,250000,6619667496509357,8238403321880928
1,3312,21763,250000,6182999621932107,-4855595131684243
1,3326,22106,250000,-5628074083382425,-6126376065006937
1,3360,20104,250000,-5987368685889994,-4787500529075077
1,3277,19850,250000,2058510790929526,8572327697144901
1,3279,19892,250000,-5232959297985783,4753544093382126
1,3289,20834,250000,4000839991656648,-7608838111351660
1,3284,20559,250000,6597011201332989,-3542769155395200
1,3298,20558,250000,2558889162525488,1211018145548525
1,3272,21199,250000,4514659053673386,1169112559415310
1,3278,21109,250000,8312306268246195,830306767558452
1,3244,19811,250000,-6027024976039408,3472969121230154
1,3294,20518,250000,-904738439352991,-8528196104224471
1,3307,19719,250000,-4543880170804440,247708374575504
1,3247,20618,250000,5738102249071761,210303341103840
1,3298,19812,250000,-6484259034391749,2588814909091936
1,3351,21417,250000,8424678866616507,-2212271807293761
1,3403,23404,250000,8444509630771747,5465064154706070
1,3271,20523,250000,1290495622117275,-6311057995939967
1,3330,20748,250000,7075680392589221,165787357497190
1,3262,20779,250000,2721412781182499,-3412985060761008
1,3279,20571,250000,-5097151408210926,-8671892338004661
1,3300,20951,250000,-2385604068464193,-3123967487612301
1,3246,20705,250000,1548106119005797,880222163536800
1,3355,20487,250000,-3331033072541854,-4910845962046980
1,3302,20582,250000,34649253382743,-1910527648486543
1,3246,20194,250000,-7630883147360124,6591242440721307
1,3293,20884,250000,737055677781486,-8677524642873896
1,3302,19974,250000,-2944379938578680,6460746758230767
1,3276,19922,250000,1230287172415605,4687591623548025
1,3404,22512,250000,-20639671437431,-7178519002571828
1,3355,20513,250000,3459625764258098,1546153857906711
1,3262,20652,250000,-5656086875441192,-8661583191963760
1,3278,20614,250000,-2694672023372761,-4673692131399306
1,3291,20483,250000,5254993235384745,-6231819901509670
1,3260,20580,250000,8946409996857094,3350790797736732
1,3266,20365,250000,5039811555430458,-446506481961067
1,3281,20548,250000,3611972492332385,-3208229255238575
1,3261,19675,250000,-5804696593292922,2887568399646136
1,3302,19710,250000,281576511182269,338216205738786
1,3270,20432,250000,-3526094521247368,-4870242403634363
1,3245,19714,250000,-4787260579546223,-4316329903749407
1,3287,20897,250000,6211537507448382,-6255346343395441
1,3287,20590,250000,5207968309121472,-2569191097279574
1,3245,19497,250000,-2638427128443873,4442947403787253
1,3274,20618,250000,3163138576032898,-1608076417204359
1,3273,20447,250000,-2804256236805661,-6354147745574113
1,3248,20489,250000,-1775205889455714,-4353553312736693
1,3268,20434,250000,-383577953726532,-8762886420517824
1,3279,19581,250000,-5219765478180681,-4436176275077146
1,3245,19597,250000,-6793076108532016,-4055466793572879
1,3284,20428,250000,-8242158462226620,1427648384478352
1,3284,20329,250000,-8410493135160029,-7332738039935756
1,3244,20604,250000,5165772535590748,4693771839422637
1,3272,20342,250000,5322789654064942,-4419140993022380
1,3277,20577,250000,2522963699408985,-8659983793139328
1,3249,20479,250000,-3356188955766236,1560939563703864
1,3277,20435,250000,-118586049303460,1751551926405118
1,3284,20379,250000,5359094122690213,7297708720522412
1,3245,20064,250000,-6666392734704998,-4037042252694288
1,3281,21268,250000,-1640709904144767,-3583608908675820
1,3281,21014,250000,8171510433655781,2760003342450308
1,3251,20697,250000,7294466673045028,-6707787410261503
1,3271,20319,250000,-6026664978916432,4623010509842619
1,3276,20897,250000,8293839407504256,-8631223726540140
1,3250,20957,250000,-3625263690630311,-5511659922851771
1,3277,21062,250000,6891179788144417,-4446061466128224
1,3339,20318,250000,-1323093562553305,2057643535811484
1,3309,20685,250000,-3254465279111019,2931522812662713
1,3279,20935,250000,-1133878559502541,-2401357797995642
1,3357,19623,250000,2198448394400947,7839621272483724
1,3247,21095,250000,7247807316703286,-3556156514810552
1,3277,19650,250000,8271581663083726,8618269446129637
1,3284,19632,250000,-6250734657750464,-951568960634634
1,3247,19625,250000,-7688015840615969,3906278632678120
1,3273,19894,250000,-4499425210330551,5284063983591239
1,3277,20205,250000,-1154782850188022,2252829512533681
1,3247,20519,250000,2991740486838683,-3342125736134271
1,3277,20394,250000,6234011623456066,-3101831470747450
1,3336,20061,250000,-5459708552043293,3042804045787763
1,3297,19770,250000,-7598095439955121,-881190903341945
1,3343,20199,250000,-5901886788660530,-2880612699565533
2,3268,20175,250000,6433962630037027,8407629161443801
2,3334,19819,250000,-6252795844147960,4410562722499697
2,3287,19699,250000,-1943484036126432,2521395101947028
2,3270,20546,250000,7801652331327440,2679941149158209
2,3275,19505,250000,-5431128311920810,6862384098952398
2,3285,20367,250000,2844057072767258,-6929581163218950
2,3271,20872,250000,1312050880183321,-4096358086149391
2,3445,28833,250000,-4361200245644903,-6580178990555013
2,3322,21353,250000,1039014280224677,-4539999415025773
2,3403,19902,250000,-7543853318578418,-4852762432865991
2,3285,20755,250000,3410376209676863,-3184012129100
2,3322,22901,250000,-2916806405511924,6260755809448127
2,3271,21564,250000,-8659548592024369,4028901819234730
2,3418,21662,250000,-3016414206934595,-4235239622634389
2,3279,21280,250000,-6254473365658635,3535753071295058
2,3314,21900,250000,8353404059747281,4421709952222524
2,3294,21095,250000,-8943814939990368,-5754667474890289
2,3270,21196,250000,450549667144681,-1169254737200054
2,3355,23191,250000,-8480037576044961,-959992508859322
2,3329,21219,250000,7598740329537568,-5184622144844857
2,3267,21462,250000,339279030413869,-892522171792236
2,3323,21540,250000,8985477321293086,-2992467047569098
2,3268,21164,250000,8967254366180530,-1446204690806063
2,3319,21374,250000,1047851206800699,-6851993748513928
2,3330,21721,250000,3545234587688982,-7037023705525528
2,3247,22086,250000,312324492177390,3190900753179085
2,3264,21814,250000,-214064954614376,5034668488775206
2,3266,22389,250000,-7262704821862916,6734190146966683
2,3301,21535,250000,8028791363192105,-7693135356826385
2,3347,23020,250000,8951474160316015,3249483691500720
2,3288,21821,250000,1343382614335183,2088130530153301
2,3351,23129,250000,5715269393677834,-2687936442939958
2,3275,21206,250000,-907037738602556,2689940681860214
2,3312,22116,250000,1870901378712707,5328697139460683
2,3323,21782,250000,-1146885141902985,-5371124548430648
2,3316,19669,250000,4906441010460265,5129150829861189
2,3268,19679,250000,-7770155970993295,2246937919651255
2,3349,19831,250000,-2848435104191987,1085837487387403
2,3291,22165,250000,2689285773749914,-4242413754480596
2,3270,21128,250000,7859385615775114,-709493348376221
2,3317,20282,250000,-2771322312683073,-22749466480590
2,3272,20291,250000,-2873888107646528,8934533154271286
2,3382,21293,250000,-6733521830940762,-322611263467451
2,3343,21435,250000,-7881814856149675,-3416297372413759
2,3302,21992,250000,-8084856068457966,1109618738421844
2,3286,21015,250000,-4170096793376476,5247905472433234
2,3296,23260,250000,2866135410924745,-4757553251426377
2,3306,20557,250000,6968625966448821,8135115591613438
2,3268,21187,250000,-6430398427036158,7691686121240173
2,3377,20476,250000,8987771824506134,-6016514924302207
2,3291,20039,250000,34786680856326,8899548366346408
2,3265,21511,250000,1992479906064937,-7955414248555345
2,3291,20658,250000,-2054341770518089,-5663465214666098
2,3346,20830,250000,6799638387557401,-5728847955081023
