runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3904,24370,250000,-5.54621375795964e+307,1.6795585004048529e+308
1,4681,23526,250000,1.275358082026087e+308,-3.4050650225618167e+307
1,3958,24339,250000,-1.1776992190133062e+308,1.7793157120008292e+308
1,3910,24350,250000,7.475355528168092e+307,9.542764879319162e+307
1,4711,23566,250000,1.688141080994012e+308,8.918631944460461e+307
1,3978,25481,250000,1.0268105868823387e+308,1.759038974402113e+308
1,3905,24433,250000,-1.02580217539971e+308,-9.448227902756213e+307
1,3909,23803,250000,4.36723066671787e+307,-8.622067226183116e+307
1,3952,23371,250000,1.4529001264800615e+308,1.1860882815806785e+308
1,3942,26470,250000,1.5901452273643396e+308,-1.6150681318544168e+307
1,4644,23388,250000,8.354846940615105e+307,-5.528283385528569e+307
1,3913,24371,250000,1.080603502164677e+308,1.393606341593084e+308
1,4722,24299,250000,-1.534509094830598e+308,9.513670632700386e+307
1,3900,24320,250000,-1.7123014875914314e+308,-5.695382514938144e+307
1,3956,24173,250000,-1.6035569165925438e+308,-6.78314829568849e+307
1,4712,24493,250000,-1.5462872042279915e+308,1.041155950680351e+308
1,3903,24372,250000,-1.6453254698713713e+308,1.0470532350651965e+308
1,4560,23489,250000,4.376256145399375e+307,-2.4228762975806943e+307
1,3910,23613,250000,1.2209159909906426e+307,-3.4389194516399627e+307
1,3898,24423,250000,-1.4526820602559297e+308,-7.02313099007352e+306
1,3909,24239,250000,5.4217168325224195e+306,1.214037169035781e+308
1,4609,23465,250000,1.1770466197206397e+308,-6.941679385493469e+307
1,4447,24276,250000,6.113321215022235e+307,1.3025186068077911e+308
1,4730,24344,250000,-1.2239068901649407e+308,1.3862964647041389e+308
1,4203,24248,250000,-1.6668640555673393e+308,8.206801173219959e+307
1,4474,24400,250000,-1.189869840514464e+308,1.7554574272795953e+308
1,4818,23383,250000,-3.899927523839448e+306,-1.3540257019781854e+308
1,4284,24433,250000,-4.88734015283132e+307,1.599825459301432e+308
1,4562,23389,250000,1.538853590829752e+308,-1.2848217198307647e+308
1,3908,24382,250000,-2.882167063671281e+307,-6.977473430159736e+306
1,4344,24412,250000,1.3746765527729617e+308,1.4071165570428945e+308
1,4647,23340,250000,1.9033546571877143e+307,-1.1608290965512034e+308
1,4676,23573,250000,9.395784997900552e+307,-1.0825262595202892e+308
1,3905,24382,250000,-1.2867520462121447e+307,1.2378177616115749e+308
1,4017,24260,250000,1.7621461424285035e+308,1.7887625716582209e+308
1,3905,24623,250000,-4.3024806388118026e+307,1.332005204643591e+308
1,3903,23400,250000,1.2610100329558405e+308,-9.229848552216477e+307
1,4711,24274,250000,-9.71977867602969e+307,-4.793452837808319e+307
1,4034,23668,250000,9.127903171742556e+306,-5.742706647077681e+307
1,4575,23550,250000,-2.1782605806953778e+307,-1.1079624257877116e+308
1,4681,23395,250000,1.5479576580150345e+308,6.137389398188635e+307
1,3906,23712,250000,9.53387817882418e+307,8.368971793332692e+307
1,4658,23445,250000,1.027552935806905e+308,-4.550681378474506e+307
1,4573,24411,250000,-5.984823235403881e+307,8.418259434388771e+307
1,3955,24511,250000,-6.238261511319442e+307,1.5984534770452236e+307
1,4730,23521,250000,-8.783238881965133e+307,-1.4704764960216375e+308
1,3903,24310,250000,-1.5980858625185115e+308,-2.2463571107714503e+307
1,3977,24333,250000,-7.282051355044573e+307,1.3572027490971224e+308
1,4046,24243,250000,-9.821852831500584e+307,2.9433098874001006e+307
1,4323,23780,250000,1.6053994156849044e+308,-1.9156258115017091e+307
1,4636,24260,250000,-1.472398028624657e+308,6.716446296151314e+307
1,4660,24395,250000,-1.4705660265507872e+308,1.414334314295156e+308
1,3902,23459,250000,1.356920115050784e+308,5.708022877870275e+307
1,4662,23702,250000,1.542227003237185e+308,-1.0075537345136435e+308
1,3911,23570,250000,4.75485746545531e+307,-1.0550034199306125e+308
1,3906,23359,250000,8.926862604952919e+307,2.760998128628982e+307
1,4764,24370,250000,-2.80859358365916e+307,6.917188189678933e+307
1,3912,24465,250000,-1.3757768219701793e+308,8.558431577993656e+307
1,3906,23472,250000,1.3921630494645813e+308,-1.0393824554989805e+308
1,3907,25956,250000,-1.0162633955118035e+308,6.595888231000497e+307
1,4314,23313,250000,1.0532767504325331e+307,-1.4101534891001078e+308
1,4582,23600,250000,2.0499903522623957e+307,-1.8971618281112317e+307
1,4684,24257,250000,7.376245663609772e+307,7.755175976038163e+307
1,3909,23502,250000,3.329395490445733e+307,-1.0801108252062283e+308
1,4685,23452,250000,9.123365924013572e+307,3.9130455128886074e+307
1,3923,24358,250000,-8.439190143281054e+307,-7.03953579809698e+307
1,3916,23483,250000,1.7066962134795806e+308,-6.269469483958021e+307
