runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3319,20815,250000,-1.674297852804437e+308,1.474052299346365e+308
1,3414,20609,250000,-2.7780899543019234e+307,-9.154447130674121e+307
1,3427,19755,250000,-1.6844902380966113e+308,-1.495972742632795e+308
1,3553,20908,250000,1.3684127927747972e+308,5.894084628687649e+306
1,3296,20587,250000,8.200759217162945e+307,-2.2452937034700346e+307
1,3333,20203,250000,-6.61872434236762e+307,1.56907562239439e+308
1,3269,20994,250000,2.2257383271987833e+306,-1.0570023394979131e+308
1,3247,20446,250000,2.3787974067375485e+307,-3.6986032089234675e+307
1,3274,20001,250000,7.6520654797342e+307,-3.372847280452355e+306
1,3275,19714,250000,-1.543542107845464e+308,8.107869976984424e+306
1,3246,19670,250000,1.001764965980139e+308,1.644801073815497e+308
1,3343,20227,250000,2.089793985640559e+307,-6.904611048618297e+307
1,3367,20371,250000,-9.031522869269647e+306,1.4269583346494466e+308
1,3324,20645,250000,1.7389181666612255e+308,-6.004837747230317e+307
1,3352,20849,250000,3.397880110289308e+307,-1.5443723571570168e+308
1,3311,20941,250000,-1.5480853687156848e+306,-2.4447767360982336e+307
1,3279,20182,250000,1.1609186755642172e+307,1.4718655205979494e+308
1,3343,20430,250000,1.7389735036856501e+308,-6.957972261353507e+307
1,3332,20904,250000,1.491295582196396e+308,1.0426407268502865e+307
1,3247,20783,250000,9.072698220236222e+307,7.49854824469827e+307
1,3279,20291,250000,-1.5085029413108774e+308,-5.004601349784321e+307
1,3377,19938,250000,-8.423966078452418e+307,3.6975717464354245e+307
1,3260,20300,250000,8.164340089928344e+307,-1.5272659740692886e+308
1,3296,19861,250000,-2.1117683102195225e+306,1.4810011280401998e+307
1,3287,19595,250000,-1.2308598294078488e+308,-1.367140431184654e+307
1,3262,20042,250000,-1.4619277271669314e+308,-1.5530056182737235e+308
1,3274,20198,250000,1.7137365593850845e+308,1.1346095575869451e+308
1,3307,20317,250000,1.770198661692061e+308,-1.6028204031863312e+308
1,3247,20178,250000,1.7143445132917989e+308,5.920550979259475e+306
1,3299,20082,250000,-1.0606267633905263e+307,-9.36976833447384e+307
1,3363,19889,250000,1.53585770583469e+307,1.5276154786969505e+308
1,3248,19894,250000,-6.431624118547143e+307,4.607263608994387e+307
1,3276,20451,250000,-1.0013100076906902e+308,-1.6336292675273863e+308
1,3298,20380,250000,-6.717072941988671e+306,-2.652056445191246e+307
1,3249,21982,250000,4.600003602936621e+307,-1.540481248526349e+308
1,3277,20158,250000,-1.2869669345825884e+308,1.209828321577982e+308
1,3290,20024,250000,1.413016531363297e+308,1.7646072151440194e+308
1,3265,20322,250000,-5.567584401144149e+307,-1.7224752340675979e+308
1,3288,19723,250000,-1.0388720684661151e+308,1.1867384951149398e+308
1,3293,19997,250000,6.388131123085527e+307,-1.340165022084537e+308
1,3248,19690,250000,-1.0990725842009229e+308,-7.874718103162562e+306
1,3274,20043,250000,1.01649165093715e+308,-7.289010031125194e+307
1,3299,20522,250000,8.351431212973851e+307,-3.3521443029701946e+307
1,3253,22304,250000,-7.509991003330035e+307,-1.3890497825805692e+308
1,3277,21189,250000,1.1621086071816782e+308,9.02574520312429e+306
1,3298,19849,250000,-3.623626957224522e+307,1.6145073061968288e+308
1,3318,29123,250000,-3.752279793968333e+306,-9.458457237516004e+307
1,3361,29450,250000,-3.078093229489585e+307,-8.64194475433921e+306
1,3294,20264,250000,1.4203822408324852e+308,-1.1449266747075323e+308
1,3324,19933,250000,1.291123067542396e+308,1.6675436717332312e+308
1,3292,20270,250000,1.3460513530982438e+307,1.4231163329918246e+308
1,3282,20291,250000,2.531734675869503e+307,4.208614011914397e+306
1,3311,19950,250000,-1.6425111443567726e+307,5.503620291207048e+307
1,3285,20481,250000,-8.204869649009148e+306,-1.66996423919797e+308
1,3270,20262,250000,1.7745968169096946e+307,5.954172895414421e+307
1,3256,22012,250000,1.5782129801668651e+308,-1.6594128288292066e+308
1,3270,20810,250000,1.4147051362524485e+306,9.561465525564622e+307
1,3292,19952,250000,-5.569314484649756e+307,3.1247428758598416e+306
1,3274,21195,250000,-1.5382687473818011e+308,7.720853088700024e+306
1,3304,21759,250000,-2.158831510744172e+306,-1.2880706117028035e+308
1,3329,20361,250000,5.609652410805336e+307,-1.9064970102708444e+307
1,3246,20432,250000,-6.840784258668851e+307,-7.482919273790994e+307
1,3275,19787,250000,-1.615002269820769e+308,-4.98935601180798e+307
1,3310,22382,250000,-1.6971843853481151e+308,4.6422763492388463e+306
1,3329,21275,250000,-9.379847715536673e+307,1.3675616909587444e+308
1,3433,22086,250000,9.910687143115149e+306,1.2520033330666105e+308
1,3275,20239,250000,8.635688180806012e+307,-1.0620714169436385e+308
