runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3264,20345,250000,5362140022027846,3264190448376019
1,3296,21154,250000,443133587476601,-8533081833788683
1,3342,20783,250000,-1472328166431649,4181847340175124
1,3271,20737,250000,1695828118924649,6116788101053740
1,3274,20633,250000,-2668252835434847,3712548968607473
1,3368,20500,250000,-6247960006606519,-3686217731476784
1,3364,20972,250000,7371336612309450,831952764931371
1,3273,21092,250000,486046508132216,-4162926728518762
1,3275,19696,250000,723163956049242,3140588641666518
1,3290,19584,250000,-6010367272682742,956767736987374
1,3294,20991,250000,2601729128808511,-3079647525918858
1,3313,19628,250000,-4230994641176522,-1345918612230920
1,3282,20008,250000,7735399294210312,-2895020336495088
1,3269,19768,250000,2379132439864959,6716620154142480
1,3282,19649,250000,-8393498894621585,7262285160154360
1,3351,19800,250000,7669965868504038,7915376247072649
1,3284,20310,250000,3548037416726983,-8569248452989695
1,3270,20298,250000,8508332669715664,-5010282804747611
1,3273,20617,250000,-2325793251868578,2368721027442738
1,3353,20773,250000,-1011397782231466,-526194420735409
1,3278,20641,250000,4278500846728257,-4491130104826502
1,3278,20328,250000,8542021034193179,92473578361872
1,3272,20051,250000,7402575961127100,4572200936208836
1,3280,19691,250000,-5798205288611417,4062838718756786
1,3275,20023,250000,-7954829833816708,6286530600893286
1,3277,20546,250000,8739443311415355,-269642611919314
1,3293,20017,250000,6844312808903767,8591580448994154
1,3284,20350,250000,1865497732352952,-5591018376320926
1,3286,20109,250000,-3933328901884964,7423055723039770
1,3286,20377,250000,6297003916635282,-2542872586240727
1,3326,20023,250000,-1980545525457578,7438724928961551
1,3292,20457,250000,4019161414604477,-6896630409816889
1,3274,19705,250000,-1275787063362212,979695014583000
1,3280,20278,250000,2935694926519771,-3700397967837169
1,3279,20363,250000,4121530468365531,-3217637718035630
1,3280,20400,250000,5191667553998047,-8642848654613417
1,3278,20163,250000,-3998398127120882,-7728085690131253
1,3291,20034,250000,-5262413730997566,5909599870260362
1,3290,19861,250000,-1474410528638330,6204336419125703
1,3268,19801,250000,-416348649381795,2270665861603548
1,3275,20464,250000,-1815320136959512,-3657010251905203
1,3282,20132,250000,8125739581608408,4491494024706791
1,3293,20499,250000,8456936602694565,-6338803788574295
1,3349,21687,250000,5978367059995744,-3918444646310694
1,3362,21543,250000,-5627044862590298,5846960609416765
1,3300,20368,250000,3156405179751722,-6659316203317880
1,3284,20994,250000,7827528625645786,-4947110702619040
1,3329,20718,250000,5094469188795506,-6449383491050953
1,3315,20718,250000,-7081709434224873,957368312699467
1,3283,20317,250000,870265221380878,759478425024017
1,3333,20230,250000,-2167441697593637,5178604429481601
1,3331,20412,250000,-1462116477927663,-3506114025455614
1,3356,20339,250000,961398223966562,2710926176304460
1,3444,20459,250000,-6780910551221051,-7664129108848550
1,3317,20330,250000,-1740655748029482,-8781296601293184
1,3423,20665,250000,1835759252273935,418720373686753
1,3323,20378,250000,3016779404229977,-4064507639337125
1,3284,20299,250000,5039409063638144,-8354807370608582
1,3280,20017,250000,5465996289537802,7516747369695908
1,3297,20218,250000,8851738311843197,-3632399723956719
1,3273,19735,250000,-3807047846043010,2782749937333819
1,3286,20135,250000,-7692923384026384,2892107922010399
1,3283,20260,250000,-7579825071280024,920814909203238
1,3272,20096,250000,7494238121563106,-1648122601784381
1,3273,19847,250000,-994526146920007,3761088132592233
1,3281,20439,250000,-1734247849898312,-2718654587742581
1,3269,20240,250000,-102464656023562,8014684805455836
1,3334,20239,250000,6741399201887274,2174350210416015
1,3274,19848,250000,-1552681493757129,8249527663529715
1,3271,20238,250000,3938881285556022,-3794952152675811
1,3357,20319,250000,-6614079348459443,-7962720810419730
1,3278,19887,250000,-7353885114794873,4784503900053741
1,3292,19938,250000,541372502579262,903470082091668
1,3417,20280,250000,8210513974954593,2569962611974184
1,3348,20425,250000,-4440427802228200,3638373389297380
1,3295,20345,250000,-7045286514125145,2761993012497347
1,3309,20335,250000,962580980288399,-757611827832336
1,3293,20209,250000,-212351738192992,-5906104195671855
1,3292,20312,250000,2335606994349715,-3252796839390894
1,3387,20245,250000,8444759347942809,6217225181687640
1,3311,20303,250000,1369687782757859,6726899377488805
1,3292,20003,250000,-2399418735076946,-227079694573684
1,3339,20520,250000,6442694282806787,-3037903122286238
1,3276,24812,250000,-4632801562089709,-617805065146444
1,3504,20624,250000,-6881325555914001,-6605716352300317
1,3286,21127,250000,-8826030936889636,402989703832795
1,3299,21334,250000,8141159975921334,1776916584852515
1,3337,20676,250000,-1481074322840943,8620588086843670
1,3343,20356,250000,-2300921409604375,-7721015810739532
1,3358,20396,250000,7873810069236546,3223927882235256
1,3367,21401,250000,3738691488917212,-1135326360147457
1,3278,21072,250000,-564687727177841,4092604304162381
1,3286,20711,250000,6233406540030943,-8488749647402524
1,3303,20484,250000,-4073886775808300,1641563858494558
1,3396,20313,250000,3046519232186140,-2670327940214610
1,3367,20173,250000,-7443755939100555,-4024544333746114
1,3272,20458,250000,-4119387181405230,-8676909413493813
1,3299,20708,250000,117832910538482,-44757467902008
1,3295,19841,250000,6427096546685567,6688069474075467
1,3394,20138,250000,371980661131886,7537227541964632
2,3248,20099,250000,4154731518088084,-3201213334160457
2,3275,19967,250000,-1484254553012690,7400521713976091
2,3277,19983,250000,6392072899789147,2727380473787695
2,3246,20467,250000,-1821767713691275,-3960508725404678
2,3270,20796,250000,8920101300775909,151028547166676
2,3348,20408,250000,-6011393883489419,1717295010361236
2,3246,20679,250000,6368088201167041,-1621063095341222
2,3277,20316,250000,3157984428767739,-357904200229099
2,3294,19688,250000,5063487584001106,7901687649935019
2,3257,19933,250000,-1525425341987448,6249514665652398
2,3277,20918,250000,-6420111840286112,-6801468276022039
2,3340,20255,250000,4116812490449716,-4187341643190342
2,3248,20484,250000,4533930738112520,-1151528095901226
2,3270,20462,250000,761166173829106,-7694677124479879
2,3275,20780,250000,-8998171631171362,-5563081160330520
2,3255,19925,250000,-1965570014133635,-483069041208461
2,3275,19592,250000,-2634049133687469,4096153152005522
