runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3906,27067,250000,2.0327637254286394e+307,9.850923504827775e+307
1,4282,26965,250000,1.5015854742226737e+308,1.0699239166443686e+308
1,3914,26841,250000,-4.1705826358230934e+307,-1.3838631804051842e+308
1,3912,27014,250000,-5.217756844415049e+307,-1.061633190389757e+308
1,3961,27020,250000,-7.142901818749712e+307,-5.225949821179934e+307
1,4665,26796,250000,-4.984466630209839e+307,-1.631146766809623e+308
1,4876,27058,250000,-7.195876064477196e+307,1.0435065922593364e+308
1,3905,26756,250000,1.5378252182976238e+308,3.0312092846573307e+307
1,4757,26750,250000,4.876143248273886e+306,-1.4583338218193283e+308
1,3911,26818,250000,3.7004661788217286e+307,-7.299978378532144e+307
1,3959,26958,250000,3.6235922575577295e+307,7.059796814410081e+307
1,4846,26881,250000,-5.230119966745754e+307,-2.330565380027221e+307
1,4289,27075,250000,1.5001511410190141e+308,-1.759774741502364e+308
1,3906,26958,250000,1.2336080995999348e+308,-1.4094041636128225e+308
1,4643,27143,250000,-9.562725903275952e+307,-1.366837584516271e+308
1,4364,27329,250000,-1.4591009031687606e+308,8.832648928123308e+307
1,3945,27201,250000,1.1677596743463157e+308,-1.380654680948939e+308
1,4169,26759,250000,-9.738301084320798e+307,-1.5060171789601213e+307
1,3976,26856,250000,1.4381911508526838e+308,4.1133326985871596e+307
1,4804,26752,250000,4.499009299064263e+307,9.82876220684785e+307
1,3918,26914,250000,3.776697020744572e+307,2.374372946626798e+307
1,4523,26967,250000,-9.98398336833069e+307,2.4844053718640933e+307
1,4857,26836,250000,1.5429263102183132e+308,1.6310126316178943e+308
1,3916,26806,250000,-1.3773653727485964e+308,9.838500062683738e+307
1,4619,26974,250000,1.4017776195945152e+308,-7.853255128390548e+306
1,4878,26836,250000,-5.161662735334752e+307,-7.743772147012896e+307
1,3911,26836,250000,-1.4753011209003022e+308,-7.079914070851825e+307
1,3930,27074,250000,1.2573714683567035e+308,-1.2896714321467672e+308
1,4295,26911,250000,9.93947961410227e+307,-5.155044402803446e+307
1,3910,26979,250000,4.78425998916451e+307,2.788461384902786e+307
1,4805,27048,250000,7.919147078909984e+307,1.414548074142774e+307
1,3909,26993,250000,-8.620067435396255e+307,-1.749238527410664e+308
1,4558,27013,250000,4.796035109054118e+307,3.979834811652398e+307
1,4721,26925,250000,1.1698768095141888e+308,9.261094378316501e+307
1,4445,27348,250000,1.218365741186221e+308,-5.893885820664512e+307
1,3920,27233,250000,-7.573481709398209e+307,5.0161931275302295e+306
1,3908,27088,250000,-5.956804449494113e+307,3.5490938920338373e+307
1,4402,26982,250000,-3.513015409429773e+307,-1.076216874114232e+308
1,3910,26881,250000,-2.8139482240540945e+307,2.077246549665897e+307
1,3906,26887,250000,-1.0020246603726353e+308,-6.90189883207126e+307
1,3950,26867,250000,1.6445276858888875e+308,-6.177468036285777e+307
1,4677,27150,250000,7.572754353340883e+307,1.0325641775422186e+308
1,3906,26893,250000,4.210023772750125e+307,-1.1224581150305317e+308
1,4679,26846,250000,-4.213232560464919e+307,1.293129948668118e+308
1,4710,27183,250000,7.984136747506521e+307,9.631703820683215e+307
1,3910,27019,250000,1.761008453581903e+308,1.0588207114064173e+308
1,4018,26958,250000,-9.209056545298087e+307,1.0253982441885398e+308
1,3914,26967,250000,-4.689540754350636e+307,1.2255590223065306e+308
1,3983,27086,250000,-7.509641332874646e+307,1.0286491156273654e+308
1,3910,27032,250000,1.5157873773862286e+308,-6.035780520526441e+307
1,3913,27045,250000,6.101345298242603e+307,-1.7087603058360203e+308
1,3917,27176,250000,-7.981272509999425e+307,-1.8414996586028634e+307
1,3963,27198,250000,1.6565957510495277e+308,2.2079965338082117e+306
1,3943,29439,250000,-4.0420136912016174e+307,-1.459511400439695e+308
1,3917,27134,250000,9.804301005453885e+307,1.2204929408291337e+308
1,4666,27212,250000,-1.557605787770037e+308,6.239154172345018e+307
1,4350,27083,250000,-1.6588193757069929e+308,1.065134839208718e+308
1,4660,27019,250000,2.1390072166035139e+307,5.104441267576625e+307
1,4932,27131,250000,-2.857155191975672e+307,-3.69373305177216e+307
1,4436,26930,250000,1.9723171871656345e+306,3.200945988132093e+307
1,4718,27128,250000,1.7205332184284015e+308,3.4323829144524405e+307
1,3968,26958,250000,-1.7702673465565523e+308,-9.748891492609873e+307
1,3912,26959,250000,1.4605885471383474e+307,1.4371316690193308e+308
1,3904,26994,250000,-1.7835975636003166e+307,-8.449085010893658e+307
1,3948,27075,250000,-1.7400545609330446e+308,-9.572354204064458e+307
1,3911,26941,250000,4.2851738706847343e+307,1.4700821675617907e+308
1,4870,26903,250000,1.2894381494229869e+308,-8.770449918814817e+307
1,4462,26854,250000,1.1485890581325513e+308,3.126949714997882e+307
1,4658,26886,250000,-1.0036393163858834e+308,1.120841306678865e+308
1,4879,27194,250000,1.1479540949452762e+308,1.5461866493662225e+308
1,4479,26913,250000,-1.7111772437049446e+308,1.6018764455738295e+308
1,3914,26721,250000,5.931471713384718e+307,-3.5623451218874016e+307
1,4214,27014,250000,-9.190834879403164e+307,-1.354329988513861e+308
1,3907,26883,250000,-1.539222063561849e+308,6.701000649256971e+307
1,4708,26889,250000,4.256351773165723e+307,7.118092541908765e+307
1,4320,27084,250000,-8.006856503890127e+307,-1.6377370101168743e+308
1,3965,27098,250000,8.322943103831172e+307,5.110305684838398e+307
1,4883,26777,250000,-1.1909533666374106e+307,-9.835842213494851e+305
1,4379,26968,250000,-3.6932790004006934e+307,8.496499771827968e+307
1,3969,26930,250000,-8.448795020704154e+307,-8.849590312672219e+307
1,3903,26712,250000,-3.9991544939678473e+307,1.0304306822307296e+308
1,4487,26793,250000,-1.0728725133255492e+308,-1.3146064718214386e+308
1,4001,26757,250000,-2.035122067089997e+307,-7.00854696649459e+307
1,4268,26873,250000,1.433716093856952e+308,-1.3397726043884575e+308
1,4525,28597,250000,9.923216328573177e+307,-2.0036850728618684e+307
1,4819,27195,250000,1.7781141270557806e+308,1.7380363419997449e+308
1,3901,27154,250000,-8.78677230131436e+307,-9.97473001337134e+307
1,4610,27111,250000,1.0005641524600854e+308,-1.5112830048279904e+308
1,4937,27097,250000,2.93551285308709e+307,9.205222056827274e+307
1,4396,26896,250000,6.499506606659265e+307,9.315146084026564e+307
1,3915,26911,250000,1.2766899131959805e+308,1.1120425348589384e+308
