runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3288,20435,250000,1.6585922808923517e+308,-1.7300674225903916e+308
1,3348,20209,250000,-2.1002525097238642e+307,-3.51800160948098e+307
1,3277,20248,250000,5.826141711665813e+307,-8.233399476796264e+307
1,3278,20201,250000,5.858044278949349e+307,4.975485150849384e+307
1,3359,20854,250000,1.7876117248856705e+308,1.2400176792033055e+308
1,3322,21055,250000,1.4277134658535998e+308,-8.607344355581959e+307
1,3325,20724,250000,6.940119306356924e+307,-8.725250002747846e+307
1,3392,20816,250000,-1.3551641389745868e+308,-9.287698421228043e+307
1,3332,20747,250000,1.6929709376869684e+308,9.183974165692522e+307
1,3300,20494,250000,1.3941622493585286e+308,-3.86523011427031e+307
1,3278,20237,250000,1.5859819477996087e+308,-7.942564706511276e+307
1,3296,20220,250000,4.607353194293358e+307,9.353293559638875e+307
1,3355,20142,250000,1.5007096727140642e+308,-1.4906045085727376e+308
1,3334,20365,250000,-7.202786817784723e+307,-1.0884209542282116e+307
1,3328,20754,250000,1.2398830324969066e+308,3.1170627438326894e+307
1,3296,20451,250000,1.5201346415992843e+308,4.0618300265257037e+307
1,3281,20454,250000,1.3825044448120238e+308,-6.348122937528382e+306
1,3278,20343,250000,-1.5046324493892613e+308,1.6131324186371898e+308
1,3327,20278,250000,2.7326226257837454e+307,-6.800734814603299e+306
1,3327,20512,250000,5.1447510368289704e+306,1.3892335314872022e+308
1,3275,20318,250000,-8.165222294352096e+307,-9.045357553529522e+307
1,3303,20225,250000,1.5302027819961731e+307,-1.5538031096865799e+308
1,3288,20567,250000,4.947272909605682e+307,-9.02658286555987e+307
1,3272,20636,250000,1.0161342441964732e+308,-5.923748900431234e+307
1,3294,20598,250000,-3.5667392945889917e+307,6.687954827314274e+307
1,3277,20798,250000,1.1778588743499592e+308,-5.65914490485778e+307
1,3280,20641,250000,1.255188655882335e+307,-1.5396115216209074e+308
1,3296,20724,250000,-5.459373042431815e+307,3.734536303219237e+307
1,3291,20862,250000,-5.676268787367303e+307,-1.041002339019251e+308
1,3304,20630,250000,8.855886690432071e+307,8.95650603738298e+307
1,3286,21720,250000,-1.792850913222852e+308,-1.3951092905073987e+308
1,3314,20551,250000,-1.1646574949365738e+308,-9.329026452727399e+307
1,3275,20704,250000,-7.461710523248666e+307,1.4121780922007405e+307
1,3294,20172,250000,1.725925513536008e+308,-1.0834934190984538e+308
1,3358,20084,250000,4.89796878257087e+307,-1.3852246606119378e+308
1,3287,20199,250000,1.0237956923429445e+308,1.7803290507508367e+308
1,3272,20397,250000,-1.1722914972567123e+308,-1.001314412975022e+308
1,3275,20038,250000,-1.7391449384289589e+308,1.5406875196245562e+308
1,3280,20857,250000,1.1583870248096977e+308,-2.105430294224767e+306
1,3345,20477,250000,-1.0833113038482013e+308,-1.7207137885424652e+308
1,3298,20247,250000,3.389316148656047e+307,2.111258570688261e+306
1,3319,21461,250000,-1.5754229841559405e+308,-1.206903900103113e+308
1,3331,21345,250000,-5.022707491931427e+307,1.1990209460630596e+308
1,3340,20271,250000,-2.6414941761929294e+307,9.583500224977613e+307
1,3297,23518,250000,7.2320031253873e+307,1.311556137335855e+308
1,3287,20217,250000,7.753025062084644e+307,-1.7497511132256583e+308
1,3282,20123,250000,-4.069485084215146e+307,-6.163347839048212e+307
1,3275,20535,250000,-8.169240114162929e+307,-1.479703013883345e+308
1,3334,20017,250000,1.7787398283923944e+308,-1.689312241479202e+308
1,3293,20074,250000,-8.054499989728495e+307,-1.3909029505079348e+308
1,3317,21578,250000,-5.120805413330494e+307,-7.700703044390368e+307
1,3340,20699,250000,-5.454772877990824e+307,9.780532236863644e+306
1,3341,20119,250000,1.7667171759760032e+307,1.6387871341437646e+308
1,3343,20601,250000,-1.458456939869066e+308,1.1524889718052071e+308
1,3299,20926,250000,-5.471565596932206e+307,1.2116041967213546e+308
1,3347,20627,250000,-4.4341572173090744e+307,-4.035781858697385e+307
1,3315,20053,250000,5.341952999719925e+307,-1.5858039038508785e+308
1,3370,20342,250000,1.4315045825010134e+308,1.4294226393712253e+307
1,3341,20347,250000,-1.6189161399986982e+308,-1.74165028740263e+308
1,3340,20364,250000,1.5571006649697526e+307,1.5517120749781071e+308
1,3288,21404,250000,-5.815554220202256e+307,1.0536975252158633e+307
1,3245,20264,250000,1.6223772484251828e+308,3.7461265760081996e+307
1,3341,20231,250000,1.14127508694106e+308,1.2407022450588384e+308
1,3286,20473,250000,-2.2246421167450527e+307,-9.237517363682451e+307
1,3309,21372,250000,3.4200970970687174e+306,3.9095660207374785e+307
1,3331,20767,250000,1.5700332309863437e+308,-4.429166699558553e+306
1,3347,20651,250000,-1.7736181302126113e+308,-1.791278596771752e+308
1,3329,20638,250000,1.2236334087653523e+308,-7.287357116716737e+307
1,3345,20851,250000,2.7685118194177044e+307,-1.6423332441154136e+308
1,3343,20292,250000,-6.333010581770768e+307,1.7881205289585935e+308
1,3329,20297,250000,1.215401641185921e+308,-3.247249736479455e+307
1,3266,20298,250000,-1.3421590856798803e+307,6.482640483156263e+307
1,3291,20289,250000,-1.0678733185485173e+308,1.429010462955558e+308
1,3323,20659,250000,6.772064453176635e+307,-1.40537252905196e+308
1,3333,20762,250000,-6.676054705895457e+307,1.1986504593940196e+308
1,3351,20212,250000,4.979389325709494e+307,-1.3425218101693164e+308
1,3340,20830,250000,-1.2197508068118722e+308,1.7809190271830388e+307
1,3439,20963,250000,1.1310916072350517e+308,1.101704963314028e+308
1,3412,20893,250000,-1.7628341932085389e+308,9.738327420229123e+307
1,3344,20593,250000,-1.3971556279914308e+308,1.3755394781301848e+308
1,3281,20374,250000,8.375407397224464e+307,1.7914660499782154e+308
1,3295,20356,250000,-1.1495585381304212e+308,-8.609488580970243e+307
1,3282,20635,250000,6.120774432645807e+307,9.757092356585336e+307
1,3294,20477,250000,9.539060965315766e+307,1.764572678639292e+308
1,3331,20739,250000,2.5519595138455673e+307,-1.0462207995781702e+308
1,3351,20927,250000,-6.258765095743059e+307,1.9174464236459103e+307
1,3312,20935,250000,-1.3246378290513848e+307,5.434753343030523e+307
1,3343,20555,250000,-3.009725640708169e+307,7.205749926878573e+307
1,3314,20942,250000,1.2437987450222316e+308,-1.6737750460549478e+308
1,3318,20027,250000,1.1355637823409044e+308,-4.852218292160647e+307
1,3285,20108,250000,-4.184721554857852e+307,8.465563150337712e+307
1,3284,20225,250000,1.0482643704475495e+308,1.4956692777523246e+308
1,3248,20101,250000,1.0025310459810932e+308,-1.130849477230052e+308
1,3275,20365,250000,1.1853357817246762e+308,9.357834555045524e+307
1,3247,20335,250000,-7.035809045715182e+307,1.4056957010975782e+308
1,3318,20251,250000,-3.638563587998065e+307,-1.6107179732991042e+308
1,3275,20299,250000,1.727550938260441e+307,1.131395341183685e+308
1,3297,20308,250000,9.038363546747329e+307,1.0705990306326e+308
1,3343,20752,250000,1.3307103333108735e+308,-3.790536945822983e+307
1,3345,20651,250000,1.0925045208528569e+308,6.276846299284248e+307
2,3267,20056,250000,1.6070681506466104e+307,4.4442238622512177e+307
2,3349,20013,250000,-2.669454767036917e+307,5.160001224849985e+307
2,3248,20660,250000,8.754831686355653e+307,-1.6576926461225183e+308
2,3287,20596,250000,-1.508546819460942e+308,1.7916302679837922e+308
2,3271,20200,250000,-6.944236547099422e+307,-8.675074584975118e+307
2,3245,20685,250000,-1.652432957829603e+308,-1.8128415064529079e+307
2,3269,22369,250000,-6.617481688833901e+307,-9.409440284095581e+307
2,3331,21155,250000,-2.5313075882981354e+307,1.2004643580509642e+308
2,3265,19992,250000,-7.035762893898732e+307,4.583807682126656e+307
2,3283,20054,250000,7.235396378902178e+307,4.756987816893045e+307
2,3362,21536,250000,6.994811741116098e+307,1.8179312958858158e+307
2,3246,19908,250000,9.269015468499257e+307,-4.371033361181254e+307
2,3286,20006,250000,-8.429761749496505e+306,-1.7223212199853473e+308
2,3335,20489,250000,1.6101430276844004e+308,-1.2131239395916046e+308
2,3245,21088,250000,-1.0456884041700467e+308,-9.813683314107743e+307
2,3279,19875,250000,3.9946764485269225e+307,1.5857646184123632e+308
2,3274,19924,250000,-9.498726964626544e+307,-1.059549675968209e+307
2,3256,20018,250000,9.472427369143511e+306,-6.146711541169364e+307
2,3263,20643,250000,-1.5678633915738378e+308,4.149114002901134e+307
2,3346,20409,250000,1.3477687679448762e+308,-8.441701491894556e+307
2,3330,21267,250000,-6.48280607321058e+307,1.1598827091558273e+308
2,3319,20454,250000,-1.6098038387964229e+308,6.547416194479622e+307
2,3281,21180,250000,-9.260496089025397e+307,-8.895910381620923e+307
2,3258,21067,250000,2.1363517384943104e+306,1.2265637154720836e+307
2,3274,20532,250000,-1.7142069021242794e+308,-1.614796083974602e+308
2,3370,21723,250000,1.421659373774939e+308,6.649970204367757e+307
2,3248,20764,250000,1.5522565793180746e+308,-1.3583374583454817e+308
2,3269,20352,250000,-4.192786853402145e+307,6.286242378691827e+307
2,3278,20342,250000,-1.7026128790196804e+308,1.6372564871440889e+308
2,3244,20073,250000,1.1967875225129431e+308,-7.767423067370424e+307
2,3250,20416,250000,-1.3320092254655509e+308,-6.699844179249161e+307
2,3359,20006,250000,-1.3233611422857825e+308,1.048734379254336e+308
2,3246,20164,250000,7.439087812926371e+307,-1.6572065132869827e+306
2,3273,20091,250000,1.2116638773474235e+308,-1.6034071569617019e+308
2,3277,20098,250000,-7.982085601609361e+307,1.1748359274980873e+307
2,3258,21111,250000,1.2976814901508325e+308,-2.0763697076438375e+306
2,3268,20759,250000,4.561255743474337e+307,-4.049175935811598e+307
2,3336,20868,250000,1.7944904634693515e+308,1.6897437190335827e+308
2,3278,21535,250000,1.7758564406787532e+308,2.6473751491750252e+306
2,3274,20141,250000,-1.7888161582252242e+308,1.5866156604091385e+308
2,3269,20236,250000,1.6174029656808428e+308,1.2406627116318397e+308
2,3249,20667,250000,-4.0786698450555486e+307,1.1148788034640068e+308
2,3274,20836,250000,-1.1139768747554882e+308,1.7929270618627573e+308
2,3350,20305,250000,-9.966596463124589e+307,-2.70507205524911e+307
2,3247,20637,250000,2.2338334110294618e+307,6.983237617526222e+307
