runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3342,20760,250000,882859475230262,8120261963052490
1,3334,20375,250000,7767635525563556,-5502967692960932
1,3343,20798,250000,-5734815195028821,-3963176956614297
1,3292,20079,250000,-6031299936937954,-3876755804803453
1,3342,20590,250000,-282009056705883,-1586582845530729
1,3296,22413,250000,1329837489738529,6429509968413684
1,3344,20940,250000,-5465046998573214,1265712737878961
1,3334,20543,250000,8241750452524466,697466609230006
1,3282,20185,250000,8940331919413639,-5096721857367234
1,3285,20042,250000,-7336021309726029,231980868729079
1,3328,20920,250000,4260656416031526,-6947098384595637
1,3308,20493,250000,5891352212829905,-295141371677551
1,3442,20296,250000,-663505108581503,-1228503098902551
1,3274,25416,250000,-1883994379604740,2566707117923435
1,3370,20895,250000,-4029951244597361,2695153859405640
1,3512,20381,250000,7964216698706462,-8201306547681252
1,3356,21042,250000,6090614131738703,-2408049564485964
1,3332,20719,250000,6606830264743468,3386804687211046
1,3463,21484,250000,3851405136086844,3378162487666595
1,3360,20952,250000,-6120402354378768,-4699704213326723
1,3318,20976,250000,594147133594691,-7120976386607836
1,3361,20353,250000,-273436476217643,3340789685792320
1,3475,20989,250000,7173851039615540,-4615230388636312
1,3283,20318,250000,5133324778395737,6485720624077005
1,3392,20228,250000,-8970306281093440,-7522261468734274
1,3328,20073,250000,-6476432076639794,3055155341407955
1,3425,20712,250000,7337832973592247,3824419907837473
1,3345,20458,250000,6454539750288282,1535982149197284
1,3426,20924,250000,-8333654862692477,-7827227675307444
1,3322,20263,250000,3622470557113259,-977950878014187
1,3324,20024,250000,3218590778251491,1347650421020789
1,3296,20001,250000,-7816745000017084,-7613290615638177
1,3274,20282,250000,4650511526799877,-8796795612736567
1,3250,20251,250000,3223654277416871,6627990010927194
1,3275,20147,250000,-315754148482679,-2608308031701688
1,3280,20352,250000,-5493314794730929,-3490299538271842
1,3281,20138,250000,6367783869076438,-6862702428222539
1,3348,24407,250000,-6817390215139479,-5750997615168586
1,3275,20229,250000,3896086240035558,-1206922464906585
1,3265,20074,250000,4057832992999840,-3624508095676512
1,3281,20204,250000,-5127217253488608,7197257546212124
1,3281,20395,250000,-2708299124675819,4182199701030573
1,3245,20162,250000,4997447786083083,-3905013925307609
1,3280,20314,250000,580802536905567,-8530852283802622
1,3278,20310,250000,2052680069549501,-3966334813114510
1,3269,20197,250000,-8900812944528381,3539765068415984
1,3273,20069,250000,8607455530573429,4006814090361344
1,3285,20161,250000,-5176111933052113,2554647081817157
1,3249,20900,250000,5537327738205547,368339253388822
1,3292,20326,250000,-1183373942307070,4466100283070781
1,3278,20295,250000,3839941251867375,3426821582458180
1,3247,20787,250000,5485433831491518,6327267284329997
1,3276,20942,250000,2119999770086556,-3230434379400910
1,3302,20247,250000,5111609544337883,-411733419000226
1,3261,20522,250000,1754434090146322,-7822147870832813
1,3278,20821,250000,4953537668003444,-2148759502298287
1,3278,20868,250000,4350416428102828,-7922454106269810
1,3271,20456,250000,2969996178013099,-5145887424611525
1,3276,20359,250000,7040529269016275,-2041176679057989
1,3279,20422,250000,-6441709520502957,-1568774926734120
1,3260,20148,250000,609350417354316,2793271242032684
1,3276,23003,250000,5485738831803589,7975402244519084
1,3279,20629,250000,-806476274809605,-8583097162850898
1,3244,19986,250000,1068309583818720,-6116834058799919
1,3387,20215,250000,2676848866464961,8331076697268739
1,3296,20293,250000,-5703862032712108,4568288194592027
1,3245,21038,250000,8626854462510517,-106179111090292
1,3280,20425,250000,-4633469974924370,7364620109313342
1,3277,20253,250000,-7621386465909647,-4173717856475538
1,3260,20156,250000,-5636147564969693,8850691050651851
1,3445,20033,250000,-1563262537476615,4065785407917737
1,3273,20193,250000,7532507021427499,4350588105305199
1,3250,20255,250000,-5621188800972365,1593965890287112
1,3360,20298,250000,-7539672409018262,8114018002856083
1,3297,20145,250000,-2221206023056554,-8333978320377292
1,3278,20686,250000,-2501686357808610,723268068025111
1,3294,20135,250000,-16124265563294,-7484605323114592
1,3272,20317,250000,7783645050716905,-22100346446362
1,3245,20164,250000,-464440030360466,-2831296121672149
1,3349,20152,250000,-6083169049736524,8446257206047299
1,3276,20009,250000,969143026063894,-2691270285172498
1,3268,22967,250000,1825803024611631,-4971558130648210
1,3295,20947,250000,-819964244916397,-7281588635788509
1,3282,20408,250000,-1345962725621674,-34680489428346
1,3250,20408,250000,3313479428187304,-6755399050220127
1,3289,20687,250000,3307953398909837,5697650021357986
1,3308,20460,250000,3726033559969977,3487310697231588
1,3246,20790,250000,-1525920370057324,-774563286345195
1,3276,21034,250000,-8482937299084410,-1194524909523754
1,3281,21393,250000,-678302319290911,-7132184223051544
1,3272,20365,250000,2778919640654587,-2683167101222142
1,3305,20503,250000,4142644376883981,7850910963084655
1,3291,21235,250000,-6553067555876548,-2895079418589502
1,3255,20778,250000,2211768426818849,592940963981601
1,3309,20606,250000,1081572264061840,-7156626504738372
1,3307,20280,250000,-6194287747932382,6043355179812827
1,3266,19934,250000,-8285962919213062,6601870358680424
1,3337,20126,250000,-2018625493108655,6801022172240017
1,3285,20085,250000,5268324016022041,-5500383817953474
1,3246,20251,250000,8262469413857596,4632125765698232
2,3268,20014,250000,-8893938105673535,-8899339778946162
2,3273,19891,250000,-807379646226842,4853617325251605
2,3275,19909,250000,-3381187649149251,-3591593175728026
2,3336,20027,250000,4054134613113017,-8793030932295421
2,3266,19956,250000,-4452247632104683,-2778652592875018
2,3276,20054,250000,-1773075795202228,-5078012047020643
2,3273,20003,250000,272451984976930,348174352062705
2,3280,19952,250000,-3460089770159940,5476018827035923
2,3272,20118,250000,-6592815846631741,721771472655083
2,3371,19958,250000,8575573557926502,707792743026765
2,3261,20010,250000,-1654241844218411,-8270281989879196
2,3282,20006,250000,7229064510276978,7408667972208090
