runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3903,22397,250000,-1.1017351662602593e+308,-6.05106687913544e+307
1,4278,22791,250000,1.0769225598196905e+307,-1.4451718300413001e+308
1,4642,22728,250000,-7.049260372846238e+307,-5.161903696954106e+307
1,3903,22780,250000,-7.023250204907262e+307,3.9905643077244826e+307
1,3929,22707,250000,5.463932456542852e+307,1.7444414265009887e+308
1,4716,22666,250000,1.427970821594174e+308,1.0152502429997969e+308
1,3913,22881,250000,-1.6239621971028103e+308,4.67456509207808e+307
1,4570,22829,250000,2.616335139297452e+307,-1.7971768731237699e+308
1,3983,25202,250000,-8.983837258006506e+307,2.527098717901673e+307
1,3924,24075,250000,-1.7049170126250716e+308,-1.7294361111864144e+308
1,3910,22735,250000,-4.4527943546989775e+307,4.400182968661537e+307
1,4722,22856,250000,1.1935506573389296e+308,9.106486809704006e+307
1,3915,22730,250000,2.0202003555460776e+307,1.6348232467217213e+308
1,3989,22872,250000,-3.5732883844219723e+307,-1.3959110651792188e+308
1,4142,22753,250000,1.0994474164786432e+308,-5.374625399028695e+307
1,4451,23509,250000,-1.0282468904390586e+308,-1.729527527689131e+308
1,3917,23129,250000,3.225810819608651e+307,-1.6612216991240713e+308
1,4376,24489,250000,-6.639544518251992e+306,-2.5298486478176206e+307
1,3914,24621,250000,-1.966194393343084e+307,-1.4203498252582452e+308
1,4019,24185,250000,1.4255234518371424e+308,2.7783056660797963e+307
1,3928,24725,250000,1.2293776093232578e+308,-1.015696628682749e+308
1,3932,23317,250000,-1.7796223368063547e+308,-1.5003044400460844e+308
1,3917,22833,250000,-1.712809831447354e+308,1.189580119683069e+307
1,3912,23271,250000,2.2709928935283884e+307,-1.1788470945527948e+308
1,3919,24927,250000,-1.7780871228356213e+306,-9.751550539080438e+307
1,4026,24740,250000,-1.4532269102969755e+307,-1.4205426492356426e+308
1,3950,23725,250000,-1.7264481740109825e+308,-7.241882898439558e+307
1,3919,24097,250000,-5.382763664559649e+305,-9.830218140157582e+307
