runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3917,22918,250000,5819676788574877,1253612755719650
1,4714,23424,250000,7997952329165232,5302506415286952
1,3880,22839,250000,5518391373597943,-557336160239694
1,4065,23202,250000,2002788876663926,-1504266007363053
1,3962,23450,250000,4502978143139468,8811549866178590
1,4455,23071,250000,-6857077761327988,577278685575023
1,3906,23117,250000,4060739595375748,510332051594570
1,4879,23191,250000,-694796292456371,-6726857273989910
1,3901,23694,250000,-5688710989395200,-5290535289006586
1,4004,24867,250000,383583445931353,-8616795474520649
1,3966,24952,250000,2969862123675802,808677138350494
1,3925,23993,250000,-444500250978723,7636556264941091
1,3917,23029,250000,211775086650148,-4116231672260919
1,3910,22897,250000,7630993645383856,-8201924816150941
1,3908,23137,250000,-213587098531779,2816569088286030
1,3963,23282,250000,-1015449129431443,611595524949259
1,3919,23150,250000,8329154229555710,-6722883178085982
1,3885,22996,250000,-5122956397330475,-1316972344755998
1,3987,22966,250000,-8016492823610086,-3988543271754264
1,3915,22987,250000,5298862711963584,-4336419711882833
1,3909,23091,250000,-4763414558274871,-1100526500215948
1,3970,22894,250000,-2267782775562331,-6875620981064031
1,3915,22853,250000,-4888898249287073,6170020579667970
1,3914,22847,250000,-4589971276035457,3082599785086129
1,3982,22865,250000,1356257779224082,404968727775513
1,3916,22736,250000,-6785506897040712,-6579556673027141
1,3909,22783,250000,-2573505449855416,-3018284157519066
1,3957,22877,250000,8528439990611670,6942728709953890
1,3910,22760,250000,5434733182890179,-1549495217440734
1,3907,22743,250000,-1027489541933420,-4502105139530553
1,3903,22803,250000,4096984569299128,-3311754636220490
1,3988,22617,250000,-1145103410599122,-4053133333335906
1,3907,22843,250000,-6505210531588299,1472807977545346
1,3967,22874,250000,7577472917562126,-4561600202345208
1,4010,22863,250000,5884333431842579,6506614125463236
1,3908,22914,250000,6610275581211256,6715966082368530
1,3904,22756,250000,-947069676758340,-6820891841619923
1,3907,23598,250000,-2503613148783638,7758886059127684
1,3906,22744,250000,-7242938200440476,1853327203597380
1,4749,23324,250000,-4434029821753136,3990428902753208
1,4214,22848,250000,2125122964796423,3573892909600911
1,4510,23070,250000,3104429153790210,1736124554394834
1,3966,23018,250000,-3789202281856836,7786298963321368
1,3933,22723,250000,-4540658181110227,5988129211358848
1,3965,22944,250000,-206129440075136,2274283408376496
1,4057,23345,250000,3532844873091004,4956805192020029
1,4375,22742,250000,200830555533407,5452241794995271
1,4680,23007,250000,-3285509584057838,-6338793201000479
1,3930,22860,250000,7390242458568236,7821782401221317
1,3938,23789,250000,-6295883295800401,-8241267685428210
1,3924,22943,250000,6180377363925889,8151824953342187
1,4281,22975,250000,-7899010993052367,4525903941954747
1,3933,23050,250000,-2080616673586147,4253783188223028
1,3927,22824,250000,2612144448880182,6176913767441967
1,3969,22771,250000,-8705823685077125,-7331820269072075
1,3933,23324,250000,-5754042209011431,-6289548177970207
1,4175,22845,250000,-8630260986493606,-2129875749243037
1,4046,22966,250000,-372209316972128,7110535226044198
1,4670,25618,250000,7405238416506513,-5305176502354716
1,3901,22857,250000,3405580238272080,-960396659145921
1,3909,22822,250000,-613035786355363,-1143312507708604
1,3902,22885,250000,5747457721159642,-6137079629817295
1,3904,23235,250000,-2962384071902874,-1817938087680351
1,4557,24091,250000,-4327990030469009,5558285895359480
1,4021,24075,250000,-7747625961423292,1354674241007048
1,4320,23944,250000,-7016548152259802,8933109408814002
1,3902,24335,250000,3901532883847290,-2914517894024542
1,4880,23686,250000,-8132971219782181,4301213627195957
1,3900,24612,250000,-2077134417199442,-7225479641831551
1,4716,23924,250000,2969468290857455,-2927488141165149
1,3908,23042,250000,-264559474613135,-536380895010776
1,3910,24236,250000,7461925852801516,-936733592929149
1,3959,23714,250000,8952808026623208,1990144651789962
1,4205,23736,250000,3551819391117385,5719834776906886
1,3918,23046,250000,-2679414102093301,-3337993669458661
1,3918,24116,250000,7924198150108445,-6408266782709466
1,3902,23934,250000,7756648313915129,-498336397218935
1,3904,24726,250000,-6874000782174363,2747411140176282
1,4878,23824,250000,-2191173209856219,3439762770493584
1,3915,23533,250000,-3285974668455870,-4359752093959925
1,3905,23314,250000,4802348603403901,2435993100616387
1,3964,24385,250000,8937360460712917,7076212736434562
1,4468,24111,250000,-4903392010723280,-8248093727410697
1,4771,23909,250000,2150390487617127,-4730786406181630
1,4267,23052,250000,819770262994006,4055587927617320
1,3917,23397,250000,-5545283587391698,640538593421516
1,3924,23841,250000,-8761770171531512,1299493811957133
1,4394,24066,250000,5152999964316155,-4284614758850170
1,4642,23926,250000,2006571254600376,5879287788396615
1,3927,23364,250000,852336794922330,-470356461450080
1,3926,23014,250000,8638692210031741,5552695874656546
1,3970,23652,250000,4198781560298275,-1576213901767311
1,3918,24364,250000,-6153826773874525,-8177574306263757
1,3959,23420,250000,5729533611115553,3845268077255831
1,3928,24224,250000,2776255728687746,5573008078611357
1,3915,22867,250000,4960352824043566,5903470276708857
1,3925,22832,250000,3134807024722486,7406168794436246
1,3932,23842,250000,6573439881332716,-8851380393636390
1,3925,24255,250000,6297147604260902,2189242794271613
1,4040,24954,250000,-8686292707533632,-556114057690840
2,3283,17768,250000,3316106073525180,7448058838465485
2,3333,17570,250000,7261626134579990,2309599038414344
2,3246,17506,250000,-8012066626794577,3550825016736351
2,3282,17715,250000,8772655741269769,7251117314288107
2,3277,17595,250000,-749562437086343,-2864862900738959
2,3245,17613,250000,-1632210334757960,8009619894210384
2,3272,17631,250000,1157447586682298,519620823206381
2,3272,17516,250000,-8155151932351026,-1326163677252710
2,3247,17769,250000,-8763531238896396,5847026051564391
2,3265,18595,250000,-634307294102192,6805154333084671
2,3277,18973,250000,8338305856334807,781633818612310
2,3244,17713,250000,-6181972501404011,239386434490287
2,3295,18054,250000,-7527797951714423,-277350204945977
2,3320,18863,250000,-7047047114084358,758254995264952
2,3300,17678,250000,-1596750724829414,1531353177845115
2,3281,17627,250000,-8561475239287141,-3722875544994432
2,3288,17839,250000,7913328035276942,899552657985813
2,3273,17525,250000,-1235181210408493,6218994859263804
2,3287,17605,250000,-1694611145732685,8395364368372346
2,3278,17687,250000,32780202461024,7451622045665600
2,3266,17730,250000,5971417679411454,1442561761116697
2,3279,17638,250000,6174790576640020,7963228069554309
2,3274,17627,250000,5219436629994234,8719365023011330
2,3244,17466,250000,-5800239081074034,3984676014078400
2,3262,17486,250000,-1065442480712293,6132542990058937
2,3289,17639,250000,3020288372971071,707665518741945
2,3245,17561,250000,-1764141463626077,-3698254304529724
2,3274,17775,250000,1974279764645945,-953170038083624
2,3274,17639,250000,-5201186234108568,-2663394725474928
2,3245,17587,250000,7895247482906212,1049646559666513
2,3284,17536,250000,-2406828430260589,1159765756233985
2,3304,17807,250000,-1699822966610897,-6267080433394349
2,3299,17765,250000,3460200131698821,4161664134952902
2,3279,17766,250000,-549519340817805,-5371858756183509
2,3271,17647,250000,8544684633712794,8537145921265618
2,3245,17503,250000,5567198108659303,-3738766645706312
2,3387,17592,250000,2739860087931985,-8393300336614060
