runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3905,22741,250000,1.4308880916247913e+308,-3.1108937182220473e+307
1,4734,22880,250000,-7.937340726177527e+307,-1.2400001972127883e+308
1,4172,22668,250000,-5.9621301320035324e+305,-1.1209931704873265e+307
1,3904,22887,250000,6.218000755893381e+307,-7.35371674403085e+307
1,4771,22921,250000,1.5686601254758088e+308,1.8254453352483714e+307
1,4261,22539,250000,-2.6140367077852007e+307,-1.2930452503264599e+308
1,4549,22604,250000,1.3726185648448138e+308,-8.856750278831341e+307
1,4777,22762,250000,4.60711244545863e+307,1.1576308817061287e+308
1,3903,22667,250000,1.191520320676659e+308,-1.2651133330911754e+308
1,4629,22753,250000,2.9319004654654675e+307,-1.6936306615179031e+308
1,4895,22877,250000,-3.0430285229631085e+307,1.4721815661284195e+308
1,4404,22857,250000,-3.6882145608702327e+307,7.637734669459064e+307
1,4717,22644,250000,-1.0069034912314295e+308,1.705414856178156e+308
1,4194,22818,250000,-5.137286401589805e+307,1.3078370128951553e+308
1,4484,22718,250000,5.634411132772659e+307,1.5660485466348257e+308
1,4777,22728,250000,7.709911777158331e+307,1.5957099521463648e+308
1,4274,22688,250000,-1.8189238531106934e+306,9.931764127946936e+307
1,4570,22818,250000,5.424465313421157e+307,-1.0255790345548306e+308
1,4866,22689,250000,-9.830322868424834e+307,1.6444146994117196e+308
1,4349,22918,250000,-7.158930689994692e+307,1.89634958624559e+307
1,4641,22889,250000,-1.6975602891318734e+308,1.7223671895671465e+308
1,4177,22616,250000,-5.446868311300842e+307,-2.0772666867962316e+307
1,4425,22724,250000,-3.3217765025903584e+306,-6.327490853449645e+307
1,4708,22976,250000,3.535684099882651e+307,-6.213427231958253e+307
1,3910,22811,250000,6.90321899313708e+307,-5.010407703621498e+307
1,4513,22890,250000,-1.6874646042323805e+308,1.6381851130683223e+308
1,3906,22837,250000,-8.81960268925229e+307,1.5088171610839367e+308
1,3908,22905,250000,1.411140170386385e+308,1.1953141470538329e+308
1,4604,22890,250000,3.9687094194222344e+307,-3.950905773455134e+307
1,4082,22872,250000,1.0844564914286667e+308,-8.161051164330137e+307
1,3972,22805,250000,1.575680576811954e+308,8.145615744533723e+306
1,4666,22589,250000,2.1884290182423046e+307,3.474395306973783e+307
1,4162,22931,250000,7.512531426357928e+307,-2.337164867946988e+307
1,4440,22719,250000,8.698840605872964e+307,1.191049018368982e+308
1,4769,22709,250000,-3.7818495138791595e+307,7.95600289280547e+307
1,4249,22606,250000,-4.2741347153757517e+307,-2.6349046940941117e+307
1,3904,22563,250000,-5.459642005053261e+307,-8.636613533296502e+307
1,4904,22785,250000,-1.203423389818406e+308,-7.450337912106428e+307
1,3916,22641,250000,-1.4946275545737e+308,-1.0915554617206595e+308
1,4616,22757,250000,-1.688400144988855e+308,-1.6982760829909753e+308
1,3904,22619,250000,-1.518239680918684e+308,1.566592142200462e+308
1,4396,24428,250000,2.442912055762544e+307,1.1679182309347932e+308
1,4712,22763,250000,-2.014433220059888e+306,-4.813729534819841e+307
1,4176,22895,250000,7.650697879328839e+307,-7.714014400371094e+307
1,4469,22716,250000,3.368244363245379e+307,-1.3691049316515934e+308
1,3969,22589,250000,-1.7313044617681346e+308,7.557664610264224e+307
1,4253,22742,250000,5.036885922927638e+307,1.2987586458371047e+308
1,3898,22865,250000,-8.870826471307782e+307,1.7560824073723185e+308
1,4701,22585,250000,2.0349337461715098e+307,4.9754976652576114e+306
1,4328,22787,250000,-1.7630736832679258e+308,9.815163741694638e+307
1,4628,22828,250000,9.929439484679759e+307,5.98562269962065e+307
1,4875,22878,250000,-6.080195798625027e+307,1.5961582301017725e+307
1,3897,22657,250000,1.7367149390012678e+308,-1.3135187330904815e+308
1,4697,22620,250000,-1.3316340312923094e+308,-1.2627505180665818e+307
1,3900,22620,250000,-1.7797526774975323e+308,1.002711347887016e+308
1,4495,22507,250000,-1.675545852287136e+308,1.3737523533595776e+308
1,4701,22465,250000,-5.394269012977443e+307,3.861027107308766e+307
1,4283,22649,250000,-3.7641095438456525e+307,1.777596743823506e+308
1,3899,22440,250000,7.73067291669438e+307,-1.5691743769970815e+308
1,4679,22408,250000,-6.797103974781616e+307,-7.698784096602462e+307
1,4351,22466,250000,1.7938636996357813e+308,2.0873701441857332e+307
1,3961,22503,250000,-9.060808036369954e+307,3.284319885226421e+307
1,4875,22527,250000,9.056166309284288e+307,1.7448172360611747e+308
1,3904,22571,250000,6.676312672251106e+307,1.625773081722597e+308
1,4711,22653,250000,5.95724542751885e+307,1.632817664615609e+308
1,4210,22668,250000,1.2037676222152459e+308,7.843818976609934e+307
1,4509,22615,250000,-1.180810172620893e+308,-4.10244326581045e+307
1,4846,22705,250000,-1.503408284360536e+308,1.0481474805804704e+308
1,4295,22475,250000,1.4123481401068556e+308,1.3929831825711185e+308
1,3898,22628,250000,1.2222643491732368e+308,-4.3997914020925985e+307
1,4888,22605,250000,1.1023829261838574e+308,1.6864382710554055e+308
1,4365,22663,250000,4.3112524160813726e+307,1.0287323028316588e+308
1,4644,22546,250000,1.7610552449284476e+308,-2.6837486862847946e+307
1,4940,22702,250000,-3.2260973684167477e+307,-3.5758412693443513e+307
1,4443,22399,250000,1.304272799706684e+308,-1.4437557974619683e+308
1,4721,22684,250000,1.0988805785515738e+308,6.283208688770672e+307
1,4285,22551,250000,8.393982322306943e+307,6.867837003925115e+307
1,4515,24215,250000,7.106713202784128e+306,-1.5413267019388172e+308
1,3906,22536,250000,-1.1230192186730643e+308,-5.659560261681917e+306
1,4308,22387,250000,1.6226298715481664e+308,1.7965932865941522e+308
1,4585,22364,250000,-8.136146327210396e+307,-3.148110470774338e+306
1,4875,22463,250000,-1.7273373176244681e+308,-3.175991214520874e+307
1,4392,22308,250000,3.83883969742362e+307,-5.088602921488782e+307
1,3927,22451,250000,1.6715848557857529e+308,7.089373842060598e+306
1,3903,22419,250000,-1.4537663154273974e+307,1.6756465342526176e+308
1,4458,22565,250000,-1.6088776740692912e+308,1.4902377926464857e+308
1,4725,22465,250000,8.444495266473846e+307,-1.6590594153379715e+308
1,4311,22601,250000,-1.8219611755771037e+307,-6.745343168923313e+307
1,4546,22809,250000,-8.462434086197557e+307,-4.2237574480487503e+307
1,4825,22790,250000,-4.137348542397161e+307,-6.484702714247836e+306
1,4339,22649,250000,-1.2919344944762572e+308,1.3398035213584193e+307
1,4609,22845,250000,-3.7447364323116244e+307,1.4765367575508591e+308
1,4880,22570,250000,4.685904121498236e+307,-3.30563266499989e+306
1,4390,22521,250000,4.0185068731611933e+307,1.2020484990625064e+308
1,4701,22814,250000,-1.2235536315844747e+308,1.2746387343757257e+308
1,4185,22514,250000,-9.574856072524743e+307,2.644798874066346e+307
1,4593,22529,250000,-1.157481532662124e+308,1.349577533750204e+308
1,4773,24734,250000,-1.6623194201741007e+308,-4.81209792317551e+307
1,4256,22549,250000,5.240780187873313e+307,-1.6135817891897983e+308
1,4571,22492,250000,1.246693298957632e+308,1.697088511050025e+307
2,3471,24183,250000,1.085334666626497e+308,1.4844012298838138e+308
2,3385,24170,250000,2.659536020699841e+307,-1.663203483635192e+308
2,3490,24493,250000,1.9199550142394158e+307,3.254739861823306e+307
2,3392,24275,250000,-5.3127705498542796e+306,7.657551636792864e+306
2,3349,24034,250000,-1.6418636569547135e+308,-1.0526913875681814e+307
2,3363,24207,250000,-4.3954893683001743e+307,1.4813633559130801e+308
2,3595,24085,250000,-5.931075348720893e+307,1.31809434129964e+308
2,3394,23993,250000,-1.2194586013747787e+307,1.2834452892658628e+308
2,3398,24142,250000,7.444303275395411e+307,-5.991691589581463e+307
2,3380,24126,250000,-1.5257961804028301e+308,-1.6290768118820935e+308
2,3417,27757,250000,1.5007983695156455e+308,2.717831507339383e+307
2,3404,26125,250000,8.830366098590693e+306,-1.3332572759707242e+308
2,3591,25237,250000,1.7914017224965372e+307,4.641092307291118e+306
2,3394,24988,250000,-1.5773615112169099e+308,2.554576408150487e+307
2,3526,26221,250000,1.1176156202204503e+308,-7.483861033260923e+306
2,3476,25066,250000,1.771736764553607e+307,-9.890571382092314e+307
2,3389,26275,250000,9.962414154368176e+307,9.56790795191127e+307
2,3424,29007,250000,-2.1125638068922156e+307,-1.9019845126336122e+307
2,3660,26505,250000,1.164932378385822e+308,-5.919323382243819e+306
2,3435,26063,250000,-9.007981954618528e+307,-1.6968521002751795e+308
2,3404,27106,250000,1.3998013797888616e+306,-1.2985098615150154e+308
2,3535,30216,250000,1.020339103158867e+308,-1.444777603177236e+308
2,3420,24277,250000,-4.740492551552404e+307,5.673147859291879e+306
2,3365,28637,250000,1.128587670125605e+308,5.585665627917953e+307
2,3545,24118,250000,1.6529208023151745e+308,-5.883324999421788e+307
2,3382,23958,250000,-1.3851765651522012e+308,5.295395442500555e+307
2,3489,24249,250000,-1.5435620697057718e+308,1.7976056292264403e+308
