elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
40335,100000,-2.21558856e+38; 1.67681049e+38,3.39627833e+37; 2.172313e+38
42451,100000,-5.71962379e+37; -1.31115599e+37,-6.30081928e+37; -2.1806367e+38
43155,100000,-2.54809636e+38; 2.8777847e+38,-5.61702218e+37; -1.4470545e+38
40041,100000,-2.29898415e+38; 2.84852144e+38,-3.36344355e+38; 7.28586112e+36
39864,100000,-3.40027524e+37; 7.64759054e+37,-8.45119178e+37; 2.17089506e+38
39968,100000,-3.14115726e+38; 2.88533482e+38,1.09729043e+38; 2.2233115e+38
40550,100000,1.91164233e+37; -1.28721116e+38,3.05372851e+38; 2.29933078e+38
39847,100000,-2.59681227e+38; -2.20173568e+38,-1.90553015e+38; -1.64116246e+37
39540,100000,2.40537837e+38; -1.47423647e+38,2.88306887e+38; -3.50804937e+36
47446,100000,1.5901832e+38; -5.98603628e+37,-5.0213775e+37; 1.47195967e+38
41460,100000,3.39339646e+37; -7.97888697e+37,2.63577681e+38; -4.71927507e+37
40708,100000,-1.7361982e+38; 1.36546952e+38,3.86453199e+37; 3.00976416e+38
42577,100000,2.98901972e+38; -1.1919964e+38,-1.01907953e+38; -3.06413638e+37
42037,100000,1.15568927e+38; -1.79986042e+38,1.50460441e+38; 1.00659936e+38
40474,100000,2.3434146e+38; -1.91501664e+38,2.2428897e+38; -2.27267969e+38
41868,100000,2.58796042e+38; -3.06278826e+38,-4.55215409e+37; -6.6870785e+37
38981,100000,2.96674274e+38; -5.25705758e+37,-2.11101469e+38; 1.59554554e+37
39887,100000,-1.71120378e+38; 2.60271407e+36,1.97926746e+38; -1.53606618e+38
45105,100000,1.14729711e+38; 2.34975102e+38,-3.20555127e+38; -1.96390536e+38
41437,100000,-1.26566516e+38; 2.69127597e+38,9.24831419e+36; -3.95423512e+36
40994,100000,1.24288436e+38; 2.86392086e+38,-2.41802973e+38; -7.42098989e+37
39659,100000,3.07982934e+38; -1.31419011e+38,1.11739658e+38; -3.34159838e+38
39269,100000,-8.5418411e+36; 1.75951019e+37,-1.94372781e+38; 1.71162991e+38
39135,100000,-2.40170117e+38; 1.02363313e+38,-2.20734823e+38; 9.01124582e+34
39228,100000,2.3925749e+38; 1.05307376e+38,-1.7649836e+38; 3.52176535e+37
39047,100000,1.01647609e+37; 2.75072655e+38,1.38028653e+38; -2.23460819e+38
38935,100000,-3.16448731e+38; 1.0405014e+38,2.66126754e+38; 1.26538384e+38
39616,100000,-1.77078873e+37; -8.76541245e+37,-2.59077298e+38; -9.40596644e+37
39771,100000,-1.12586753e+38; 3.16687231e+38,3.24439574e+38; -4.69956006e+37
45106,100000,2.62563053e+38; -2.86485304e+38,9.19164729e+37; -1.63688254e+38
41691,100000,3.19534679e+38; -3.39332177e+38,6.17638163e+37; -2.72167728e+37
41386,100000,3.10852444e+37; -2.55966504e+38,-2.15921624e+38; 2.49532072e+38
40068,100000,-2.26908768e+38; -1.10321527e+37,9.93558985e+37; 2.14186464e+38
40870,100000,-2.26949454e+38; 3.23412858e+38,-2.37146734e+36; 1.90120878e+38
41004,100000,-2.6965425e+38; 8.78267189e+36,-2.25200928e+38; -9.91066784e+37
39267,100000,2.36511089e+38; -1.0654723e+38,2.77742997e+38; -3.71778419e+37
41281,100000,-5.70965701e+37; 7.23230162e+36,7.9877803e+37; -1.68548763e+37
39586,100000,-1.92140093e+38; -1.27347297e+38,-1.02974865e+37; 3.04251072e+38
39943,100000,-2.07445912e+37; -1.4990877e+38,2.48852591e+38; 1.37870927e+38
40490,100000,-1.515333e+38; -3.39708684e+37,-4.7316339e+36; -3.04446108e+38
41126,100000,1.07102887e+38; -4.72666192e+37,1.37108582e+38; -1.54053592e+38
38762,100000,1.76315798e+37; 3.6183074e+36,2.97161579e+38; -2.69259981e+38
39323,100000,-3.01762055e+38; 1.63204599e+38,-2.31503119e+38; 1.53886394e+38
40875,100000,8.92710179e+37; -5.56422554e+37,-2.5309703e+38; -1.09190727e+38
39176,100000,-1.06709063e+38; -2.5953113e+36,-2.26981135e+38; -1.53440749e+38
41032,100000,1.46077524e+38; -1.59933533e+38,2.38534787e+38; 1.66665022e+38
39709,100000,5.23467746e+37; -1.78757394e+38,6.50360636e+37; 2.4716982e+38
38768,100000,-2.07161773e+38; -8.99596361e+37,4.3536897e+37; -1.42427948e+38
39322,100000,-5.14170797e+37; 2.65862941e+38,-9.63407662e+37; -3.02650911e+38
43463,100000,-1.25951969e+38; 8.81558707e+37,4.68496128e+37; 1.25372226e+38
48115,100000,3.09628547e+38; 1.51994552e+38,-2.81093854e+38; -2.39128656e+38
40672,100000,1.81556631e+38; 1.78323006e+38,2.39511405e+38; -3.2867373e+38
39457,100000,3.30840601e+38; 2.64884051e+38,3.10987083e+38; 2.78015451e+38
40504,100000,-3.33162795e+38; 2.92319397e+38,2.92388702e+38; 6.75407637e+37
41079,100000,-3.15541113e+38; 2.3633733e+38,-2.52042831e+38; -2.95433436e+38
40655,100000,7.29019674e+37; -3.0392917e+37,3.21202096e+38; 6.67738554e+37
39361,100000,-1.19898846e+38; 2.1018154e+38,-4.57889544e+37; -2.15584754e+38
41874,100000,-4.08103188e+36; -5.75081712e+37,-2.07091556e+38; 1.61221608e+38
41567,100000,2.01085163e+38; 3.30910697e+38,-3.06470738e+38; -8.10740646e+37
40492,100000,-1.22685172e+38; -2.27906338e+38,-1.84564492e+38; 1.68388996e+38
39364,100000,3.00847014e+38; -8.80270267e+37,-2.63476107e+38; -2.96733275e+38
39354,100000,-1.35527152e+38; 2.50407724e+38,2.70090748e+38; 2.95720615e+38
39360,100000,-2.85801198e+38; 6.20810889e+37,-1.28110899e+38; -1.80574942e+38
39314,100000,-3.06841298e+38; -3.16892043e+38,-2.04075196e+38; -1.49926527e+38
39625,100000,2.66581425e+38; -7.14947688e+37,-2.45575602e+38; 1.32961285e+38
40953,100000,-3.12353651e+38; -2.57237582e+38,-1.29366948e+38; 1.35670762e+38
40439,100000,-2.48413477e+38; 4.57067498e+37,-5.48712894e+36; -9.850495e+37
38690,100000,2.55023108e+37; 1.95309342e+38,-2.5066886e+38; -1.1104604e+38
39248,100000,3.06085738e+38; 1.89167219e+38,-7.15962958e+35; 2.52579666e+38
43450,100000,1.92964837e+38; 7.4932627e+37,1.28686078e+38; -8.76068132e+36
44470,100000,-1.03692856e+38; 1.42609618e+38,2.39314341e+38; -3.26333221e+38
41556,100000,2.08318256e+38; 2.38870927e+38,-2.36839462e+38; -2.75558135e+38
38923,100000,1.93452994e+38; -2.67090026e+38,-3.30270787e+38; 1.33847099e+38
39013,100000,2.11836116e+37; 1.30096618e+38,-9.1265803e+37; -7.29369748e+37
47857,100000,2.16236651e+38; 2.47270421e+38,2.93347512e+38; 3.55953652e+37
39485,100000,5.00704544e+37; -1.55930668e+38,-3.22233791e+37; -2.94505658e+38
38911,100000,-2.43091271e+38; -1.59321431e+38,-1.40187624e+38; -3.26686581e+38
42179,100000,-7.02786051e+37; 1.9098286e+38,-1.63335401e+38; -3.00208199e+38
44161,100000,6.11786738e+37; -7.59285491e+37,-2.16074898e+38; 1.63377788e+36
46775,100000,8.45248783e+37; 1.51206702e+38,2.86863327e+38; -3.57267065e+37
43276,100000,-1.19262171e+38; -3.29290498e+38,-1.8187547e+38; -2.17585857e+38
44017,100000,2.36900775e+38; -1.3599451e+38,-2.34933179e+38; 1.30906921e+38
43181,100000,2.52470161e+38; -2.89417663e+37,-7.47996885e+36; -2.80780328e+38
42722,100000,3.36322612e+38; 9.10845113e+36,7.00148019e+37; -4.81901534e+37
40750,100000,-2.306198e+38; -1.42804605e+37,4.18058238e+37; 2.95618229e+38
40286,100000,-1.53177524e+38; 2.79595146e+38,2.4812429e+38; 2.83297416e+38
39894,100000,2.24443725e+38; 2.84238317e+38,-2.86227433e+38; -4.26765274e+37
41768,100000,-3.00621717e+38; 3.36270587e+37,1.5369434e+38; 3.06756051e+38
42038,100000,6.44501263e+36; 2.46005955e+38,2.99215801e+38; 2.18096061e+38
42890,100000,-3.03093595e+38; 9.29302993e+37,2.10646859e+38; -1.77226296e+38
40565,100000,1.76934574e+38; 8.1218592e+37,-2.38836858e+37; -5.45450227e+37
46352,100000,3.12674478e+38; -2.8274323e+37,-1.81699013e+38; 1.18766367e+38
39776,100000,3.0663894e+38; 1.34878419e+38,-3.23121156e+38; 1.5181125e+38
39699,100000,6.31366109e+37; -3.14627228e+38,-2.11588085e+38; -3.16485523e+38
42623,100000,-2.2210423e+38; -1.45958122e+38,2.02525336e+38; 2.22000546e+38
39929,100000,2.83730222e+38; 3.24069339e+38,-1.09448111e+38; 1.17743992e+38
39220,100000,-1.60136378e+38; 1.48686511e+38,-2.95717066e+38; -1.70201098e+38
39003,100000,2.27596828e+38; 2.63313797e+37,-8.47280168e+36; -1.53128106e+38
47360,100000,7.30651647e+37; -2.64323485e+38,2.71833352e+38; 4.83680808e+37
42147,100000,-3.32531444e+38; 1.40504022e+37,3.71536171e+37; -3.12445875e+38
39127,100000,-1.97722441e+38; -1.47953751e+37,8.1459836e+36; -2.80583082e+38
39030,100000,3.2175469e+38; -1.59978702e+38,-1.25794983e+38; 1.01209319e+37
39535,100000,-2.97163947e+37; -9.99455385e+37,-2.76076777e+38; 2.07846021e+38
41250,100000,-1.892506e+38; -1.55523986e+38,-2.07296124e+38; -1.36312434e+37
39697,100000,8.73399297e+37; -2.60169719e+37,2.22202458e+38; 2.98833154e+38
39566,100000,1.04843872e+38; 3.30607789e+37,-5.92605917e+37; 2.34049352e+38
38996,100000,2.32040116e+38; -2.19362738e+38,-1.89731436e+38; -1.34436557e+38
40844,100000,-9.52832819e+37; -2.59649909e+36,-1.89957686e+38; -2.45375476e+38
40566,100000,-7.11024562e+37; 2.07284482e+38,2.71863431e+38; -1.6052863e+38
47413,100000,1.68263012e+38; -2.01755517e+38,-2.37979394e+38; 1.20665298e+38
38936,100000,1.45315088e+38; 2.96494526e+37,-5.2445773e+37; 2.44751548e+38
39515,100000,2.0429664e+38; -9.64444296e+37,-2.47415663e+38; -7.29338514e+37
39182,100000,-3.09477139e+38; 2.81828483e+38,-2.42807114e+38; 6.60059025e+37
42662,100000,-4.06608818e+37; 3.25383091e+38,1.34401803e+38; 1.79382067e+37
47054,100000,-1.01791441e+38; -7.44648183e+37,2.52119438e+38; 7.72527877e+37
39462,100000,3.01735019e+38; 1.11185482e+37,1.17766181e+38; 6.06693267e+37
40987,100000,-2.14194131e+38; -2.61322764e+38,-1.67092169e+38; -1.42087021e+38
