elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
19974,100000,-1.4161549553365343e+38; 1.4933989911313214e+38; 1.823209326867389e+38,-2.5631974238012253e+38; 3.1519917181133125e+38; 9.164971862782873e+37
19889,100000,-2.6200066276841893e+38; 2.809612677382006e+38; -1.7935300008353294e+37,1.308977835212534e+38; -2.509491225763524e+38; 2.4301192609651697e+38
19742,100000,6.3195211817516945e+37; -5.937831078962735e+37; 8.228184153937093e+37,6.496026823086513e+37; 2.9910887260142954e+38; 2.811222289408152e+38
19739,100000,-2.6314651749897723e+38; -3.124062434440892e+38; 2.5227317855768838e+38,3.057843003798218e+38; -4.076044051262936e+37; 2.4005925347123657e+38
19885,100000,-1.068644363563456e+38; -1.896260481536861e+38; 3.363317997431584e+38,-2.1493723782964797e+38; 2.7396414066108485e+38; 4.304490661821626e+37
19945,100000,-9.313805452105069e+36; 2.8450884371956573e+38; 1.7436371746862466e+38,-2.231215957529135e+38; 1.0042075539008468e+38; 1.4447251631524301e+38
19728,100000,1.5614738566045377e+38; -1.1114250867259824e+37; 1.1090602084722206e+38,-8.790421675234639e+37; -5.453498292952815e+37; 4.1610448410805197e+37
19834,100000,8.838864182332e+37; 2.9933713083910903e+38; 9.861061118018758e+37,-3.144135783107554e+37; -1.5791012987910714e+38; 3.3664629878647262e+38
19958,100000,-1.722572675368278e+38; -2.880799878608903e+38; -1.86546143972962e+38,1.100292528448754e+38; 2.2117462640783016e+38; 1.5089665517985082e+38
21796,100000,7.4801719301158595e+37; 2.3851547814666423e+38; 1.1188587419637927e+38,-2.7438195829892007e+37; -1.0707564722875323e+38; -1.9855381723615428e+38
20105,100000,-1.919566187116033e+38; 1.3046131620778762e+38; 2.4789964201003376e+38,-2.1324738859111013e+38; -2.8381751271762286e+37; -1.630848418885156e+38
20075,100000,-3.0923656931845934e+38; -2.4971416722040525e+38; 2.714449639762633e+37,-9.673575594245003e+37; -2.5263970198163597e+38; 1.9399530511291436e+38
28160,100000,-2.5421517871241882e+38; 1.4063580444377305e+38; 2.158361339408722e+38,3.261341489954056e+38; 5.676019144015678e+37; -2.1507816001157414e+38
21055,100000,-2.971279505026697e+38; 7.624350959964138e+37; 1.8900203953982016e+38,-8.635439726971215e+37; 8.613733492213387e+37; 5.56749963261206e+37
20104,100000,-9.748572846115945e+37; 3.2974180147401673e+38; -4.329746825320333e+37,-3.1562558919083843e+38; 1.016094465697259e+38; 1.2604380739611228e+38
20018,100000,2.2274487027693527e+38; -2.7230686497237047e+38; -1.4540641986544315e+38,-1.747065916029744e+38; 1.9870183826144173e+38; -1.3334406522595943e+38
20078,100000,-1.902491846239391e+38; 1.4897518082363928e+38; -2.27275656346247e+37,-2.9401494542947242e+38; -2.9956869510955392e+38; 2.1118858711007466e+37
23566,100000,-1.496351907145517e+38; -1.446001839424932e+38; -2.056828763171394e+37,-1.9133214360231648e+38; -2.2116679739772315e+37; 1.4209757798631783e+38
24860,100000,-1.674471876166714e+37; 1.8166583113895054e+38; 2.646366255677383e+38,-1.2982718667152945e+38; -8.534427242422149e+37; 3.2889334771547677e+38
21967,100000,-2.0219335366266234e+38; -5.839005038168942e+37; -9.82735378149845e+37,3.1978127237694022e+38; -2.5553006704461395e+38; 1.2766256678898933e+38
20063,100000,2.9369083252400607e+38; -1.522168270797477e+38; 9.03248107852894e+37,2.653164919376527e+38; -5.714563328166217e+37; 1.9951729253955654e+38
19754,100000,-1.215155262043866e+38; 3.2408497658832947e+38; 1.2317462730996531e+38,3.074456325504569e+38; -2.550453985847251e+38; -3.0250211972812046e+38
20156,100000,2.6502612896176684e+38; -9.368061658385198e+37; 1.9282204884698152e+38,2.1915455925853526e+38; -3.2763804910269716e+38; 1.784368106828204e+38
20038,100000,2.235420501039972e+38; -2.3358504747852214e+38; -1.1022106359249714e+38,-3.012448334391997e+38; 1.811667216034239e+38; 2.5680376180290407e+38
20627,100000,1.8539659784385584e+38; 1.1018428144268092e+38; 2.656546199881552e+38,-1.0929893398107192e+38; -5.762207215385435e+36; 5.549425977414246e+37
20009,100000,2.7119796479211002e+38; 1.1580150492361705e+38; -2.6370982086089945e+38,-6.161981114577011e+37; -3.0676456951837588e+38; 5.044534433969824e+37
20039,100000,9.616844680463109e+37; 2.4763120431892943e+38; 2.6148741639339852e+38,1.8010223990019543e+38; -9.286555781272443e+37; -1.309361274166091e+38
19968,100000,1.076659261954483e+38; -1.6908939093974907e+37; -9.851750477890201e+37,-3.3420707536030866e+38; 8.960551541110549e+37; -2.042737052039017e+37
20057,100000,-1.5059286524880733e+38; -3.9138283816143706e+37; 1.532182609127232e+38,-2.7446627227564245e+38; -1.5645271451932594e+37; -1.4307427742078167e+38
27377,100000,2.9409893488764114e+38; -1.5407286024137307e+38; -3.5198674210152013e+37,1.6794625151677645e+38; 1.875848670159938e+38; -2.2379959614114436e+38
19866,100000,9.771841840533735e+37; -1.6361495308712144e+38; -2.7076152790225864e+38,-2.356005510856562e+38; -2.229973051468623e+38; -2.534431287908558e+38
20011,100000,2.554021256048341e+38; 2.5502627227246885e+38; -2.551543556891159e+38,-2.1522697205083613e+38; 3.362230454628636e+38; -3.2591398343915796e+38
19901,100000,-6.657771940832274e+36; 3.1934554537142497e+38; -1.5386872792991712e+38,-2.9461786033735057e+38; -1.7071491198092773e+38; 3.3092891062570886e+37
20224,100000,1.156490420506264e+38; 2.697075322047953e+38; 1.7317403245091287e+38,2.165636031261264e+38; -4.2025943712740804e+37; 2.655313232201746e+38
21303,100000,-1.0386711200632276e+38; -6.395871270343201e+37; -2.4630376117518964e+38,3.5705077807232387e+37; -5.649351324808556e+37; -1.4825483076415599e+38
25446,100000,3.1665656435340164e+38; 9.079998707748374e+37; 9.362584393671731e+37,-1.3678595971208472e+38; -3.3346725418760586e+38; 1.5382877158299792e+38
19876,100000,-3.3775081796625868e+38; -4.760992939493895e+37; -2.6257495919634632e+38,-2.646960733102866e+38; -3.023813379789307e+38; -2.6161089570306555e+38
19855,100000,1.652665294187372e+38; 8.70811261470158e+37; 2.0112767529726728e+38,-2.607025277065564e+38; -1.8724191175200567e+38; 2.3235323589606357e+38
19778,100000,1.6239736961499983e+38; 1.927758049530852e+38; -2.4922371827377935e+38,1.9866904160511262e+38; -3.198684056085975e+38; 1.2408831436839302e+37
21561,100000,8.078770741230352e+37; -3.1223153076776336e+38; -2.5123390788959727e+38,3.3294009407959735e+38; -3.4396208280087136e+37; -1.2577984197632556e+38
19995,100000,3.274411069054457e+38; 2.9669575263642547e+38; 4.708726691126005e+37,1.859857815604323e+38; 4.453987232407741e+37; 5.424443234135344e+37
19890,100000,-8.672277653413848e+37; 2.7041781204791036e+37; 3.0866111679318453e+38,-1.8421025942372865e+38; 7.361518819814017e+37; 2.734111610456509e+38
19905,100000,1.4553933049557588e+38; -1.6764676145656893e+38; 2.69951489027508e+38,-1.8806586689504561e+37; -1.0936197931602367e+37; 3.299488240288412e+38
20080,100000,-1.4562120044194102e+38; -7.331188504492716e+36; 3.0169041769578232e+38,-2.9734558075771687e+38; 1.6986016053420584e+38; -2.0212512363675566e+38
19731,100000,1.0844861424084842e+38; 3.3532173574489655e+38; -2.2093754532197307e+38,-1.949831395902506e+38; 2.2571530522242607e+37; -2.6606779295419118e+38
19901,100000,1.256850419938381e+38; -4.505311362849542e+37; 1.3615846252376694e+38,-5.714020266649079e+37; -1.1438613753424542e+38; 2.897608317095641e+38
19909,100000,1.592584841871483e+38; 2.751292028335378e+38; 1.3125299950184695e+38,-2.532980639267681e+37; 1.938143657368402e+38; 1.6361397953146047e+38
20049,100000,2.286526494166485e+38; 1.035813125725977e+38; -1.2186127029969526e+38,-3.1660977283444602e+38; 7.853470185931309e+37; -1.0229397155559613e+37
20194,100000,3.2071118029244844e+38; -1.5243345335551951e+38; -2.1293532343694834e+38,-3.2623659544631365e+38; 1.4626940597046413e+38; -3.1268240873325253e+38
21271,100000,-2.4613452474945677e+38; 3.0751305127997943e+38; -3.2359128245616698e+38,-3.2452575391383602e+38; -1.923842327532771e+38; -5.14415300991888e+37
19960,100000,7.166153072849003e+37; -8.569466372663057e+36; 2.582985956731028e+38,-8.294123788739284e+37; -1.527366855202989e+38; -2.735556123668481e+38
20599,100000,-2.5065729926697505e+38; 2.2179551153061714e+38; -3.0910769488783774e+38,-1.360804969412505e+38; 2.1665379900163382e+38; 5.601900754305873e+36
25667,100000,8.904413887809562e+37; -3.3637254710405213e+38; 4.937071129046316e+37,3.0299976893015566e+38; -3.1864332778612734e+38; -2.6507547606433252e+38
20002,100000,-2.132888052715208e+38; -3.264146750026337e+38; -3.6033224376908667e+37,1.7497786883142323e+38; -6.766610900187149e+37; -1.6866730131939107e+38
20080,100000,1.6813042593718241e+37; -2.000980793385571e+38; -2.8745344394582388e+38,-1.1747850525567098e+38; -1.2014782247758356e+38; 6.23118216084347e+37
19890,100000,1.2983621234380307e+38; 1.1266466801913549e+38; -3.8679713746812344e+37,-8.3236230323270755e+37; 4.291728969699008e+37; -1.077403119326697e+37
19794,100000,1.159211914226882e+38; 1.3895500115991843e+38; 1.643217544969895e+38,-2.3728532972179315e+37; 1.0148364492415924e+38; 3.0459035605609323e+38
25680,100000,-5.456823594007333e+37; -5.642700215639279e+37; 1.2086083030479034e+38,-2.6143330292457598e+38; 6.175897382866316e+37; 3.2455203991668236e+38
29217,100000,1.6113444481620925e+38; 1.0332550068147165e+38; 6.994441179024008e+37,7.443215351577046e+37; -1.4641066281214876e+38; 2.0303635145301892e+38
22652,100000,3.89233004155498e+37; 2.4490192215302365e+38; 2.67929637026168e+38,-1.6112052094201634e+38; -2.1627411229385346e+38; 8.548768807487831e+36
20002,100000,3.3882264190176365e+38; -3.069789951527057e+38; 2.4370823643001754e+37,-6.556813711728897e+37; -3.344762229357491e+38; -3.3149087534859723e+38
20168,100000,-2.957732883652418e+38; 3.343738778968891e+38; 2.200856029889813e+38,-4.336497318296668e+37; -2.387636131457553e+38; -1.4362135485502097e+38
20244,100000,-1.6051856944859436e+38; 1.944060239073883e+38; 3.276337289494516e+38,-2.221146552457306e+38; -2.8865073486713704e+38; -1.6657361916443972e+38
19905,100000,2.0400144934918948e+38; 1.36906406801516e+38; 3.2053677185226664e+38,2.460463165500905e+38; -3.077516332641472e+38; -6.503275249218618e+37
20051,100000,-4.361542544735498e+37; -2.516450120498537e+38; -3.2857229745386057e+37,6.332498881536591e+37; 1.2644060231639332e+38; 2.6793168554953796e+38
19868,100000,-2.3207609705123927e+37; 1.7502606490724391e+37; 1.5902087575864152e+38,-1.8460753098063537e+38; 2.1664718693610303e+38; 2.5510632694317446e+38
20101,100000,-2.09096532618494e+38; -7.339057572358693e+37; -1.1168175202612812e+38,-4.1382491873968556e+37; -1.21066666338653e+38; -4.334097909240556e+37
20097,100000,4.824912953359803e+37; 2.2122180329256825e+38; 5.85687840457192e+37,-1.8010106352043842e+38; -1.266614929687843e+37; 2.8749153431105954e+38
20069,100000,1.1033898552193277e+38; 2.2265974500382874e+38; -9.977621083649503e+37,-2.631158707780661e+38; -9.497946153005062e+37; 1.6312774932603212e+38
32268,100000,-1.682136446637862e+38; -8.507824833986e+37; -1.4274290341267721e+38,2.1488109611986506e+38; -8.303125122121385e+37; 2.9058547391922937e+38
