elapsed.ps,repeats.n,param.a.float,param.b.float
19194,100000,7.690160962013213e+307,3.0545118524900206e+307
18992,100000,6.999370450999501e+307,1.08275140949736e+308
20863,100000,-1.8369028076573995e+307,1.7191818902713563e+307
18945,100000,-1.5939677776581327e+308,7.318207897170034e+306
19132,100000,2.5856633276880897e+307,1.0629415285719635e+308
18743,100000,-1.4962184126883208e+308,3.899310151554709e+306
18856,100000,1.2587443652127766e+308,5.747599725012333e+307
18842,100000,1.2356457843936998e+308,4.602794014526809e+307
19274,100000,-9.573789137000163e+307,-1.680359433772509e+308
20746,100000,1.609946942796742e+308,-7.120994588556198e+307
20308,100000,-1.9965249964050992e+307,-2.1598469338230308e+307
18897,100000,-1.7630483809238384e+307,3.142780233176246e+307
19125,100000,-1.673793786341302e+308,-8.667814294634257e+307
19033,100000,1.906522009639527e+307,1.0160197323557036e+307
18790,100000,-4.064851476351592e+307,-4.861953325666051e+306
19042,100000,9.284246932707443e+307,-1.7806446362077856e+308
19813,100000,-3.5492030567456767e+307,-5.541526007066664e+307
19222,100000,6.187338384594424e+307,1.3309947044949514e+308
18899,100000,1.399894296954389e+308,6.007206211223465e+307
22022,100000,3.9828269808585367e+307,-1.047372143224009e+308
20786,100000,-1.3599900769801882e+308,6.652793226921475e+307
19036,100000,1.0964149675052274e+308,1.1520619072263658e+308
19164,100000,-9.511132599791169e+307,-1.2045964366395012e+308
18919,100000,4.258196860912339e+307,-1.6950456035853223e+308
19015,100000,1.3899185006889183e+308,-8.498572853258767e+305
19154,100000,-1.2068866614239495e+308,-1.3432710663397194e+308
19626,100000,9.629874891944005e+305,-6.294802714586217e+307
22408,100000,-2.161544604939806e+307,9.548933128596567e+307
19085,100000,-1.232207890784487e+308,9.123304922226254e+306
21797,100000,-1.3531399969727732e+308,1.6781663443502705e+308
19120,100000,4.3257137295629826e+306,-6.534518097431577e+307
19048,100000,1.1471667604557385e+308,1.1934867490079005e+308
19039,100000,-7.207328821018974e+305,2.280026008909033e+306
18960,100000,-8.297886097113074e+307,4.57119246992996e+307
19920,100000,5.498216153443519e+306,-3.2984542978626495e+307
19170,100000,-4.822134923884704e+305,-1.7513900317849556e+308
18996,100000,9.67378675258759e+307,1.215654832969411e+308
19183,100000,3.698942082217943e+307,-2.3126171600396243e+307
19231,100000,1.7546324629672468e+308,-1.484051803806665e+308
21820,100000,-3.696971302015622e+307,8.047753195222275e+307
19159,100000,1.0261982861717093e+308,-2.3687978433610873e+307
19065,100000,3.3950438164112236e+307,5.250204690338778e+307
20024,100000,-6.217504356370485e+307,1.0870314255865687e+308
19173,100000,3.7205433481732674e+307,-1.3934090460519287e+308
19173,100000,1.4569834042793634e+307,1.5613798266479066e+308
19138,100000,-7.185401260092135e+307,1.2415527576316358e+308
19358,100000,-1.581100520555851e+308,2.2426478948329956e+306
19257,100000,-4.1035108809084164e+307,-1.0721658203537226e+308
22287,100000,-2.9120116421945895e+307,8.74439968570321e+306
22950,100000,1.0672456784714283e+308,-1.0005863784950807e+308
19167,100000,1.515690914133931e+308,-1.628978705884866e+308
19053,100000,5.588270556328878e+307,4.117034088793012e+307
20689,100000,1.1477708485728112e+308,1.017467397364751e+308
19289,100000,-1.090258196308528e+308,-1.0605172216187198e+307
19032,100000,-8.464651837762252e+307,-1.3986696951957717e+308
19122,100000,-1.2054899716152389e+308,1.39363925247347e+308
19216,100000,-1.5564309326708016e+308,-1.3137534857559182e+307
19118,100000,-1.665082402566797e+308,1.7781818781416357e+308
19255,100000,1.3184939921400493e+307,1.0013541211434414e+308
20885,100000,1.516286384840216e+308,-8.808625661817482e+307
19078,100000,1.4965542438069353e+308,3.9135851985790546e+307
19188,100000,-1.1577650934743674e+308,-3.9947314606235706e+307
18912,100000,1.6497782297110858e+308,-5.951792782203252e+307
19058,100000,-1.779926186369959e+308,-8.75697616484224e+307
19063,100000,-5.406390291141045e+307,-1.4474868193805764e+308
18961,100000,-2.554711990156154e+307,-9.169306059163889e+307
18896,100000,-6.123053159614961e+307,-4.522564702750218e+307
19097,100000,-1.028231287756892e+308,4.190462762513671e+307
19027,100000,-6.592299974961575e+307,5.543441632789558e+307
20939,100000,-1.3106596363993708e+308,1.1076391351149778e+308
19365,100000,2.7845748805230977e+307,1.1275146390302856e+308
20024,100000,-8.48940129123361e+306,-7.844076097306875e+307
19266,100000,1.3981599393791563e+308,1.288570745627195e+308
19143,100000,1.6039581675336008e+307,-1.6857195750584912e+308
19078,100000,-2.780005670376275e+307,-1.1433014592392211e+308
19270,100000,1.3576507058617076e+308,-1.6175659070364232e+308
19146,100000,-2.668191157981316e+307,-4.724879018803284e+307
20628,100000,5.481501946049705e+307,-1.3549777965001743e+307
18903,100000,6.788531543488691e+307,-1.241076455769631e+308
23032,100000,1.1678208224337805e+308,-9.437165203652888e+307
18956,100000,1.6009955449497062e+308,2.0297033034595197e+306
18968,100000,-1.0073844440422948e+308,1.2543369107758116e+308
18964,100000,-1.464757950022558e+308,1.496858859518776e+308
19402,100000,6.15615805848808e+307,-8.374859279828464e+306
19022,100000,9.690551858853928e+306,-4.531960084908067e+307
18962,100000,1.49439990703691e+308,1.6277590059063332e+308
19031,100000,-8.647449122035193e+307,-2.621506757945108e+307
19170,100000,-1.3841130246375233e+308,7.928106838613976e+307
19382,100000,-1.0924635267806275e+308,6.497656019813118e+307
23157,100000,-1.223495773052843e+308,-1.4366700520822583e+308
19128,100000,-1.0376434655223567e+308,1.3870729041344483e+308
19265,100000,-1.6450775293698186e+308,-3.705368707001855e+307
19233,100000,1.2925048722456326e+308,1.0031487954409528e+308
19113,100000,5.979544301479546e+306,2.1404445322267358e+307
19058,100000,1.2112832432045131e+308,-5.583153491028248e+307
19774,100000,5.096055321326909e+307,1.522915653304144e+308
19041,100000,9.223394132857404e+307,-1.2102164847388904e+308
18969,100000,8.752670569274332e+306,-3.6972947709281475e+307
18910,100000,-2.345259925091048e+307,-1.5240762423621443e+308
21919,100000,-1.130717354387867e+307,-1.993735628996651e+307
19271,100000,1.3891465500217472e+308,-1.4358540107922841e+307
18985,100000,4.76713055101473e+307,-4.1289979411299425e+307
18989,100000,-5.910683807890234e+307,8.770936029615126e+307
19010,100000,-5.826230564992036e+306,-7.411858272002755e+306
19322,100000,-1.3640046887658156e+308,-1.0049740005978844e+308
19162,100000,1.453073137549886e+308,-9.471949623852255e+307
19366,100000,-1.5813686930273674e+308,-7.065035183460047e+307
19194,100000,-1.4905259495567116e+308,4.560286352776243e+307
19064,100000,-2.509543631457082e+307,1.7033924462327076e+307
22466,100000,-1.3841596450735837e+308,-3.243667150249891e+307
19058,100000,-1.2958028115746938e+308,-2.2850987289633843e+307
19190,100000,-1.7802105736804781e+308,-1.2334351521737622e+308
19128,100000,8.095180467386714e+306,1.7802608014948338e+308
20085,100000,-1.571285056998593e+308,-4.2534916414295386e+307
18912,100000,-6.771470808843085e+307,8.689136052779558e+307
18980,100000,7.498262330657437e+307,-3.5624783618088206e+307
19198,100000,-1.641736354040602e+308,1.1119434468246953e+308
18910,100000,-1.0306603587924883e+308,-7.28648205926843e+307
19013,100000,9.561898879646258e+307,1.6198115824869838e+308
21293,100000,-1.441374034589608e+308,1.7776016088846364e+308
18938,100000,-1.7702957299792354e+308,1.782136178284871e+308
19063,100000,1.3017162621493194e+308,-9.828852228023973e+307
19212,100000,-1.2135515153680923e+308,1.1529914104253164e+308
19341,100000,7.602596284634333e+306,-1.3210128073460304e+308
19184,100000,-3.566379389055069e+307,1.0237668512735718e+308
19378,100000,-1.006615183122431e+308,-1.648309752501945e+308
19127,100000,4.700354251847711e+307,-1.556530310649892e+308
19083,100000,-1.5948462662723125e+308,6.97880884064095e+307
18945,100000,7.990585322470775e+307,8.082033962351786e+307
23182,100000,-9.736409176188855e+307,1.011007362540658e+308
18956,100000,-1.942937879596401e+307,-3.1256998912490814e+307
20684,100000,8.733026205685965e+307,9.51271654866714e+307
18953,100000,-1.5062413601442867e+308,-1.233285666088813e+308
19053,100000,-1.086656034439706e+308,-1.196022556667467e+308
19043,100000,-6.642582000857642e+307,-1.252080252332552e+308
19301,100000,1.386001925803772e+308,9.030707729548389e+307
19350,100000,5.897708659659127e+307,5.76053276592592e+307
20559,100000,5.667602894232722e+307,1.9184813578746248e+307
19057,100000,-1.0839920858749803e+308,7.272493213408877e+307
21711,100000,1.408542435738139e+308,2.5598709091641926e+307
19423,100000,-1.3842459887165553e+308,1.3748405932675855e+306
19221,100000,5.889592334773496e+307,1.5302907531327058e+308
19070,100000,-9.423450686566125e+307,2.1763512552079996e+307
19177,100000,-9.484951618303202e+307,2.0421228110847187e+307
19292,100000,1.1605597491010688e+308,-1.4963251297622348e+308
19022,100000,1.252087820540456e+308,1.0662671174702725e+308
19098,100000,5.973909815924874e+306,1.2760838784758274e+308
19253,100000,-1.1022540019971828e+308,-1.0045508850899175e+308
19601,100000,5.810278223064278e+307,6.236071348931406e+307
23619,100000,-1.0072842356947526e+307,-1.7923299243497147e+308
19011,100000,1.4977895969775383e+308,1.4645336892323163e+307
18896,100000,4.688994523442159e+307,8.043752450829973e+307
19074,100000,-1.725050088270976e+308,9.013964453669461e+307
18988,100000,2.833523839058469e+306,7.402512941252744e+307
18884,100000,-1.768625628047246e+308,1.5884915002501814e+308
19645,100000,1.1451587585803374e+308,-6.87967495829295e+307
19087,100000,-9.612270508122585e+307,6.49896761198442e+307
19038,100000,1.0182626536403441e+308,-3.238447642737334e+307
19290,100000,3.2277946414893745e+307,3.0144568619650207e+307
20500,100000,-9.097946433230616e+307,1.4441125316093693e+308
19258,100000,-1.1008007998315355e+308,4.7896690738684465e+306
19197,100000,1.2572730917097919e+308,9.135635103627358e+307
19365,100000,6.470177689335161e+307,3.2345804626913194e+307
19062,100000,-1.7218186484697853e+308,1.1788686942809385e+308
19025,100000,5.358602555112827e+307,-7.856459005243227e+307
19273,100000,1.1301963588926816e+308,1.5604945216086713e+308
19023,100000,-1.3203176077235603e+308,1.3252740726096581e+308
19493,100000,-9.160935671696694e+307,-8.951729162396435e+307
19199,100000,-5.881531121319653e+307,1.0826516753490357e+308
22850,100000,1.159546971874355e+308,-4.095122753381137e+307
19146,100000,1.7701175782782975e+307,-9.553766050467307e+307
19190,100000,1.472291985800953e+308,-1.6447963989919703e+308
19118,100000,3.3415179554021815e+307,7.502536891096215e+307
18956,100000,5.107488545478138e+307,3.8087442275629004e+306
19531,100000,1.014092185721353e+308,-4.566209163071366e+307
19170,100000,6.323843606701026e+307,-1.1101989956303857e+308
19173,100000,1.6177388995077735e+308,1.3438558710637635e+308
18988,100000,8.250289567747194e+307,2.2508220544100805e+307
19182,100000,1.6256277635715668e+308,-4.821708643215738e+307
21215,100000,6.618178536515384e+306,-7.962004447901668e+307
19268,100000,-1.727967938685069e+307,-1.782664161847039e+308
21419,100000,8.029661703114913e+307,-1.7010961223468899e+308
19174,100000,-8.802203300866023e+307,7.430315062921045e+307
19192,100000,1.5567650642458632e+308,3.8085174836416073e+306
19154,100000,1.537729815192089e+307,-7.498490785248175e+307
19038,100000,1.1651413117826877e+308,-1.2400898666323586e+307
18994,100000,-6.937017682917167e+307,-1.0492628781284704e+308
20191,100000,1.5740321928272801e+308,-7.550783026579849e+307
20076,100000,-1.1341018081743015e+308,-4.284541861957582e+307
22099,100000,1.1043529342672074e+308,-1.0686001142633205e+308
18965,100000,-9.233916932776964e+307,1.3407611197499617e+308
19128,100000,-6.057796805885362e+306,-1.6030609412937544e+308
19672,100000,-1.4168960862082018e+308,1.2448517082352404e+307
18991,100000,7.475136357487738e+307,2.575229925459082e+307
19078,100000,7.448197517757775e+307,1.4938582161854424e+308
19287,100000,-1.6863160196037476e+308,-2.876710887500198e+307
19154,100000,1.6671053541609972e+308,-1.5867504395022157e+308
19098,100000,6.534058799817305e+307,-1.5717772246579745e+308
21045,100000,3.1190191767465462e+307,-6.529683582424558e+307
22991,100000,-2.2327726337574363e+307,-1.7368558777538647e+308
19339,100000,1.6083055999571883e+308,-9.882036998373493e+307
19067,100000,-4.4477173108340397e+307,1.545202361882654e+307
19101,100000,-9.499960108081566e+307,9.008145320437946e+307
