runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3342,19495,250000,1.3807328269482375e+308,-1.2170779722162459e+308
1,3307,17587,250000,7.753458464316195e+307,-8.348753902236983e+307
1,3268,19192,250000,6.893159491073185e+307,1.6111386355007964e+308
1,3271,17502,250000,1.7538814359566383e+307,1.6267474114849617e+308
1,3276,17575,250000,-3.601054895691923e+307,-7.721323307236358e+307
1,3268,18200,250000,-6.845197556389454e+307,-1.514023691342777e+308
1,3275,17686,250000,3.2443495298692607e+307,-5.961262528422747e+306
1,3395,17805,250000,-2.9794939594307375e+307,-5.216492475483809e+307
1,3276,17703,250000,-9.266406239888952e+307,1.6155759039025425e+308
1,3290,17712,250000,-1.7819251809032824e+308,-1.0433460008022054e+308
1,3282,18072,250000,-6.73002327876031e+306,-1.0273116805232473e+308
1,3284,17582,250000,-1.4684495774952038e+308,1.4662880895637924e+308
1,3297,17484,250000,-1.2128367518662172e+307,1.468551177129666e+308
1,3417,18124,250000,-1.7074079627201528e+308,-6.024287715783091e+307
1,3333,17547,250000,-1.1456081583060475e+308,1.2235662383391627e+308
1,3273,17401,250000,-1.1121785519434788e+308,4.807440788501443e+306
1,3281,17693,250000,-3.2033233240182154e+307,9.059373759431055e+307
1,3346,19512,250000,1.2897112099103291e+308,-1.345844871432325e+308
1,3330,19871,250000,9.009562889615383e+307,-1.9446531860097807e+307
1,3308,17858,250000,-1.5279133984767541e+308,1.6610212032805793e+308
1,3295,17489,250000,-3.9237491107216916e+307,-5.331798440421991e+306
1,3287,17371,250000,-1.1734136777715737e+308,-1.1358390667392138e+308
1,3275,17374,250000,4.160336750610315e+307,-1.0519669579915947e+308
1,3403,17609,250000,1.183829186490396e+308,-4.2300086638691707e+307
1,3359,17418,250000,5.645807055767133e+307,1.740688490859087e+307
1,3275,17702,250000,-1.111037199760205e+308,-3.717273311224894e+307
1,3280,17531,250000,-9.221923603382122e+307,-4.820512084922407e+307
1,3371,21551,250000,-2.991782680677191e+307,-1.2840318350016893e+308
1,3289,21386,250000,-1.51002316414577e+308,-1.2678523424924768e+308
1,3284,17973,250000,7.828490929262842e+307,-1.6655843872402122e+308
1,3291,17671,250000,-1.6331987870100141e+308,1.0611336750763992e+308
1,3285,17911,250000,-1.0989714058760439e+308,-9.084080670303394e+307
1,3269,18013,250000,-1.0920615651506276e+308,3.209026866666513e+307
1,3371,17692,250000,-1.5335001931252952e+307,-1.577067411033982e+308
1,3304,17808,250000,-1.2081159031401808e+308,-1.451081189958947e+308
1,3286,17672,250000,-1.2027366227164275e+308,-7.343987060895534e+307
1,3303,17746,250000,3.722015896950718e+307,7.170936806473328e+307
1,3382,18531,250000,1.604184095568277e+308,1.2723681259898743e+308
