runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,2960,12750,250000,-1.140452618377728e+308,-6.613413464741811e+307
1,3133,12826,250000,9.66508898293721e+307,1.340734517841499e+308
1,3124,14142,250000,1.4722958228008718e+308,-2.1364014185243552e+307
1,3033,13358,250000,1.6195087191293658e+308,-9.670318402328578e+307
1,3050,14228,250000,1.4102147140236344e+308,-1.3927632486723865e+308
1,3027,13155,250000,-1.4412947024796995e+308,-1.883980562739184e+307
1,3067,12854,250000,1.7061077301117444e+308,-6.961808353787426e+307
1,3005,12579,250000,-1.7379582181070683e+308,-3.438988932700846e+307
1,3124,12646,250000,3.1653667840029946e+307,1.638052694773495e+308
1,3051,12632,250000,-1.2805362697461816e+308,1.5544934201999083e+308
1,3078,13135,250000,7.053873620260985e+307,-1.5292597009947497e+308
1,3059,13219,250000,-1.4528902796578922e+308,-7.959718767356299e+307
1,3055,12996,250000,-2.7904012050583537e+307,2.9658041206756145e+306
1,3097,13001,250000,1.3813121855973257e+308,1.625668704762958e+308
1,3055,12877,250000,1.4550546480841063e+308,1.3394850031857151e+308
1,3030,13401,250000,1.308912495725937e+308,4.0606185953348645e+307
1,3066,13346,250000,-1.2230865975922098e+308,-1.6724914558933777e+308
1,3058,13096,250000,4.4323962490409554e+307,1.021459450091438e+308
1,3007,13333,250000,-1.3058557046460406e+308,-1.3668531732473735e+308
1,3051,13331,250000,1.2354613551792847e+308,2.788843673660274e+307
1,3063,14093,250000,1.3873053891875737e+308,-4.54890372775464e+307
1,2986,12381,250000,-1.6373152506350358e+308,2.361576175387988e+307
1,3098,18227,250000,-1.304259775200589e+307,1.5755274923610571e+308
1,3106,12712,250000,-2.7765784808573e+307,-1.3111094632425175e+308
1,3085,12664,250000,7.24476234576094e+307,1.6698452878953617e+308
1,3052,12836,250000,1.7053940208624488e+308,1.44740223220095e+308
1,3176,12913,250000,-7.138875184702709e+307,1.4805911665774583e+308
1,3081,12519,250000,-7.924243806421688e+307,-6.302517618510886e+306
1,3034,12674,250000,9.526999217010583e+307,-1.8267274235189489e+307
1,2985,13012,250000,1.6911648791897413e+308,3.1493956172072546e+307
1,2986,12669,250000,1.2720896093547166e+308,-1.0636701810790782e+308
1,3063,12512,250000,1.194871997142266e+308,-6.621307125305203e+307
1,3050,12663,250000,-2.7709450142329724e+307,2.849483400117115e+307
1,3032,12552,250000,-3.501708365013081e+307,-3.215970118910507e+307
1,3042,12602,250000,-1.1484767931968974e+308,-1.2294434027849748e+307
1,3135,12943,250000,6.912065256711935e+307,6.880389341014292e+307
1,3018,12864,250000,-1.5409611258826755e+307,-3.2371692417356203e+307
1,3063,12537,250000,-6.364053658317295e+307,-3.382764108008337e+307
1,3102,12464,250000,5.544052464562399e+307,-5.949854441616544e+307
1,2990,12458,250000,-9.27510655642681e+307,-1.509894627768675e+307
1,3032,12432,250000,1.1647598846084083e+308,-1.5918993304945678e+308
1,3053,12560,250000,1.1581546021962597e+308,-5.891329789843499e+307
1,3030,13078,250000,-1.7540030106865388e+308,-1.3841403045090571e+308
1,3025,12456,250000,4.887274654331672e+307,7.655241232399113e+307
1,3051,12647,250000,-3.5389017841028317e+306,1.0908370245647617e+308
1,2970,12366,250000,-5.520422483754178e+307,-1.2361691600179231e+308
1,3055,12623,250000,5.833419509844688e+307,2.4978423455609415e+307
1,3021,12877,250000,1.2399425540465458e+308,-3.969923323132084e+305
1,2975,12434,250000,3.3775109518677983e+307,-3.550355458070564e+307
1,2979,12386,250000,-2.310584290457149e+307,1.3473159203985474e+308
1,3032,12645,250000,4.693320368083024e+307,-1.660562227627092e+308
1,2982,12559,250000,-1.6604302851153212e+308,1.473960627590024e+308
1,3054,12429,250000,7.784680490740718e+307,4.8147471659216e+307
