runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3020,12418,250000,8772855310147188,-1894575406813677
1,3015,12530,250000,2169545722166033,1956129873067950
1,2969,12308,250000,-7671340649598047,-605824681322648
1,3025,12317,250000,5821107319540255,7031106189185802
1,3002,12371,250000,-7961992120799231,5420176907616541
1,3038,12437,250000,8239669751460149,-3754310772106023
1,2987,12488,250000,-3465151417000857,-2092895956584724
1,3064,12615,250000,-93355605333319,7639121436765541
1,3007,12226,250000,3037191590735001,-6847861363094878
1,3046,12360,250000,3201242897924313,-8540663550583966
1,3002,12381,250000,-4238113649533923,5719395923536509
1,2994,12506,250000,-3724680705627276,-183946372829996
1,3009,12410,250000,-1071413146347815,2607031119784197
1,3021,12342,250000,-7767450602407986,-6129378726285194
1,2983,12430,250000,4097272080859079,79918912648634
1,3042,12405,250000,885634062917749,-3864960477598504
1,3084,12974,250000,3811050850326494,-2561555768480974
1,3016,13398,250000,4150396115297886,4210065220431215
1,3035,12559,250000,-5110704832272054,5373217739690988
1,3054,12607,250000,6638951182294326,2064700105213212
1,3022,12626,250000,-4352530324227555,-3232547364541911
1,3139,12741,250000,-6042964081567945,7233319815673798
1,3069,13415,250000,8858589219500366,-4998393696483204
1,3044,12920,250000,2825396180385567,-5462585493947581
1,3030,12631,250000,-2586274805885598,1127313856142494
1,3093,12919,250000,7801861526303783,71221402875647
1,3017,12684,250000,-4671480948121145,4437358690298604
1,3084,13250,250000,5364059471140986,-1789439105855213
1,3109,13096,250000,-411496295709476,2029841227885194
1,3067,12868,250000,-2633444452188133,5897981151505414
1,3066,12989,250000,6657740548288428,8317145072405173
1,3028,12490,250000,8219290882385109,1564669014245643
1,3129,12862,250000,-5817736643920963,-3758879697902739
1,3033,12630,250000,4101774780493301,8685404280499838
1,3140,15175,250000,-3233192017099900,1628651298059601
1,3022,12962,250000,-7471974630715836,921649581684252
1,3068,12626,250000,-1832333477975068,-6402611739328824
1,3083,12674,250000,-7631319602360451,7129822667124252
1,3066,12821,250000,-688768366079334,-8728623890016137
1,3102,13156,250000,-3350599452992890,-369474344975535
1,3078,12908,250000,-5976534419503774,7670147454593074
1,3061,13016,250000,8348390590635203,5014457660136690
1,3075,12887,250000,-739640835051225,569803623258349
1,3164,13168,250000,-5433556799021451,7029421043703471
1,3100,13076,250000,7038984571475066,-7926951591139844
1,3122,12851,250000,-1785197357840250,978915697467957
1,3111,13535,250000,59601465957464,4732855269877425
1,3087,12775,250000,59528903182942,-2941460236967214
1,3084,12655,250000,2883764557208104,6326599902375623
1,3067,12566,250000,-7176270916665691,7844202819880747
1,3020,12457,250000,-680822984493625,4233359306107827
1,3063,12622,250000,-4909602002323754,-7269993465917519
1,3068,12952,250000,75096133865858,-8342928643619185
1,3067,13084,250000,176377604253583,3866903557480744
1,3061,12819,250000,-5813810788192134,-8600414455856810
1,3074,12536,250000,6961197878168158,8737086561606413
1,3003,12297,250000,7117368597591290,-8835024632285206
1,3019,12489,250000,3266943466679460,-8338539411773509
1,2990,12427,250000,-4917642229180971,5751092947692756
1,3005,12448,250000,5163528762410704,5466848466604998
1,3020,12479,250000,5204234095305819,8341596298763109
1,3019,12674,250000,7591724973701003,6570757986933981
1,3033,12446,250000,5096466168125713,1479847103731567
1,3012,12657,250000,1409765631791313,-7922356680683943
1,2973,12327,250000,8392587273100518,4775005947481942
1,2971,12517,250000,5078836189740011,-5085413704727037
1,2985,12310,250000,-2375689955887599,-2422344061631478
1,3020,12426,250000,5722791565349089,-2329341671881931
1,3097,12590,250000,5498276872203403,7799896136550591
1,3021,12390,250000,6074834706326032,-1448457846129252
1,3059,12625,250000,5153854026597334,-6995275804459075
1,3095,12674,250000,5700327012098442,6125790296742902
1,3028,12969,250000,5799664891198268,8685755421230049
1,3029,12790,250000,-7064253939310631,-4601790312720794
1,2981,12654,250000,8265490184918803,8141031072723630
1,3063,12912,250000,5576089578301134,7152970721741014
1,3054,12816,250000,6786254021603456,448819500134021
1,3064,12535,250000,-2689825241279448,-3375520698879805
1,3000,12832,250000,-1916965623228024,7773915709427254
1,3023,13092,250000,623083986797485,-654658285221008
1,3048,12672,250000,-6513901250486678,-931411678237342
1,3041,13138,250000,1836120951465760,-3704900946047845
1,3046,12882,250000,-5863434555590492,469183586902871
1,3083,12796,250000,-2274657633270452,-6966716822598054
1,3114,13268,250000,-7797970190839461,6973813293374700
1,3032,12982,250000,-336287552234792,207444319261472
1,3000,12490,250000,-5280274759352886,-2775446489813717
1,2984,12293,250000,-3603794078390548,7362965678687238
1,2993,13018,250000,7103545250106193,-1815986958374428
1,3054,12752,250000,-1246840729013028,-2917880543811761
1,3000,12830,250000,-4585245497713976,-5688791631243374
1,3005,12733,250000,85352104976375,-5913107770976776
1,3008,12377,250000,1273104547853132,6778435047361681
1,3027,12495,250000,5235979127645887,3707247288478211
1,3048,12369,250000,2522931352159910,-2587688244136026
1,3026,12451,250000,-8993436803051631,6981845282807527
1,3031,12721,250000,-6390448755773929,-7319977850726973
1,3023,12503,250000,-1549556632802806,-90047287274719
1,3037,12501,250000,4571468857223914,-8799437895779962
1,3083,13176,250000,-5468730766050976,-4801547356197634
2,3076,13289,250000,-3885632648374372,-5581084846767808
2,2951,12923,250000,1962514696945268,-3263506944248577
2,3004,13104,250000,-8632080921389363,5707304336279235
2,3024,13781,250000,-832191637829518,1495326740221007
2,3014,13591,250000,1854715342371218,-8834289778564226
2,3037,12908,250000,2627506049687919,6491262711685687
2,2988,13225,250000,-4259459171264801,8840272339173760
2,2974,14627,250000,-8293692896665827,-4254489416042512
2,2951,12322,250000,8430590137328568,-2228395803846309
2,2988,12129,250000,1476813682101254,718052302979336
2,2934,12262,250000,1286225479898594,-3014709845330965
2,2973,12240,250000,-8923269203199390,-8496023072464888
2,2954,12292,250000,3674599913493231,-7303384069251139
2,2927,14253,250000,5431035463507276,-499544260421179
2,3039,13087,250000,-2349386590683574,8141568865951779
2,3044,13592,250000,-8036909711292163,-6861466285960034
2,3161,12581,250000,-8125493670901513,-1042842382890883
2,2972,12996,250000,-7487956042186040,1840912427403784
2,3021,13074,250000,-3500566061819323,-7036261416748712
2,2964,13162,250000,-318707182476652,3466628954865964
2,3030,12469,250000,8452580825298791,3642020914522430
2,3026,14057,250000,6736154998872605,5799989207251326
2,2939,13691,250000,350191129871168,5068155522559186
2,3060,13544,250000,6084781039553324,640058717424744
2,3002,13449,250000,792139901005424,2427956465849005
2,2941,13101,250000,304138177725832,-5827307229276913
2,2955,12421,250000,-2867389313532472,8225791835651459
2,3025,12522,250000,-4585770523311888,-5064497919067385
2,2930,12807,250000,2972749611725465,8133629807307431
2,2956,12290,250000,7308091069605713,5638130896759074
2,2993,12398,250000,2294629111996587,-2086471789502315
2,2935,12765,250000,-42631226859166,8827615546498590
2,2973,12763,250000,-8839587536443435,-8889669648529595
2,2947,13079,250000,-7822867051044755,-1620463510562842
