runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3398,24170,250000,-1.583548104294228e+308,1.7577053755211464e+308
1,3343,24399,250000,-5.106785244492178e+307,2.2090889760571095e+307
1,3358,24219,250000,-1.0655835453485536e+308,3.018030922078741e+307
1,3434,24289,250000,9.43423294791222e+307,2.5939854700980644e+307
1,3375,24335,250000,-5.443944012508776e+306,2.6451556915622915e+307
1,3335,24540,250000,1.320828025460018e+308,1.5705828426093169e+308
1,3460,24894,250000,-1.6173324731484393e+308,-7.185164432747508e+307
1,3543,24009,250000,1.6677211474926904e+308,-1.5784723083321776e+308
1,3437,25356,250000,-1.4443202311274456e+308,-1.0685274458036829e+308
1,3491,23776,250000,-5.0843445750554506e+306,-1.1636252896342696e+308
1,3361,23809,250000,-1.7177639620888517e+308,3.1227464146248843e+307
1,3410,23877,250000,-5.483178695676512e+307,-2.4919525327257837e+306
1,3458,23809,250000,-1.1260061595341604e+306,7.226607322735854e+307
1,3428,25766,250000,-9.284551685141358e+307,-7.781747198504456e+307
1,3334,24418,250000,-1.5996974513743124e+308,-1.1079199229553681e+308
1,3432,25431,250000,6.165376320372066e+307,-2.2406183583135368e+307
1,3366,23908,250000,1.4792032993574695e+308,1.2402794722125016e+308
1,3427,23728,250000,1.6912885375921971e+308,-1.5736897569406958e+308
1,3348,23782,250000,-1.3461651134466457e+308,-1.7714612828859192e+308
1,3380,23766,250000,-1.6518590750667886e+308,-5.16077252049588e+307
1,3358,23842,250000,1.4503386680146207e+308,1.9906184891257183e+307
1,3357,23635,250000,-2.5407206465995315e+307,1.2512525926061012e+308
1,3373,23729,250000,-3.75564774950986e+307,-4.780941068256358e+307
1,3360,23796,250000,-1.063409110005928e+308,-2.6782699043013554e+307
1,3350,23844,250000,-1.1097462230713801e+308,1.4989972067625803e+308
1,3355,23761,250000,-1.4565737251300483e+308,-8.422308529781653e+307
1,3311,23847,250000,-1.133250111080514e+308,1.0447877100801808e+307
1,3438,23611,250000,2.962472578690114e+307,1.556622800790891e+308
1,3415,24015,250000,2.5448300646778456e+307,4.496221118304439e+307
1,3311,23777,250000,2.4854866557339645e+307,1.5706203605905538e+308
1,3437,23756,250000,-2.2059131200369528e+307,1.3186572337250858e+307
1,3336,25264,250000,5.114673272977529e+306,-7.372928350145171e+307
1,3331,23709,250000,2.3323389797520197e+307,1.4262214611059953e+308
1,3358,25158,250000,1.6324328622712149e+307,1.2886970449092696e+308
1,3337,23612,250000,9.206579381591935e+307,1.1696203834440811e+308
1,3374,23862,250000,-1.4810800110460807e+308,1.4339258668549293e+308
1,3481,23866,250000,3.8297875679940153e+307,5.988800259118142e+307
1,3403,23736,250000,1.2131023581424508e+308,2.652684951586712e+307
1,5527,23722,250000,1.4876422144861998e+308,-6.013623909289332e+307
1,3411,23817,250000,1.358558841069671e+308,3.0053993512024864e+307
1,3354,23676,250000,-9.673680696327323e+307,-3.926219060732886e+307
1,3377,23802,250000,1.7100610592752244e+308,1.7827291987812778e+308
1,3371,23734,250000,-1.7065203504629802e+308,1.1961514701202326e+308
1,3394,23708,250000,1.6101853422943181e+308,1.4243883725931746e+308
1,3359,23751,250000,-5.055846287461443e+307,1.4726162381980267e+308
1,3415,23825,250000,-1.4195515293316936e+308,3.7276182727240095e+307
1,3354,23775,250000,-1.6170864104067029e+308,1.047849906193904e+308
1,3360,23879,250000,1.6351763847965217e+308,1.1297604107161221e+308
1,3357,23720,250000,-8.824016583313628e+307,-1.7188376448026458e+307
1,3420,23824,250000,5.123059522034717e+307,2.2786812280245677e+307
1,3558,23953,250000,6.221808977442424e+307,-9.490553619480758e+307
1,3353,24004,250000,1.1646475614118813e+308,1.3773472298239612e+307
1,3428,23798,250000,-1.1513733018405155e+307,-1.3695345285382477e+308
1,3411,23693,250000,8.20293776685572e+307,-4.499527763036845e+307
1,3395,23735,250000,-1.022116625611732e+308,1.0749278946269058e+308
1,3365,23719,250000,-1.17946209538496e+307,-1.7222275934769544e+308
1,3430,23775,250000,-3.1673592150019183e+307,8.951477797322947e+307
1,3454,24212,250000,1.2531535889789371e+308,-1.2547463577751866e+308
1,3442,23862,250000,1.4280987741480972e+308,1.0126976335680705e+308
1,3460,23784,250000,4.294659887624722e+307,3.8115356097397556e+307
1,3378,24268,250000,-1.0604218557245098e+308,7.656679225785242e+306
1,3369,23984,250000,-1.0930188091380084e+308,1.3722197614907517e+308
1,5857,23738,250000,-1.4741418758089779e+308,-2.5013646021241857e+307
1,3395,23679,250000,-1.4597585849781063e+308,-6.56732002272937e+307
1,3337,24417,250000,-9.041731700890463e+307,1.067532248761068e+308
1,3336,23683,250000,-4.900906371124465e+307,6.807380531902908e+306
1,3386,23992,250000,1.3621681176519915e+308,-2.306692200883345e+307
1,3428,23760,250000,1.2846067040968448e+308,-1.7841549691119445e+308
1,4102,23760,250000,6.848885837817721e+307,4.1132764720118436e+307
1,3379,23889,250000,1.4898516803313224e+308,1.4879089719395024e+308
1,3445,23962,250000,-1.160345389425677e+307,2.95291666774511e+307
1,3309,24830,250000,-1.165256220929985e+308,-1.6531603017648917e+308
1,3430,23889,250000,1.1116824278389182e+307,-4.848997920049946e+306
1,3379,24369,250000,-2.300832967208535e+307,-1.2775234020709297e+308
1,3336,23895,250000,3.413868418692843e+306,-1.2113359524312583e+308
1,3395,23943,250000,-1.7291306967550569e+308,-6.855805659768424e+307
1,3452,23940,250000,1.1133220436161499e+308,5.904952553721065e+307
1,3402,24141,250000,9.388655449189018e+307,-8.947810693861288e+307
1,3436,23816,250000,-1.639097855865332e+308,1.1361573864400471e+308
1,3383,23976,250000,1.3730334578936706e+308,-2.406004150181352e+307
1,3337,23941,250000,2.0841975183136216e+307,9.003077092380453e+307
1,3403,23768,250000,-1.4700503515982108e+307,1.4912473267044754e+308
1,3425,23825,250000,-9.837124032713614e+307,-8.192997399137169e+306
1,3370,23906,250000,5.759141671051061e+306,-5.416595252664073e+307
1,3405,24013,250000,-1.6686861107149567e+308,-6.685461966992646e+307
1,3448,24174,250000,3.7085046294561293e+307,-4.781235195192764e+307
1,3365,24352,250000,-2.499419316399041e+307,1.1760317462831552e+308
1,3453,23666,250000,5.383448648175173e+307,9.799946182750359e+307
1,3440,23740,250000,6.935676296425699e+305,3.9333898995968665e+307
