elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
60939,100000,-4.54091865e+37; 2.88366801e+38,2.34971533e+38; -3.36394452e+38
63400,100000,-5.44417041e+37; -7.89228159e+37,8.13991663e+37; -5.24559554e+36
59385,100000,2.14314771e+38; -1.40970981e+38,2.56847714e+38; -1.05408183e+37
59011,100000,1.6883527e+38; 1.80941567e+38,2.2310539e+38; 1.87502784e+38
59618,100000,-3.14178764e+38; -3.10330765e+38,2.56542281e+38; 1.8484376e+38
60999,100000,2.57972536e+38; 2.56634525e+38,9.31638512e+37; -2.82528429e+38
60342,100000,2.52055711e+38; -3.06963581e+38,2.73298918e+38; 1.91347254e+38
61232,100000,-1.53337248e+38; -1.82278989e+38,-2.29848404e+37; 2.42191665e+38
60535,100000,-2.34377927e+38; -3.00215643e+38,-2.93152375e+38; 8.07261909e+37
59421,100000,1.03331403e+38; -5.29821008e+37,-4.00084981e+37; 2.18900482e+38
60320,100000,1.21615782e+38; -5.77048396e+37,-1.55403498e+38; 1.61793106e+38
60564,100000,1.54267723e+38; 3.33103875e+38,-1.53399028e+38; -2.98047758e+38
60254,100000,1.62046007e+38; -1.52595337e+38,-2.94132381e+38; -2.04846455e+38
61241,100000,1.43183802e+38; -7.21657819e+37,2.20053516e+38; -2.21559221e+38
60940,100000,-2.82897122e+37; 3.6713111e+37,-1.45451274e+38; -2.73642218e+38
60955,100000,-2.53508174e+38; -3.55835634e+37,6.40080649e+37; -2.7025897e+38
60359,100000,-2.512793e+38; -2.46123167e+38,2.86348053e+38; 1.66499203e+38
60533,100000,-3.07690076e+38; 2.6714558e+38,-2.6433963e+38; -1.44510485e+38
60393,100000,1.25081022e+38; 8.02533116e+37,3.19220139e+38; -1.56629164e+38
61651,100000,1.55594566e+37; 1.95533138e+38,2.63936984e+38; -1.84681541e+38
60260,100000,-1.31154346e+38; 3.07659227e+38,-7.81947636e+37; 8.85678065e+37
59587,100000,3.53052684e+37; 2.01127432e+38,-2.10356537e+38; -2.29935836e+38
59632,100000,2.63421831e+38; 8.65796841e+37,1.34340966e+38; -1.29663944e+38
60578,100000,-1.58814512e+38; 1.49043451e+38,-2.79550687e+38; -2.32563098e+38
63722,100000,-1.79700445e+38; 3.0586182e+38,-2.77981295e+38; 3.19755575e+38
66571,100000,-2.21521714e+37; -8.56001731e+36,2.93294038e+37; 3.28253417e+38
72797,100000,-2.3463665e+38; -2.18871498e+38,2.43415242e+38; 2.02161206e+38
62371,100000,-8.06087291e+36; 1.39670676e+38,3.10239169e+38; -2.81037104e+38
67835,100000,-2.95515418e+38; -3.73459723e+36,-2.63306607e+38; -2.38642953e+38
62675,100000,1.41990862e+38; 2.36215656e+38,-2.76760172e+38; 1.71315332e+38
59376,100000,2.15509526e+38; 2.03571868e+38,-2.01653497e+38; -2.32822267e+38
59420,100000,1.41672134e+38; 2.5767124e+38,-2.48142848e+38; -1.17475957e+37
60112,100000,2.92482427e+38; 6.16297546e+37,-2.66699164e+38; -2.6742211e+38
60055,100000,2.36016361e+38; 2.30376796e+38,-4.39139825e+37; -6.24494175e+37
61364,100000,-1.93974171e+38; -3.2304597e+38,-2.67478211e+38; 2.54358961e+38
60887,100000,-1.37705534e+38; -1.58407313e+38,-3.00867109e+37; -3.07229767e+38
60471,100000,3.13730989e+38; 2.68340741e+38,-2.62562222e+38; 1.06810952e+38
60153,100000,-3.33695837e+38; 2.56353208e+38,-6.23768774e+37; 1.03218876e+38
60396,100000,-1.24613117e+38; 1.06304084e+38,1.05679183e+38; 2.22936296e+38
62665,100000,-1.8977271e+38; 3.27910635e+37,8.21458176e+37; 3.14494825e+38
61088,100000,2.6558999e+37; -1.28918271e+38,1.20824322e+38; -9.33234434e+37
61740,100000,3.19373677e+38; 2.29645985e+37,3.14463894e+38; 2.82769161e+38
60022,100000,-2.87538062e+38; -1.86440351e+38,-2.55208003e+38; 1.96721018e+38
61131,100000,1.05787785e+38; 6.9796482e+37,-2.12992986e+38; -1.80428949e+38
60642,100000,1.53608753e+37; -3.35803605e+38,-2.48372384e+38; 2.37549386e+38
59902,100000,2.88034231e+38; 1.0966495e+38,1.76023668e+37; 2.18899143e+38
60801,100000,3.86755457e+37; -2.19456781e+36,2.81026334e+38; 1.20436766e+38
59800,100000,9.35315003e+37; 1.51262682e+38,-7.61344257e+37; 3.05115549e+38
60499,100000,1.96725987e+38; 3.32753334e+38,1.28029151e+38; 2.68348874e+38
60112,100000,6.8559681e+37; 2.53419175e+38,1.54875486e+38; -1.29357355e+38
61409,100000,1.77322191e+38; 1.12078446e+38,-1.70268557e+38; 1.11215774e+38
61692,100000,-2.01304112e+38; 1.9567978e+38,-2.49978346e+38; 2.45405149e+38
61292,100000,-3.37329349e+38; -3.43777462e+37,2.7336437e+38; 9.78674637e+37
60945,100000,3.19977971e+38; -6.78585789e+37,2.08471165e+38; -2.30778428e+38
61742,100000,3.35759694e+38; -2.25927322e+38,-3.29942902e+38; -7.38230842e+36
61288,100000,1.77273736e+38; 2.4442995e+38,3.13097732e+38; 3.27375392e+38
61796,100000,-2.95199986e+38; -1.83432896e+38,1.70758101e+37; -3.95789369e+37
60880,100000,3.30473469e+38; -8.26398007e+37,2.77768938e+38; 2.18864724e+38
59573,100000,-2.78720873e+38; -2.12557198e+38,2.29936222e+38; -2.99721969e+38
60422,100000,-2.78224278e+38; -3.31956843e+38,-2.56834758e+37; 2.38758076e+38
60578,100000,3.37841257e+38; 3.38507474e+38,-2.16045955e+38; -2.56422615e+38
61662,100000,3.1741105e+38; -1.36450042e+38,-9.61155807e+37; -1.50616261e+38
60690,100000,2.68092464e+38; -2.9243957e+38,2.32122645e+38; -2.80666078e+38
62423,100000,-5.0970963e+37; 4.74294514e+37,-5.55396366e+37; 1.22884548e+38
60737,100000,2.71386551e+38; -1.81127597e+38,-3.26942119e+38; 9.74602335e+37
60396,100000,-2.79792474e+38; 7.64866703e+37,8.82080878e+37; 2.64514749e+38
