elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
19438,100000,-2.5618000101473047e+36; 4.03496507297218e+37; 2.2317134850367125e+38,3.4016955615872295e+38; -2.173429547151467e+38; 3.1811397717788164e+38
21302,100000,-2.9731310861994142e+38; -2.0878686078866545e+38; 4.511765225585424e+37,2.5040956991607605e+38; 5.126131074865555e+37; -2.9477272667587925e+37
22026,100000,-1.5726585913804714e+38; -1.817028465364772e+38; -2.3409709719137593e+38,1.0240422293124978e+38; -2.542079176097807e+38; 7.734190856232953e+37
19644,100000,-5.465896929943527e+37; -1.4075517656549534e+38; 2.7104331141888218e+38,1.407666158445118e+38; -2.3176818979104624e+38; -2.9950212824123474e+38
19654,100000,1.1929577873254376e+38; -2.9085741032599033e+37; 2.3503319124181327e+38,1.134062334790642e+38; -8.977477211924796e+37; 1.17645226662613e+38
20491,100000,-1.5209773891175987e+38; 1.328017642991818e+38; -7.476291081185791e+35,-4.162261532126619e+37; 2.0878909185372185e+38; 2.3208920455844563e+37
20135,100000,5.676760466086691e+37; -9.879740456673361e+36; 8.815121593649966e+37,-2.967763346497808e+38; 1.7318439676222034e+38; 1.2126370994795247e+38
22160,100000,2.042758703511269e+38; 5.412333621481483e+37; 2.816894062429717e+37,-8.660724792903608e+37; 1.1753736480834077e+38; 2.6110042801816085e+37
19585,100000,-1.6009935232449649e+38; 3.2773643907168448e+38; -2.1218280547583366e+37,2.0871177530831273e+38; -7.723658200925777e+37; -3.128154613402525e+38
23786,100000,-2.4178701053332364e+38; 3.3248591008134278e+38; -1.4294875972894947e+38,-1.0344802671788731e+38; -2.5301271577665673e+38; 3.3752395921484184e+38
20633,100000,-2.403788231169517e+38; 9.193960496708892e+37; 1.3854961663917025e+38,-2.9910570854553137e+38; 3.0872632474006027e+38; -4.462502802079835e+37
21532,100000,-2.149862147782384e+37; -2.029224251582752e+38; -2.4077130802519197e+38,-1.1979133884638978e+38; 3.0605618608055874e+37; 6.390264705268511e+37
