runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3818,31320,250000,-8.391372409333132e+307,-6.367069298771521e+305
1,3700,37804,250000,-1.3547391374096321e+308,-1.6910241388368925e+308
1,4467,32095,250000,1.395516717585261e+308,3.3327693887174657e+307
1,3659,37120,250000,7.876360603590272e+307,-1.2568627629503162e+308
1,7348,39806,250000,-7.498113485801904e+307,-5.745334675677745e+307
1,4314,54864,250000,6.461773201831336e+307,-5.093903955179931e+307
1,5167,34146,250000,-1.4982888706791616e+308,-1.2777983094547463e+308
1,3871,30779,250000,-7.082066292405992e+307,1.4082103184203435e+308
1,3923,43721,250000,-1.0065084472537964e+308,-1.6695694021770633e+308
1,3707,29999,250000,1.0187862475752186e+308,1.2452968159956858e+308
1,3891,30077,250000,7.254102281377198e+307,1.432394473725545e+308
1,3694,28832,250000,1.2976756242128452e+307,-2.881635413612009e+307
1,3942,30379,250000,-9.31434835637079e+307,-1.2468372886232558e+308
1,3629,36142,250000,1.7902088874600641e+308,1.3290901872346323e+308
1,4090,34200,250000,-9.87041895089227e+307,3.704552564223747e+307
1,3695,37056,250000,1.2560544595424257e+306,1.5150183999233354e+308
1,4668,33525,250000,9.809341536214075e+306,1.2839449604283803e+308
1,3808,35655,250000,-4.970491388716308e+307,-1.1155763039890807e+308
1,3728,32004,250000,-6.51902843225052e+307,1.004948714483525e+308
1,3734,31234,250000,-1.5897670558133317e+308,-1.1735703505863494e+308
1,3743,35441,250000,9.814365359302e+307,-1.617337070415793e+308
1,3804,31143,250000,3.3355487497990023e+307,1.278719673197133e+308
1,4290,31560,250000,1.3688685934868655e+308,3.5462060822371244e+307
1,3667,30668,250000,1.1303644863790634e+308,1.0891397542160467e+307
1,3837,34057,250000,5.867554401821471e+307,5.891179021917054e+307
1,3845,34509,250000,-1.4079008469107915e+308,-2.588959607658546e+307
1,4073,32777,250000,-1.4353917493923623e+308,1.6584677668267227e+308
1,3830,41000,250000,-1.12679143772574e+308,-9.542712177540753e+307
1,4954,44905,250000,-8.285356994947473e+307,-1.28498141504331e+307
1,4428,44983,250000,6.020404616789269e+307,-1.475767021946776e+308
1,4514,52662,250000,1.0114249939031519e+308,-1.3221401283199176e+307
1,3832,34072,250000,1.0074750998829618e+308,7.032979235015827e+307
1,4116,44701,250000,4.0522982224411225e+306,-2.2681680187170444e+307
1,4028,36132,250000,-1.4339461093112047e+308,5.04770784504262e+307
1,4545,33071,250000,-1.8983138853804422e+307,1.395418188463743e+308
1,3905,29956,250000,-6.317702209697623e+307,1.7405654871439082e+308
1,3876,30924,250000,-1.1659267636582174e+308,-5.881551987153283e+307
1,3735,36897,250000,-6.401064793203406e+307,-3.055269183139176e+307
1,4577,33985,250000,-9.926871536868358e+307,-1.5998234682005406e+308
1,3989,38818,250000,-5.468095859840209e+307,1.582302319430795e+308
1,4097,38552,250000,4.753594748648826e+307,-1.2241428720920807e+308
1,3952,43853,250000,7.137477999293243e+307,9.637127123066992e+307
1,4230,33407,250000,-8.934293588625861e+307,6.44083466236381e+307
1,3760,32559,250000,-1.7574530737302676e+308,-1.340244421977613e+308
1,4005,36865,250000,-1.7773846894341653e+308,-2.2943207596145404e+307
1,3916,35693,250000,8.932373987638245e+307,-4.641529153746783e+307
1,4252,36335,250000,5.400120231470326e+307,-4.241651483988503e+307
