runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer
1,3802,28053,250000,-2861467796101882,8290039805481823
1,4117,33099,250000,-1515982464380739,-6977106238460995
1,3891,30880,250000,-3663258553824515,-7157775900627506
1,3592,28565,250000,-4258160848287366,1635446550557035
1,3744,28595,250000,1696654569187306,5317099993726556
1,3702,33594,250000,-1005792551172903,2535971462796653
1,4296,36045,250000,-5658667612892270,-2039469716631967
1,3791,29310,250000,1783568932680516,1296179765287362
1,3899,29305,250000,6285950322771298,-678842259979941
1,4014,33314,250000,5139188407005098,-7667317074856625
1,3913,30142,250000,7104247339551765,-469451610234535
1,3961,30292,250000,3960962178610357,-5124704714438636
1,3929,30458,250000,2275211599474134,-5408352127791494
1,3832,30167,250000,7981189960669149,871527900931476
1,3798,31407,250000,-1195019762709901,6372037496467122
1,3922,30820,250000,3421845246840600,3109466086795594
1,3746,31662,250000,8877845019345243,-8622486173570264
1,4212,31213,250000,4469800568671969,6153439135891943
1,4837,37105,250000,-8661921823095809,-8527892600765551
1,3851,32144,250000,-337769483403240,-2040615827943464
1,3886,33513,250000,4128178588904909,3930876066742804
1,3734,33722,250000,-4829437507238893,-165235029523724
1,4188,30177,250000,-888652769851484,-6415577389749296
1,4464,32093,250000,4067259010845422,-138982913201486
1,4259,32337,250000,-8337256079076020,5986888432810096
1,3902,34593,250000,-3171128805588084,7465214749573969
1,3722,31237,250000,-7022245221047576,1395465247263226
1,3649,31576,250000,-1808011678920072,-2882931431676638
1,3639,31183,250000,-6370277508674226,-1555915331672398
1,3593,32877,250000,-8435505411772362,-6400868651623990
1,4409,29528,250000,1344628168450831,8812851508793560
1,3941,30860,250000,1821268561042338,7361557216752054
1,3807,34039,250000,4950712728719336,5998176342201608
1,3609,31074,250000,-4047998624160805,-1706779438369980
1,3838,35952,250000,7148678238152368,3375652377086756
1,3703,31245,250000,-208713006065792,-1529950169141652
1,4223,32152,250000,8704532417426657,-2654850123108282
1,3828,31495,250000,5122345072296394,2007224931814649
1,3848,31675,250000,3356246356741157,1802524736903892
1,3725,29082,250000,-967221443480266,-230656733453340
1,3710,32733,250000,2284636150615420,-5318694919443335
1,3580,31639,250000,-4346090615843303,-1139573340843035
1,4089,30080,250000,-8309458487236981,-1042179361872087
1,3867,30072,250000,-4570545883194087,-5632348228291114
1,3998,31235,250000,454378079340108,-1702374716798111
1,3667,31200,250000,-4200102123399994,1636943719545173
1,3761,31997,250000,5289063748145356,-3881791512202333
1,3541,31138,250000,847184546678252,3513993000561299
1,4102,29734,250000,6377832552146067,653284508269457
1,4556,37013,250000,8233514836235043,-1868852000097525
1,3778,32877,250000,5978804292103396,4485278561361191
1,3791,31397,250000,-1839544003765684,-41110884143429
1,3645,35377,250000,-7878027562079328,5825887608875683
1,3756,30013,250000,-3924609012465290,-6760402097700506
1,3980,29164,250000,3453453615596454,-149290015219205
