runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.float,param.b.float
1,3912,22277,250000,8.054815119138831e+307,1.346374457380798e+308
1,4604,22282,250000,8.834457114647833e+307,-5.080606906172786e+307
1,4107,22314,250000,-1.998437342303542e+307,2.9114987005999884e+307
1,3924,22703,250000,9.61393909809022e+307,1.5618258684244312e+307
1,3909,22499,250000,8.374308211298201e+307,-1.035433911317431e+308
1,3885,22722,250000,-3.8486141328591063e+307,-1.1394910565306284e+308
1,3907,22453,250000,1.680643831363992e+308,-1.578071971546013e+308
1,3908,23701,250000,-1.2038585624976646e+308,-5.09471840087056e+307
1,3880,22262,250000,2.7145818775503275e+307,-7.918068332582254e+307
1,3919,22515,250000,-2.4825513281764395e+307,-8.90902187259603e+307
1,3914,22410,250000,3.5862042604689657e+307,-1.665813000830278e+307
1,3880,22441,250000,-4.579775379183904e+307,1.029856407061993e+308
1,3908,22421,250000,5.832795582270538e+307,3.639552336430301e+307
1,3913,22580,250000,-2.532497713311842e+307,-6.750461260783271e+307
1,4416,22355,250000,-1.443365592748524e+308,-1.3661482551883543e+308
1,4726,22372,250000,1.1757995572709406e+308,1.0255625544656597e+307
1,3903,22354,250000,1.785745773366712e+307,8.650226786316094e+307
1,3881,22538,250000,4.241199510260684e+307,1.3538546495724132e+308
1,3908,22628,250000,-7.82530042950186e+307,9.489423629109539e+306
1,3910,22374,250000,-3.3735682552529757e+307,-5.729141819985315e+307
1,3914,22399,250000,8.002390889172873e+307,-5.449460937072372e+307
1,3913,22388,250000,-4.342088132136642e+307,1.331942850341275e+307
1,3927,22494,250000,3.744276825526004e+307,6.203898653156327e+307
1,3915,22420,250000,-8.779282733886863e+307,-1.7767455903599115e+308
1,3907,22527,250000,1.0764349543654703e+308,3.5625692410670887e+307
1,3918,23089,250000,1.176632343534704e+307,-1.244747668766786e+308
1,4788,22541,250000,-4.00496390997229e+307,2.5899514561476177e+307
1,4228,22481,250000,6.72447281666255e+306,2.9137991084330486e+307
1,3918,22520,250000,-7.631834891387224e+307,3.190242374299982e+307
1,3930,22536,250000,-9.27026285969981e+307,-1.0042356967567823e+308
1,4314,22395,250000,-2.783002681019973e+307,1.7278619082974158e+308
1,3915,22469,250000,1.3780907227572853e+308,1.5129315654527984e+308
1,4162,22514,250000,4.918301974305358e+307,5.014729539920984e+307
1,4401,22492,250000,-9.607877784672235e+307,6.723990507418545e+307
1,3923,22398,250000,-1.1544968336244046e+308,-1.230646986466775e+308
1,3908,22451,250000,-6.032772118854467e+307,-1.3580624747954287e+308
1,3935,22472,250000,-1.3944850272064437e+308,-5.27361189436744e+307
1,4022,22748,250000,1.9488739438739604e+307,3.539920140407419e+307
1,3965,22357,250000,-8.232369217557369e+307,-1.702545080408556e+308
1,3909,22421,250000,1.1370446954583574e+308,-6.709172396678261e+307
1,3898,22374,250000,3.1538209773034973e+307,-5.688163392842847e+307
1,3982,22416,250000,-1.2949220715560672e+308,1.0700095702560111e+308
1,3934,22492,250000,1.5692703261676897e+308,7.188038302751793e+307
1,3908,22388,250000,-3.590921756578592e+307,1.5343841362187631e+308
1,3958,22388,250000,9.323105164487485e+307,-7.620222966406215e+307
1,3911,22464,250000,1.6329205618518946e+308,1.4838556264552148e+308
1,3909,22271,250000,1.0567924883410073e+307,-6.422511032776526e+307
1,3905,22503,250000,3.853942265960499e+307,-4.6126207536837534e+306
1,3909,22226,250000,1.7068397095315308e+308,1.7968743448114684e+307
1,3926,22407,250000,1.3517465859316148e+308,9.529875708295588e+307
1,3967,22356,250000,2.992859808597146e+307,3.613972522686197e+307
1,3930,22323,250000,2.9552707340964194e+307,-1.0963690664670258e+308
1,3914,22556,250000,-1.660778986411026e+308,8.702808477682031e+307
1,3911,22368,250000,7.842970055248688e+307,-5.60151476658351e+307
1,3931,22613,250000,9.578285542866978e+307,1.0551346518704212e+308
1,3916,22450,250000,-5.5933977888513277e+306,1.3112177717033656e+308
1,3958,22383,250000,1.7446429304372939e+308,-1.0702086531531864e+308
1,3908,22289,250000,1.6228315326527481e+308,1.7294179636923423e+308
1,3920,22339,250000,5.160642521594258e+307,1.4728326539195201e+308
1,3998,22389,250000,7.11930668613905e+307,1.0383200202145883e+308
1,3906,22513,250000,-1.5208133459470326e+308,-7.424526908513593e+307
1,3914,22418,250000,7.005204546601379e+307,8.918216454087333e+307
1,3952,22333,250000,5.473903274950291e+307,-1.2065919078768189e+308
1,3909,22366,250000,-6.542324726683177e+307,3.215630556284619e+307
1,3907,22326,250000,-4.325466301888588e+307,-1.532528456260299e+307
1,3907,22280,250000,-6.124146945755607e+307,-1.2301216210967105e+308
1,3909,22260,250000,7.479550723152355e+307,1.0871381657137476e+308
1,3919,22263,250000,1.7307717250663273e+308,1.082763995391717e+308
1,3967,22370,250000,-3.7624222048373045e+307,-4.3065473578715504e+306
1,3904,22389,250000,1.0260368594966241e+308,6.122807333915889e+307
1,3908,22205,250000,-1.6744142110170841e+308,1.0936783099177647e+308
1,3922,22513,250000,-6.057558506218762e+307,-4.542375427313585e+307
1,3912,22354,250000,6.051273847237994e+307,-1.7336698180542272e+308
1,3915,22424,250000,-1.4830788851841207e+308,9.208503864743696e+307
1,3960,22393,250000,1.2388186246430897e+308,-1.6204526233955463e+308
1,3910,22437,250000,3.8051823112649393e+307,-3.5818586149944503e+307
1,3908,22449,250000,1.1897755819396778e+308,-1.2192895984610071e+308
1,3908,22410,250000,1.5851315220600404e+307,-1.420381405467703e+307
1,3904,22528,250000,-1.6159582987680352e+308,-9.859691921176215e+307
1,3905,22376,250000,-1.7797569715243499e+308,-7.667367205621252e+307
1,3965,22262,250000,1.7672325746717699e+308,-2.807051458714833e+307
1,3907,22395,250000,-1.3014699741456364e+308,-8.126694336698663e+307
1,3908,22313,250000,-1.3780017129717784e+308,7.642329746221405e+307
1,3914,22409,250000,1.0864469655081296e+308,7.588967413542626e+306
1,3932,22437,250000,1.435854967610581e+308,-1.501954318802769e+308
1,3914,22244,250000,-1.26161434164058e+308,3.1764964399223027e+307
1,3966,22411,250000,-1.3648147788831424e+308,-9.00293468407109e+307
1,3903,22490,250000,1.4648673471738918e+308,-7.052977589273056e+307
1,3912,22356,250000,6.718515974689892e+307,1.2716840958263372e+308
1,3913,22442,250000,-1.595999988883491e+308,5.33157371188763e+307
1,3916,22251,250000,3.414148677414005e+307,1.4551018245023603e+308
1,3908,22395,250000,-1.2835552402529361e+308,1.3413948677823943e+308
1,3968,22220,250000,-1.753301222966226e+308,4.553111231994382e+307
1,3905,22463,250000,-4.83763264017698e+307,1.2786484301794846e+308
1,3913,22357,250000,-1.030013351301696e+308,1.6086296286959673e+308
1,3912,22372,250000,-7.438149677244848e+307,-1.948015042003354e+307
1,3911,22299,250000,9.624076024319143e+307,-1.269530564816374e+308
1,4133,24009,250000,2.1274721344198352e+307,-1.6338422260454954e+308
1,3970,22356,250000,1.2649420356799885e+308,4.946489185105518e+307
1,3913,22466,250000,-2.9314892398409675e+307,-1.6045048187301244e+308
2,3909,22474,250000,-1.457042212559961e+308,1.5838700996605386e+308
2,4268,23818,250000,-1.2143399765819884e+308,-1.629724179738551e+306
2,4593,22746,250000,-1.3900256498558247e+308,-1.422436077065024e+307
2,4057,23618,250000,-7.74689657829431e+307,1.447822381707438e+308
2,4355,22811,250000,8.808240856923711e+307,1.2651947654384234e+307
2,3946,23703,250000,1.6555531612292089e+307,1.303742485400602e+308
2,3907,22989,250000,-4.601138169658471e+307,-4.712736410138963e+307
2,3909,23519,250000,-1.9898224964923075e+307,-1.6975341068925768e+307
2,4756,22848,250000,-1.2266518685932754e+308,1.4994676442644607e+308
2,4216,22810,250000,6.86305147801559e+307,3.0641947837031135e+307
2,3902,22653,250000,1.0474229247040326e+308,7.671593115783296e+307
2,4871,23590,250000,-5.543006804810442e+306,9.797847316897462e+306
2,4285,22953,250000,-1.467404439841866e+308,1.091633480407198e+308
2,4589,22378,250000,1.540432196282912e+308,-1.4039707616332275e+307
2,4895,22381,250000,-1.766396257264213e+308,-1.5545898353565487e+308
2,4376,23017,250000,-6.073595502787778e+307,-9.725988627707823e+307
2,3909,22723,250000,1.195074722244984e+308,-1.8447798629487181e+307
2,3948,22715,250000,4.934010663857077e+307,1.3762533613192622e+308
2,4449,22916,250000,4.818427701581931e+307,-6.693508726667377e+307
2,4707,26679,250000,-1.0103805626397924e+308,2.5819965191238356e+307
2,4252,22307,250000,9.128386135916454e+307,1.0612391094757603e+308
2,3913,24074,250000,-1.5273925531639082e+308,9.735750362162979e+306
2,4806,24522,250000,-7.428986450122214e+307,-7.727197071407982e+307
2,4350,24278,250000,1.3156853751942528e+308,1.4310829848946664e+308
2,3911,24396,250000,1.3515051892141493e+308,-1.9697296401901116e+307
2,4653,24251,250000,1.6902422804450224e+308,-1.0308879164922578e+308
2,3904,24007,250000,1.3791230563041893e+308,5.881081295470149e+307
2,3899,22676,250000,1.600824703630882e+308,1.14279313650909e+308
2,3905,23858,250000,1.6775690498589897e+308,1.1313134060853517e+308
2,4048,24150,250000,2.566767925205764e+307,9.625910102469192e+307
2,4756,22816,250000,1.0066210445924003e+308,-3.5948392248202203e+307
2,3904,22669,250000,-2.5709511000096905e+307,2.842909953826163e+307
2,4558,22840,250000,1.3672178986846605e+308,2.7367692767526305e+307
2,3902,22515,250000,-8.750622732392392e+307,-1.0314382334625721e+308
2,3903,22281,250000,-1.5513728665167014e+308,-1.6397084261318959e+308
2,3950,22807,250000,1.437814797531118e+308,-2.3248933275211686e+307
2,4101,22414,250000,9.30760791638247e+307,-4.665097741115193e+307
2,4403,22531,250000,-1.4038374492007995e+308,6.365581531837603e+307
2,4715,22312,250000,1.1148925495063945e+308,1.751868662287462e+308
2,4194,22452,250000,-2.7702140294506533e+307,-1.6056411527099714e+306
2,4499,22304,250000,1.1235641256691595e+308,-2.451818413479177e+307
2,4762,22333,250000,9.914599604040073e+307,-6.05475881577912e+307
2,4278,22327,250000,-7.118549240389727e+307,5.338915447806094e+307
2,4541,22322,250000,4.763541331850548e+307,2.878434766053057e+307
2,4861,22387,250000,1.2055287754710856e+308,-6.775162386814677e+307
2,3900,22478,250000,-1.946721842034354e+307,1.549045999835325e+308
2,3907,22563,250000,3.563053998328781e+307,1.6697848048633348e+308
2,3961,22756,250000,1.1858086660630904e+308,-1.0472902138632422e+308
2,3905,22821,250000,4.911686248536716e+307,-1.4569420196050342e+307
2,3910,22744,250000,1.7780832159956081e+308,-7.63703640774267e+307
2,3908,23714,250000,-3.258195947326667e+307,1.5402151239451937e+308
2,3906,22382,250000,1.1222828841883978e+308,-1.5730693195588634e+308
2,4802,22443,250000,9.465277064003163e+307,1.0854174311371572e+308
2,4023,22535,250000,-1.0363353289592204e+308,-1.2488373998060263e+308
2,4569,22938,250000,1.5198768120897107e+308,1.0880907382684499e+308
2,4865,22629,250000,9.73998300597003e+306,2.51674773951754e+307
2,3911,22792,250000,-1.041842469887104e+308,-5.3992587657317e+307
2,3909,22834,250000,-4.867566245896781e+307,1.6178292844577712e+308
2,3903,24627,250000,-4.966792404135916e+307,8.818592967276816e+307
2,3958,23981,250000,1.0939864016034754e+308,-1.0882165642229093e+308
2,3938,23258,250000,-1.8052829987953824e+307,-8.096415549398119e+307
2,3906,22835,250000,-6.587316943028963e+307,7.673192851446498e+307
2,4522,22729,250000,-1.5541451829347985e+308,-8.417905720254617e+307
2,4703,22716,250000,-2.3091227652074453e+307,4.447518473459451e+307
2,3902,23253,250000,-6.446359704731323e+307,-1.5052182459437298e+308
2,3949,22694,250000,1.5563232502237286e+308,6.795890172036291e+307
2,4051,22949,250000,-1.3669652089385056e+308,4.745542807972497e+307
2,4355,22872,250000,2.2364350771059189e+307,6.362065669403475e+307
2,3902,22772,250000,-1.5783391124086724e+308,-1.5272522536362915e+308
2,4145,26544,250000,-8.257668412665563e+307,5.332740623718704e+307
2,4436,22788,250000,1.0911501531161537e+308,5.934620042904298e+307
2,3982,22918,250000,4.762306760478008e+307,1.1265008037785228e+308
2,4229,22783,250000,6.022168755601396e+307,-4.600256283545213e+307
2,4518,22784,250000,1.411643475232869e+308,-1.786666652654776e+308
2,4731,22707,250000,-1.7502549250157418e+308,-1.6145275963671675e+308
2,4307,23880,250000,5.612384919496168e+307,6.498683225728281e+307
2,4603,22605,250000,9.635715809352568e+307,-8.525859802570444e+307
2,4941,22731,250000,-1.222737053339547e+307,1.1034249340198747e+308
2,4385,22826,250000,-1.722979195081372e+308,1.2222218044948488e+308
2,3909,23426,250000,5.710275019042369e+307,1.3880029514299422e+308
2,3897,22629,250000,-2.461482119848992e+307,-1.2491180284253446e+308
2,3902,22652,250000,-1.3604952637974232e+308,4.683456659293509e+307
2,3957,22661,250000,3.497384088571633e+307,-1.0101674420858575e+308
2,4280,22657,250000,1.0461509163204847e+307,1.441966496036674e+308
2,4443,22704,250000,-1.1657090254313317e+308,-6.201274838333208e+307
2,4701,22718,250000,1.0129079796898367e+308,-8.308974307541482e+307
2,4322,23113,250000,-2.87994637923756e+307,8.950914666677925e+307
2,4610,23559,250000,-9.253917795122625e+306,3.1731160233821865e+307
2,4873,22674,250000,1.6269011267313962e+308,-7.949077804063558e+307
2,4462,22974,250000,3.9975952699583933e+306,-7.385278190172735e+307
2,3904,22904,250000,-1.1384447550934632e+308,1.1691240498198004e+308
2,3906,22988,250000,-7.152453477632691e+307,1.1303076205463812e+308
2,3913,22797,250000,1.3589661227552976e+308,1.101236245935483e+308
2,3899,22866,250000,-1.4090851622173068e+308,4.2080736505429074e+307
2,4258,22750,250000,-2.2376607761424504e+306,-2.539042647584093e+307
2,3949,22719,250000,1.7041459215111017e+308,1.0421065130780962e+308
2,4726,22438,250000,-5.962869176686691e+306,9.389999475562593e+307
2,4325,22365,250000,-3.217445838606736e+307,-1.207501104706751e+308
2,3898,22320,250000,1.674572696242238e+308,-8.985110956341189e+307
2,4118,22461,250000,3.9065763020415796e+307,2.967886143882503e+307
3,3908,22566,250000,1.1229777208337165e+308,1.2776778499316192e+308
