elapsed.ps,repeats.n,param.a.vector2,param.b.vector2
52719,100000,-4.41966027e+37; -2.18375938e+38,3.19857676e+38; -9.38763114e+37
57476,100000,-2.30862033e+38; 6.78887541e+37,-3.39772637e+36; 2.03142165e+38
52134,100000,1.59350911e+38; -2.98540438e+38,3.04418077e+38; -3.07244208e+38
50724,100000,-2.63354108e+38; -2.83764398e+38,-5.24262157e+37; -2.04056496e+38
57538,100000,-2.74957999e+38; 1.00405736e+38,-2.6488758e+38; -3.93956575e+37
50946,100000,-3.40127592e+38; 2.38933336e+38,3.07412937e+38; 2.54033043e+38
51459,100000,2.58087476e+38; 3.13972938e+38,-7.80082973e+37; 7.52589964e+37
55736,100000,-1.76169298e+38; -3.06311177e+38,1.06124656e+38; -1.38758454e+38
57369,100000,-6.83038488e+37; 1.01302209e+38,9.81217037e+37; -1.91232172e+38
52977,100000,-2.10527436e+38; 7.67423453e+37,-1.53345842e+37; 2.28838294e+38
62737,100000,1.22696906e+38; -1.77575924e+38,2.64362894e+38; -9.14708481e+37
51004,100000,2.40731433e+38; 3.36724021e+38,-3.20682684e+38; 2.60536293e+38
55820,100000,1.35652193e+38; -2.66554206e+38,2.418049e+38; 7.73540324e+37
51817,100000,-2.69444941e+37; -2.40783782e+38,4.84965394e+37; -2.7849803e+38
50757,100000,-2.67373554e+38; -1.26206939e+37,1.644062e+38; 2.62673167e+38
57108,100000,-2.60326046e+37; -2.3715534e+38,-2.72907975e+38; 5.62811159e+37
55238,100000,2.41209935e+38; 1.139159e+38,2.19734758e+38; -1.2388909e+37
54019,100000,1.55585816e+38; -2.52241761e+38,-4.75267056e+37; 2.44920055e+38
60538,100000,-4.13457985e+37; 2.515522e+38,1.26516144e+38; 2.58560421e+38
54481,100000,7.13890518e+37; 2.14729749e+38,1.29657109e+38; -1.66320424e+38
53818,100000,5.34501529e+37; 2.28769638e+38,1.79477603e+38; -3.0604424e+38
58938,100000,2.63845916e+38; -2.32331991e+36,-3.68532726e+37; 6.47961835e+37
59737,100000,3.22850833e+38; -3.12929651e+38,-3.37470454e+38; -9.56992842e+37
50098,100000,8.46439259e+37; -1.76797749e+38,-1.33499134e+38; 3.11329024e+38
49564,100000,3.67282493e+36; -8.46767225e+37,-1.29409856e+38; -2.2767664e+38
53433,100000,2.80077198e+38; 1.05978399e+38,2.27237647e+38; -1.82047242e+38
64328,100000,-2.72961865e+38; 5.42271974e+37,-1.25931473e+38; 1.54736338e+38
52143,100000,2.41381793e+37; -9.47670641e+37,-1.92658958e+38; 2.1786748e+36
52343,100000,-2.48879323e+38; 2.31437384e+38,-2.04031954e+38; -3.2208077e+38
56074,100000,-1.04798135e+38; -2.98462411e+38,-8.75063671e+37; 1.68385345e+38
51732,100000,2.36451378e+38; 1.99707055e+38,2.01735985e+38; -2.50428088e+38
59058,100000,5.14044234e+37; -3.01895473e+38,2.07115813e+38; 4.73420495e+37
51029,100000,-2.35953409e+37; 7.99582887e+37,-6.9578436e+37; -1.70335388e+38
59838,100000,-2.51556418e+38; -1.05403657e+38,-1.68141936e+38; 1.64131019e+38
51131,100000,2.04656429e+38; -2.73008068e+38,-4.23801582e+36; -1.73772323e+38
52673,100000,2.60113952e+38; 1.7769772e+38,-1.58024949e+38; 1.84835893e+37
58803,100000,-3.08025649e+38; 2.16659559e+38,-3.13229446e+38; -1.95222573e+38
50969,100000,2.09732163e+38; 3.35802449e+38,-8.62121504e+36; 2.85322473e+38
51750,100000,3.96738662e+37; 1.96218419e+38,1.90121243e+38; -9.42153015e+37
58173,100000,3.35053683e+38; 1.91730287e+38,-9.38124015e+37; 5.82576278e+36
53908,100000,-1.57688271e+38; 2.94673698e+38,-1.17955558e+38; -3.39245449e+38
53155,100000,-3.27928696e+38; -3.15293181e+38,-1.88025563e+38; -2.92147848e+38
52582,100000,-6.82132676e+37; 3.309813e+38,-1.40047817e+38; -1.68868665e+38
51690,100000,1.34490924e+38; -1.90861308e+38,1.75358509e+38; 2.33015517e+38
50956,100000,-3.36200755e+38; -1.88336067e+38,-6.11499286e+37; 1.26059212e+38
50766,100000,3.0344049e+37; 2.55885638e+38,-2.44423622e+38; -1.63287291e+38
51355,100000,-1.45366017e+38; -1.72938615e+38,3.02085783e+38; -1.81155303e+38
52106,100000,4.6552511e+37; 2.13147396e+38,-1.56723457e+38; -9.31830498e+36
51106,100000,-8.69604154e+37; 1.77920502e+38,2.20734275e+38; 2.84423658e+38
57652,100000,2.24852659e+38; 1.70366929e+37,8.893936e+37; -3.11842737e+38
53110,100000,2.27289225e+38; -2.21913271e+38,-2.68796669e+38; 2.75804688e+38
52230,100000,-2.92249402e+38; 1.90044251e+38,-2.54789632e+37; -3.47047798e+37
51743,100000,2.45529582e+38; -5.39406171e+37,3.02985084e+38; 1.73033273e+38
52763,100000,-9.17398841e+37; -3.12777635e+38,-2.12937413e+38; 5.09828028e+37
52033,100000,3.20517463e+38; 1.03454243e+38,-2.51153402e+37; -2.78531192e+38
51258,100000,2.27659653e+37; 3.2605736e+38,-3.16403014e+38; -2.31588893e+38
53603,100000,1.73503845e+38; 2.7601881e+38,1.44958047e+38; 4.19020283e+37
53410,100000,9.79243153e+37; 2.37376438e+38,-2.09984091e+38; 5.69265326e+37
54137,100000,1.37264513e+38; -1.11282777e+38,-2.78310702e+38; -1.62583917e+38
58443,100000,2.5226253e+38; -3.17402511e+38,-6.73544343e+37; 2.5446954e+38
52186,100000,-2.73096687e+37; -3.34133917e+38,-2.43892406e+38; 7.81975119e+37
51286,100000,-1.99992225e+38; 2.83972333e+38,8.34216825e+37; 4.51600678e+37
54042,100000,-2.60486256e+38; 2.98118564e+37,1.98470558e+38; 1.02959525e+38
53246,100000,1.06586882e+38; 1.58551318e+38,3.12165593e+38; 1.40218565e+38
51594,100000,2.56234151e+38; 2.87694642e+38,2.77861811e+37; -2.27580318e+38
56182,100000,1.09087317e+38; 5.82969186e+37,2.54339165e+38; 2.12857196e+38
50745,100000,6.52040729e+37; -2.02631454e+38,-1.48142152e+38; -7.33867221e+37
52017,100000,-2.79830848e+38; -1.36032722e+38,3.60482714e+37; 1.38222365e+37
55484,100000,8.8009736e+37; -1.33474405e+37,-3.17331543e+38; -2.74450695e+38
55412,100000,2.06106297e+38; 2.54577098e+38,-1.10670572e+38; 1.28680044e+38
53088,100000,7.40869723e+37; -1.3433548e+38,1.47993299e+38; 2.65934411e+37
52251,100000,2.67730484e+38; 3.23188291e+38,-4.68665132e+37; 2.46963365e+38
50510,100000,-8.55676426e+37; -3.23177562e+38,-1.26260211e+38; -1.56985789e+38
54214,100000,-1.70916742e+38; -1.71400904e+38,-3.20932076e+38; -1.2706956e+38
53099,100000,-2.43555697e+38; 1.61196803e+38,-2.48784361e+38; 1.60761999e+38
52482,100000,2.6178717e+38; 3.08576453e+37,1.35454856e+38; 8.36308601e+37
53717,100000,-1.00969445e+38; 2.26603984e+38,1.58721538e+38; 2.55841524e+38
51918,100000,-2.41331954e+38; 1.38926152e+37,3.19567192e+38; -2.6781748e+37
50668,100000,2.2453599e+38; 8.19265698e+37,1.87012193e+38; 1.40876861e+38
56834,100000,-1.15937782e+38; 1.43498656e+38,-6.17139469e+37; 1.44694599e+38
51872,100000,-2.09211128e+38; -1.556263e+38,1.03857356e+38; -1.01023478e+38
54104,100000,9.86320497e+37; 1.42743319e+38,3.04723125e+38; 1.19524453e+38
52887,100000,-2.20618199e+38; 5.87202252e+36,2.05404039e+38; 1.7368807e+38
53076,100000,8.86023271e+37; -2.67411198e+38,-2.05967991e+38; 2.99823604e+38
53817,100000,2.49530693e+38; -1.81030971e+38,-2.17294683e+38; -1.87463822e+38
51834,100000,2.89044579e+38; 2.77447259e+38,-2.56768186e+38; -7.7820325e+37
52179,100000,3.70853845e+37; -2.85005945e+38,-1.27229476e+38; 2.69229679e+38
54971,100000,-9.35662745e+37; 1.36228051e+38,-2.17554744e+38; -5.70464472e+37
51003,100000,3.29099113e+38; -2.28309065e+38,3.33231755e+38; 2.28578862e+38
55500,100000,9.79409773e+37; 2.95450392e+38,1.9203014e+37; -3.34141969e+38
53970,100000,-1.60971273e+38; -1.63399331e+38,2.71859597e+38; -3.54382145e+37
54171,100000,-6.50765676e+37; -5.8175285e+37,2.65381335e+38; 3.32311786e+38
51004,100000,1.13937268e+38; 1.65037024e+38,1.3972718e+37; -7.49739474e+37
55732,100000,2.91910686e+38; -1.78764645e+37,3.32400176e+38; -3.02203907e+38
51316,100000,2.61662514e+38; 9.98190473e+37,2.57794943e+38; 2.26615849e+38
52295,100000,-3.20639928e+38; 2.1363746e+38,1.82124558e+38; -2.66672959e+38
55476,100000,-1.86999983e+38; -2.80572434e+38,-1.96350648e+37; -1.08253568e+38
52670,100000,7.90013849e+37; -2.1094495e+38,3.64375232e+36; 1.83779948e+38
51493,100000,2.41096516e+38; -2.7270582e+38,-2.19848664e+38; -2.26012569e+38
53917,100000,1.77717231e+38; 1.69245685e+38,3.11035862e+38; -1.74644548e+38
50922,100000,-2.25536075e+38; -9.8625752e+37,-6.37113789e+37; 2.55014894e+38
49973,100000,2.24519966e+38; 1.23938057e+38,-2.57296361e+38; 9.97559183e+37
51672,100000,-2.25237518e+38; 2.56601607e+38,1.97028337e+38; 7.06106839e+37
58908,100000,-1.87691938e+38; -3.30826221e+38,2.97673263e+37; -1.29982763e+38
51870,100000,-1.08444679e+38; 1.20000704e+38,-1.58971276e+36; 1.14934128e+38
54084,100000,8.72859278e+37; 7.21323869e+37,-4.18483839e+37; 3.35363051e+38
51743,100000,2.48895742e+37; 3.25922786e+38,2.32482759e+38; -2.26854695e+38
52346,100000,3.0114837e+38; 1.65251307e+38,5.36739338e+37; 7.61681554e+37
52474,100000,-1.09460757e+38; 2.14184198e+37,4.78877528e+37; 1.05009894e+38
54716,100000,-1.36841797e+38; 2.76577245e+38,-5.36280195e+37; 2.06106662e+38
54163,100000,-2.23655733e+38; -2.46681947e+38,-2.7728574e+37; 3.14921729e+38
51637,100000,-3.40372679e+37; 3.61331609e+37,1.67396456e+38; -3.12742161e+38
54427,100000,-3.14901203e+38; -3.24911323e+38,-1.73372516e+38; 5.04235205e+37
52915,100000,3.12987116e+37; -1.71739478e+38,5.12951114e+37; 7.41880192e+37
55440,100000,-1.67335589e+38; -2.0321725e+38,-2.77905033e+38; -9.86908991e+37
60051,100000,2.93556766e+38; 1.17571003e+38,3.1523852e+38; 3.15763834e+38
50413,100000,7.09146006e+37; -2.74387029e+38,2.82217155e+38; -3.17870791e+38
57013,100000,-5.82042229e+37; -6.45548888e+37,-5.63297429e+37; 1.26911651e+38
50057,100000,-4.58233533e+37; 9.41735907e+37,7.99075015e+37; 2.78032691e+38
55302,100000,1.00761104e+38; -4.54600143e+37,-2.32047255e+38; 2.55191716e+38
53602,100000,2.63581514e+38; -1.30739692e+38,2.38790513e+37; -1.90029729e+38
55449,100000,-3.35097757e+38; 5.2095762e+36,1.45598859e+38; 9.8716891e+37
