elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
28271,100000,-3.078588663637217e+38; -8.790699544246209e+37; 2.026458542209198e+38,-3.2344561419039355e+38; 2.026262816956523e+38; -5.521990976063866e+37
19512,100000,-5.441916022948649e+37; 2.7476067145103946e+38; -1.007046685597166e+38,-1.62923779273853e+38; 2.4108404249887067e+38; 2.399267079244767e+38
19441,100000,-2.602082251021058e+38; 1.4804860936451086e+37; 6.885193022055379e+37,1.0118227874106338e+38; 1.0511773552368873e+38; -2.428742491001274e+38
19303,100000,-2.02724549970182e+38; 5.754814910910204e+36; 2.8994783552610977e+38,-9.22249480465979e+37; -1.7083157640096793e+38; 1.2449115851733834e+38
19410,100000,-1.3714714886230654e+38; 1.4582083005846496e+38; -1.8910136249964925e+38,3.979771565838243e+37; 1.1946880796887251e+38; -1.093821831312901e+38
19384,100000,-1.316620957035526e+38; -3.2413055116270887e+38; -2.0304221306939437e+38,1.4538979843077296e+38; 3.121650450290826e+38; -1.1505156282852203e+38
28827,100000,-5.909690249758148e+37; 2.5084570256978337e+38; -5.799085706647275e+37,-9.975188208617545e+37; -2.5758885331384222e+38; -2.1943674842335087e+38
19513,100000,-3.2435311004328974e+38; -3.0257304731450443e+38; -2.0748829979620125e+38,3.238179181010782e+38; 1.1550364823120792e+36; -1.5869597183920062e+38
20065,100000,1.7622418233674842e+38; -1.307217119234841e+38; -1.8064708626937833e+38,-3.2857485303747063e+38; 1.1320167523700657e+38; -1.9184685031082835e+38
22205,100000,1.497673103307099e+38; 3.327098076009575e+38; 1.955541299854126e+38,2.9493807902017302e+38; -2.6366108223062187e+38; 1.8025735976884416e+38
19802,100000,2.6895631231789523e+38; -2.7640472300869225e+38; 2.170513747946846e+38,-1.794183373307699e+38; -2.425509880558644e+38; -1.9595298357026842e+38
19960,100000,-3.3165084271314123e+38; -2.265275903740403e+37; -1.256206453433465e+38,-8.606550476852254e+37; 1.0592338325676018e+38; -2.891320567294413e+38
20806,100000,-2.9888724671169043e+38; 2.355699449295643e+38; -2.1626846871338125e+37,-1.8581877619975585e+38; -9.939077406559204e+37; -1.509220690390842e+38
20155,100000,-2.209210557229653e+38; -2.2881330638311903e+38; -1.4819853693630105e+38,-3.3911990089691477e+38; -1.8024003859104264e+38; -1.5937920508910923e+38
20063,100000,2.717732144932888e+38; -2.8059222929546218e+38; 6.342530561326557e+37,2.8037989274932155e+38; -1.703770070369309e+38; 1.884868257710682e+38
20141,100000,8.072513617867625e+37; -2.513962482960649e+38; 3.1505934487952368e+38,2.1872008976241544e+38; -9.186906274648742e+37; -1.4906213151361013e+38
20031,100000,2.3871156848271233e+38; -2.456570971097964e+38; 3.10475540591508e+38,-3.0030216788805078e+38; -1.5337469913799617e+38; -7.578369723272179e+37
20016,100000,1.4978651777260455e+38; -1.7672493474745298e+38; -2.3480034917956335e+38,1.5387606002098884e+38; -2.8352790526149472e+38; -2.2641004366918235e+38
19682,100000,7.489237153088212e+37; 2.2062535847335367e+38; -3.0532737825627072e+38,-1.1949835943966503e+38; -2.3869384165671874e+38; -3.0995421167626054e+37
19749,100000,2.4618330394455355e+38; -3.1872159760478784e+38; 2.3813564439141424e+37,-2.7330137236246632e+38; -2.8303767942137446e+38; 2.3263094264835677e+38
