runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3982,26491,250000,1.3696323432066255e+308
1,4384,26966,250000,-1.7432230494059274e+308
1,4734,25909,250000,-8.544676878439701e+307
1,4229,26069,250000,1.0868231254814384e+308
1,4511,26014,250000,6.839284505523936e+307
1,4879,26026,250000,1.0530093606721854e+308
1,4337,26018,250000,1.0290146320977166e+308
1,4601,25935,250000,-1.3365887912461446e+308
1,4884,25969,250000,7.225608559466928e+307
1,4424,25847,250000,-9.068677801347883e+307
1,4679,26005,250000,4.0865332563856354e+307
1,4163,27184,250000,6.394184543510115e+307
1,4553,27405,250000,-2.8024163063596536e+307
1,3959,27487,250000,4.312947436053152e+307
1,4316,26060,250000,-1.62119020480095e+308
1,4608,25925,250000,6.322813100464694e+307
1,4853,25983,250000,1.7380665241047375e+308
1,4409,26019,250000,1.0459866836695707e+308
1,4661,25925,250000,-1.7184438781843867e+308
1,4878,25829,250000,1.301718365809404e+308
1,4402,25797,250000,-6.339466168224179e+307
1,4708,26504,250000,6.074451541664711e+306
1,4189,25938,250000,3.1062144725445674e+307
1,4555,26255,250000,4.0689021714053527e+307
1,4825,26691,250000,-3.5897081063106397e+307
1,4261,25974,250000,8.753088188592516e+307
1,4556,26903,250000,6.478071658738674e+307
1,4879,26901,250000,1.7958808285937191e+308
1,3898,25855,250000,3.113680243692858e+307
1,3908,27513,250000,-3.2984911538385944e+306
1,4956,26027,250000,6.064890141716806e+307
1,4420,26027,250000,3.1131502784608896e+307
1,4711,25897,250000,1.0027917504299558e+308
1,4169,26043,250000,-1.5536485170535814e+308
1,4495,25853,250000,5.965206389279217e+307
1,4790,26048,250000,1.5760680814012816e+308
1,4343,25996,250000,1.526022753404714e+308
1,4574,26032,250000,-8.714687213905787e+307
1,4066,25909,250000,-6.77789688471744e+307
1,4372,25867,250000,-1.022212386218341e+308
1,4647,25949,250000,3.825981323697283e+307
1,4881,26025,250000,4.1401853252112617e+307
1,4489,25895,250000,-1.0974740664846567e+308
1,4723,26003,250000,-1.2194521591266658e+308
1,4230,25834,250000,-9.580033414228765e+307
1,4526,25879,250000,-1.3657826937807524e+308
1,4718,25910,250000,8.853930135448394e+307
1,4301,27277,250000,-1.1644834279325372e+307
1,4658,26700,250000,7.530897648253432e+307
1,4871,25897,250000,-1.2006814821394956e+308
1,4375,27022,250000,-6.22997950579094e+306
1,3906,25884,250000,1.7683796487823354e+308
1,4885,26128,250000,-8.131040051345451e+307
1,4501,25844,250000,1.5975051819089302e+308
1,4801,26045,250000,9.914671785012454e+307
1,4247,25814,250000,5.880582446667824e+307
1,4545,25762,250000,1.1916370136092583e+308
1,4828,26862,250000,2.1523712872807379e+307
1,4318,27512,250000,4.3466109224793893e+307
1,4691,25885,250000,-5.750678417121205e+307
1,4935,26752,250000,-5.659858950462903e+307
1,4389,25910,250000,2.5097168268041617e+306
1,4688,25773,250000,1.412047859879233e+307
1,4208,25977,250000,-1.0447779700066696e+308
1,4464,25919,250000,-7.654455911160193e+307
1,4804,25800,250000,1.7572940849087671e+308
1,4312,26928,250000,1.009817921074268e+307
1,4545,26546,250000,9.373557529729465e+307
1,4839,26817,250000,-1.7237551880107114e+308
1,4370,25884,250000,-7.682087285609494e+306
1,4627,25890,250000,2.3208685701307476e+307
1,4876,25814,250000,1.61466361079648e+308
1,4468,25868,250000,5.766197494659187e+307
1,4714,25914,250000,-1.698389136096063e+308
1,4200,27091,250000,-3.961627983974401e+307
1,4496,25860,250000,2.1143981945122255e+306
1,4776,26600,250000,-1.5079449184949899e+308
1,4273,25832,250000,-1.6902414870924907e+308
1,4616,25871,250000,-5.682054073091562e+306
1,4891,25962,250000,-1.5133892325645106e+308
1,4342,26169,250000,-9.23351556786422e+307
1,4648,26088,250000,1.6583905717186858e+308
1,4876,26015,250000,5.004000871535014e+305
1,4420,25932,250000,1.4568125564406723e+308
1,4787,26085,250000,4.881492337631445e+306
1,4208,25835,250000,-1.4504838649943892e+308
1,4498,25965,250000,-8.034681959978515e+306
1,4746,25862,250000,-1.1328001240525148e+308
1,4278,25952,250000,5.548584508185544e+307
1,3904,26158,250000,-1.5260638694642758e+308
1,4942,26050,250000,-1.382580456473183e+308
1,4364,26720,250000,2.658519424896052e+307
1,4672,25840,250000,1.6314675419600952e+308
1,4160,26575,250000,-2.0223873844621934e+307
1,4431,26042,250000,1.2588725886642286e+308
1,4744,25959,250000,5.894030882777269e+307
1,4274,27346,250000,1.4529137949552756e+308
1,4506,26964,250000,1.3022215588734902e+308
1,4813,26036,250000,1.1962486944177805e+308
1,4312,27354,250000,-3.7254040609634416e+307
2,3514,29457,250000,1.809839633433022e+306
2,3487,31307,250000,1.1762238705506302e+308
2,3538,32110,250000,-1.0654744822834164e+308
2,3336,26963,250000,-9.063551983865373e+307
2,3373,26671,250000,4.921967489369192e+307
2,3354,27016,250000,-2.81927927808957e+307
2,3334,26720,250000,1.0653096270902606e+308
2,3381,26885,250000,1.4784283419376314e+308
2,3400,26940,250000,-1.5090058105734309e+308
2,3333,26822,250000,-1.1997075815376645e+307
2,3362,26659,250000,1.0828278301576323e+308
2,3423,26652,250000,1.2782224547153202e+308
2,3386,26777,250000,-1.0098667275529736e+308
2,3368,26752,250000,1.5474057931851844e+308
2,3438,26556,250000,1.7204516222736936e+308
2,3309,26724,250000,-1.1763072878167038e+307
2,3337,26646,250000,-8.677139208548849e+307
2,3408,26691,250000,-2.0845715803723454e+307
2,3350,26658,250000,6.950752857456258e+307
2,3369,26596,250000,4.131473430615595e+307
2,3384,26643,250000,-7.694834220545804e+307
2,3483,26740,250000,-3.5313815857538594e+307
2,3410,26681,250000,1.6445823427287703e+308
2,3349,26807,250000,-1.7848265577001221e+308
2,3309,26636,250000,-9.907267080417288e+305
2,3362,26826,250000,-9.442182497311951e+307
2,3405,26709,250000,-3.0984472190376363e+307
2,3334,26841,250000,1.1646640830726351e+308
2,3362,26720,250000,-1.048855032534533e+308
2,3333,27229,250000,-7.591472398496763e+307
2,3336,26653,250000,1.796866833946422e+308
2,3342,26537,250000,-1.746801849945937e+308
2,3353,26712,250000,-1.7287569118238495e+308
2,3357,26744,250000,-5.208933180730587e+307
2,3403,26611,250000,1.1177693011745994e+308
2,3433,26822,250000,-1.036055471264423e+308
2,3351,26930,250000,-1.2748636901646367e+308
2,3361,26667,250000,3.4113817605444786e+307
2,3350,26618,250000,8.650995613593428e+307
2,3350,26529,250000,3.6052165079374356e+307
2,3368,26694,250000,-2.9414999652264516e+307
2,3393,27216,250000,4.4832677997056947e+307
2,3451,26741,250000,-1.7740675396271234e+308
2,3461,26724,250000,1.6978921724261564e+308
2,3404,26717,250000,-3.6170691399796097e+307
2,3335,26771,250000,1.12008165900255e+308
2,3395,26735,250000,-1.0584235855807087e+308
2,3463,26722,250000,-1.1718948219757472e+308
2,3356,26897,250000,-1.2662913540492663e+308
2,3386,28341,250000,-1.1946842581832335e+308
2,3416,26692,250000,-7.697505775088915e+307
2,3354,26747,250000,-1.5495912755247573e+308
2,3388,26672,250000,-7.346316803401332e+307
2,3336,26813,250000,-1.4391861729551436e+306
2,3394,26722,250000,2.3294032385643414e+307
2,3392,27688,250000,-1.0763688470201914e+308
2,3365,26696,250000,-1.0845855456732239e+307
2,3496,26813,250000,-1.185336552840033e+308
2,3364,26777,250000,1.4831994758459007e+308
2,3475,27088,250000,-9.291753298680007e+307
