runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,4576,31569,250000,-1.162683710227139e+308
1,4885,31095,250000,-1.4963544612385666e+307
1,3951,31164,250000,1.2570344205953443e+308
1,4675,31215,250000,8.568266445740874e+307
1,4156,31140,250000,-1.0669534933928553e+308
1,3901,31325,250000,-6.501768402075393e+306
1,4714,31521,250000,-9.736767708013847e+307
1,4248,31240,250000,-6.687325033609951e+307
1,4580,31255,250000,-1.2772303281547684e+308
1,4832,31461,250000,-2.6649125131302434e+307
1,4314,31549,250000,8.602223292601223e+306
1,4597,31143,250000,2.4335987995688036e+307
1,3955,31128,250000,2.9962103908473805e+307
1,4388,31157,250000,2.699805690977533e+307
1,4755,31320,250000,1.0388202301843389e+308
1,4179,31050,250000,1.1466092596499528e+308
1,4474,31161,250000,1.0705456693437293e+308
1,4783,31291,250000,-7.024883954383004e+307
1,3901,31106,250000,-1.5696681136706376e+308
1,4551,31258,250000,-6.800963001819974e+307
1,4069,31393,250000,1.3941192113595894e+308
1,4343,31221,250000,-2.849348713669513e+307
1,4624,31179,250000,-8.920480147421189e+307
1,4920,31097,250000,1.064343031968612e+308
1,4410,31389,250000,-1.1124131852061605e+308
1,3904,31332,250000,-1.5362994705534808e+308
1,4249,31331,250000,5.085890783556285e+307
1,3907,31337,250000,2.5163558470410197e+307
1,4708,31459,250000,3.048662671247389e+307
1,4267,31120,250000,1.2295309232338882e+306
1,4577,31368,250000,1.195894888181009e+308
1,4871,31149,250000,1.0122493090946093e+308
1,4405,31114,250000,4.43770183262089e+307
1,4639,31111,250000,3.0705641655576793e+307
1,4880,31141,250000,-4.4792826397019043e+307
1,4456,31035,250000,-1.4334737727380958e+308
1,4696,31431,250000,6.46719544893373e+307
1,4206,31266,250000,-7.281352094626573e+307
1,4563,31089,250000,-1.58153734005164e+308
1,4796,30931,250000,-4.787864794777011e+307
1,4282,31125,250000,9.643721888110263e+307
1,4599,31059,250000,-7.171138843056386e+306
1,4679,31238,250000,-1.4108082188572918e+308
1,4362,31349,250000,2.0161078443261862e+307
1,4713,31407,250000,1.7485892262225792e+308
1,4877,31212,250000,-5.966783995988805e+307
1,4433,31246,250000,-7.206730166742761e+307
1,4738,31213,250000,-6.929400337916836e+307
1,4216,31271,250000,5.848262032027698e+307
1,4514,31080,250000,6.309607488706643e+307
1,4838,31214,250000,3.272360283424043e+307
1,4389,31359,250000,-1.542976368822545e+307
1,3897,31139,250000,-1.545118138611285e+308
1,3903,31107,250000,6.286118042519112e+307
1,4396,31151,250000,2.5702590512303745e+307
1,4716,31277,250000,4.373402379591992e+307
1,4196,31305,250000,3.51585779329007e+307
1,4450,31446,250000,1.5728170264837638e+308
1,4720,31416,250000,-1.6597207922894857e+308
1,4231,31017,250000,-1.5538301841378371e+308
1,4532,31145,250000,1.6681320161891632e+308
