runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3913,27224,250000,1.265933807315389e+308
1,3911,27436,250000,-1.1620525549659738e+308
1,3927,27542,250000,-4.662517279691964e+307
1,3915,27640,250000,-1.5236967597278715e+308
1,4002,27222,250000,9.644787985641865e+307
1,3908,27744,250000,9.115678168845804e+307
1,3914,27234,250000,-2.293299603736851e+307
1,3922,27552,250000,-1.3230219135601265e+308
1,3910,27344,250000,1.8991567067701784e+307
1,3914,27601,250000,-1.1461329403514298e+308
1,3986,27554,250000,1.423674422841522e+308
1,3910,27646,250000,-1.5851956078472194e+308
1,3918,27898,250000,-9.199179508088537e+307
1,3903,27552,250000,-1.1787380015320686e+307
1,3910,27840,250000,-3.240651176380702e+307
1,3910,27753,250000,6.39742905853591e+307
1,4001,27813,250000,9.490383121463964e+307
1,3972,27644,250000,-6.962868966079101e+307
1,3916,27957,250000,7.400545672314417e+307
1,3916,27371,250000,-4.832719362774042e+306
1,3920,27576,250000,-1.7290728873907676e+308
1,3966,26946,250000,7.780363250685033e+307
1,4095,27526,250000,-1.4963288910970333e+308
1,3913,27811,250000,-5.588532789133328e+307
1,3909,27504,250000,6.277503570310965e+307
1,3914,27676,250000,-5.016459097285177e+307
1,3911,27660,250000,-4.168754910361938e+307
1,3914,27233,250000,1.039971732324326e+308
1,4080,27351,250000,-1.4174529474546833e+308
1,4722,26723,250000,1.2385999631535528e+307
1,3908,25993,250000,7.290170152352291e+307
1,4489,26147,250000,1.1856058654848373e+308
1,3907,25901,250000,-9.876163941230384e+307
1,3903,26021,250000,7.770014996337437e+307
1,3903,25967,250000,9.188266630026759e+307
1,3912,26086,250000,-3.0123913493525197e+307
1,4336,26029,250000,-3.204498072293477e+307
1,3902,26042,250000,4.2777018664558496e+307
1,4593,26124,250000,8.621608775565417e+307
1,4421,25902,250000,-1.3461131190047431e+308
1,4775,25984,250000,1.7195007772614363e+308
1,4213,25893,250000,1.2933859207073358e+308
1,4505,25987,250000,6.356975605399969e+307
1,4003,26077,250000,3.640588912448523e+307
1,3900,26097,250000,-1.054179531676499e+308
1,3920,26014,250000,7.997051633273577e+307
1,4935,25920,250000,-1.5512471763825894e+307
1,3899,25978,250000,8.428767275821702e+307
1,4658,25925,250000,1.1235277596717865e+308
1,4148,25874,250000,2.1390132387952423e+307
1,3904,25945,250000,1.0634424382884923e+308
1,4702,26051,250000,-5.376984086021632e+306
1,3953,26032,250000,1.784901094076696e+308
1,4524,25889,250000,1.4395434291040701e+308
1,3905,26047,250000,9.856937672762087e+307
1,3919,25929,250000,-1.0126311005368888e+308
1,4642,25978,250000,9.812062072424935e+307
1,4088,26524,250000,-1.2835613145703937e+308
1,3946,26053,250000,-1.2724661293492062e+307
1,4691,26071,250000,1.159166165120002e+308
1,4176,26427,250000,-5.223138765894405e+306
1,3898,25994,250000,-5.11860219752614e+307
1,4709,26009,250000,-9.833018015074643e+307
1,3900,25941,250000,-1.0938099290201685e+308
1,4587,25971,250000,-4.011050784284893e+307
1,3902,25920,250000,-1.566485679067203e+308
1,3904,26355,250000,-8.231193812877488e+307
1,4628,25950,250000,5.206465783136831e+307
1,4644,26218,250000,5.866772614526127e+307
1,4397,25950,250000,-1.2168883238862833e+308
1,4782,25981,250000,1.3203856175692829e+308
1,3904,25990,250000,5.674761918435247e+307
1,4478,26021,250000,4.294509824241361e+307
1,3974,26166,250000,1.4483850543046615e+308
1,3910,25900,250000,-1.564100502948171e+308
1,4553,25855,250000,9.780677421196333e+307
