runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3959,26267,250000,-1.3576009379464299e+308
1,3920,25982,250000,-3.552200623215154e+307
1,3906,26095,250000,7.81635827013216e+307
1,3905,25893,250000,-1.0015079057023856e+308
1,3897,26228,250000,1.6742738408354336e+308
1,4518,25806,250000,5.832490835228039e+307
1,4874,25774,250000,-1.0162028800628759e+308
1,4317,25735,250000,4.4888262957938967e+307
1,4630,25763,250000,-7.697220396591622e+307
1,4650,25787,250000,1.3715330112523279e+308
1,3899,25903,250000,-2.416844681059218e+307
1,4676,25842,250000,1.4288939916174735e+308
1,4257,25768,250000,-1.806916199210415e+307
1,3897,25952,250000,-5.580184240285737e+307
1,3961,25728,250000,1.3367178331233394e+308
1,4238,25776,250000,1.3323961767448237e+308
1,4535,25686,250000,-1.4531511590480047e+308
1,4870,26303,250000,1.7681309601730726e+308
1,3942,25829,250000,7.339168061649121e+307
1,3907,26197,250000,1.2438249692773475e+308
1,4595,25979,250000,-3.650789036695536e+307
1,4407,25659,250000,-3.1381347999589896e+307
1,4691,25744,250000,1.4702591024908263e+308
1,4197,25682,250000,1.5686679837939624e+308
1,3973,25654,250000,1.342794933504772e+308
1,4773,25970,250000,1.100697154957496e+308
1,3900,25721,250000,-7.53883237836558e+307
1,4549,25766,250000,1.469873426119839e+308
1,4854,25782,250000,-3.306443980041542e+307
1,4340,25911,250000,1.1187462458413287e+308
1,4674,26121,250000,-4.795661095465607e+307
1,4870,25858,250000,1.1037620211233103e+307
1,4415,25802,250000,-4.455728055029255e+307
1,4729,25801,250000,-4.468187174799081e+305
1,4192,25986,250000,-1.0933393066522741e+308
1,4476,25751,250000,8.020231857453242e+307
1,4847,25781,250000,-1.3009165736142235e+308
1,3894,26162,250000,1.103014201766931e+308
1,4566,25743,250000,5.945788701815618e+307
1,4059,25997,250000,-1.6658500329244569e+307
1,4352,25768,250000,4.955272116655373e+307
1,4646,25795,250000,-1.4557031559903787e+308
1,4177,26787,250000,-4.608876631807249e+307
1,3913,25918,250000,3.8148813147575805e+307
1,4741,25766,250000,1.6109661830040594e+308
1,4213,25855,250000,-1.4350809433699136e+308
1,4519,25814,250000,-9.05117128136691e+307
1,4813,25773,250000,-1.673267050551334e+308
1,3951,25881,250000,3.6040614973260607e+307
1,4582,26099,250000,-1.2160760816386927e+308
1,4097,25949,250000,1.0311174581191115e+308
1,4365,25827,250000,-9.953903904331006e+307
1,4673,25871,250000,-1.5711800538905926e+308
1,4195,25805,250000,1.1935001156177643e+308
1,3956,25833,250000,-1.7869189727700643e+308
1,4725,25777,250000,-1.4486901336544267e+307
1,3903,25715,250000,9.908365254640908e+307
1,3907,25965,250000,8.56413798377536e+307
1,3899,26423,250000,-1.3639454653199357e+308
1,3920,26051,250000,-2.574401678145094e+307
1,3964,26109,250000,-1.4122694711852132e+308
1,3906,26142,250000,-8.576943593846032e+307
1,3906,26049,250000,-1.6148540713094863e+308
1,4677,25795,250000,4.709876508496466e+307
1,4177,26056,250000,8.482343442077451e+307
1,4465,25941,250000,-3.395763925767953e+307
1,4805,25809,250000,-1.781088263513543e+308
1,4262,25881,250000,1.686493925437625e+308
1,3915,25999,250000,1.4361367403793872e+308
1,3911,26150,250000,3.5101368267591603e+307
1,3908,26047,250000,1.0974587131064651e+308
1,3919,26367,250000,-9.401035006402621e+307
1,3975,26037,250000,-1.600772787618837e+307
1,3914,26558,250000,1.2453228938042475e+308
1,4716,25860,250000,1.6925840011215008e+308
1,4165,25634,250000,-2.2083265785435517e+307
1,4487,25734,250000,6.628650993091267e+307
1,4765,25732,250000,-1.0756430412144497e+308
1,4304,25718,250000,1.3706536464863079e+308
1,4562,28188,250000,-8.775614146659304e+307
1,4842,25863,250000,-1.4400826829609623e+308
1,4326,25749,250000,-2.1487041140988056e+307
1,4636,25530,250000,1.1223123583672021e+308
1,3905,25720,250000,9.80065772697234e+307
1,4452,25757,250000,3.8477622407377636e+307
1,4714,25792,250000,-8.644770636685584e+307
1,3899,26194,250000,-6.502382865005824e+307
1,4490,26309,250000,1.0018587682384223e+308
1,4805,25758,250000,1.7098468638088832e+308
1,4297,25787,250000,-1.5536010687014044e+308
1,4635,25865,250000,1.0259995215620376e+308
1,4873,25917,250000,-1.2780968898751845e+308
1,4389,26145,250000,1.273374489830724e+308
1,4659,25713,250000,1.5187701190332345e+307
1,4879,25953,250000,7.11485585019403e+307
1,4482,25869,250000,8.969629092723948e+307
1,4773,26207,250000,5.249655822419589e+307
1,4226,25845,250000,-5.757980876599017e+306
1,3898,25931,250000,-1.2575433850163825e+308
1,4745,26422,250000,-2.0612970331745485e+307
2,3379,27738,250000,3.2664568443829194e+305
2,3391,27474,250000,1.4325228065756142e+308
2,3310,27900,250000,-1.5579215396486534e+308
2,3383,28011,250000,-7.387538044807454e+307
2,3395,27960,250000,1.2433116081752914e+308
2,3351,28007,250000,-1.582503192211338e+308
2,3380,27734,250000,1.4969024454481169e+308
2,3372,28222,250000,-1.002364972567117e+308
2,3376,28167,250000,-8.886229802238943e+307
2,3410,28493,250000,-9.755930464776531e+307
2,3423,29226,250000,1.03724010156355e+308
2,3400,28422,250000,-4.700450626015024e+306
2,3440,28508,250000,1.0361694915930032e+308
2,3445,28554,250000,-4.4681276479807767e+307
2,3510,28216,250000,6.320543455991394e+307
2,3502,28583,250000,-9.979878439125999e+306
2,3395,28345,250000,1.3581962723823553e+308
2,3416,28916,250000,-1.6173989830049555e+308
2,3648,29181,250000,-3.2148474449915744e+306
2,3620,28720,250000,-4.617740744945609e+307
2,3418,28524,250000,-1.5016812448971074e+308
2,4185,29464,250000,-6.386091937841805e+307
2,3577,28393,250000,1.1313737628342258e+308
2,3521,29049,250000,-1.5370367843463207e+308
2,3482,28410,250000,-4.434573058873792e+307
2,3567,28558,250000,6.979951920925201e+306
2,3428,28304,250000,1.48764593772763e+308
2,3420,28373,250000,-2.875627350961412e+307
2,3578,28317,250000,1.1940876005830167e+308
2,3369,29103,250000,-4.4802672086427896e+307
2,3414,28439,250000,-1.4601887887329466e+307
2,3386,28016,250000,3.361410529277808e+307
2,3369,28181,250000,-1.3647828267697371e+308
2,3377,28295,250000,-1.2618837411874788e+308
2,3419,28674,250000,-5.101085375092383e+307
2,3414,28324,250000,4.0907040923244966e+306
2,3457,28271,250000,-1.6677964592246027e+308
2,3429,28029,250000,5.78781007068334e+307
2,3410,28323,250000,-1.290571575170292e+308
2,3372,28262,250000,3.3587693277485233e+307
2,3437,28103,250000,-1.2399531009467942e+308
2,3498,28523,250000,-4.952262248698776e+307
2,3433,28381,250000,1.619045031315982e+308
2,3437,28260,250000,2.5171237301876677e+307
2,3379,28346,250000,-9.152650597236869e+306
2,3457,28290,250000,1.8173227339193218e+307
2,3449,28239,250000,2.9224997816753953e+307
2,3997,28433,250000,1.546708990875932e+307
2,3347,27714,250000,-4.2307758578713e+307
2,3436,27810,250000,1.1543241731264751e+308
2,3336,27821,250000,1.185462057261233e+308
2,3365,27927,250000,-1.1321590212715983e+308
2,3365,27859,250000,-1.1964832221630372e+308
2,3396,28050,250000,-1.5546458397807412e+308
2,3418,28709,250000,9.513502731086784e+307
2,3402,27845,250000,-1.9478869919041652e+307
2,3334,28605,250000,5.295788647916725e+307
2,3399,28331,250000,1.1192118741585963e+308
2,3357,27758,250000,-8.089667346939142e+307
2,3356,28003,250000,-1.1960959887377763e+306
2,3393,28467,250000,-2.3266443043058326e+307
2,3360,27800,250000,-7.852491867158883e+307
2,3354,27774,250000,-1.6067257556750805e+308
2,3471,32268,250000,-9.214983752353025e+307
2,3384,27598,250000,-2.6593926461306723e+307
2,3577,28301,250000,-6.462977716761029e+307
2,3377,28377,250000,-2.038352907503302e+307
2,3372,27772,250000,-2.273198349998915e+307
2,4268,27937,250000,1.2569494700331633e+308
2,3361,27653,250000,7.267965361407973e+307
2,3613,28439,250000,-6.632665525312033e+307
2,3309,29443,250000,4.185004798954798e+307
2,3347,27766,250000,1.0142905305825334e+308
2,3393,28337,250000,3.415473008688132e+307
2,3339,27687,250000,1.71984649161374e+308
2,3345,27918,250000,8.241987134884582e+307
2,3366,27638,250000,-1.5714781370204004e+308
2,3310,27787,250000,-3.65653706994603e+307
2,3368,27654,250000,1.4886217889626475e+308
2,3330,27620,250000,-2.3876218102259784e+307
2,3338,27449,250000,3.6675796289765046e+307
2,3353,29702,250000,1.5837380203742525e+308
2,3449,28700,250000,6.378549024488275e+306
2,4350,27728,250000,6.63288094944345e+307
2,3377,28498,250000,6.958348723352728e+307
2,3589,28696,250000,1.030402160255736e+308
2,3509,28446,250000,1.6618632450963507e+308
2,3561,28267,250000,-4.255616634614392e+307
2,3409,29489,250000,1.5540220150684221e+308
2,3414,28608,250000,-3.3807968398060006e+307
2,3663,28358,250000,-2.4109851008188977e+307
2,3386,28034,250000,9.86118247952708e+307
2,3495,28236,250000,-1.0045768083160625e+308
2,3413,28159,250000,-1.5547662962591892e+308
2,3456,28368,250000,-1.625896303676509e+307
2,3369,28535,250000,-5.098405026955246e+307
2,3411,28607,250000,1.4613046179641118e+308
2,3483,28373,250000,-7.5314112574278e+307
2,3561,29263,250000,1.1300745948829599e+308
2,3414,28382,250000,-1.4795953143540865e+308
3,4323,26314,250000,6.01150357720528e+306
3,3910,25888,250000,1.2380824296985422e+308
3,3914,25923,250000,-1.0421192952487413e+308
3,3905,25837,250000,-1.1488307108309221e+308
3,3919,26038,250000,1.6695796359366374e+308
3,3921,26158,250000,-1.068245356225538e+308
3,3976,26334,250000,7.691364269233853e+307
3,3919,25621,250000,3.4616902976245893e+307
3,4210,25853,250000,5.164890528434726e+307
3,3915,25907,250000,7.860538836882125e+307
3,3989,25668,250000,-3.904623050298581e+306
3,3911,25736,250000,-8.375272396607395e+307
3,3953,26309,250000,8.822662355834235e+307
3,4082,26240,250000,-1.4891564821835747e+308
3,3911,26144,250000,2.2452551622832344e+307
3,3912,25676,250000,1.0703057783365629e+308
3,3914,25888,250000,-1.7936584422616111e+308
3,4437,25791,250000,8.075423759603172e+307
3,3990,25805,250000,-1.3859586297506907e+308
3,3920,25771,250000,1.7349268998363928e+308
3,3908,25943,250000,1.3390491585063274e+308
3,4026,25615,250000,-1.1259224355973482e+308
3,4302,25990,250000,-9.393948898613026e+307
3,3915,26206,250000,1.1756833020362816e+308
