runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3244,26334,250000,1.1408498824062652e+308
1,3317,25851,250000,-7.504219138655961e+307
1,3265,26308,250000,-1.1526662367508986e+308
1,3246,28207,250000,1.5021186752998379e+308
1,3268,25575,250000,9.70957006386996e+307
1,3264,25535,250000,8.651836927636662e+307
1,3244,25802,250000,-2.5510514264730005e+307
1,3326,26023,250000,1.3784477938899292e+307
1,3281,28061,250000,-3.3105112399889616e+307
1,3244,25759,250000,-5.173088557859502e+306
1,3267,25573,250000,-8.721043363898454e+306
1,3267,25361,250000,1.6424069095626163e+308
1,3247,26721,250000,4.1320807965768873e+307
1,3320,25947,250000,8.539922642739293e+307
1,3281,25576,250000,-1.4525514249478549e+308
1,3244,25715,250000,9.32060286952723e+307
1,3272,25560,250000,1.4675864379534187e+308
1,3266,25793,250000,-1.2392762053384888e+308
1,3246,25139,250000,-7.033642844600955e+307
1,3244,25834,250000,1.723157644140935e+308
1,3262,25494,250000,1.288623742031635e+308
1,3252,25678,250000,1.7322106220355188e+308
1,3268,25609,250000,9.191038065228048e+307
1,3263,25902,250000,1.3170536162550038e+308
1,3244,25569,250000,-1.431780075746334e+308
1,3318,25793,250000,5.807863709371137e+306
1,3278,25628,250000,3.341229866726087e+306
1,3246,25663,250000,9.41254910074179e+307
1,3274,25787,250000,1.0067247559868737e+308
1,3271,25647,250000,-1.7852717440549411e+308
1,3244,25810,250000,5.770984088196323e+307
1,3318,25526,250000,-6.784098290313182e+307
1,3285,25938,250000,5.495328610013946e+307
1,3247,25682,250000,-7.90903077944383e+307
1,3269,25800,250000,-4.550838753229667e+306
1,3267,25479,250000,1.080244598994715e+308
1,3246,25555,250000,-1.4654092915445527e+308
1,3329,25339,250000,6.61429166769201e+307
1,3270,26001,250000,-6.226006381263223e+307
1,3245,25629,250000,1.0550248875993825e+308
1,3262,25612,250000,-1.115260407416345e+308
1,3263,25652,250000,-6.008072712231762e+307
1,3245,25525,250000,-2.480670339755996e+307
1,3324,25662,250000,2.373333118136262e+307
1,3261,25528,250000,-3.0214258765879087e+307
1,3244,25801,250000,1.6710047052809586e+308
1,3280,25482,250000,-1.6221371632920558e+308
1,3292,25591,250000,9.794310749214291e+307
1,3244,25644,250000,-1.3062038055243759e+308
1,3313,25675,250000,8.047671044408123e+307
1,3275,25592,250000,3.5731685602131394e+307
1,3244,25705,250000,-1.1574048812479479e+308
1,3277,25558,250000,4.0297763170495675e+307
1,3265,25437,250000,1.6701479044937742e+307
1,3249,25653,250000,1.1370477510352739e+308
1,3329,27299,250000,-1.3245046461687657e+306
1,3275,25880,250000,7.715842485187396e+306
1,3254,25819,250000,1.380387175272936e+308
1,3268,25572,250000,-1.5242913978220345e+308
1,3316,25597,250000,-1.1020638818470946e+307
1,3246,25721,250000,-6.94915996216118e+307
1,3326,25806,250000,-1.1061321602598539e+308
1,3268,25638,250000,1.6052820499859158e+308
1,3244,25835,250000,1.262725746987891e+308
1,3266,25584,250000,2.8871384935321364e+307
1,3271,25552,250000,-1.2936961430018334e+307
1,3248,26018,250000,-1.079218129351907e+308
1,3341,25779,250000,1.2142123476830806e+308
1,3273,25772,250000,8.45538520843162e+307
1,3244,25693,250000,-8.135976424530169e+307
1,3274,25998,250000,3.9235040323968e+307
1,3273,25578,250000,-1.273242996260227e+308
1,3245,25601,250000,-1.4253860663440836e+308
1,3326,25824,250000,-1.4325092693170945e+308
1,3277,25943,250000,-1.0658150061810264e+308
1,3244,25933,250000,8.419630174901284e+307
1,3278,25712,250000,-5.835128330616616e+307
1,3279,25714,250000,-1.208996919361883e+308
1,3246,25639,250000,5.46492514356129e+307
1,3391,25673,250000,6.300157097225914e+307
1,3281,25704,250000,1.6487219099081993e+308
1,3246,25953,250000,-2.495367714795678e+307
1,3271,25715,250000,9.809277718883248e+307
1,3270,25622,250000,1.604392000105142e+308
1,3246,25583,250000,4.643028432158341e+307
1,3326,25675,250000,8.681537141322397e+307
1,3312,25725,250000,-1.3351899556664296e+308
1,3245,25698,250000,1.2337598338795496e+308
1,3277,25596,250000,-3.7331681857405907e+307
1,3279,25682,250000,1.6092282501971934e+308
1,3250,25900,250000,-3.142293091962117e+306
1,3340,25625,250000,1.5623959415188112e+308
1,3348,25601,250000,-8.96451257576517e+307
1,3245,25833,250000,-8.965286412314069e+307
1,3274,25846,250000,1.4015272719517436e+308
1,3271,25691,250000,7.944032358546723e+307
1,3244,25816,250000,1.4702125213150163e+308
1,3316,25676,250000,-1.3850141664571861e+308
1,3269,25642,250000,1.2856452256207417e+308
1,3249,25742,250000,-8.090695874922238e+307
2,4613,30667,250000,-1.4590629010703335e+308
2,4625,31012,250000,-4.1724684233527284e+307
2,4408,30919,250000,1.6537736554713892e+308
2,4730,30931,250000,1.7548946790802735e+308
2,4195,31345,250000,-1.4300420168450923e+308
2,4495,30945,250000,9.420939528409284e+306
2,4780,31020,250000,3.0189765623252556e+307
2,4263,30914,250000,-8.503605991500386e+307
2,4609,31090,250000,4.0029478420801297e+307
2,4875,30994,250000,-1.1881610599483138e+308
2,4344,30964,250000,1.65394773189872e+308
2,3910,31149,250000,1.3847159997891577e+308
2,3908,31457,250000,1.7718164199613896e+308
2,3881,31237,250000,-1.1166517027181402e+308
2,3914,31152,250000,-5.38591660472611e+307
2,4231,30957,250000,-1.5636252268464843e+308
2,4529,30973,250000,7.840992962527221e+307
2,4798,30922,250000,1.1234257525996426e+308
2,4285,30918,250000,-4.015420575394739e+306
2,4577,30831,250000,8.531348455410562e+307
2,3965,30872,250000,1.5070597790989074e+308
2,4356,30878,250000,4.3364952668058524e+307
2,4694,30991,250000,1.1269600153160464e+308
2,3904,30832,250000,-1.0737382810765774e+308
2,4472,30918,250000,-1.1991500827719794e+307
2,4709,31003,250000,-1.5076838036534176e+307
2,4227,31148,250000,8.941361386297136e+307
2,4536,31021,250000,-1.0210414654126475e+308
2,4823,30897,250000,-1.2064643789073792e+307
2,4306,30881,250000,5.234514943706644e+307
2,4597,31052,250000,1.6192604672499526e+308
2,3879,30936,250000,6.62897816446227e+307
2,4403,31515,250000,1.028062094858782e+308
2,3913,31010,250000,1.6867186621659615e+308
2,4150,30822,250000,-9.0586183533913e+307
2,4463,30970,250000,1.633487970402673e+308
2,4770,31017,250000,-1.5498536010955412e+308
2,3879,32540,250000,-1.2372959990560328e+308
2,4526,31403,250000,1.4953085215999064e+308
2,4727,30943,250000,-9.887498027065014e+307
2,4305,30842,250000,2.0982203047146534e+307
2,3920,31063,250000,-1.468488931361861e+308
2,4886,31168,250000,1.0629250547215172e+308
2,3882,31421,250000,-1.3204221474884797e+308
2,4686,31091,250000,-4.2522476326368996e+307
2,4180,31310,250000,-1.7054279732238836e+308
2,3899,30934,250000,1.0092560984441318e+308
2,3964,30944,250000,-1.295628063255576e+308
2,4292,30964,250000,-4.836105332140466e+307
2,4556,31267,250000,-3.7016412456350404e+307
2,4871,31206,250000,1.0034257829139317e+308
2,4339,30945,250000,-1.9864233663847184e+307
2,3879,31122,250000,1.592276123123036e+308
2,4600,31531,250000,1.1090352419552188e+308
2,4402,30820,250000,-7.615084871196568e+307
2,4695,30919,250000,-4.1115498650463796e+307
2,3906,30908,250000,1.5322804913812648e+308
2,3909,30943,250000,-6.535889004789577e+307
2,4756,30884,250000,9.897571229472627e+307
2,4258,30967,250000,-5.757038363636583e+307
2,4571,31020,250000,9.60459852590682e+307
2,4698,31179,250000,-3.396288132746326e+306
2,4330,31328,250000,6.467368343692982e+307
2,4626,30897,250000,-4.0849723078911886e+307
2,3902,31083,250000,-1.4110084194026045e+308
2,4425,30909,250000,8.719027229005178e+307
2,4721,31095,250000,-6.063110588317974e+307
2,4217,31261,250000,-1.7853875048466817e+307
2,4495,31014,250000,-1.1002188919850356e+308
2,4810,31040,250000,1.7936602854564262e+308
2,4303,31030,250000,-6.322606784933135e+307
2,4588,31413,250000,9.69991953164789e+307
2,4871,31083,250000,1.318405172848735e+308
2,3945,32011,250000,5.817418576723495e+306
2,3924,31191,250000,1.102000318528763e+308
2,4889,31089,250000,9.867540456498946e+307
2,4490,31435,250000,-1.1370475630096445e+308
2,3932,31224,250000,-1.5504882834237692e+308
2,4222,30858,250000,1.4402003670573465e+308
2,4518,30971,250000,-1.4855262502494626e+308
2,4818,31084,250000,1.3828649607736118e+308
2,3906,31005,250000,1.2170625155509658e+308
2,4599,30905,250000,-1.2431758783978252e+308
2,4875,31374,250000,-8.405647988073509e+307
2,4377,30950,250000,1.5990662181446403e+308
2,4697,30851,250000,-1.6852891587426898e+308
2,4164,31116,250000,-6.504843453938598e+307
2,4467,31041,250000,1.3385403486555732e+308
2,4755,30982,250000,-7.739210483129557e+307
2,4249,30982,250000,5.204886262967241e+307
2,4538,30863,250000,-4.727266762264405e+307
2,4864,30839,250000,-1.6706651969387416e+308
2,4316,30906,250000,6.676956538742164e+307
2,4629,30881,250000,-8.077133870726994e+307
2,4887,30913,250000,-5.0557841447223104e+306
2,4408,31018,250000,-9.414657888594268e+307
2,4692,30900,250000,1.6835501295268435e+308
2,4182,30916,250000,3.263036513412427e+306
2,4461,31425,250000,7.247863635865045e+307
2,4778,30947,250000,-1.655370749523322e+308
3,4628,31714,250000,8.145772709471096e+307
3,4139,32036,250000,1.2592097670502649e+308
3,3910,32032,250000,7.011758887282501e+307
3,4753,32298,250000,1.5724464460818292e+308
3,3911,31880,250000,1.6743947045464462e+308
3,3908,31378,250000,1.710152831011254e+308
3,4885,32196,250000,1.5318720760131374e+307
3,3907,32342,250000,1.5472371684898224e+308
3,3911,32000,250000,1.5632550637278805e+308
3,4918,31504,250000,-7.24106450673097e+307
3,3913,31610,250000,-1.0510590117028655e+308
3,3909,32338,250000,7.35181443697578e+307
3,4976,31792,250000,4.807648782065648e+307
3,3916,31034,250000,1.0750950315708404e+307
3,3924,31076,250000,1.1636719966886302e+308
3,4034,30964,250000,3.343227704535014e+307
3,4557,31537,250000,1.3359467449679513e+308
3,3911,31025,250000,-7.968165399223243e+307
3,3918,31098,250000,1.043018398967551e+308
3,4606,31180,250000,1.6037919414822277e+308
