runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3282,21108,250000,1.5961290690517123e+308
1,3274,21029,250000,1.4426003440119341e+308
1,3244,20809,250000,-8.070408597394609e+307
1,3322,20955,250000,6.874573176925153e+307
1,3286,22425,250000,3.334551572303216e+307
1,3250,20951,250000,1.5277248517780235e+308
1,3270,22007,250000,-8.001552753382632e+307
1,3272,21129,250000,1.4041593646381786e+308
1,3246,21391,250000,1.4539369318871531e+308
1,3400,25704,250000,9.027951643680182e+307
1,3273,20821,250000,1.3940635869707448e+308
1,3244,20745,250000,-6.149049347029133e+307
1,3272,20908,250000,6.071253339171718e+307
1,3269,20870,250000,-1.5730002664368304e+308
1,3253,20980,250000,-1.026843554284154e+308
1,3319,21081,250000,6.534483670579706e+307
1,3297,20839,250000,-6.095268256769985e+307
1,3244,20880,250000,1.576256487812865e+308
1,3274,20880,250000,1.639330002709168e+308
1,3269,21013,250000,-1.059496363725868e+308
1,3247,20970,250000,2.8376545808185777e+307
1,3325,20977,250000,-2.677706538969214e+307
1,3274,21052,250000,1.1848439336681289e+308
1,3250,21051,250000,1.5240264357178923e+308
1,3288,20866,250000,8.033919776723508e+307
1,3273,20956,250000,1.6702619210121253e+308
1,3248,21001,250000,8.57677409946661e+307
1,3335,21067,250000,1.2800401255160558e+308
1,3269,21013,250000,-5.461853140360259e+307
1,3244,20983,250000,-3.5494956169089144e+307
1,3277,20864,250000,-1.2764492621699454e+308
1,3270,20971,250000,1.6102207786629548e+308
1,3246,20822,250000,-5.680302647211091e+307
1,3325,20970,250000,1.2568597173341595e+308
1,3275,20755,250000,-1.444044405724676e+308
1,3244,20826,250000,-6.485430840412316e+307
1,3266,20910,250000,1.5370317839671714e+308
1,3269,20921,250000,-1.518761282936331e+308
1,3246,20889,250000,1.1417608653239825e+308
1,3332,21013,250000,2.6724486540297736e+307
1,3268,21036,250000,8.598834931930219e+307
1,3281,21030,250000,6.395617635201088e+307
1,3283,21109,250000,6.024931797900125e+307
1,3285,20970,250000,-1.4247120566696808e+308
1,3244,20928,250000,1.4379165111788368e+308
1,3321,21014,250000,1.7121462478066823e+308
1,3266,20762,250000,-5.114642453808108e+307
1,3247,20964,250000,-6.514269983954776e+307
1,3271,21043,250000,-1.0525414746380488e+308
1,3268,20986,250000,1.2941133147083335e+308
1,3246,21019,250000,-1.3240452965034602e+308
1,3355,20880,250000,1.7630386518394582e+308
1,3269,20808,250000,-1.1366518049353095e+308
1,3244,21005,250000,1.3124164179573015e+308
1,3267,20891,250000,-1.3465831846808987e+308
1,3276,21099,250000,-4.500017507357439e+307
1,3246,20991,250000,-2.4691781465286333e+307
1,3323,20895,250000,9.014820681833506e+307
1,3266,20993,250000,-1.630241767340713e+307
1,3250,20813,250000,6.160055025004006e+307
1,3266,20817,250000,-1.4302815594630014e+308
1,3277,20725,250000,1.2667747774254372e+307
1,3244,21051,250000,-9.781455492268862e+307
1,3324,21041,250000,-1.3715061723937778e+308
1,3271,20893,250000,3.6923171135320366e+307
1,3244,21044,250000,-1.6873236407282504e+308
1,3274,20998,250000,4.707080840925864e+307
1,3279,21055,250000,-1.4445357004260882e+308
1,3244,21167,250000,-1.5640357184000814e+308
1,3334,20899,250000,-8.939729184979915e+307
1,3268,20858,250000,-2.7686295239582306e+307
1,3251,20872,250000,-1.4788044898875098e+307
1,3323,21126,250000,-1.0855541481481506e+308
1,3330,20897,250000,-3.711664192637537e+305
1,3248,21461,250000,-3.604648357775919e+305
1,3341,21083,250000,-1.5810639152581682e+308
1,3281,20859,250000,1.0148536583896e+308
1,3248,20964,250000,3.708276478216473e+307
1,3274,20903,250000,-6.309353724890475e+307
1,3271,21074,250000,-1.6946648718205188e+308
1,3247,21007,250000,1.7765944440089044e+308
1,3325,21044,250000,1.5525221142940388e+308
1,3312,21014,250000,-7.920692832643869e+307
1,3334,20940,250000,-9.124649704984902e+307
1,3279,20919,250000,-2.2066485314817225e+307
1,3276,20966,250000,1.7242237855115205e+308
1,3320,20974,250000,1.441043133609316e+308
1,3361,20922,250000,4.81932481607636e+307
1,3275,21140,250000,1.7976686989492323e+308
1,3268,20858,250000,1.7486541108687398e+308
1,3270,21003,250000,-5.351996891472966e+307
1,3269,20962,250000,-1.7445092123591993e+308
1,3262,20991,250000,2.8857065598566625e+307
1,3401,20887,250000,-6.839360728214177e+307
1,3318,20878,250000,-1.2007240503213366e+308
1,3261,21049,250000,-9.770336594644913e+307
1,3262,21049,250000,1.7267397293618029e+308
1,3278,20924,250000,1.473663180990666e+308
1,3267,20909,250000,1.7728242441125206e+308
1,3325,20864,250000,1.517892955702658e+308
2,4264,26493,250000,1.5171980878597328e+307
2,4537,26280,250000,-5.455114928220747e+307
2,4022,26514,250000,5.239470077147715e+307
2,3929,27131,250000,-1.7146340497860662e+308
2,4611,26558,250000,-1.0360913423720876e+308
2,4877,26637,250000,1.5557762134392338e+308
2,4415,26547,250000,-6.276955030083826e+307
2,3911,26457,250000,1.7214271845892137e+308
2,3932,26470,250000,2.702008721223681e+307
2,4477,26551,250000,1.614464094538836e+307
2,4779,26690,250000,1.9084332964813845e+307
2,4257,26582,250000,4.2342386768680557e+307
2,4593,26695,250000,-1.01539254179851e+308
2,4827,26436,250000,1.1219304568089822e+308
2,4330,26523,250000,-1.4904220900769632e+308
2,4634,26492,250000,7.090667657487214e+307
2,4871,26614,250000,-1.7763257465046852e+308
2,4477,26509,250000,1.0009332502910329e+308
2,3922,26444,250000,-1.3909618954940458e+308
2,4205,26467,250000,1.5666238022873317e+308
2,4492,26422,250000,-1.2616830260798858e+308
2,4740,26673,250000,-5.908934972648364e+307
2,4269,26534,250000,1.4013699400142418e+308
2,4562,26608,250000,-1.3644245187533776e+308
2,4870,26647,250000,1.6647578377368626e+308
2,4360,26411,250000,1.5038792106433713e+308
2,4638,26559,250000,-7.704573469041255e+307
2,4894,26493,250000,1.6112815543832485e+308
2,4430,26523,250000,1.7858513104310544e+308
2,4716,26442,250000,5.592544552289666e+307
2,4202,26495,250000,-1.5988670094142984e+308
2,4510,26601,250000,6.285074167357622e+307
2,4786,26588,250000,8.199422140662507e+307
2,4303,26553,250000,-1.5607017987738322e+308
2,4581,26613,250000,-1.7298810249692333e+308
2,4873,26469,250000,6.437690397940274e+307
2,4374,26421,250000,1.4705435229395897e+308
2,4654,26626,250000,-1.1781582598481486e+308
2,4875,26672,250000,-1.5474938638355691e+308
2,4449,26525,250000,8.400734568626318e+307
2,4736,26545,250000,1.1682998642968701e+308
2,4220,26441,250000,-2.5633292432406177e+307
2,3905,26452,250000,-1.3556804271451876e+308
2,4833,26552,250000,-5.298003548136855e+306
2,4306,26372,250000,1.0973859922091812e+307
2,4616,26562,250000,-1.7478448018154198e+308
2,4871,26530,250000,-7.499689777712095e+307
2,4379,26638,250000,1.6531978975712568e+308
2,4686,26552,250000,5.330522503022818e+307
2,4172,26503,250000,3.2191690642574764e+307
2,4454,26623,250000,-9.224357900737872e+307
2,4768,26434,250000,6.954587713397457e+307
2,4227,26650,250000,1.1167740818667636e+308
2,4520,26569,250000,7.70533445356725e+307
2,4829,26530,250000,-9.953616333237084e+307
2,4303,26483,250000,1.7306847577142197e+308
2,4609,26468,250000,-1.1963596411514995e+308
2,4884,26548,250000,7.759638380675765e+307
2,4389,26500,250000,7.509533780898823e+307
2,4684,26489,250000,-1.6342860650544721e+308
2,4169,26452,250000,-6.117393013649144e+307
2,4461,26383,250000,5.650612312927551e+307
2,4760,26453,250000,-1.2330402895670233e+308
2,4247,26456,250000,-1.187336073529387e+308
2,4543,26613,250000,5.953966154518255e+307
2,4838,26725,250000,1.4272999688839662e+308
2,4330,26561,250000,2.1936509046686052e+307
2,4618,26458,250000,1.472765277443044e+308
2,4874,26796,250000,1.7936175741321881e+308
2,4411,26388,250000,-1.65440483249983e+308
2,4718,26665,250000,-7.359106061310099e+307
2,4180,26713,250000,-1.4444305287482442e+308
2,4522,26413,250000,2.4094279953866923e+307
2,4770,26498,250000,9.871551144126353e+307
2,4255,26518,250000,-1.2217599127170407e+308
2,4579,26549,250000,2.945179265026938e+307
2,4834,26597,250000,-1.7619477352356564e+308
2,4334,26511,250000,-9.787029172293978e+307
2,4652,26476,250000,-4.528927960640281e+307
2,4875,26367,250000,-1.3664362071776397e+308
2,4418,26429,250000,1.293092153578185e+307
2,4746,26657,250000,1.7069104587666054e+308
2,4211,26800,250000,6.56400082891206e+307
2,4505,26584,250000,-5.312684149649634e+307
2,4820,26390,250000,-3.3858567062386153e+307
2,4292,26504,250000,8.001193540683644e+307
2,4588,26741,250000,1.5742124494405207e+308
2,4874,26645,250000,-1.2440350597025e+308
2,4353,26698,250000,-6.126366946383002e+306
2,3903,26529,250000,1.046718052716128e+308
2,3901,26678,250000,7.647353125466268e+307
2,3916,26477,250000,-2.09660815846171e+307
2,3949,26453,250000,1.3763807110755182e+308
2,4222,26663,250000,7.235595163064893e+307
2,4531,26511,250000,1.4929478782104276e+308
2,4720,26514,250000,1.3828109299639633e+308
2,4316,26413,250000,8.005775625362405e+306
2,4584,26545,250000,7.711996657664724e+307
2,4660,26597,250000,-6.92553031418361e+307
2,3904,26491,250000,-9.109287268280298e+307
3,3916,26523,250000,1.0333925093429764e+308
3,3911,26575,250000,-8.875471142068593e+307
3,3920,26502,250000,-2.996191005965337e+307
3,4347,26515,250000,-3.8864084949829415e+307
3,4679,26437,250000,-1.7823769042632049e+308
3,4719,26711,250000,-1.6623033950265596e+308
3,3899,26632,250000,-8.473364645284231e+307
3,4731,26420,250000,-9.289665328904153e+307
3,3900,26530,250000,-2.0412331623738998e+307
3,4507,26495,250000,8.007122695219769e+307
3,4706,26469,250000,1.6806083601510994e+307
3,4356,26557,250000,1.428937894221207e+308
3,4604,26463,250000,1.6833013646586995e+308
3,4899,26479,250000,1.2754541482907993e+308
3,3905,26516,250000,1.2776140431942817e+308
3,4642,26686,250000,-1.3205115604729506e+308
3,4888,26797,250000,1.9198389231747236e+307
3,4471,26540,250000,4.911140555399401e+307
3,4732,26607,250000,-6.507111663551745e+307
3,3897,26623,250000,-1.5662803603712387e+308
3,4516,26662,250000,-2.616696749458892e+307
3,4811,26603,250000,1.0327892674013933e+308
3,4311,26590,250000,-9.830949145627798e+307
3,4644,26525,250000,2.8509911468764624e+306
3,4901,26558,250000,1.1700776538788444e+308
3,4394,26561,250000,4.55768811095449e+307
3,3903,26600,250000,-1.6682787476690065e+308
3,3916,26553,250000,-9.009941596152579e+306
3,3901,26551,250000,4.040396221086556e+307
3,4797,26471,250000,4.241483783066698e+307
3,4250,26575,250000,1.4570390429750165e+308
3,4525,26671,250000,-7.709364655260503e+307
3,3900,26802,250000,1.3031400986451224e+308
3,4347,26820,250000,-1.5808110144497546e+308
3,3912,26854,250000,-9.620702093394938e+307
3,3966,26914,250000,-1.9189861900517277e+307
3,3929,28113,250000,-1.7504520513486472e+308
3,3909,26645,250000,1.179095624472963e+308
3,3910,26575,250000,1.9700001781636158e+307
3,4469,26545,250000,1.531269018007751e+308
3,4768,26413,250000,1.6901901911290728e+307
3,3962,26542,250000,3.4532635796120145e+307
3,3905,26444,250000,-1.6222216573837067e+308
3,4877,26430,250000,-2.503565780976325e+307
3,4331,26632,250000,-8.068834387445021e+307
3,4629,26472,250000,-2.341608245306951e+307
3,4124,26596,250000,1.3249627597973994e+308
3,4452,26546,250000,1.323137216421409e+308
3,4704,26539,250000,-1.3071198037325299e+308
3,3904,26171,250000,1.3771547934989012e+308
3,4506,26619,250000,5.345421371045009e+307
3,4768,26576,250000,-4.720162195124158e+307
3,4273,26551,250000,-1.6336134039395265e+308
3,4624,26493,250000,1.195810775370995e+308
3,3906,26557,250000,9.106474531082128e+307
3,3908,26597,250000,1.2278950311138437e+308
3,4649,26586,250000,2.943239246885373e+307
3,4884,26965,250000,-6.380176091086432e+307
3,4428,26622,250000,-1.0876931640253975e+308
3,3992,30210,250000,4.203634654591653e+307
3,3922,26514,250000,5.854348134763036e+307
3,3904,26531,250000,-1.8603450669713414e+307
3,4723,26519,250000,4.190595287124511e+307
3,4287,26509,250000,-3.3183713978246573e+307
3,4592,26530,250000,4.94905455710154e+307
3,4904,26511,250000,-1.5052392072062925e+308
3,4358,26614,250000,-1.63314097140832e+308
3,3901,26654,250000,-1.1208668524014311e+308
3,4868,26746,250000,-1.2902159722090344e+308
3,4443,26516,250000,-1.5897398613975768e+308
3,4746,26610,250000,4.3039393178259474e+307
3,4300,26465,250000,-6.142049627422099e+307
3,3909,26459,250000,1.5974135693192302e+308
3,4803,26688,250000,-3.7348924635552233e+307
3,4303,26585,250000,1.3753063172255808e+308
3,3910,26531,250000,1.6235399048686293e+308
3,4639,26654,250000,-1.381192475050855e+307
3,3960,26548,250000,1.666728491711649e+308
3,3913,26757,250000,8.330698293596253e+307
3,3911,26687,250000,1.2412431513178547e+308
3,3920,26834,250000,1.0581121346482024e+308
3,3907,26662,250000,3.8220369563374046e+307
3,3908,26504,250000,-4.788235055432131e+307
3,3957,26557,250000,-1.10707747716664e+307
3,3941,30378,250000,2.800489269031872e+307
3,3923,26477,250000,1.2815800277353291e+308
3,3899,26672,250000,-7.879449886953466e+307
3,3912,26953,250000,1.6777517866316272e+308
3,3912,26975,250000,1.9357077863228882e+307
3,3979,26869,250000,4.255531192635584e+307
3,3964,27758,250000,8.199974764998592e+307
3,3922,26609,250000,5.070833358041155e+307
3,3913,26626,250000,-1.356357647103047e+308
3,3952,27069,250000,1.0023782943075648e+308
3,3910,26746,250000,7.03615962626947e+307
3,3972,26225,250000,1.6020133998770049e+308
3,3908,26664,250000,-2.0667022463884321e+307
