runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3917,25158,250000,1.1829593449750986e+308
1,4581,24527,250000,7.791891274620719e+307
1,4896,24213,250000,1.314325409060714e+308
1,4432,24023,250000,7.110208390149861e+307
1,4747,24339,250000,1.1229261820910019e+308
1,3914,23852,250000,1.761099538741418e+307
1,3959,23906,250000,6.217190116423504e+307
1,4813,23994,250000,1.3184105958408262e+308
1,4303,24051,250000,5.430269506191374e+307
1,3913,23808,250000,1.7518618258128676e+308
1,4088,23992,250000,7.846212274066656e+307
1,4364,23890,250000,8.111322067871255e+307
1,4694,23897,250000,8.003233072054419e+306
1,3907,23811,250000,6.113753631942138e+307
1,4451,23803,250000,1.1454892244852482e+308
1,4740,23811,250000,1.110696203641261e+308
1,3910,23900,250000,7.47570878084374e+307
1,4528,23975,250000,1.5421615043075182e+308
1,4864,23991,250000,1.2646011177921888e+308
1,4326,23826,250000,9.330936422346228e+307
1,4605,23909,250000,9.053391146791475e+307
1,4102,24031,250000,1.4524936412288577e+307
1,4419,23789,250000,4.701549165101285e+307
1,3907,23911,250000,1.1957922056260655e+308
1,4241,23854,250000,7.713592923950814e+307
1,4493,23798,250000,1.3465971833741972e+308
1,3974,23903,250000,2.184251101292174e+307
1,3908,23979,250000,1.2844110680664413e+308
1,3921,23852,250000,1.0392922859872542e+308
1,4836,23884,250000,4.823344682731143e+307
1,3957,23857,250000,1.79402090914079e+308
1,3906,23914,250000,9.324898435908294e+307
1,4885,23999,250000,4.725670134534859e+307
1,3911,23984,250000,1.795553256925566e+308
1,3907,23869,250000,8.116171830991531e+307
1,3910,23872,250000,3.1921286305166527e+307
1,3958,23955,250000,1.5805537069926046e+308
1,4744,23875,250000,1.0811026820737425e+308
1,3921,24042,250000,9.406624150343511e+307
1,4574,23938,250000,1.2911590961721295e+308
1,4061,23865,250000,8.227053130239219e+307
1,4352,23904,250000,1.5952054265353784e+308
1,4698,23964,250000,1.1924694052207863e+307
1,4145,23838,250000,1.2674137275080186e+308
1,4429,23953,250000,6.346873631112972e+307
1,4736,23995,250000,8.088353358773625e+307
1,4224,23870,250000,4.927067264524535e+307
1,3922,23819,250000,3.486808948006325e+307
1,4059,24011,250000,1.7409937864278333e+308
1,3909,23830,250000,1.1732401662594306e+308
1,4590,23824,250000,1.7183509702275215e+307
1,4881,23839,250000,2.881230316334548e+307
1,3911,23854,250000,1.6332583346896748e+308
1,4658,23897,250000,1.6104464307842817e+308
1,3913,23930,250000,1.445728449279704e+308
1,4458,23820,250000,4.671717639858874e+307
1,4741,23902,250000,1.1467729905504952e+308
1,3915,23915,250000,5.516044824209378e+307
1,3912,24008,250000,6.598098214417905e+305
1,4811,23919,250000,4.806669319183423e+307
1,4369,23890,250000,1.5731605768571028e+308
1,4600,24126,250000,1.3221242304236151e+308
1,4684,24229,250000,2.8794935715174213e+307
1,3913,24018,250000,1.566252176022736e+308
1,3910,24136,250000,3.4966502954082447e+307
1,3907,23868,250000,1.0564128623227932e+308
1,4522,24114,250000,2.38298692528775e+307
1,4782,24213,250000,1.036952174816568e+308
1,3924,24025,250000,1.2515417688192823e+308
1,4543,24128,250000,1.4121446634205076e+308
1,4732,24283,250000,1.270919946107083e+308
1,3911,23958,250000,7.876784269006807e+307
1,4679,24169,250000,1.7209448928150659e+308
1,4675,24216,250000,1.2182713980522334e+307
1,3905,23948,250000,7.403667161040095e+307
1,3913,24491,250000,3.564936412786982e+307
1,4190,23839,250000,3.231540553035196e+307
1,4503,23764,250000,1.0887724075818347e+307
1,4835,23838,250000,8.654234085602804e+307
1,4282,23996,250000,8.339956574035859e+307
1,4581,23822,250000,3.2457376381687703e+307
1,4854,23962,250000,1.7134593972370445e+308
1,4353,23785,250000,1.2261774697136489e+308
1,4642,23864,250000,1.1886130463086702e+308
1,4927,23963,250000,1.9011114771060752e+307
1,4426,23772,250000,1.5547654254243965e+308
1,4730,23867,250000,1.023092575314023e+308
1,4215,23941,250000,1.8953577269720735e+307
1,4534,23797,250000,3.531981962559599e+307
1,4799,23960,250000,2.647868109250396e+307
1,4351,23928,250000,1.175322864184299e+308
1,4599,23806,250000,1.0738868491335753e+308
1,4877,23864,250000,3.110468327165693e+307
1,4383,23899,250000,1.5508443600856288e+308
1,4696,23881,250000,1.084605234095965e+308
1,4163,23962,250000,1.4763052681109828e+308
1,4508,23910,250000,1.835550289609598e+307
1,3950,23901,250000,3.065608352537657e+307
1,3908,23919,250000,3.713338543560098e+306
1,4523,23826,250000,1.643710829152217e+308
2,3905,24278,250000,1.1878932725483824e+308
2,3910,24023,250000,1.3409099867160826e+308
2,3918,23885,250000,1.7551669077057437e+308
2,4555,23939,250000,1.5854574485641143e+308
2,4099,24004,250000,5.803324845597906e+307
2,3913,24061,250000,1.366282213726215e+308
2,3909,23769,250000,1.2323565026124452e+308
2,4693,23975,250000,7.56153934793161e+307
2,4008,25895,250000,1.3401415506282616e+308
2,3924,24101,250000,1.398295442360449e+308
2,3920,24223,250000,1.0495178573856233e+308
2,3908,23994,250000,7.017679644812796e+306
2,4011,24126,250000,1.159094272985436e+308
2,3907,24050,250000,1.4255376493185198e+308
2,3883,24021,250000,1.6863851178568737e+308
2,3987,24218,250000,1.624003612186753e+308
2,4021,24106,250000,1.1372539470395072e+308
2,3881,23984,250000,1.3372074356401565e+308
2,3913,24147,250000,1.1329946031309303e+308
2,3970,24161,250000,1.5074349440803603e+308
2,3910,24066,250000,1.3099530135677634e+308
2,3910,24042,250000,4.870082769407598e+307
2,3909,24177,250000,1.60898335368995e+308
2,3959,24014,250000,8.741642049082691e+307
2,3977,23933,250000,1.4780388438950623e+308
2,3909,24123,250000,5.754336245279288e+307
2,3913,24409,250000,7.290989841746244e+307
2,3932,24485,250000,9.295544579196968e+307
2,3927,24215,250000,6.97743510706301e+307
2,3964,24203,250000,1.7542059244968529e+308
2,3916,24040,250000,3.526310951054444e+307
2,3914,24097,250000,1.3484369978034232e+308
2,3910,24165,250000,3.12452742793213e+307
2,3972,23971,250000,8.410815909434415e+307
2,3996,24019,250000,1.0818780895127721e+308
2,3916,24033,250000,9.92163138370559e+307
2,3909,24162,250000,1.276226866460229e+308
2,3915,24039,250000,8.666477138708099e+307
2,3908,23956,250000,1.6163737156818551e+308
2,3992,24228,250000,8.021684504083023e+307
2,4742,24013,250000,4.561168990828984e+307
2,3964,23954,250000,1.0336104891186629e+308
2,3911,24141,250000,1.3615628289088449e+308
2,4297,24030,250000,5.397394444230986e+307
2,3996,23924,250000,3.55697832214805e+306
2,3980,23884,250000,1.0329743326475822e+308
2,3911,24570,250000,1.1025246523530123e+308
2,3991,24415,250000,5.679797744719174e+307
2,4182,24007,250000,4.891872348609555e+307
2,3912,24231,250000,1.1937421243535578e+308
2,4674,23996,250000,1.3473660749104402e+308
2,3905,24095,250000,1.7243365296404914e+308
2,3992,24028,250000,1.5894215702111675e+308
2,4204,24211,250000,9.358449011477381e+307
2,3993,26418,250000,6.700300076234213e+307
2,4019,24664,250000,5.1688740604712e+307
2,3993,29139,250000,1.163292307676387e+308
2,4291,27936,250000,1.052854891052473e+308
2,3922,24037,250000,3.269804553860951e+307
2,4107,24043,250000,5.576953421420083e+307
2,4030,24478,250000,2.7815226578719854e+307
2,4648,23966,250000,4.529246351370247e+307
2,3914,23834,250000,1.0199713714210233e+308
2,3991,23869,250000,1.5168314897580667e+308
2,3911,24177,250000,1.4559277889718969e+308
2,4055,24170,250000,8.314018491045413e+307
2,3921,24183,250000,7.378484144987685e+307
2,3983,24150,250000,1.699084719808835e+308
2,3905,24323,250000,2.80324949887432e+307
2,3978,24142,250000,5.298089508764441e+307
2,3938,23984,250000,2.856276661090502e+307
2,3975,24027,250000,9.258682986980716e+307
2,3941,24523,250000,3.3606319588961846e+307
2,3930,24028,250000,1.3916528962421154e+308
2,4037,24264,250000,4.0434007955388196e+307
2,4020,24075,250000,1.4339577534883264e+308
2,4238,23818,250000,7.161773997117128e+307
2,4605,24024,250000,1.581393555590025e+308
2,3920,23900,250000,1.484893991651541e+308
2,3923,24090,250000,6.286049878785976e+307
2,4016,24083,250000,1.2272638088134646e+308
2,3941,24039,250000,1.1313572751504335e+308
2,3957,23803,250000,1.0881776565262501e+308
2,4750,23912,250000,8.689289751915671e+307
2,4284,23981,250000,1.6720277315263598e+308
2,3939,24131,250000,5.830895256396288e+307
2,3977,24297,250000,7.174773053580648e+306
2,3906,24203,250000,1.1076385717599325e+308
2,3976,24212,250000,9.11063765161225e+307
2,3962,24258,250000,1.5295103058325026e+308
2,3922,24491,250000,1.7906287199793286e+308
2,3912,24180,250000,1.3146715429096339e+308
2,3909,24206,250000,1.3934643900924433e+308
2,4007,24057,250000,1.4011556754597214e+308
2,3914,24218,250000,3.42158328130089e+307
2,3968,24400,250000,1.5515085600456025e+308
2,3919,24158,250000,1.5307042952302495e+308
2,4179,24012,250000,1.4336831735689468e+308
2,3928,24093,250000,1.1988461978822022e+308
2,3962,24072,250000,5.807094883055835e+307
3,3509,24401,250000,8.861234638953429e+307
3,3403,24524,250000,1.7734801102039364e+308
3,3440,24243,250000,5.937617592091337e+307
3,3364,24414,250000,8.048155738199732e+307
3,3440,24802,250000,1.0188239209414352e+308
3,3445,24401,250000,1.3042860406603794e+307
3,3497,24628,250000,1.1043299381949588e+308
3,3382,24365,250000,6.904207104066234e+306
3,3404,24097,250000,8.658156796303399e+307
3,3382,24898,250000,1.2067694291590992e+308
3,3417,24606,250000,1.2061309510781937e+308
3,3399,23983,250000,1.1857507592600963e+307
3,3397,24320,250000,1.9789794373100809e+307
3,3444,24559,250000,9.60359629245994e+307
3,3380,24173,250000,2.1842604454161793e+306
3,3413,24176,250000,2.3271320982418534e+306
3,3419,24400,250000,1.0044920908609185e+308
3,3442,24282,250000,1.0621034696027924e+308
3,3437,24280,250000,8.528355921464152e+307
3,3369,24489,250000,3.0145524386503106e+306
3,3492,24219,250000,1.050433935609011e+308
3,3426,25902,250000,1.0350371856333455e+308
3,3380,24389,250000,6.330101390706039e+307
3,3425,24153,250000,1.326902399984894e+308
3,3372,24951,250000,1.2258250940288742e+308
3,3417,24781,250000,9.0877211779733e+307
3,3453,24686,250000,1.1787942363287762e+308
3,3372,25456,250000,1.1639356863013566e+308
3,3376,24220,250000,4.319157682261147e+307
3,3389,24156,250000,1.4729872357013651e+308
3,3409,25512,250000,1.2119068817732066e+308
3,3377,25187,250000,9.102871866955907e+307
3,3404,24877,250000,9.519666246994355e+306
3,3476,24989,250000,9.46548573033079e+307
3,3408,24704,250000,1.4288271991651796e+308
3,3371,24416,250000,1.0081467279836064e+308
3,3485,24627,250000,8.405703874790024e+306
3,3425,26322,250000,1.1580329563189246e+308
3,3527,24687,250000,7.907727071957524e+307
3,3434,24071,250000,6.665101706648796e+307
3,3398,24477,250000,8.371880834205624e+307
3,3435,24367,250000,4.873280632164991e+307
3,3412,24195,250000,3.8640878328991506e+306
3,3360,25227,250000,1.6292304678335298e+308
3,3480,24562,250000,1.3158780614477132e+308
3,3457,24294,250000,8.812581312585204e+307
3,3406,24752,250000,1.3892068318124686e+308
3,3497,24145,250000,1.141576898400347e+308
3,3399,24060,250000,7.872344568975766e+307
3,3432,24372,250000,1.4306189392367951e+308
3,3419,24670,250000,9.863564806747657e+307
3,3410,24624,250000,1.3849922105424438e+308
3,3439,24857,250000,3.087740614075423e+307
3,3396,24507,250000,2.7841400574218663e+307
3,3755,32694,250000,8.841366752804577e+307
3,3441,24239,250000,6.798539402481237e+306
3,3429,24374,250000,6.798500252538628e+307
3,3421,24262,250000,1.2402678030948313e+308
3,3399,24251,250000,1.200968800325137e+308
3,3423,24127,250000,1.6450058539090226e+308
3,3382,24251,250000,1.40048022486701e+308
3,3413,24755,250000,3.9462137312768277e+307
3,3412,24110,250000,1.133162811051287e+308
3,3367,24028,250000,1.0865466557909665e+308
3,3431,24308,250000,4.0169157618505514e+307
3,3409,24445,250000,1.7355906157886323e+308
3,3377,24309,250000,9.540727682755627e+307
3,3408,24199,250000,3.0446099520917935e+307
3,3440,24441,250000,7.358962797884888e+307
3,3467,24990,250000,1.590179279458802e+308
3,3387,24894,250000,4.293228724550617e+307
3,3383,24469,250000,2.992689521627708e+307
3,3416,24286,250000,1.714709334551792e+308
3,3408,24278,250000,4.499670035058355e+307
3,3648,24482,250000,5.362294452528344e+306
3,3450,24383,250000,1.1798585464065846e+308
3,3451,24603,250000,1.6907365446837842e+308
3,3378,24103,250000,9.227239265084703e+307
3,3434,24098,250000,9.017939700808427e+307
3,3382,24156,250000,1.501142226872234e+308
3,3373,24890,250000,7.073193683925999e+307
3,3422,24288,250000,1.7694885135002526e+308
3,3572,24717,250000,2.206208102393078e+307
3,3432,24577,250000,1.2227352246811979e+308
3,3384,24045,250000,1.4081847619208485e+308
3,3376,24609,250000,1.5965941910126513e+308
3,3369,24422,250000,1.423530224844201e+308
3,3383,24455,250000,5.496830875401348e+307
3,3360,24375,250000,1.205306899030497e+308
3,3360,24097,250000,5.540842342058525e+307
3,3380,24352,250000,7.687926192233142e+307
3,3370,24172,250000,4.428389772325036e+307
3,3416,24335,250000,8.617356473547932e+307
3,3514,24456,250000,1.0152867199129229e+307
3,3495,24816,250000,1.2661683517971227e+308
3,3367,24243,250000,3.638815995203044e+307
3,3399,24264,250000,1.5215993546868046e+307
3,3411,24024,250000,1.603737005233387e+308
3,3503,24288,250000,1.3572310834486202e+308
3,4357,24500,250000,1.4388396528774643e+308
4,3246,17774,250000,9.959071693012796e+307
4,3309,18108,250000,4.2566042591641325e+307
4,3274,18203,250000,1.1544618834990248e+308
4,3370,17976,250000,3.381692550863942e+307
4,3275,17966,250000,1.3323004107995348e+308
4,3349,23699,250000,1.6841554074208758e+308
4,3392,18241,250000,1.0083778816370158e+308
4,3332,17788,250000,1.694188869640979e+308
4,3318,17887,250000,4.388079050460229e+307
4,3276,17798,250000,1.6377289140884654e+308
4,3244,17862,250000,1.7283126869092179e+308
4,3268,18177,250000,1.346134726132628e+308
4,3359,17837,250000,1.6212693363613472e+308
4,3245,17982,250000,5.92071436297743e+307
4,3277,18112,250000,1.0648761150559175e+308
4,3286,18094,250000,1.831138982565134e+307
4,3260,17978,250000,1.530165251916388e+308
4,3268,17850,250000,1.7434521444920567e+308
4,3343,17837,250000,4.562735047146204e+307
4,3267,17879,250000,9.41331227547298e+307
4,3274,17853,250000,9.219176062201897e+307
4,3284,17763,250000,1.2878108621437927e+308
4,3260,18593,250000,1.5934972239831034e+308
