runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3923,42404,250000,1.0838466722780697e+308
1,4706,44358,250000,5.346785590441833e+306
1,4406,42272,250000,4.91100167351201e+307
1,4655,42378,250000,1.3285773661586042e+308
1,4879,45834,250000,2.2035950762571694e+307
1,3944,43557,250000,1.7318019361098794e+308
1,3937,43321,250000,6.150064883839502e+307
1,3919,43328,250000,1.7960289937556648e+308
1,3976,43293,250000,1.8547965409003515e+307
1,3937,43919,250000,3.179964450605056e+306
1,3921,43810,250000,3.6818014518023536e+307
1,3914,44034,250000,1.3557453909208097e+308
1,3945,42919,250000,1.4212840377101297e+308
1,3905,42633,250000,3.1884213737636323e+307
1,4682,42655,250000,8.144752320255194e+307
1,4906,42532,250000,5.768214117643181e+305
1,4389,42751,250000,1.0385084320587105e+308
1,3912,42375,250000,8.998604301002567e+307
1,3930,42700,250000,9.2863594934592e+307
1,3910,42637,250000,1.0181081034858662e+308
1,4053,42530,250000,6.330396675414347e+307
1,3910,42315,250000,1.3312833259739949e+308
1,3913,42383,250000,4.797313709667783e+307
1,4093,43518,250000,1.5375817607928075e+308
1,3983,42517,250000,3.8242459777287403e+307
1,4669,42369,250000,4.232591192778787e+307
1,4216,45215,250000,7.78397006828743e+307
1,4465,43207,250000,1.7322328061127101e+308
1,3911,43882,250000,2.7487167014457552e+306
1,3914,45351,250000,1.6576525497252869e+308
1,3926,42344,250000,1.0783344300611198e+308
1,3909,42478,250000,9.788694647488013e+307
1,4017,42562,250000,6.485014127851579e+307
1,3907,42451,250000,1.5904854838857433e+308
1,4104,42432,250000,6.158212234637995e+307
1,3910,42514,250000,7.59823046391953e+307
1,3906,42275,250000,3.8609288121950577e+307
1,3914,42466,250000,1.478851242662663e+308
1,3968,42386,250000,3.9380859379696955e+307
1,3963,42721,250000,6.528490432804696e+307
1,3916,42560,250000,9.814638441899979e+307
1,3920,42411,250000,2.722451688001752e+307
1,4212,45048,250000,1.3563231784430959e+308
1,3947,45279,250000,1.4151811839670413e+308
1,3961,44717,250000,9.8432182498814e+307
1,4067,44309,250000,1.2182686542151544e+308
1,3981,45024,250000,6.280410993209495e+307
1,3974,44484,250000,1.249101291491558e+308
1,3933,44299,250000,5.901569835649845e+307
1,4388,44693,250000,5.895978085208147e+307
1,4278,44470,250000,8.697084408503921e+307
1,3938,44507,250000,4.306560389284544e+307
1,3914,45301,250000,1.6790566676863302e+308
1,4097,44677,250000,1.2012775278006459e+308
1,4176,43745,250000,4.912699304279117e+307
1,3988,43625,250000,1.1833666698795947e+308
1,3955,43563,250000,8.624488039140021e+307
1,3978,44364,250000,1.419400376412668e+308
1,3919,43994,250000,7.458952976323136e+307
1,4010,44206,250000,1.6595515702968345e+308
1,4197,44376,250000,5.179059797061041e+307
1,4043,43999,250000,1.5482689306940058e+308
1,4250,43852,250000,9.892745935755417e+307
1,4046,44669,250000,1.5189559331444959e+308
1,4060,44383,250000,1.2792177326933868e+307
1,4101,45573,250000,8.5694554763223855e+307
1,4012,44316,250000,1.2435056488541156e+308
1,4002,44398,250000,1.5861366909153373e+307
1,4297,44315,250000,8.486757893673765e+307
1,4036,44449,250000,8.023906114873556e+307
1,4003,44156,250000,1.059754995790679e+308
1,3939,45574,250000,1.3401239120297024e+306
1,3998,43800,250000,8.235283172666324e+307
1,3948,43505,250000,1.6408998497458586e+308
1,4212,44423,250000,1.89680558818368e+307
1,4151,43334,250000,1.6102158367214584e+308
1,3937,43399,250000,1.5226889664235492e+308
1,3928,42899,250000,7.724370366120308e+307
1,3932,43038,250000,8.379171813221637e+307
1,3980,43772,250000,1.4351117349388124e+308
1,4028,45169,250000,5.628017757258069e+307
1,3974,44383,250000,1.3366183973955833e+308
1,3950,43346,250000,3.568864986918109e+307
1,3928,43834,250000,3.661558307239192e+307
1,3929,44992,250000,5.089730625327542e+307
1,3954,43818,250000,1.5235422491182098e+308
1,3971,43715,250000,1.000681673048363e+308
1,4011,44240,250000,8.964413745520774e+307
1,3930,43165,250000,1.6229715812175174e+308
1,3946,52163,250000,1.1195586256895763e+308
1,3914,44222,250000,7.707137574521829e+307
1,3913,42337,250000,9.108558927799332e+306
1,3957,42557,250000,1.3731508402877648e+308
1,3904,42495,250000,2.8854673444857394e+307
1,4060,42417,250000,1.3556101006952661e+308
1,3924,42603,250000,5.368383734841331e+307
1,3908,46515,250000,5.170255455204357e+307
1,4121,42545,250000,3.705152180628481e+307
1,3978,42738,250000,2.4745793078324104e+307
1,3906,42700,250000,8.507943826936765e+307
2,3078,27228,250000,1.1702000420001999e+308
2,3120,27386,250000,6.129801604191889e+307
2,3134,33371,250000,1.1912928396140707e+308
2,3104,30712,250000,1.280868981408943e+308
2,3167,30767,250000,5.725468599395025e+307
2,3131,30489,250000,1.49289522251279e+308
2,3050,30100,250000,1.4074909136352142e+308
2,3160,30404,250000,2.9020466818287045e+307
2,3173,27876,250000,2.434829792191822e+307
2,3100,27641,250000,9.050772067427873e+307
2,3183,27599,250000,3.037925768313262e+307
2,3188,27698,250000,1.4530929261057266e+308
2,3046,28251,250000,8.799737305459819e+307
2,3196,27906,250000,1.6317302755721323e+308
2,3216,27493,250000,4.886373319125731e+307
2,3188,27784,250000,1.0898867770665494e+308
2,3145,27799,250000,1.4338743829524299e+308
2,3202,27757,250000,1.3104740482417446e+308
2,3135,28158,250000,1.5616070354876549e+307
2,3172,27868,250000,1.4966296448815385e+308
2,3142,28583,250000,1.543706222212185e+308
2,3133,27919,250000,1.9754381460987538e+307
2,3140,27652,250000,3.0090329504418354e+307
2,3331,31329,250000,6.013805069557741e+307
2,3071,27120,250000,2.7381477758419324e+307
2,3110,26952,250000,9.943129113407228e+307
2,3258,28672,250000,4.3781180699742317e+307
2,3116,31779,250000,5.155232491759642e+307
2,3182,27453,250000,1.445500664591781e+308
2,3146,28024,250000,1.0105486510589327e+308
2,3114,28998,250000,1.5465286679960375e+308
2,3160,28295,250000,1.595416832052183e+308
2,3212,27414,250000,1.8197997119935165e+305
2,3155,28526,250000,1.318672526897169e+308
2,3146,26759,250000,1.7918062393880599e+308
2,3158,27001,250000,5.457381340830061e+307
2,3129,27706,250000,8.932006750029722e+307
2,3163,28388,250000,1.6674521634485502e+308
2,3192,27662,250000,8.51285395320073e+307
2,3093,27780,250000,1.2349645815989023e+308
2,3149,27035,250000,2.202948679694696e+307
2,3091,26497,250000,5.19459137667873e+307
2,3041,26882,250000,1.4988277512050288e+308
2,3198,26858,250000,6.614172343153375e+307
2,3133,26629,250000,1.2198334549572757e+308
2,3060,27665,250000,1.4007977395500916e+308
2,3107,27504,250000,9.989173751177246e+307
2,3149,27292,250000,1.310103438824075e+308
2,3117,27180,250000,7.477585995555136e+307
2,3137,28237,250000,3.959915334472412e+306
2,3147,27461,250000,1.6770421178656878e+308
2,3108,27899,250000,7.181265670294065e+307
2,3114,27326,250000,5.883293019803843e+307
2,3217,27491,250000,8.936185467759757e+307
2,3156,27432,250000,9.316437885252106e+307
2,3124,27161,250000,1.3491861377817856e+308
2,3172,27692,250000,1.2704667771787518e+308
2,3097,27330,250000,1.4495815848950792e+305
2,3090,27120,250000,4.851187228921018e+307
2,3170,27454,250000,1.1669114207495158e+307
2,3058,27066,250000,3.79621329601878e+307
2,3149,27525,250000,8.167845905453372e+307
2,3122,26959,250000,1.2267494047223928e+308
2,3040,27165,250000,1.0580309830872311e+308
2,3132,27041,250000,5.070209448492363e+306
2,3161,27176,250000,1.4224083366332005e+308
2,3020,26555,250000,8.302450698506285e+307
2,3090,27337,250000,1.0052927619207419e+308
2,3207,27494,250000,3.945453071232206e+307
2,3074,27213,250000,1.324552547101788e+308
2,3114,27227,250000,1.4295932162632873e+308
2,3132,27072,250000,1.1451169728375698e+308
2,3037,26606,250000,1.6204027817375924e+308
2,3083,27295,250000,1.6676809647095504e+308
2,3157,28265,250000,9.010625586543692e+307
2,3124,28364,250000,1.1675135123400574e+308
2,3172,27291,250000,6.098074507996325e+307
2,3177,26727,250000,6.76516253190726e+307
2,3054,28078,250000,1.9759806142426146e+307
2,3161,27198,250000,1.0477718784133917e+308
2,3158,28127,250000,1.5456716430313003e+308
2,3099,27491,250000,1.3969761003253757e+308
2,3122,34197,250000,5.567056568607435e+307
2,3151,27370,250000,8.877600332230575e+307
