runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
1,3938,27524,250000,1.5028505608109866e+308
1,3962,32580,250000,2.4087004064505765e+307
1,3984,31796,250000,5.902926501613922e+307
1,4277,26502,250000,9.927619271911913e+307
1,3963,26712,250000,7.795724433399783e+307
1,3952,30067,250000,7.426377078623714e+307
1,4368,27186,250000,2.1909524005516972e+307
1,3977,31139,250000,1.0631204770883462e+308
1,4619,26965,250000,6.572867519549305e+307
1,3982,32432,250000,2.2939812990628924e+307
1,4799,26481,250000,1.1662838916252233e+308
1,3949,31685,250000,1.00659193087452e+308
1,3970,31886,250000,4.064001292319031e+307
1,3969,26496,250000,1.1329288982157877e+308
1,4282,26431,250000,1.337830807818728e+308
1,4621,26391,250000,1.440420141875258e+307
1,4725,26327,250000,1.5629218090359995e+308
1,4373,26508,250000,1.4956494236096428e+308
1,3905,27991,250000,1.267933217119996e+307
1,4177,26498,250000,2.7512359120195205e+307
1,4457,26298,250000,4.551484127511096e+307
1,4736,26559,250000,8.203636843205227e+307
1,3983,26253,250000,1.6268973131810305e+308
1,3917,26564,250000,1.5232922973723502e+308
1,3911,26397,250000,1.6861441677562603e+308
1,3911,26436,250000,2.2376986137461057e+307
1,4615,26317,250000,1.7873357017932509e+308
1,3916,26453,250000,1.4667440501508575e+307
1,3970,26403,250000,1.4900455592146064e+308
1,4685,26346,250000,1.644179026044377e+308
1,3910,26359,250000,1.384300562354027e+308
1,4466,26538,250000,1.1880365347203651e+308
1,3887,26468,250000,1.1573884332900528e+308
1,3913,26488,250000,1.4320875955051753e+308
1,3963,26535,250000,1.2602068943227788e+308
1,3922,26600,250000,1.3197263408643545e+308
1,3912,26745,250000,1.1411684771702226e+307
1,3915,26421,250000,9.499057593763435e+306
1,3884,26548,250000,1.757045417845223e+308
1,3920,27035,250000,6.252373956486659e+306
1,4748,26686,250000,1.5313171803833222e+308
1,4171,26413,250000,1.9335951241479505e+307
1,4490,26389,250000,4.814046707302758e+307
1,4794,26568,250000,1.0010830207337609e+307
1,4257,26407,250000,1.1839406479081374e+308
1,3907,26290,250000,1.5347716357210453e+308
1,5520,26354,250000,1.6924669301076909e+308
1,3927,26794,250000,1.410128597495403e+308
1,3907,26432,250000,1.6081460040823603e+308
1,4901,26555,250000,9.304318316150868e+307
1,4380,26608,250000,1.765573261540135e+308
1,3926,26586,250000,7.761271278339868e+307
1,3978,26401,250000,5.310461691289829e+307
1,4508,26719,250000,1.620258948227017e+307
1,4725,26373,250000,1.534200341956459e+308
1,4292,26510,250000,2.502402761126461e+307
1,4482,26547,250000,3.828087444268054e+307
1,4081,26791,250000,3.5523487737822e+307
1,4423,26424,250000,1.0074558258070706e+308
1,3884,26425,250000,1.6363195558139705e+308
1,4578,26803,250000,1.380786399900097e+308
1,4455,26401,250000,4.642498224719083e+307
1,3951,26506,250000,1.59865911457206e+308
1,3904,26450,250000,5.021243650121235e+307
1,4569,26422,250000,1.182200234251209e+308
1,3925,26330,250000,1.485170539961032e+308
1,3913,26404,250000,1.4217813655541838e+308
1,4603,26475,250000,1.2030817454857123e+308
1,4073,26606,250000,2.2169957841622177e+307
1,4380,26421,250000,2.9154495497388754e+307
1,3956,26352,250000,8.692169801747273e+307
1,4150,26539,250000,1.4726488908180865e+308
1,3933,26620,250000,1.34264818794782e+308
1,3924,26415,250000,9.109141823996634e+307
1,4233,26487,250000,5.281027485283324e+307
1,3916,26775,250000,1.7535130426204576e+308
1,3968,26598,250000,1.6331873301029044e+308
1,3911,26477,250000,7.218181676347352e+307
1,3949,26882,250000,8.093809198177328e+307
1,4116,26716,250000,3.593160923753305e+307
1,3922,26509,250000,1.5682461128255469e+308
1,3915,26421,250000,1.0856892377279386e+307
1,4272,26563,250000,7.048470675882986e+307
1,3915,26401,250000,1.6803689044436608e+308
1,3911,26386,250000,1.075811601343109e+308
1,4256,26444,250000,1.6460360010799387e+308
1,3970,28181,250000,1.3420239527188863e+307
1,4710,26382,250000,7.471404269168884e+307
1,4394,26448,250000,1.167176737198797e+308
1,3901,26424,250000,7.872682858646893e+307
1,4142,26411,250000,1.7834410193622549e+307
1,3931,26709,250000,5.512835965341421e+307
1,3919,26503,250000,1.2101080892777271e+308
1,4237,29553,250000,1.309663352748203e+308
1,3966,26416,250000,1.4105131496413558e+308
1,3917,26450,250000,1.5544530147676633e+308
1,3948,26439,250000,1.179802277898177e+307
1,3922,26624,250000,5.839906274789241e+307
1,3906,26462,250000,8.871098126531233e+307
1,4354,26547,250000,8.888033413338312e+306
2,3115,16803,250000,1.74705956299583e+308
2,3158,17112,250000,1.0548406805510988e+308
2,3075,16905,250000,1.6344165773210107e+308
2,3144,21823,250000,1.3526859921848976e+308
2,3141,16680,250000,7.731721782203297e+307
2,3099,16729,250000,1.3141362356784283e+307
2,3128,16816,250000,9.659260401204397e+307
2,3105,16475,250000,1.381462631853039e+308
2,3067,16559,250000,7.468872959295592e+307
2,3132,16704,250000,6.615003282689879e+307
2,3167,16756,250000,1.3281936984339426e+308
