elapsed.ps,repeats.n,param.array.array,param.index.integer
15838,100000,array<integer>[100],78
15929,100000,array<integer>[100],85
15565,100000,array<integer>[100],96
15634,100000,array<integer>[100],87
15433,100000,array<integer>[100],51
15615,100000,array<integer>[100],41
18128,100000,array<integer>[100],81
15961,100000,array<integer>[100],75
20832,100000,array<integer>[100],86
23354,100000,array<integer>[100],65
21597,100000,array<integer>[100],49
16841,100000,array<integer>[100],21
19224,100000,array<integer>[100],99
16822,100000,array<integer>[100],68
17098,100000,array<integer>[100],65
17085,100000,array<integer>[100],67
16437,100000,array<integer>[100],41
16591,100000,array<integer>[100],27
16768,100000,array<integer>[100],25
18481,100000,array<integer>[100],25
18536,100000,array<integer>[100],62
18979,100000,array<integer>[100],48
22493,100000,array<integer>[100],72
18178,100000,array<integer>[100],87
18773,100000,array<integer>[100],80
17827,100000,array<integer>[100],82
18689,100000,array<integer>[100],17
17398,100000,array<integer>[100],10
21025,100000,array<integer>[100],93
23793,100000,array<integer>[100],44
19163,100000,array<integer>[100],92
16462,100000,array<integer>[100],35
17527,100000,array<integer>[100],80
17001,100000,array<integer>[100],1
16152,100000,array<integer>[100],17
16929,100000,array<integer>[100],21
16241,100000,array<integer>[100],51
15796,100000,array<integer>[100],39
15800,100000,array<integer>[100],74
15978,100000,array<integer>[100],78
22133,100000,array<integer>[100],55
16112,100000,array<integer>[100],64
16623,100000,array<integer>[100],11
18468,100000,array<integer>[100],81
16890,100000,array<integer>[100],97
18714,100000,array<integer>[100],9
18723,100000,array<integer>[100],44
16065,100000,array<integer>[100],49
15823,100000,array<integer>[100],9
15769,100000,array<integer>[100],22
15714,100000,array<integer>[100],35
18064,100000,array<integer>[100],9
24329,100000,array<integer>[100],42
21575,100000,array<integer>[100],66
16678,100000,array<integer>[100],69
16486,100000,array<integer>[100],61
16215,100000,array<integer>[100],51
16143,100000,array<integer>[100],74
16451,100000,array<integer>[100],80
19078,100000,array<integer>[100],16
17097,100000,array<integer>[100],9
19235,100000,array<integer>[100],19
20669,100000,array<integer>[100],46
18986,100000,array<integer>[100],81
20022,100000,array<integer>[100],57
19440,100000,array<integer>[100],68
16915,100000,array<integer>[100],16
17939,100000,array<integer>[100],56
17404,100000,array<integer>[100],82
15803,100000,array<integer>[100],23
15844,100000,array<integer>[100],69
16022,100000,array<integer>[100],92
16702,100000,array<integer>[100],44
21187,100000,array<integer>[100],91
16465,100000,array<integer>[100],47
16604,100000,array<integer>[100],88
17944,100000,array<integer>[100],34
23955,100000,array<integer>[100],62
22588,100000,array<integer>[100],14
22093,100000,array<integer>[100],15
17967,100000,array<integer>[100],7
16429,100000,array<integer>[100],36
16287,100000,array<integer>[100],26
16186,100000,array<integer>[100],91
16376,100000,array<integer>[100],59
16527,100000,array<integer>[100],50
23086,100000,array<integer>[100],96
17311,100000,array<integer>[100],24
24476,100000,array<integer>[100],29
23791,100000,array<integer>[100],69
18818,100000,array<integer>[100],76
19246,100000,array<integer>[100],86
17459,100000,array<integer>[100],99
19370,100000,array<integer>[100],63
24189,100000,array<integer>[100],67
21487,100000,array<integer>[100],27
15878,100000,array<integer>[100],73
18280,100000,array<integer>[100],42
18189,100000,array<integer>[100],44
28241,100000,array<integer>[100],86
34286,100000,array<integer>[100],95
18853,100000,array<integer>[100],86
16406,100000,array<integer>[100],74
16426,100000,array<integer>[100],86
16153,100000,array<integer>[100],54
16149,100000,array<integer>[100],13
16014,100000,array<integer>[100],77
15790,100000,array<integer>[100],46
15736,100000,array<integer>[100],5
16372,100000,array<integer>[100],63
17859,100000,array<integer>[100],1
20017,100000,array<integer>[100],38
16476,100000,array<integer>[100],14
17106,100000,array<integer>[100],70
16020,100000,array<integer>[100],43
16565,100000,array<integer>[100],67
17162,100000,array<integer>[100],41
21284,100000,array<integer>[100],46
16152,100000,array<integer>[100],21
17685,100000,array<integer>[100],35
18354,100000,array<integer>[100],25
17624,100000,array<integer>[100],41
16590,100000,array<integer>[100],6
24237,100000,array<integer>[100],48
23381,100000,array<integer>[100],45
21214,100000,array<integer>[100],44
17203,100000,array<integer>[100],79
17641,100000,array<integer>[100],48
16076,100000,array<integer>[100],24
16565,100000,array<integer>[100],35
18527,100000,array<integer>[100],10
17068,100000,array<integer>[100],69
16098,100000,array<integer>[100],33
16027,100000,array<integer>[100],42
19877,100000,array<integer>[100],34
16117,100000,array<integer>[100],27
16208,100000,array<integer>[100],11
18221,100000,array<integer>[100],16
16856,100000,array<integer>[100],62
16227,100000,array<integer>[100],85
18066,100000,array<integer>[100],50
15853,100000,array<integer>[100],65
17368,100000,array<integer>[100],7
15993,100000,array<integer>[100],90
16546,100000,array<integer>[100],35
16398,100000,array<integer>[100],75
16219,100000,array<integer>[100],43
25281,100000,array<integer>[100],21
23414,100000,array<integer>[100],52
20632,100000,array<integer>[100],39
17373,100000,array<integer>[100],1
17137,100000,array<integer>[100],87
16548,100000,array<integer>[100],9
16076,100000,array<integer>[100],73
16718,100000,array<integer>[100],81
16499,100000,array<integer>[100],2
16077,100000,array<integer>[100],95
16742,100000,array<integer>[100],50
16119,100000,array<integer>[100],84
15704,100000,array<integer>[100],20
15707,100000,array<integer>[100],26
16459,100000,array<integer>[100],96
22311,100000,array<integer>[100],58
15737,100000,array<integer>[100],57
17283,100000,array<integer>[100],56
16297,100000,array<integer>[100],13
15993,100000,array<integer>[100],72
16123,100000,array<integer>[100],1
20224,100000,array<integer>[100],38
16254,100000,array<integer>[100],78
16624,100000,array<integer>[100],73
16627,100000,array<integer>[100],8
23635,100000,array<integer>[100],93
22898,100000,array<integer>[100],65
18823,100000,array<integer>[100],8
17168,100000,array<integer>[100],73
19893,100000,array<integer>[100],28
18011,100000,array<integer>[100],90
16560,100000,array<integer>[100],89
19465,100000,array<integer>[100],4
15897,100000,array<integer>[100],86
17524,100000,array<integer>[100],68
16734,100000,array<integer>[100],25
24902,100000,array<integer>[100],86
18298,100000,array<integer>[100],98
16585,100000,array<integer>[100],58
19950,100000,array<integer>[100],26
24573,100000,array<integer>[100],8
23525,100000,array<integer>[100],52
15876,100000,array<integer>[100],59
16609,100000,array<integer>[100],43
16564,100000,array<integer>[100],11
16014,100000,array<integer>[100],62
17760,100000,array<integer>[100],45
16343,100000,array<integer>[100],4
21472,100000,array<integer>[100],98
23666,100000,array<integer>[100],31
22943,100000,array<integer>[100],73
16663,100000,array<integer>[100],40
17556,100000,array<integer>[100],22
15482,100000,array<integer>[100],83
15957,100000,array<integer>[100],99
15849,100000,array<integer>[100],11
16030,100000,array<integer>[100],79
15857,100000,array<integer>[100],41
15885,100000,array<integer>[100],59
16224,100000,array<integer>[100],35
15811,100000,array<integer>[100],100
15862,100000,array<integer>[100],22
17224,100000,array<integer>[100],36
16596,100000,array<integer>[100],53
15945,100000,array<integer>[100],17
15541,100000,array<integer>[100],10
15704,100000,array<integer>[100],30
16076,100000,array<integer>[100],6
15969,100000,array<integer>[100],75
17519,100000,array<integer>[100],90
16949,100000,array<integer>[100],29
20842,100000,array<integer>[100],62
23742,100000,array<integer>[100],62
22450,100000,array<integer>[100],6
17374,100000,array<integer>[100],4
17615,100000,array<integer>[100],56
16438,100000,array<integer>[100],71
16115,100000,array<integer>[100],66
16080,100000,array<integer>[100],17
15703,100000,array<integer>[100],33
15730,100000,array<integer>[100],38
15644,100000,array<integer>[100],100
16121,100000,array<integer>[100],22
16756,100000,array<integer>[100],44
16147,100000,array<integer>[100],95
16002,100000,array<integer>[100],76
16056,100000,array<integer>[100],73
20164,100000,array<integer>[100],50
15584,100000,array<integer>[100],59
16060,100000,array<integer>[100],21
21031,100000,array<integer>[100],70
16064,100000,array<integer>[100],84
15952,100000,array<integer>[100],67
16371,100000,array<integer>[100],22
16071,100000,array<integer>[100],82
16698,100000,array<integer>[100],81
17244,100000,array<integer>[100],88
21975,100000,array<integer>[100],44
28521,100000,array<integer>[100],97
17215,100000,array<integer>[100],79
17367,100000,array<integer>[100],68
17078,100000,array<integer>[100],43
17186,100000,array<integer>[100],80
