runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array,param.index.integer
1,4207,24243,250000,array<integer>[1000],93
1,4716,23605,250000,array<integer>[1000],307
1,4122,23376,250000,array<integer>[1000],812
1,4362,23500,250000,array<integer>[1000],845
1,3962,23611,250000,array<integer>[1000],928
1,4568,23509,250000,array<integer>[1000],147
1,3958,23403,250000,array<integer>[1000],850
1,3904,23368,250000,array<integer>[1000],628
1,4271,23419,250000,array<integer>[1000],104
1,3901,23416,250000,array<integer>[1000],30
1,4834,23339,250000,array<integer>[1000],957
1,4286,23321,250000,array<integer>[1000],440
1,3945,23464,250000,array<integer>[1000],870
1,4065,23470,250000,array<integer>[1000],604
1,3902,23456,250000,array<integer>[1000],462
1,4680,23427,250000,array<integer>[1000],371
1,4593,23677,250000,array<integer>[1000],902
1,4450,23454,250000,array<integer>[1000],289
1,4042,23414,250000,array<integer>[1000],91
1,4239,23620,250000,array<integer>[1000],461
1,3901,23273,250000,array<integer>[1000],698
1,4734,23267,250000,array<integer>[1000],561
1,4309,23399,250000,array<integer>[1000],887
1,3904,23232,250000,array<integer>[1000],774
1,3950,23515,250000,array<integer>[1000],962
1,4381,23421,250000,array<integer>[1000],311
1,3954,23573,250000,array<integer>[1000],336
1,4181,23518,250000,array<integer>[1000],48
1,4454,23471,250000,array<integer>[1000],612
1,4832,23385,250000,array<integer>[1000],118
1,4301,23375,250000,array<integer>[1000],667
1,4546,23566,250000,array<integer>[1000],598
1,4865,23275,250000,array<integer>[1000],674
1,3906,23525,250000,array<integer>[1000],722
1,4596,23287,250000,array<integer>[1000],121
1,4097,23523,250000,array<integer>[1000],185
1,4471,23336,250000,array<integer>[1000],331
1,3902,23329,250000,array<integer>[1000],450
1,3907,23368,250000,array<integer>[1000],316
1,4478,23420,250000,array<integer>[1000],592
1,4728,23247,250000,array<integer>[1000],584
1,4273,23474,250000,array<integer>[1000],149
1,3946,23434,250000,array<integer>[1000],342
1,4923,23482,250000,array<integer>[1000],654
1,3956,23323,250000,array<integer>[1000],922
1,4639,23378,250000,array<integer>[1000],655
1,4119,23395,250000,array<integer>[1000],289
1,4421,23160,250000,array<integer>[1000],16
1,4755,23327,250000,array<integer>[1000],825
1,3955,23430,250000,array<integer>[1000],791
1,4501,23363,250000,array<integer>[1000],704
1,4715,23557,250000,array<integer>[1000],503
1,3904,24363,250000,array<integer>[1000],130
1,4564,23302,250000,array<integer>[1000],982
1,4909,23317,250000,array<integer>[1000],274
1,4356,23275,250000,array<integer>[1000],682
1,4661,23340,250000,array<integer>[1000],157
1,4147,23596,250000,array<integer>[1000],850
1,4451,23449,250000,array<integer>[1000],501
1,4774,23354,250000,array<integer>[1000],989
1,4006,23269,250000,array<integer>[1000],541
1,4508,23353,250000,array<integer>[1000],398
1,4009,23400,250000,array<integer>[1000],690
1,4300,23400,250000,array<integer>[1000],554
1,3962,23475,250000,array<integer>[1000],860
