runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array,param.index.integer
1,3365,20456,250000,Array<Integer>[10000],7084
1,3369,22048,250000,Array<Integer>[10000],5698
1,3408,20943,250000,Array<Integer>[10000],936
1,3355,20422,250000,Array<Integer>[10000],9338
1,3339,20845,250000,Array<Integer>[10000],3700
1,3330,20139,250000,Array<Integer>[10000],298
1,3336,20300,250000,Array<Integer>[10000],5854
1,3355,20640,250000,Array<Integer>[10000],2297
1,3282,19413,250000,Array<Integer>[10000],4160
1,3320,20493,250000,Array<Integer>[10000],7140
1,3344,20105,250000,Array<Integer>[10000],5628
1,3325,20279,250000,Array<Integer>[10000],3440
1,3336,21054,250000,Array<Integer>[10000],475
1,3325,20853,250000,Array<Integer>[10000],3113
1,3387,20076,250000,Array<Integer>[10000],3518
1,3333,19937,250000,Array<Integer>[10000],4332
1,3346,20230,250000,Array<Integer>[10000],9511
1,3318,20984,250000,Array<Integer>[10000],1154
1,3337,20601,250000,Array<Integer>[10000],2471
1,3336,20414,250000,Array<Integer>[10000],1079
1,3310,20230,250000,Array<Integer>[10000],5064
1,3344,20472,250000,Array<Integer>[10000],5016
1,3362,19762,250000,Array<Integer>[10000],424
1,3306,20487,250000,Array<Integer>[10000],4367
1,3327,19716,250000,Array<Integer>[10000],6754
1,3293,19361,250000,Array<Integer>[10000],6301
1,3306,20300,250000,Array<Integer>[10000],4428
1,3309,20878,250000,Array<Integer>[10000],262
1,3339,20096,250000,Array<Integer>[10000],8344
1,3286,19906,250000,Array<Integer>[10000],9856
1,3334,20453,250000,Array<Integer>[10000],6852
1,3351,19543,250000,Array<Integer>[10000],2273
1,3286,19876,250000,Array<Integer>[10000],2403
1,3613,22008,250000,Array<Integer>[10000],7657
1,3308,20288,250000,Array<Integer>[10000],4065
1,3321,19353,250000,Array<Integer>[10000],8545
1,3340,18875,250000,Array<Integer>[10000],8066
1,3298,19987,250000,Array<Integer>[10000],6103
1,3314,19555,250000,Array<Integer>[10000],8142
1,3312,20962,250000,Array<Integer>[10000],5420
1,3369,20386,250000,Array<Integer>[10000],9287
1,3325,20230,250000,Array<Integer>[10000],6438
1,3337,21069,250000,Array<Integer>[10000],7254
1,3305,20948,250000,Array<Integer>[10000],2319
1,3319,20058,250000,Array<Integer>[10000],7339
1,3312,19630,250000,Array<Integer>[10000],5885
1,3345,27010,250000,Array<Integer>[10000],3621
1,3320,19393,250000,Array<Integer>[10000],3857
1,3340,20509,250000,Array<Integer>[10000],3977
1,3300,19794,250000,Array<Integer>[10000],2503
