runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array,param.index.integer,param.value.integer
1,4649,27035,250000,array<integer>[10],7,-7260505509541150
1,4883,27318,250000,array<integer>[10],10,-5778920136627655
1,4405,27249,250000,array<integer>[10],5,4346068056163000
1,4752,27110,250000,array<integer>[10],3,3109645255722519
1,4278,27209,250000,array<integer>[10],5,6820824390008129
1,4501,27304,250000,array<integer>[10],8,6312544688372987
1,4832,27233,250000,array<integer>[10],8,-4981190569331006
1,4294,27367,250000,array<integer>[10],7,-1285496267627809
1,3913,27252,250000,array<integer>[10],8,-7077991830530000
1,4867,27420,250000,array<integer>[10],1,-7905075339195217
1,4505,27261,250000,array<integer>[10],1,-5815123481087912
1,4649,27365,250000,array<integer>[10],3,2822139783008129
1,4878,27512,250000,array<integer>[10],4,-473661534184345
1,3907,27096,250000,array<integer>[10],6,-7343483591446109
1,3932,27318,250000,array<integer>[10],8,2852131973200785
1,3907,27140,250000,array<integer>[10],10,-8226891132149626
1,3943,27558,250000,array<integer>[10],9,6144974534648591
1,3900,27345,250000,array<integer>[10],10,-7322588854156130
1,4299,27158,250000,array<integer>[10],3,-6842445424754760
1,4641,27122,250000,array<integer>[10],8,6278007755840585
1,4875,27189,250000,array<integer>[10],5,-7339581604105056
1,4394,27013,250000,array<integer>[10],4,-6613934718880214
1,3949,27139,250000,array<integer>[10],3,-1916432725050289
1,4884,27169,250000,array<integer>[10],8,-1632871170379059
1,4463,27177,250000,array<integer>[10],10,4030241192787563
1,3971,27150,250000,array<integer>[10],6,3506031063976415
1,4258,27213,250000,array<integer>[10],4,-1965606841426560
1,4533,27167,250000,array<integer>[10],2,6905442220117091
1,4879,27334,250000,array<integer>[10],9,7225386785223652
1,4318,27603,250000,array<integer>[10],8,-6238953933796740
1,4621,27290,250000,array<integer>[10],4,-251568376751397
1,4879,27177,250000,array<integer>[10],5,4498499350439827
1,4407,27743,250000,array<integer>[10],10,5144151399551904
1,3901,27434,250000,array<integer>[10],5,4409883113520231
1,4236,27135,250000,array<integer>[10],5,-3344883156442796
1,4474,27108,250000,array<integer>[10],2,-5247892384706511
1,3967,27185,250000,array<integer>[10],8,-7586936614745636
1,4271,27350,250000,array<integer>[10],9,4157962790169796
1,4567,27271,250000,array<integer>[10],2,-3265489727531651
1,4718,27205,250000,array<integer>[10],9,-3301590876739528
1,4384,27069,250000,array<integer>[10],1,-8607196677257089
1,4638,27341,250000,array<integer>[10],6,8048526679452451
1,4600,27595,250000,array<integer>[10],4,-4777036640440644
1,3909,27088,250000,array<integer>[10],1,-3977230160213970
1,3913,27566,250000,array<integer>[10],3,7587398331667803
1,3902,27126,250000,array<integer>[10],3,-273696861675013
1,4514,27323,250000,array<integer>[10],6,6391158798186316
1,3977,27042,250000,array<integer>[10],4,7083675809466349
1,4275,27146,250000,array<integer>[10],10,-3003934694578838
1,4584,27225,250000,array<integer>[10],4,-2891749092561246
1,4065,27359,250000,array<integer>[10],6,-6364171860845085
1,4356,27102,250000,array<integer>[10],10,8646574588250587
1,4699,27129,250000,array<integer>[10],4,1727383554049589
1,4595,27483,250000,array<integer>[10],9,2964033222771886
1,3908,27180,250000,array<integer>[10],8,7948805469428788
1,4726,27462,250000,array<integer>[10],4,5893244813914190
1,4218,27207,250000,array<integer>[10],5,5805971135798810
1,3902,27267,250000,array<integer>[10],2,-6771496891578012
1,4840,27145,250000,array<integer>[10],6,-2789048567643140
1,4278,27127,250000,array<integer>[10],1,-2287574499077014
1,3903,27034,250000,array<integer>[10],8,6411958797143338
1,4877,27353,250000,array<integer>[10],7,-5154148033230107
1,4347,27245,250000,array<integer>[10],10,7322875629494468
1,3909,27294,250000,array<integer>[10],2,123677904864624
1,4206,27206,250000,array<integer>[10],6,-4996201236988166
1,3900,27202,250000,array<integer>[10],5,4385030644850517
1,3925,32818,250000,array<integer>[10],7,157359061809236
1,4234,27072,250000,array<integer>[10],5,1656989829419537
1,3905,27214,250000,array<integer>[10],7,-8895747415262883
1,3912,27135,250000,array<integer>[10],4,7914090843296372
1,4339,27406,250000,array<integer>[10],7,4121429676729664
1,4599,27448,250000,array<integer>[10],9,-2639236563257608
1,4877,27139,250000,array<integer>[10],6,7452850332957504
1,4382,27177,250000,array<integer>[10],7,-1177416734429898
1,4675,27020,250000,array<integer>[10],7,3527127208591265
1,4182,26999,250000,array<integer>[10],1,-7183054859706736
1,4509,27236,250000,array<integer>[10],3,-3345007665631043
1,4751,27161,250000,array<integer>[10],9,1615484522744773
1,4253,27521,250000,array<integer>[10],2,-8742291137864141
1,3899,27239,250000,array<integer>[10],6,5028179458575458
1,3915,27369,250000,array<integer>[10],7,5240866381277891
1,4312,27340,250000,array<integer>[10],9,-2712976109791460
1,3949,27353,250000,array<integer>[10],3,3934309241503908
1,4882,27372,250000,array<integer>[10],2,-454872959233731
1,3902,27269,250000,array<integer>[10],3,2848454541486220
1,4672,27235,250000,array<integer>[10],2,2660722008449733
1,4181,28832,250000,array<integer>[10],1,2985378416921680
1,4492,27540,250000,array<integer>[10],6,7813266017376024
1,4797,27338,250000,array<integer>[10],8,4251155282572624
1,3897,27287,250000,array<integer>[10],4,92999794215789
1,4546,27221,250000,array<integer>[10],9,-4591251590904321
1,4848,27128,250000,array<integer>[10],8,3355105943205860
1,4331,27177,250000,array<integer>[10],9,-6009027035132657
1,3901,27253,250000,array<integer>[10],7,-2396773991607167
1,4930,27335,250000,array<integer>[10],1,-8171415583459554
1,4419,27185,250000,array<integer>[10],4,-4219485600607223
1,4701,27265,250000,array<integer>[10],9,3310270882440056
1,4201,27246,250000,array<integer>[10],8,4127144624917654
1,4569,27399,250000,array<integer>[10],8,-2853771934574133
1,4781,27379,250000,array<integer>[10],4,21688085536752
2,5048,35400,250000,array<integer>[10],3,2857043844264016
2,5046,35609,250000,array<integer>[10],1,532342375681563
2,5092,35597,250000,array<integer>[10],10,5643147813845672
2,5042,35672,250000,array<integer>[10],7,-3746112671805540
2,5065,35483,250000,array<integer>[10],3,-3842423756100568
2,5105,35289,250000,array<integer>[10],3,1563702402625014
2,5059,36252,250000,array<integer>[10],2,-1572232143897579
2,5060,34915,250000,array<integer>[10],1,6331585569179472
2,5148,35422,250000,array<integer>[10],3,2375488694070011
2,5052,35613,250000,array<integer>[10],2,6464080107717802
2,5052,35456,250000,array<integer>[10],3,-3776968682309162
2,5063,35976,250000,array<integer>[10],10,-5503760478522152
2,5050,35924,250000,array<integer>[10],7,2149085927149881
2,5042,36321,250000,array<integer>[10],2,-1205694914564696
2,5127,36788,250000,array<integer>[10],6,-1060420227180238
2,5049,35369,250000,array<integer>[10],7,-2120896858900956
2,5059,35292,250000,array<integer>[10],6,-3523972590236422
2,5070,34931,250000,array<integer>[10],1,-5755145413743772
2,5097,37469,250000,array<integer>[10],4,-1165260783191965
2,5040,35354,250000,array<integer>[10],6,-8731779661725425
2,5169,35400,250000,array<integer>[10],7,6093644357758453
2,5039,35053,250000,array<integer>[10],1,6522097703619684
2,5037,35053,250000,array<integer>[10],4,-2180624301020057
2,5078,35056,250000,array<integer>[10],6,6522327801057143
2,5064,35196,250000,array<integer>[10],6,8678402404763870
2,5036,35130,250000,array<integer>[10],1,-2765953517948648
2,5136,35269,250000,array<integer>[10],7,6429292481678750
2,5056,35192,250000,array<integer>[10],1,-1444464326295882
2,5046,35146,250000,array<integer>[10],9,-4258314681016344
2,5059,35129,250000,array<integer>[10],7,5310906414183803
2,5036,35338,250000,array<integer>[10],9,-5932793178802888
2,5058,35444,250000,array<integer>[10],9,5757492467122978
2,5128,35564,250000,array<integer>[10],1,-7464674465788688
2,5037,35370,250000,array<integer>[10],9,7005677519007727
2,5038,35317,250000,array<integer>[10],9,-5903883272858562
2,5056,35256,250000,array<integer>[10],2,6604785628349409
2,5031,35055,250000,array<integer>[10],10,-1391174937726928
2,5042,35413,250000,array<integer>[10],5,-5666676135347721
2,5128,35076,250000,array<integer>[10],10,-1394807429263887
2,5041,35342,250000,array<integer>[10],1,6941487695927803
2,5036,35026,250000,array<integer>[10],5,-8405022521504511
2,5060,35262,250000,array<integer>[10],10,-4477982313758788
2,5033,35243,250000,array<integer>[10],10,-1642418533407994
2,5049,35140,250000,array<integer>[10],10,1251726997943539
2,5099,35583,250000,array<integer>[10],5,-430404050642625
2,5038,35342,250000,array<integer>[10],5,1678283465467534
2,5034,35234,250000,array<integer>[10],8,-2085714550439807
2,5043,35146,250000,array<integer>[10],3,8435085637275605
2,5034,35037,250000,array<integer>[10],8,3435170012632230
2,5042,35322,250000,array<integer>[10],3,3247657962331388
2,5140,35177,250000,array<integer>[10],1,-4035256955314147
2,5044,35258,250000,array<integer>[10],4,-4997089787217060
2,5041,35087,250000,array<integer>[10],8,-3240024306420772
2,5040,35117,250000,array<integer>[10],1,3702756506707785
2,5044,35246,250000,array<integer>[10],4,303442371319405
2,5055,35617,250000,array<integer>[10],3,7139158990335783
2,5215,35464,250000,array<integer>[10],10,2154612413336092
2,5050,35461,250000,array<integer>[10],3,1238384877587852
2,5130,35728,250000,array<integer>[10],7,8567542060058915
2,5048,35570,250000,array<integer>[10],6,5395125589933103
2,5046,35619,250000,array<integer>[10],1,-8622555235771748
2,5055,35225,250000,array<integer>[10],6,-2124047430929181
2,5162,35642,250000,array<integer>[10],3,6438100802732674
2,5042,35687,250000,array<integer>[10],10,-1035199522582584
2,5118,35473,250000,array<integer>[10],2,5858484313253848
2,5038,35312,250000,array<integer>[10],2,-517390958065357
2,5037,35324,250000,array<integer>[10],6,-7536395048756207
2,5049,35298,250000,array<integer>[10],9,1369128480065836
2,5108,35462,250000,array<integer>[10],9,-2945752346887449
2,5043,35577,250000,array<integer>[10],9,-1309830540139313
2,5040,35555,250000,array<integer>[10],3,4551739640608637
2,5037,35257,250000,array<integer>[10],1,5493066543817768
2,5043,35271,250000,array<integer>[10],6,-5361660125763043
2,5112,35367,250000,array<integer>[10],7,4923354555193873
2,5246,35903,250000,array<integer>[10],2,-1704253418241673
2,5048,35991,250000,array<integer>[10],7,-3436672665086574
2,5054,35810,250000,array<integer>[10],6,-4959380519163536
2,5207,35758,250000,array<integer>[10],4,-4604094571781480
2,5170,35493,250000,array<integer>[10],10,-8106285620752999
2,5050,40190,250000,array<integer>[10],5,5305808066257185
2,5160,35174,250000,array<integer>[10],4,1351439192470929
2,5050,35229,250000,array<integer>[10],9,774347778557572
2,5045,35450,250000,array<integer>[10],6,-2311091228731647
2,5064,35117,250000,array<integer>[10],1,3773881836455906
2,5042,35160,250000,array<integer>[10],6,-4788393839878935
2,5045,35657,250000,array<integer>[10],4,-4163387914211577
2,5183,35591,250000,array<integer>[10],10,-7163903090824933
2,5049,35985,250000,array<integer>[10],2,4865584901911050
2,5044,35281,250000,array<integer>[10],10,-2131450161943160
2,5042,35607,250000,array<integer>[10],10,5455064982582991
2,5048,35322,250000,array<integer>[10],8,-5215766879343457
2,5044,35294,250000,array<integer>[10],4,4631609672409830
2,5128,35113,250000,array<integer>[10],1,5002203234248861
2,5040,35033,250000,array<integer>[10],1,-7275297580114372
2,5036,35085,250000,array<integer>[10],7,138092011331594
2,5050,35048,250000,array<integer>[10],6,-1709237147661705
2,5034,35089,250000,array<integer>[10],1,-3845358912809856
2,5034,35162,250000,array<integer>[10],6,4561835791586018
2,5106,35093,250000,array<integer>[10],6,4228523620341842
2,5051,35119,250000,array<integer>[10],5,2408460643695126
3,4881,26523,250000,array<integer>[10],4,-7156922113520681
3,3910,26594,250000,array<integer>[10],1,-5343914811674707
3,3917,26573,250000,array<integer>[10],4,-6398661175610158
3,3999,27942,250000,array<integer>[10],9,5340292020256113
3,4496,26270,250000,array<integer>[10],4,6875214383419811
3,4833,26592,250000,array<integer>[10],9,-5188712978663417
3,3906,26823,250000,array<integer>[10],6,333961615076099
