runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.array.array,param.index.integer,param.value.integer
1,3306,20811,250000,Array<Integer>[10],4,3088802641538890
1,3390,21158,250000,Array<Integer>[10],8,3347502470777263
1,3404,21087,250000,Array<Integer>[10],1,-7785173584372678
1,3442,25154,250000,Array<Integer>[10],9,7409632238848903
1,3346,23436,250000,Array<Integer>[10],5,1406137188648545
1,3615,29492,250000,Array<Integer>[10],10,-4150281240508900
1,3439,24279,250000,Array<Integer>[10],2,2816784769387289
1,3510,22551,250000,Array<Integer>[10],6,-6280101941564403
1,3449,22469,250000,Array<Integer>[10],2,-2154805454232725
1,3353,22122,250000,Array<Integer>[10],9,1876485709460428
1,3390,23572,250000,Array<Integer>[10],7,-2472018170197843
1,3325,20651,250000,Array<Integer>[10],9,4416968832078299
1,3349,26538,250000,Array<Integer>[10],3,102650301851456
1,3410,23615,250000,Array<Integer>[10],3,-8446026096932270
1,3336,22794,250000,Array<Integer>[10],1,-141460933680431
1,3336,24678,250000,Array<Integer>[10],7,2455109821392720
1,3402,29822,250000,Array<Integer>[10],3,-2963531528081061
1,3510,28877,250000,Array<Integer>[10],6,4942971148573623
1,3431,20633,250000,Array<Integer>[10],10,7448045687872569
1,3397,21540,250000,Array<Integer>[10],7,5239509680891202
1,3353,21663,250000,Array<Integer>[10],4,6407309583143815
1,3359,21307,250000,Array<Integer>[10],2,-262231621338050
1,3347,21301,250000,Array<Integer>[10],10,4972832498991676
1,3295,20408,250000,Array<Integer>[10],5,-785562037358723
1,3324,21062,250000,Array<Integer>[10],3,-6201429601219401
1,3528,21793,250000,Array<Integer>[10],4,-1977373366533631
1,3348,21840,250000,Array<Integer>[10],5,998188931423833
1,3463,22025,250000,Array<Integer>[10],7,-713051213015270
1,3487,21126,250000,Array<Integer>[10],3,3665781924237290
1,3329,21475,250000,Array<Integer>[10],6,-845484019347710
1,3286,21578,250000,Array<Integer>[10],4,2550801644304286
1,3447,21762,250000,Array<Integer>[10],9,-3857481465925489
1,3413,21759,250000,Array<Integer>[10],6,7825132636711243
1,3409,21763,250000,Array<Integer>[10],7,-2172132997681428
1,3413,21562,250000,Array<Integer>[10],9,4514973754972105
1,3319,21355,250000,Array<Integer>[10],2,-1518326593471634
1,3277,22127,250000,Array<Integer>[10],4,382892638476321
1,3306,23202,250000,Array<Integer>[10],6,-4215458547738864
1,3541,21623,250000,Array<Integer>[10],4,3962530529506742
1,3504,21297,250000,Array<Integer>[10],5,5742779954457582
1,3466,21044,250000,Array<Integer>[10],6,-3243093382716739
