runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3338,81592,50000,-7562928377556949
1,3502,81408,50000,335483268709369
1,3271,81552,50000,1051827719486771
1,3318,81307,50000,6323317221524072
1,3436,83657,50000,-6126027680427246
1,3306,85646,50000,-2305526875527768
1,3273,84287,50000,5607074330107538
1,3491,81465,50000,-4605451725309821
1,3390,78018,50000,11763424039948
1,3511,89226,50000,-3549359013662208
1,3570,87748,50000,-5766283375397787
1,3302,81867,50000,-2381175951985741
1,3411,85562,50000,-5180132815430971
1,3519,87043,50000,3920260355348852
1,3363,84315,50000,-5962456129633110
1,3383,84949,50000,3912787440109641
1,3491,84971,50000,-2567183032246686
1,3479,81990,50000,-7568831123222234
1,3275,86232,50000,-3399750694676594
1,3776,85647,50000,-4903189386119558
1,3305,82943,50000,3146955348485887
1,3365,84195,50000,-7604736298083161
1,3717,81259,50000,2494329067765905
1,3340,104060,50000,4781335459711308
1,3326,80044,50000,6782356236934840
1,3702,91399,50000,-482075051758053
1,3330,85600,50000,6489044255080569
1,4031,87820,50000,-8825710390764513
1,3681,88070,50000,6961313319901218
1,3300,87353,50000,-3499010905734217
1,3369,90738,50000,-1411862746327148
1,3425,83246,50000,-1577996121773997
1,3349,85449,50000,1955385646408553
1,3338,80642,50000,8568168620303046
1,3446,80980,50000,-6238048765837869
1,3285,83338,50000,-8453745797734897
1,3285,83799,50000,-6289198288870124
1,3488,80335,50000,1580801714718386
1,3342,83654,50000,-6516896890018490
1,3327,81789,50000,-2591143042158703
1,3435,81308,50000,-1168875642752367
1,3251,79653,50000,5119595097425153
1,3252,81172,50000,4718446608888823
1,3461,80078,50000,5117638951266019
1,3349,88616,50000,-8340454508703768
1,3340,83263,50000,4238707646686281
1,3554,82178,50000,2754618403607051
1,3259,81317,50000,-1081632549390825
1,3274,82947,50000,-2120221280596608
1,3466,82748,50000,5273020902016750
1,3399,80441,50000,2548738318421305
1,3319,90744,50000,-6232586504724218
1,3407,84706,50000,5393543674587347
1,3398,80792,50000,6454355532681247
1,3271,80824,50000,-3843068741981656
1,3390,88066,50000,-1672184598844010
1,3291,83585,50000,3288638536210839
1,3295,91593,50000,4565377883612995
1,3427,84594,50000,5446085092062272
1,3307,86699,50000,-2175932538854804
1,3307,78609,50000,6228912399169883
1,3632,82968,50000,-4781477828553204
1,3527,84845,50000,6477680856099936
1,3365,92370,50000,4658140935740420
1,3460,80337,50000,7069579062970244
1,3381,80540,50000,-1775189917165986
1,3292,83033,50000,7191009982637498
1,3437,78748,50000,-1424642541310420
1,3335,81804,50000,5856834616704817
1,3294,85989,50000,-6387723511731242
1,3762,85653,50000,-4857498532940167
1,3299,88610,50000,-4542591658212980
1,3304,87823,50000,3150435974493805
