runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,5139,120223,50000,5964553552887386
1,3885,116290,50000,4190005106470295
1,4857,117993,50000,8818867281817516
1,4312,117598,50000,6133908899278542
1,4857,118453,50000,-8783320681377483
1,4856,118149,50000,-862898922968186
1,4718,115941,50000,-1424438085950426
1,4857,113403,50000,205005980450145
1,3886,116396,50000,7587423817670875
1,4009,120143,50000,6657491255134014
1,4857,119256,50000,-4733259077328614
1,4857,118195,50000,6774298069509429
1,4015,116673,50000,2448285700424766
1,4857,118921,50000,-5779059967141030
1,4873,120424,50000,-8188005427536967
1,4035,117584,50000,3064576058893364
1,3886,115478,50000,4350776323812326
1,3886,120618,50000,-4740119008149399
1,4092,116009,50000,5132947828773428
1,3906,144959,50000,1531466918418821
1,3924,151358,50000,-6571460339605874
1,5022,112318,50000,635480244873934
1,4779,120853,50000,8750433364088601
1,5327,116992,50000,-6549973517995585
1,4058,117942,50000,-4426914794871996
1,3901,115845,50000,-998223477979272
1,3885,117289,50000,5395095779824837
1,3988,115742,50000,8288734321276432
1,3896,120578,50000,-5488354371742155
1,3885,117707,50000,2303488224025719
1,3889,114959,50000,-4117906088932287
1,4858,115689,50000,-7237708169985266
1,4860,118769,50000,-1401159473162478
1,4185,115943,50000,7912690385948699
1,3886,110829,50000,168169800519192
1,4857,117901,50000,-4613274871102856
1,5060,119942,50000,-8615079900466035
1,4860,119688,50000,-2691243451152850
1,3886,117428,50000,8558277138266810
1,5096,119517,50000,-7748611103891440
1,3887,116648,50000,-650880682186571
1,4857,119160,50000,4548553449910248
1,4325,115558,50000,6904981935085837
1,4857,117333,50000,3759869527937155
1,4858,118419,50000,-6683864173939841
1,5027,115459,50000,-1799819438644052
1,4857,118928,50000,-5181882312784587
1,4872,113180,50000,841253298278855
1,4032,113889,50000,-2143218759658678
1,4856,117465,50000,-6124518722173440
1,4857,120674,50000,-2028004012671628
1,5039,118138,50000,-9004889540947593
1,4872,119928,50000,-5100134153616257
1,4857,116405,50000,4164615876674516
1,4993,118011,50000,3438125693560863
1,4449,119661,50000,-6518816341679460
1,4856,116518,50000,7349047936558273
1,4993,118382,50000,8451385018822343
1,4858,120980,50000,-7768159379516767
1,4856,119490,50000,-4619030733326755
1,4992,119393,50000,1426354646023316
1,4857,119996,50000,-6079888389219534
1,4857,117771,50000,5349137375860798
1,4013,115644,50000,8975282713484906
1,4877,117772,50000,4497941418821810
1,4856,113399,50000,324709451678119
1,4000,114404,50000,-1542297568371419
1,3885,114373,50000,-7296569474087629
1,4859,116481,50000,-13051183507586
1,5017,118503,50000,-1462277248780442
1,3887,117337,50000,4084171908999988
1,4857,118929,50000,2813644709077696
1,3996,115519,50000,5664275096444978
1,3885,115733,50000,-5050024431348509
1,4857,119220,50000,-7562583563160301
1,5016,117033,50000,6767711510784400
1,4858,118664,50000,-7402890977009521
1,4142,119061,50000,-8483800099583035
1,4013,115622,50000,-1252946101133125
1,4857,118464,50000,4264626445278068
1,4857,121348,50000,4310696612959868
1,5021,116090,50000,-7865275628970219
1,4858,119966,50000,8733220919699095
1,4857,116803,50000,8041933943108821
1,4071,150914,50000,-8424541612217663
1,3909,151769,50000,-3996572315456145
1,3937,142540,50000,-3366549454114545
1,4999,120019,50000,-553648112843907
1,3994,119585,50000,6785321365247787
1,4858,117853,50000,2242927160704660
1,4966,118716,50000,-5705639639158981
1,4042,116271,50000,7967483369703034
1,4858,117582,50000,-7203290643701804
1,5018,120753,50000,7195563266141644
1,3889,118269,50000,-397447010242420
1,4858,116683,50000,-5392779689243112
1,4975,116988,50000,-8395358341775919
1,4854,116302,50000,4376515485277813
1,4856,117688,50000,-7876574568458830
1,4096,120207,50000,-3343505401384275
1,3890,116750,50000,4740141421214092
1,4857,117833,50000,1929122825960628
1,5004,117513,50000,1142485790590811
1,3886,112820,50000,98896158168803
1,4721,118462,50000,7830696986984641
1,4976,109854,50000,485595192790959
1,4859,118702,50000,-4392907624625968
1,4424,115206,50000,-8385475765315802
1,3975,115169,50000,1246202513370711
1,4855,118646,50000,-8319347943251956
1,4856,119444,50000,2432048520472608
1,4979,117037,50000,-3845717861314227
1,4855,118139,50000,-4664177586629749
1,4854,110132,50000,707083516099938
1,4964,118207,50000,-7939524554590889
1,4855,118531,50000,-1815032093080128
1,4857,116744,50000,2497709229687305
1,4960,119075,50000,8137635234335483
1,4153,120147,50000,5516040408717260
1,4854,117294,50000,-3803466985212397
1,4972,123642,50000,-3694214371114906
1,3910,118052,50000,-1919316571731229
1,3974,119515,50000,2209774550901460
1,4029,116983,50000,6282128119865778
1,4857,121655,50000,1094051275183705
1,3886,119734,50000,-5017936435904879
1,4030,119806,50000,-3406297584696166
1,4857,123093,50000,-662516217357429
1,3886,120377,50000,4922443654773451
1,4449,127395,50000,-1620434512952172
1,4858,118195,50000,-6315601338119545
1,4856,120818,50000,3743685665860363
1,4011,121388,50000,-7038486294515692
1,3887,116727,50000,-4914565861422781
1,4938,118225,50000,284914670098976
1,4028,122300,50000,5023629680490106
1,4856,121994,50000,8406569474766587
1,3896,122106,50000,3496489207122638
1,4022,128748,50000,6602095101061660
1,4159,120286,50000,-7444473356256109
1,3885,122897,50000,-4962023641602925
1,4037,121157,50000,-1509353693126348
1,4858,123656,50000,1237982111053910
1,4868,118514,50000,747569120350773
1,3994,121799,50000,-4086850774649405
1,3885,117007,50000,-8315404372316034
1,3886,124685,50000,-442060487454580
