runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.integer
1,3256,126140,50000,-2780795159316684
1,3436,130854,50000,-1187210111443272
1,3268,125657,50000,-3379519238411725
1,3283,125854,50000,-8401839815836268
1,3397,126207,50000,1022609460434803
1,3293,129669,50000,2031347551352614
1,3905,133175,50000,-283844207052122
1,3678,125592,50000,-1526937147513907
1,3355,135132,50000,2331772424424579
1,3415,129521,50000,4199566933741656
1,3401,125928,50000,-2886335183234241
1,3307,129818,50000,-2879140534215592
1,3358,131236,50000,-8130478112773219
1,3702,123835,50000,-8778888773527861
1,3295,126988,50000,-2360781159018033
1,3325,142132,50000,1504804644835656
1,3397,166869,50000,8541775799628795
1,3322,133157,50000,-4400710766907530
1,3288,132269,50000,-8431615712006758
1,3398,126425,50000,-3209981872312645
1,3369,128957,50000,8646957780683002
1,3270,122803,50000,494161252466478
1,3563,125559,50000,5490414269447009
1,3452,126734,50000,-8896856465939443
1,3328,134540,50000,-645395571863824
1,4116,153099,50000,6388600529834330
1,3294,150415,50000,1380148584607910
1,3324,128189,50000,4907119950117544
1,3826,133671,50000,-3086494693590540
1,3375,151619,50000,3990442923530907
1,3290,142260,50000,8925467293243496
1,3429,148891,50000,5525637092957549
1,3271,154823,50000,-736259379751903
1,3298,138535,50000,-7129402474179558
1,3515,134058,50000,-3710228124375190
1,3349,125715,50000,448219512422181
1,3371,139791,50000,8670670152341352
1,3476,132072,50000,7005649401907853
1,3275,130114,50000,6444646390844647
1,3351,127097,50000,-2604831992443096
1,3453,130719,50000,3756181985874492
1,3277,128427,50000,-8656260589107176
1,3371,133548,50000,-979811375483894
1,3617,138034,50000,-323123702517976
1,3345,132132,50000,-1247935699982720
1,3362,132582,50000,-5159708046917542
1,3730,129855,50000,-602304013667942
1,3398,129682,50000,-4573783232866631
1,3358,129309,50000,-7753176027309581
1,3463,127559,50000,-7845777928983019
1,3408,136449,50000,-6719503664539183
1,3369,131542,50000,3194777701585457
1,3433,127091,50000,-8055900492649137
1,3376,129835,50000,-1624632997227139
1,3304,124556,50000,-4084625598756499
1,3505,128167,50000,4006732580020939
1,3294,126900,50000,-6424274978044046
1,3344,129779,50000,1646958415628784
1,3295,127502,50000,-7507978837265449
1,3376,148559,50000,7228588492238185
1,3327,134170,50000,5036547197554660
1,4244,128706,50000,5483091376740537
1,3294,129990,50000,6355817578791347
1,3335,128344,50000,6308480804389041
1,3294,129780,50000,-6192637205700403
1,3747,127263,50000,-6124094048431889
1,3339,130064,50000,-4239927639559922
1,3879,132165,50000,505743483116883
1,4144,133787,50000,-8638417142145875
1,3273,121299,50000,55427153152167
1,3640,128705,50000,2436632252422390
1,3305,138375,50000,-5426715640243140
1,3323,135561,50000,-2945512442183927
1,3636,158190,50000,-8188052384077522
1,3366,150386,50000,-2854061331037025
1,3342,134454,50000,-1883982001588771
1,3487,134858,50000,-5597424112232624
1,3340,135166,50000,-9002607471526097
1,3331,131796,50000,6066436519937777
1,3518,147996,50000,1887853925721969
1,3277,152218,50000,-5308428970852210
1,3280,146792,50000,-3234848189786244
1,3324,141669,50000,5395401621587270
1,3362,150449,50000,2003270238994298
1,3326,138942,50000,4054908554494315
1,3275,150905,50000,-450187814663521
1,3277,150344,50000,1532547188158044
1,3304,130179,50000,-7141292690631913
1,3779,128400,50000,-3734298919784048
1,3281,131709,50000,2925922387940613
1,3333,126600,50000,-1130927131086006
1,3542,134436,50000,-2059662302542856
1,3279,132118,50000,106245311355569
1,3320,135746,50000,-6826725424557420
1,3422,136029,50000,8430722144467597
1,3287,134947,50000,-3961480577811976
1,3280,132934,50000,3849823305778326
1,3279,128969,50000,-8274365126395902
1,3250,129065,50000,-916660988271815
1,3292,123527,50000,-6573750167592426
1,3310,121422,50000,610913061425576
1,3311,132120,50000,-2714073389243324
1,3288,131968,50000,2986935924133389
1,3267,128977,50000,-8733637220310944
1,3282,128952,50000,-8136119912364405
1,3327,142960,50000,2745313046405846
1,3319,128274,50000,2979749235633683
1,3321,128849,50000,-4104093706810403
1,3334,128758,50000,2005979592514215
1,3336,149518,50000,7503058686407311
1,3336,146897,50000,-8035945556955160
1,3324,141498,50000,5331461473302996
1,3332,124983,50000,-2127499104109941
1,3247,123459,50000,247358214447161
1,4036,131751,50000,-358027250580705
1,3283,127804,50000,5019107043057900
1,3340,123595,50000,241680076130940
1,3320,125882,50000,-6063384269087560
1,3845,130495,50000,8293533861847288
1,3260,128630,50000,8755365602694280
1,3267,129080,50000,-612671099772037
1,3272,134108,50000,8842456796093110
1,3248,134019,50000,6918111700393985
1,3322,124518,50000,917392490196135
1,3321,129453,50000,-7023671604364598
1,3276,138699,50000,8884123129901268
1,3269,133067,50000,5457343348304527
1,3297,138323,50000,6537235681475985
1,3270,132554,50000,-3790569546169031
