runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
1,3932,37033,250000,798236082998774
1,4162,34227,250000,3630617293062198
1,4104,32721,250000,8584255080348329
1,4126,36247,250000,6179333245121498
1,4149,35057,250000,286790087752896
1,4019,35300,250000,6489036516649174
1,3924,32511,250000,7567077812065051
1,4471,34152,250000,8191597093610818
1,3969,32492,250000,2994358955571921
1,3927,33757,250000,5192467348225900
1,4042,33911,250000,2843264374943146
1,3891,32915,250000,1770904566070320
1,3870,33645,250000,556829979260750
1,4180,35002,250000,6910576365038157
1,3987,36604,250000,1025130756849854
1,4661,35318,250000,5413513873441572
1,4589,35805,250000,4606325149048768
1,3928,35184,250000,12116788646085
1,4200,34677,250000,5244906692959650
1,4408,34318,250000,3937895712608107
1,4200,33128,250000,3005209013798854
1,4226,37662,250000,5609719041550182
1,3961,33537,250000,3363376525027154
1,3984,36047,250000,1858671004120283
1,3888,34945,250000,4016238782956006
1,4439,33625,250000,1103360367909796
1,3953,34816,250000,5083102759170070
1,4025,35525,250000,4001539509716063
1,4313,31868,250000,2218465297839228
1,3941,39519,250000,8405484770695897
1,3922,42036,250000,6677458535866876
1,4744,38904,250000,7148271427395069
1,4086,34054,250000,7103408251056547
1,4267,34029,250000,6617913473684314
1,3887,35248,250000,7193008103869060
1,4114,35885,250000,538704563322856
1,3972,34719,250000,2810328050786263
1,5012,38155,250000,5226912036724158
1,4241,36337,250000,4550564468964967
1,3944,36652,250000,4184354175325632
1,4438,36420,250000,8653271655138131
1,4114,32876,250000,7438720524102619
1,4227,33864,250000,2198172783891498
1,4351,33433,250000,4766348010643002
1,4203,33883,250000,5214817392759402
1,4176,32916,250000,6516948752753311
1,4242,33534,250000,2861618189866977
1,4184,34401,250000,2609114362085415
1,4032,34505,250000,3926092868023925
1,4045,34293,250000,7437890122633782
1,3962,31141,250000,2952734301598567
1,3885,32864,250000,4878070014067890
1,3969,33495,250000,6396269143185384
1,3856,36513,250000,6950849451501536
1,3981,34815,250000,6088464475921897
1,4184,32539,250000,6650903924222720
1,3886,34506,250000,5901858898090730
1,4093,35228,250000,1687039540675463
1,4011,34516,250000,7707684135342970
1,3975,36886,250000,3668964440566124
1,3961,34875,250000,3657894118503795
1,4831,36780,250000,3176099189547048
1,4020,33860,250000,211566214117599
1,9203,36015,250000,4615710984238804
1,4599,34618,250000,2910343475778965
1,3842,34300,250000,7266057542349463
1,4053,33911,250000,2324763779738421
1,4275,38992,250000,2689100796985407
1,4081,33797,250000,8885782274856930
1,4287,34378,250000,351703204106327
1,4284,34331,250000,5627237392802754
1,4069,36019,250000,6168962571715560
1,4391,35070,250000,3252161079041028
1,4491,34116,250000,3878407155288457
1,3957,34378,250000,1045145527035317
1,3946,33064,250000,2635475282850391
1,3900,33524,250000,1345500026284052
1,4083,37886,250000,8500740887536602
1,4206,34305,250000,5511593060102926
1,4234,33868,250000,553101152565307
1,4244,34515,250000,1630189040008828
1,3935,36711,250000,311665553660586
1,3861,32483,250000,5107320547089650
1,3834,35283,250000,8102553346306695
1,3958,34654,250000,2574876834644521
1,4094,35876,250000,5716918900285556
1,4141,34363,250000,4828051191611227
1,4127,31965,250000,735396499721260
1,4150,33752,250000,2119069689145351
1,3869,34851,250000,4974244294259287
1,3944,34893,250000,8776701004215469
1,3895,36198,250000,377131994305903
1,3932,37330,250000,7649598532896920
1,4394,37114,250000,7082202712587484
1,4535,33710,250000,1100331894222201
1,3920,37672,250000,3192547242888165
1,3921,33345,250000,8071946449706094
1,4142,35216,250000,8592061550798023
1,4122,36851,250000,7505022989000799
1,3999,33410,250000,2999861493602409
2,3856,33455,250000,731987888773040
2,3873,36384,250000,1359292314701691
2,4038,34710,250000,74654487337527
2,4049,36034,250000,8976900437359703
2,4132,33255,250000,7698202666669433
2,3838,31309,250000,6451488038154895
2,4051,32542,250000,8910780577376027
2,3805,35437,250000,3790364335258851
2,4066,34288,250000,664002614535565
2,4136,33357,250000,2491500249190956
2,3972,31388,250000,7368378699073409
2,4030,31941,250000,1241087193583984
2,4325,40957,250000,2326964241115875
2,4041,35437,250000,2222368289285158
2,3918,35764,250000,4799048647911977
2,4047,32660,250000,188937425269352
2,4185,35598,250000,1252985301572588
2,4143,31974,250000,4542506913814192
2,3982,34015,250000,5132634134393923
2,3944,32832,250000,6623243561192774
2,3917,35168,250000,7340543682761056
2,4101,33408,250000,7817447340906803
2,4031,36991,250000,8221307862941332
2,3972,37884,250000,3886290661946598
2,4133,34196,250000,7910927061782836
2,4184,37048,250000,653323352563350
2,4108,33765,250000,4519024211636971
2,4173,35408,250000,4915385140260805
2,4558,34632,250000,3723288931658437
2,4054,33681,250000,4212803168128897
2,4302,34244,250000,4817731166138451
2,4099,31234,250000,3773859470786713
2,4037,31612,250000,4055779983092059
2,4106,33401,250000,1014971540833518
2,3891,33376,250000,1800588303716781
2,3847,36566,250000,8462685318736102
2,3950,33564,250000,8279650276670041
2,4026,36371,250000,2253305751507419
2,4008,33549,250000,6245880231292827
2,4296,33076,250000,1458598751824398
2,4252,32485,250000,1360796104189487
2,3982,49235,250000,6686102732439993
2,4192,31003,250000,2723936082075420
2,3906,37353,250000,3852028522679203
2,4169,36661,250000,6519028184457444
2,4108,34736,250000,264251889806872
2,4006,32838,250000,3125737318502196
2,3827,32204,250000,2206738435801878
2,3828,33898,250000,8915749397520538
2,3873,32389,250000,4015216115508006
2,3848,36560,250000,788661190304418
2,3933,33226,250000,23789862658493
2,3766,31760,250000,8175172755996321
2,4031,36389,250000,5785143372133222
2,3902,34982,250000,4700936301837642
2,3788,32997,250000,7746320608474550
2,3757,32149,250000,6159019361844015
2,4045,31658,250000,4094216743893740
2,3915,32389,250000,1066543375416310
2,3869,33710,250000,5878308161771734
2,4124,33764,250000,8745757861877630
2,3883,32125,250000,4317826928908602
2,4053,31504,250000,8105729744451084
2,3963,34379,250000,3125062699114287
2,4021,32548,250000,8453951140767389
2,3780,32159,250000,6737879532756778
2,3969,32646,250000,1504376468518296
2,3890,32380,250000,6956965877459593
2,3787,34736,250000,6053582480557339
2,4336,34308,250000,8124632055572053
2,3761,33598,250000,4770194380934796
2,4317,33923,250000,6467020989322677
2,3855,34570,250000,926808404820074
2,3800,34357,250000,497374598397180
2,3789,33938,250000,6105136134495724
2,4157,34275,250000,1343948121494353
2,4086,33097,250000,3637571528362824
2,3959,33597,250000,5842619010524500
2,3981,32089,250000,8789087593286428
2,3932,31931,250000,1422827877066440
2,4024,33193,250000,2665415680812297
2,3989,31891,250000,3573623348321661
2,4053,31361,250000,4089437722848667
2,4131,32183,250000,5074672303872267
2,3857,34493,250000,5983240242524546
2,3923,34330,250000,3740729284466468
2,3884,33964,250000,2866930379090919
2,3815,31998,250000,2929734001621630
2,4029,31213,250000,3651231441476540
2,3734,32917,250000,2295508645166244
2,3829,32812,250000,4830759634921436
2,3811,32841,250000,1334397181942306
2,3799,33972,250000,1003510268502530
2,4260,33178,250000,4148043144886483
2,3899,31719,250000,8454911668793672
2,3716,31820,250000,5396048877180804
2,4008,32136,250000,7526111673383030
2,3798,33061,250000,1276095758913981
2,3732,33458,250000,487071886998159
2,3857,32275,250000,5845119705973855
3,3365,26305,250000,8866445177047592
3,3279,26253,250000,5977551605720271
3,3278,27528,250000,2778476134346818
3,3269,27413,250000,5803376486316131
3,3391,27063,250000,1215130907950359
3,3273,25957,250000,495407207407767
3,3277,26309,250000,452426754762894
3,3352,25926,250000,2681260283855002
3,3273,30284,250000,1391578174702309
3,3368,31182,250000,3665338365784461
3,3360,30603,250000,7671692987813151
3,3312,30647,250000,6358202830785008
3,3313,26591,250000,4485646984775124
3,3295,27665,250000,4815212688165823
3,3297,31324,250000,2529434474973267
3,3287,30386,250000,2093819141634638
3,3355,26823,250000,4846375350982573
3,3308,26458,250000,7543714597919430
3,3282,26438,250000,7554731460264933
3,3265,26581,250000,70021230215241
3,3283,26276,250000,5326996149746732
3,3373,27365,250000,8692382326044760
3,3422,31583,250000,1808016531943917
3,3376,26780,250000,5468010096115142
3,3316,30934,250000,2081351323294398
3,3274,30752,250000,3799172277380060
3,3353,34296,250000,405977364329312
3,3285,27234,250000,8974053067338857
3,3363,31152,250000,4498831324133830
3,3273,31096,250000,2193000370157190
3,3357,30877,250000,7034359177636244
3,3380,31243,250000,5890612482955677
3,3276,26128,250000,4048220239972832
3,3296,26190,250000,1330153001533222
3,3366,25771,250000,6924050836096789
3,3269,26068,250000,3157036325222242
3,3294,26134,250000,332799483213681
3,3267,26236,250000,3883981550155115
3,3268,26037,250000,1918996701187981
3,3310,26098,250000,4600161547345199
3,3357,26080,250000,5461828794196946
3,3288,25884,250000,1866696146215984
3,3278,25948,250000,5524512432226431
3,3271,25830,250000,7900993098510558
3,3317,26363,250000,4107171784119312
3,3271,26052,250000,7230257006013801
3,3362,26073,250000,6477313620162488
3,3306,26127,250000,2787056540734565
3,3331,26092,250000,6163470620498393
3,3346,28397,250000,1402280525014079
3,3355,25958,250000,3515316572273360
3,3272,26266,250000,1599376811113663
3,3432,26316,250000,1989341039060457
3,3294,25838,250000,7788682759773822
3,3375,26048,250000,43983750925226
3,3275,26259,250000,3228326239374152
3,3289,26303,250000,6767584128737820
3,3340,26170,250000,7195906601516206
3,3393,26013,250000,8899460456446915
3,3294,26335,250000,8007909198610171
3,3309,26390,250000,4092652006694712
3,3361,26077,250000,4260428119935134
3,3361,26447,250000,5692882263588115
3,3369,26281,250000,3452163940534099
3,3484,26285,250000,7999173806099360
3,3425,26784,250000,4788405126041922
3,3570,26585,250000,939149174104422
3,3332,26420,250000,2797821656973672
