runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
1,4275,26435,250000,7036956642179390
1,3907,26195,250000,3338661610704139
1,4100,26204,250000,6971645685841263
1,3906,26445,250000,7844390313488173
1,4679,26333,250000,8569575162558434
1,3948,26424,250000,251549035615735
1,4465,26410,250000,3086532009045564
1,3902,26304,250000,7838859999124850
1,4265,26216,250000,4889959254467323
1,3901,26329,250000,1913893768934031
1,3897,26389,250000,397229948479963
1,4387,26397,250000,6557790403423913
1,3902,26356,250000,6951195269277837
1,4610,26533,250000,266904561078687
1,4381,26277,250000,7807244253428050
1,3909,26314,250000,4946863513508556
1,3909,26734,250000,6212300100743722
1,4532,26383,250000,7511492228019649
1,4813,26407,250000,8330710131701238
1,3921,26393,250000,2379811801838248
1,4544,26333,250000,4682728110798110
1,4694,26362,250000,4096019435681227
1,3907,26467,250000,7824301160586238
1,4673,26423,250000,4938341895075012
1,3907,26349,250000,3822394192819481
1,3900,26502,250000,398334023997780
1,3916,26299,250000,2758599860953191
1,3897,26490,250000,1585307623555769
1,3903,26426,250000,1980048170735531
1,4751,26612,250000,4406762699258197
1,3903,26496,250000,5519146021347152
1,4569,26470,250000,97641694056924
1,3915,26466,250000,2545041623454385
1,4361,26347,250000,7661341833143420
1,3900,26558,250000,1606095715122485
1,3970,26443,250000,733381102905325
1,3903,26361,250000,8828433271992348
1,3896,26339,250000,5734550441038928
1,3914,26463,250000,7727360207075481
1,3903,26399,250000,2226839599972675
1,3902,26437,250000,362052724237327
1,3956,26340,250000,4283873325034979
1,3910,26423,250000,4099650926702271
1,4664,26547,250000,1848530688744050
1,3906,26427,250000,6265626423720062
1,3904,26380,250000,6460777639172434
1,3903,26536,250000,8530779011412375
1,3964,26344,250000,3432496318555946
1,3912,26492,250000,4755339466167148
1,3901,26483,250000,8865974401366503
1,4524,26407,250000,2462440412664434
1,3896,26408,250000,6140684876251703
1,3903,26438,250000,6632104488612825
1,3941,26353,250000,4791031814833131
1,3898,26458,250000,6088352115561958
1,3912,26408,250000,6193973700401867
1,4672,26305,250000,6762540966384782
1,3905,26384,250000,2486143870899607
1,4457,26648,250000,5201182235592662
1,3961,26441,250000,172506892238405
1,3911,26454,250000,2191283182671771
1,3912,26386,250000,4106919273649803
1,3908,26392,250000,3490082188888994
1,3911,26358,250000,5244406311554667
1,3903,26466,250000,1275305794862627
