runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
1,3904,26976,250000,2486435855874287
1,3956,27007,250000,6449983815541738
1,4508,26827,250000,6239280893396122
1,3901,26832,250000,7835696782454060
1,4359,26901,250000,8690790777111971
1,3921,26879,250000,4231389922168274
1,4895,26948,250000,3196532498789163
1,3966,26956,250000,1803345835582265
1,4680,26907,250000,7862222751599859
1,3911,26939,250000,1539156829991827
1,3904,26835,250000,2804697329397632
1,3912,26752,250000,3864465563533670
1,3898,26842,250000,2503293213536947
1,3998,26984,250000,7940567270107707
1,3904,26885,250000,1453314423298241
1,3913,26953,250000,2884581800879005
1,3915,26911,250000,6004157496584783
1,4884,26679,250000,507330628609295
1,4385,26785,250000,2698101234973519
1,3950,26844,250000,2373666740123069
1,4165,26721,250000,3008477599203714
1,4466,26692,250000,3028189018477663
1,4779,26757,250000,8458123717495486
1,4238,26658,250000,6827626910200131
1,4560,26921,250000,6296266395686673
1,3951,26751,250000,1883738836662077
1,4348,26874,250000,3489216892279738
1,4614,26658,250000,6921742514322951
1,4878,26765,250000,4319660257509582
1,4400,26727,250000,3113017314083345
1,4692,26718,250000,4132452577321379
1,4246,26684,250000,5357307130852752
1,4472,26601,250000,8433489974928168
1,4755,26606,250000,3448180719039253
1,4258,26779,250000,2442622747941514
1,4542,26822,250000,4072584560841411
1,4835,26692,250000,4565469324132044
1,3901,26741,250000,4397334739163901
1,4633,26646,250000,7044694152898570
1,4869,26646,250000,2776875426100475
1,4431,26628,250000,6135620319480550
1,4706,26711,250000,8922813144519140
1,4200,26696,250000,2654514803302980
1,4554,26722,250000,7557614695336294
1,4806,26703,250000,8629158341922624
1,4267,26768,250000,7238417065153670
1,3909,26735,250000,6094693211849060
1,4857,26868,250000,3188260017101920
1,4355,26655,250000,739255070883937
1,4699,26794,250000,8526951501744408
1,4603,26928,250000,1330733705195348
1,4472,26764,250000,4984745572352947
1,4721,26687,250000,8513455370582559
1,4201,26636,250000,1103882795216883
1,4510,26766,250000,498543046525887
1,4837,26681,250000,8890943054954137
1,4292,26693,250000,2890858576359525
1,4588,26686,250000,7413271242777836
1,4881,26708,250000,8566471882541095
1,4358,26729,250000,6007381649350542
1,4659,26770,250000,601169538405811
1,4203,26695,250000,1485747995244719
1,3906,27036,250000,7210541400329162
1,4718,26764,250000,5257232958277220
1,4231,26828,250000,2299566504984423
1,4514,26711,250000,4265186534766306
1,4813,26673,250000,3481841238519682
1,3950,26698,250000,4231480177988863
1,4516,26704,250000,2529762246013738
1,4878,26979,250000,6744681804250478
1,4381,26634,250000,7071845068325767
1,4674,26907,250000,2069391122196431
1,4171,26711,250000,6054435959740890
1,4508,26595,250000,1540071020097569
1,4746,26754,250000,4200019694820534
1,4230,26691,250000,4016512319382482
1,4537,26739,250000,7462084397804436
1,4822,26723,250000,317768095618580
1,4315,26841,250000,1955367482227866
1,4667,26720,250000,1421603397847756
1,4879,26805,250000,7496180069455617
1,3904,26817,250000,3772070938235256
1,4696,26658,250000,8729909537081778
1,4190,26829,250000,5845617054129973
1,4467,26785,250000,7787944288415141
1,4022,26665,250000,6394133546120027
1,4251,26743,250000,1459693963737369
1,4565,26730,250000,8622536251595657
1,4711,26748,250000,935168459437499
1,4334,26928,250000,3912155202866501
1,4624,28288,250000,7067302772025899
1,3953,27880,250000,4435683979268822
1,3951,30612,250000,5159096612041950
1,4705,27550,250000,2374055434669169
1,3907,26737,250000,240285078984151
1,4480,26722,250000,4167869981502041
1,4787,26818,250000,3552086788707813
1,4314,26607,250000,6729973053863875
1,3902,26741,250000,5873700101849481
1,4862,26761,250000,6968513299487242
2,4714,26848,250000,7290124304196137
2,4204,26743,250000,3817815260364613
2,5213,26780,250000,2852464235885558
2,4839,26820,250000,6309349443570348
2,4751,26644,250000,380219629366617
2,4574,26755,250000,8104145079650703
2,5823,26725,250000,8735475854413577
2,3902,26782,250000,7785975557915150
2,5554,26843,250000,5898979688679130
2,4530,30070,250000,8571368507635396
2,4108,26820,250000,4143230167138042
2,4279,26777,250000,608786947300252
2,4218,26721,250000,8403629948969799
2,5219,26722,250000,1373064903847706
2,4958,26820,250000,4752554529098622
2,4353,27031,250000,2987347414807707
2,4603,26845,250000,3149658178222001
2,4900,27059,250000,1825849227125831
2,4957,26985,250000,3502423406891488
2,5581,26651,250000,285742295841929
2,4510,26819,250000,4809110932783809
2,5151,26721,250000,1808529426481379
2,4763,26905,250000,2911473545087223
2,4256,26759,250000,5142389575988203
2,4556,26720,250000,1669313695444968
2,4827,26749,250000,5302389476694485
2,4831,26834,250000,1902638698015451
2,4673,26744,250000,816456346879999
2,4876,26819,250000,5755652523941058
2,3914,26765,250000,2782267119876989
2,4709,26851,250000,5531228837353064
2,4188,26647,250000,510102618358358
2,3915,26804,250000,514631535632716
2,4783,26763,250000,4441157881151421
2,4696,26772,250000,7672217510041104
2,4558,26773,250000,431448056949279
2,3910,26816,250000,3421192502548302
2,4861,26588,250000,5290320971222213
2,4637,26796,250000,2832749400961903
2,4194,26845,250000,8697464539780234
2,5023,26779,250000,2255927865302853
2,4727,26665,250000,7412055276533024
2,4227,26747,250000,6238995587660037
2,4492,26672,250000,8664881272291798
2,4801,26800,250000,1876129863275878
2,4342,26697,250000,7679974056892611
2,4615,26872,250000,7383853346554468
2,4087,26803,250000,2548050399803235
2,4377,26828,250000,8528459878194463
2,4671,26843,250000,7297756397683742
2,4883,27008,250000,4449206309090522
2,4496,26728,250000,4550858475489062
2,4742,26675,250000,3643745712106114
2,3916,26886,250000,4360328579275631
2,4582,26738,250000,7196843319203793
2,4697,26637,250000,4563343426375403
2,4314,26719,250000,8285660348516163
2,4646,26782,250000,8175539581425495
2,4893,26709,250000,2339663140351895
2,4373,26990,250000,8960747283017868
2,4689,26724,250000,3377221287648512
2,4196,26923,250000,5228260380934279
2,4461,26736,250000,5453511888511827
2,4849,26671,250000,1934752156437084
2,4264,26776,250000,1319552975202520
2,4562,26657,250000,5501541197871655
2,4829,26791,250000,8856972068490757
2,3891,26744,250000,5897225445749045
2,4608,26756,250000,5648535975758012
2,4933,28088,250000,434611831567371
2,4441,26756,250000,909055171286294
2,3911,26685,250000,5471967226693125
2,4889,26973,250000,5290384032441238
2,4462,26684,250000,5567752861270071
2,4786,26743,250000,4978196422726672
2,4326,26797,250000,7812681176919145
2,4589,26724,250000,5126082467883907
2,4870,26767,250000,5180518507520673
2,4346,27090,250000,1367398436150356
2,4662,26701,250000,1594363473511040
2,4878,26863,250000,8597654427858504
2,4485,26782,250000,2310369585376593
2,4738,26968,250000,5589628684838888
2,4216,26640,250000,1921394479726175
2,4511,26770,250000,3394872450599554
2,4812,26695,250000,3057190998968944
2,4292,26682,250000,4138113259844555
2,4630,26688,250000,2784948235163640
2,4893,26865,250000,3302916478972427
2,3908,26779,250000,8496202845176186
2,5512,26715,250000,7408639183085775
2,4894,26939,250000,2897713344608133
2,4452,27035,250000,4378195362401671
2,4737,26776,250000,5918152711923430
2,4242,26816,250000,1398172467449930
2,3904,26740,250000,2960034624004196
2,4834,26668,250000,7718249754705265
2,3909,26710,250000,4867766499311945
2,4583,26756,250000,5964344503845776
2,4940,26786,250000,2041320384895483
3,3345,28335,250000,3369538944339504
3,3292,27120,250000,6923012960472922
3,3309,28871,250000,1106648144373106
3,3272,27927,250000,852540881927567
3,3320,25144,250000,4211448768338614
3,3453,28165,250000,907177405431107
3,3337,27680,250000,3399838323416125
3,3356,27285,250000,4737912630533207
3,3385,27296,250000,8335522064721463
3,3305,28273,250000,8533791887988311
3,3272,27016,250000,7196015451309218
3,3353,28210,250000,4642601293628983
3,3299,28014,250000,3242096564458091
3,3274,27036,250000,8313223821664587
3,3292,27670,250000,6938797569184088
3,3309,26989,250000,3006526164254513
3,3285,25568,250000,5761149865715791
3,3454,27671,250000,6642039877420853
3,3339,28183,250000,5522588769639928
3,3356,27584,250000,295516303363873
3,3325,28113,250000,2077011644180363
3,3282,25455,250000,1839359419353385
3,3315,29391,250000,1156847826495255
3,3371,28091,250000,658605498766645
3,3323,31401,250000,2570356201667365
3,3373,27174,250000,4072594118051071
3,3319,28524,250000,6530818775734413
3,3318,26814,250000,5645201588377700
3,3309,27197,250000,3772697508785956
3,3331,26748,250000,5227254835427767
3,3452,25522,250000,7287020230117610
3,3280,25593,250000,2328080449288949
3,3311,25337,250000,7638454695246111
3,3384,25216,250000,950720544839292
3,3276,25253,250000,89379089878149
3,3353,26457,250000,4662749321146201
3,3330,25745,250000,8021456342194963
3,3273,25429,250000,2266138359761319
3,3291,27119,250000,2756179788473218
3,3271,27071,250000,5863153197023863
3,3271,27057,250000,2089137160705013
3,3402,25957,250000,6247204262957661
3,3282,25584,250000,2241694931512345
3,3267,25608,250000,225751154673133
3,3287,25498,250000,6838781364750793
3,3295,25386,250000,2237523120100485
3,3300,25382,250000,5043599017673081
3,3382,25453,250000,5211277428211045
3,3272,27099,250000,169009218278388
3,3290,26555,250000,6286394104367010
3,3271,27620,250000,4956915437786453
3,3322,27254,250000,7981620120209270
3,3304,25615,250000,504874071554494
3,3356,26061,250000,5125776722943990
3,3312,27182,250000,3351358419044879
3,3278,25364,250000,7606528938530361
3,3447,25525,250000,698365529455739
3,3313,25533,250000,3826599967802161
3,3314,25461,250000,8340593007583571
3,3403,25960,250000,5278839877987922
3,3319,25359,250000,6689399469751501
3,3319,25055,250000,3797401233915935
3,3270,25053,250000,5459180497163184
3,3267,25232,250000,8707628419059022
3,3267,25315,250000,4908941671377699
3,3344,25137,250000,4081545434191714
3,3306,25198,250000,4464056289140243
3,3319,25158,250000,5120042389091002
3,3317,25237,250000,4306373144303601
3,3330,25236,250000,805006774207963
3,3271,25223,250000,1431546012862921
3,3388,25337,250000,2705714639626776
3,3323,25176,250000,7767979612956394
3,3282,25283,250000,3392645256982475
3,3247,25302,250000,686791731795595
3,3321,25274,250000,6000929266606849
3,3358,25425,250000,1142195435069716
3,3394,25439,250000,5163170941865226
3,3299,25507,250000,1423053463432950
3,3283,25546,250000,3888873257777431
3,3252,25369,250000,7051885788582325
3,3291,26666,250000,996334014014585
3,3336,25210,250000,1717966076005088
3,3248,27207,250000,3753494954617103
3,3272,26756,250000,4097448489651901
3,3321,27040,250000,5707395669514761
3,3249,26948,250000,7091835900648307
3,3296,27220,250000,2432830735518159
3,3333,29201,250000,6352419549847350
3,3511,27940,250000,8655671724654610
3,3294,27293,250000,7822279901083654
3,3274,27153,250000,2706948902464336
3,3370,25799,250000,7932791483017632
3,3286,26772,250000,729691129060385
3,3270,25925,250000,8489975007342426
3,3462,26770,250000,144729310388084
3,3356,26809,250000,6615186467740306
3,3302,27134,250000,6778461438793025
3,3317,28899,250000,5336469996097337
3,3429,27213,250000,4303304184043375
4,3613,27644,250000,2048969736811408
4,3385,27586,250000,7180852549753276
4,3463,28209,250000,2479164661489602
4,3403,27736,250000,4196215870581870
4,3362,27916,250000,7264495788171472
4,3453,28113,250000,8446673568965621
4,3628,28989,250000,6802165458373779
4,3439,28797,250000,7401710457607436
4,3695,27815,250000,6860306349551081
4,3690,28132,250000,6346320728430635
4,3361,27729,250000,6574127705401372
4,3439,27480,250000,8998484534426301
4,3658,27904,250000,4292553822485412
4,3418,27950,250000,2231691741942854
4,3474,28232,250000,7635917980492380
4,3495,28587,250000,7323098181340238
4,3417,27218,250000,3900285290619639
4,3464,28253,250000,7401658184844076
4,3572,28243,250000,285870610082071
4,3368,27872,250000,1731694926551902
4,3451,28791,250000,3638569027720673
4,3448,28172,250000,2963953461473529
4,3462,28475,250000,6885961680882518
4,3452,28607,250000,2925971212380080
4,3613,28160,250000,1699825595634196
4,3483,28034,250000,7411848561420360
4,3433,27914,250000,2397801645487267
4,3440,27237,250000,5781320812991711
4,3443,28425,250000,265372296343957
4,3464,28532,250000,5771689566858266
4,3597,28344,250000,4472972889736697
4,3414,28191,250000,1951823812056744
4,3476,27481,250000,8596155406549337
4,3459,27073,250000,1291403192639501
4,3434,28140,250000,8770841717416181
4,3475,27978,250000,7333333637558120
4,3546,27840,250000,4430746380593573
4,3372,27770,250000,4309012164921398
4,3447,27903,250000,960654068920622
4,3418,28123,250000,6599800224214588
4,3446,28218,250000,697053135011435
4,3445,28184,250000,7242359195265263
4,3909,27990,250000,4480345261459403
4,3376,27859,250000,7405824330670700
4,3400,28040,250000,5774095446477101
4,3363,27845,250000,5697048942386319
4,3464,28130,250000,8376800644980536
4,3451,27914,250000,8652615305753309
4,3680,27968,250000,6674410852600239
4,3448,28022,250000,7791737525488598
4,3433,28068,250000,8827327431468228
4,3375,28095,250000,8958913357702324
4,3423,28115,250000,1965041244865772
4,3458,28070,250000,4567080916097625
4,3646,28015,250000,6711229358955708
4,3474,28166,250000,5813245288278163
4,3373,27915,250000,5305635913047808
4,3406,27141,250000,4192950072460137
4,3402,28184,250000,4193322965744843
4,3408,27261,250000,4796859662239653
4,3566,27445,250000,1983433419710183
4,3395,27443,250000,2928660686293457
4,3430,27651,250000,4867506874809437
4,3395,27241,250000,1048748028154797
4,3470,28413,250000,7132222129666055
4,3439,28037,250000,7519370114348497
4,3599,27558,250000,1207199042550114
4,3411,27938,250000,1381099376856286
4,3501,28203,250000,7639099424556061
4,3425,28090,250000,3711248697820295
4,3583,28045,250000,5458226848248807
4,3462,28446,250000,5349004956277392
4,3660,27781,250000,252170248285468
4,3409,28203,250000,2927208691778606
4,3441,28205,250000,1104886702885371
4,3457,27487,250000,1080799750395064
4,3468,27019,250000,8128896400552751
4,3399,27187,250000,8619340007884239
4,3606,30368,250000,6358643123266458
4,3472,27226,250000,5685031783137039
4,3532,27334,250000,3874322584233058
4,3411,27068,250000,4990382848145711
4,3434,27473,250000,8647938991599223
4,3465,27115,250000,3933202825759341
4,3585,28117,250000,94718762914996
4,3404,27903,250000,1436941217539858
4,3496,28508,250000,2894649539098980
4,3419,28421,250000,52194670531748
4,3502,27607,250000,5953246812203755
4,3405,27404,250000,6829071604249348
4,3402,27296,250000,5128989633458388
4,3402,27487,250000,1399261840715768
4,3510,27817,250000,7055587622178735
4,3449,27532,250000,7658685814140348
4,3582,26985,250000,6531568777089679
4,3464,27120,250000,8916904881122236
4,3459,27314,250000,1343562181823947
4,3396,27171,250000,4959887179450471
4,3407,27026,250000,6698569219589700
4,3403,27090,250000,1323429520086252
5,4142,29765,250000,6230231118016312
5,3936,28053,250000,1038618428558132
5,3925,27660,250000,2624730761112207
5,3918,27867,250000,236936357996741
5,3987,27778,250000,8141579682456446
5,3929,28307,250000,8323073274461263
5,3980,37031,250000,5653658555607118
5,3922,27056,250000,6190518629060205
5,3926,27540,250000,2789217130471521
5,3935,27036,250000,6247515383583269
5,4031,27290,250000,7260153047374853
5,3912,27176,250000,4149622848171223
5,3915,27125,250000,3411663447500808
5,4061,26951,250000,8931498641196923
5,3919,27013,250000,8421776941559747
5,4058,27120,250000,7318128793947562
