runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3337,15634,150000,5160757908764301,2548977026777736,3493689605061600
1,3262,15509,150000,5934437837393563,4293380781195110,4246233887991900
1,3340,22794,150000,7017989217934836,4604294764107980,6626006599879677
1,3421,23397,150000,8155394769676359,6658413867227380,553579453949301
1,3245,15131,150000,797215545841090,4928882193540630,8610762904131364
1,3276,19964,150000,4599485969988070,8737666318008790,1645790392626225
1,3323,20065,150000,7297421484640332,4474503843868473,1652728059813760
1,3248,15976,150000,5602988691383632,5364264606204864,2892650094360172
1,3249,15428,150000,2533005233569907,5029614417515008,4172196796953388
1,3422,15492,150000,3544209011646454,5343444263996142,1280584171391508
1,3285,15649,150000,5640458715244423,1762328977731070,8404239334264503
1,3279,15576,150000,7493438734212481,6521728602260694,4870434772605653
1,3312,19599,150000,8771369859561134,3463259873600565,4426897596866932
1,3469,20117,150000,7622430977353986,4233918726721124,2999378869203735
1,3248,15123,150000,4653562723106325,2040078878813037,1169310139292440
1,3326,15308,150000,1654004338326042,1068146591982126,8823467887023911
1,3262,16285,150000,3569348916292315,1208904047555755,677454883746575
1,3353,15461,150000,6533859227063940,8050730707597666,735472897683982
1,3548,23742,150000,146921727666146,3345695940179892,12925399303946
1,3274,15675,150000,4594745285694906,4403574082628396,7844078910152949
1,3515,15541,150000,688724557691685,2968303694681958,4753264960665747
1,3386,15268,150000,3099759371924620,8305331154405234,5419466489524234
1,3251,15413,150000,3271731231910425,5668233741648741,8920749609495463
1,3245,15157,150000,3505924649182875,3480134332334203,169576747264416
1,3292,15582,150000,5092083429864325,121723145340681,4955489074896901
1,3278,15426,150000,6581941883853184,394140913856829,847601191232407
1,3255,15045,150000,3214238715138550,5995094480860442,2936043142994246
1,3438,15681,150000,6782353329373634,4821646339866096,7986069365839679
1,3245,20294,150000,2113410230642495,1389850558045758,4633807965071156
1,3249,19427,150000,1908156737088914,4454891781238449,3134803263860256
1,3323,15684,150000,2651308546199893,6514095255903494,2904852978517234
1,3245,20199,150000,8250747475720087,954292087373107,1406361843600203
1,3268,19318,150000,3634857481675190,1665776865931184,279000450747489
1,3407,15540,150000,330396002150018,1129723819272454,2621817559758653
1,3271,15455,150000,2661362935123832,2012693600094867,2309317756301777
1,3281,15467,150000,1708424662788155,1060869629145138,2705033586778306
1,3294,15734,150000,2504095964505674,5462948204153697,5888009915630972
1,3249,15498,150000,5168344976303299,3151484297817908,991460574043168
1,3245,15146,150000,982847548348505,3785907990936307,1768320151987650
1,3368,19754,150000,7630277461239754,7471006706197161,6457278140325181
1,3278,18946,150000,1878190242283699,3929964407944967,42485253509961
1,3265,19614,150000,8265965133820799,1868906079028032,4566531665561696
1,3309,15378,150000,3689342175358083,6406900505480482,1926472232316600
1,3303,15353,150000,5344919443469777,6036521757624126,2756807979478036
1,3255,15230,150000,1626201923021938,1569095858755150,2684561999918910
1,3412,15144,150000,58325934849484,3639622568950546,1641765968616080
1,3272,19021,150000,4261411109873721,7561882887560810,785800730709368
1,3256,20431,150000,7531112785492266,1452238757578851,4419847202752438
1,3383,16247,150000,3385825818709636,4277781454944209,8556220451302623
1,3273,15531,150000,4257201286275208,8292456404333626,601418544574606
1,3324,21414,150000,6695049169776993,7243974363742753,6314485396415853
1,3321,18024,150000,1275174990798535,4986812474179563,645164888766282
1,3262,15459,150000,4665974565014348,8317216735707188,2233982360015964
1,3250,18849,150000,6994736850901863,956886088372444,1516122789487046
1,3520,23236,150000,2108261522472032,1961858185646340,281880231971274
1,3324,23505,150000,366774261938649,7621233705904959,7152564933108375
1,3324,22950,150000,7104055618018727,5646266563328205,6691196886333983
1,3491,23602,150000,2150642414073744,7177584721518959,6584974322659049
1,3328,18097,150000,6444088905390688,3228143283682588,4486865039047061
1,3249,15404,150000,7049339514379289,6984246500582682,7533395864234174
1,3386,24303,150000,1677802815339060,2165250220097181,7349386816510191
1,3304,15955,150000,2894596355193646,980588212427038,5905666703032592
1,3298,15358,150000,7732456383024756,5390002376241075,8492447629750624
1,3427,15312,150000,2885684939452425,1499403165478325,2472267720523059
1,3253,15467,150000,2158821371284347,1734878636533279,2906543552715064
1,3245,15344,150000,4461126852603067,2002148205546388,1178328781471410
1,3297,15649,150000,185211308190023,2970754009146300,4977182226469990
1,3261,15579,150000,3188357742702233,4019983739367160,2575122866458134
1,3250,15400,150000,7296991742651524,1236901423524974,2505323595468621
1,3303,15283,150000,6727831460859090,7789014205118553,2753516092350101
1,3252,15400,150000,6407466006852115,463267483035221,4136507251871842
1,3270,15248,150000,5169642953944611,3230870690818939,7655711189950529
1,3249,15391,150000,7448537620531817,441746033144501,7761831393569054
1,3261,15614,150000,2863225370724529,2397232413697321,2021956476175104
1,3284,15300,150000,3845424315466792,8203012215970918,7571412686228593
1,3327,15083,150000,5398574537647561,5999632566288291,5610956171309409
1,3248,15561,150000,206064493603628,3609350766536461,777933201861388
1,3254,15236,150000,8933153884465094,1685122548197240,149919634920160
1,3347,15629,150000,3208844167441055,5837549907495766,2333421010097591
1,3259,16060,150000,27469831775065,7674978137102983,1890080085378871
1,3254,16178,150000,3458183201028435,3681958546842060,1649471889834557
1,3526,15908,150000,4408516059226918,6304630904621759,2901362206041702
1,3267,15652,150000,1639055736600713,4347837395299186,1943682692159906
1,3248,15488,150000,3917616842803107,1953582165471930,3393781443331605
1,3331,15757,150000,4377578825131844,4368829242566075,7161071123424505
1,3252,15408,150000,4220447590637963,835437605456565,340838863597370
1,3256,15631,150000,5742450388687750,8916867382495194,4054939330307347
1,3389,16243,150000,5806115459948471,305530980450914,3148197272054078
1,3253,15437,150000,2937278742186305,6294046002183125,2909645796359569
1,3270,15300,150000,6792580761130568,6631441181148555,7669689700963020
1,3311,15928,150000,2274058860210433,3458542272242770,2238932541327464
1,3248,15884,150000,3082752541148206,4022351849089841,6978535581992083
1,3254,15423,150000,2203002821873709,7852788552976746,7750378489189104
1,3289,15560,150000,4812760330057549,1929191700336291,5454728650071613
1,3245,18264,150000,7752324723315963,3641067274134143,8862150421334004
1,3248,15880,150000,6427457114248120,4700867234918835,1631708089429511
1,3340,15766,150000,7276312250006803,6327613285330192,4981728357937592
1,3245,15185,150000,7893617300970256,7958012060877536,2848513320953231
1,3290,15153,150000,2847608671250197,385988056621997,8522287276110053
1,3290,15155,150000,2123028918373032,8443351351753702,3651622489202319
2,3251,15308,150000,2870528582861302,8757310666188627,5869542839266752
2,3257,15489,150000,8729407612789581,8981180521471144,8062162550151879
2,3361,15945,150000,1946935562784117,653039517018279,369934184494291
2,3246,15660,150000,3832714408409765,3082981692330982,3284474082846975
2,3298,15255,150000,4919381603744212,8371448451382070,5164829730321130
2,3513,15277,150000,424728552949811,545194112044068,6300289830249431
2,3293,15748,150000,838638329086428,4919431774692654,5786206964654461
2,3588,15528,150000,2386487474653940,6771019151451001,1886133932856951
2,3317,15790,150000,7374263821134414,5629647357969961,8596326664117438
2,3250,15695,150000,2904692459501370,6960991099278460,699222662738140
2,3458,15259,150000,6239877057703026,4642179994670722,3844431572425760
2,3477,16019,150000,2020878658071888,4301042166209772,5287775071854290
2,3271,16288,150000,8395812039489240,3634795960546565,5304469536876349
2,3254,15762,150000,4875825776528884,7241919621809116,4869046722484032
2,3310,16404,150000,4626033055586750,3944324978678332,1562534621851111
2,3408,16050,150000,8873098482324718,1829102275727201,5667822520197088
2,3253,15937,150000,1976298061258694,4811227499043145,4592944267713536
2,3493,16070,150000,309059631897437,3371149643880221,3552862425824021
2,3246,15707,150000,2811717066092717,3630766783049944,2540427007861202
2,3278,15780,150000,1064440349753761,8588977415473592,4754708799970878
2,3398,16685,150000,6627472146733563,2777683460217434,4891174380356459
2,3245,15844,150000,37262023118282,5590310967600253,353236708520461
2,3334,16024,150000,1814104766942795,7531121167832635,5157680433155121
2,3459,15401,150000,3527318362197767,7918302601801106,3171917056685382
2,3270,15480,150000,8331895625186754,4005886662980140,1905144893377479
2,3281,18459,150000,8211355866472120,4634874694941025,3923991795587043
2,3299,15418,150000,7107592432790026,546741874935368,7587606261755920
2,3269,15662,150000,1069260439150241,5711745028101977,2833367748168838
2,3269,15455,150000,4174521724601715,2687734776949117,6754043527158760
2,3650,15465,150000,8785853385473176,6800272088456301,1331037510581883
2,3250,16653,150000,2409749595300428,7056341519231927,2755337722442512
2,3349,15768,150000,6051532602414571,2714565081560200,4625245562132419
2,3408,16035,150000,4503556868853352,7855044313709966,7618525905463798
2,3252,16418,150000,763893023863736,4400116364799225,5843765608485680
2,3315,16102,150000,6745865770075535,5191312312467165,4558286582789610
2,3512,16332,150000,3201935657735859,7211521916354689,7475611281627312
2,3307,15576,150000,2702239595139670,503131854091112,3118499870427081
2,3323,23689,150000,2755997683600626,6983260634494549,316378280010718
2,3510,23494,150000,2879832331041488,1022478664675608,6564376262026533
2,3305,15527,150000,4060851224398757,6961420695516250,2215203767296500
2,3256,15344,150000,6838310019618294,5841018001114255,5577396305657750
2,3493,15522,150000,6833846677021597,2492799752315862,3397683144314109
2,3280,16185,150000,7306231302119866,2509078976872183,6975427075843051
2,3256,15372,150000,2410381419846318,794819671833990,2847919018290654
2,3434,24145,150000,188664265020502,284583608802650,7528283258941992
2,3283,21806,150000,1058915000752275,4529127112616319,6640949513733574
2,3274,15670,150000,865323651926384,1487255900995998,1919119117085264
2,3460,15585,150000,4137983786775535,617181274045290,2256496617392560
2,3273,16257,150000,6701504753384808,665540711871673,4387904031886234
2,3259,15446,150000,7252679019552334,5192400947665186,5432000691077544
2,3337,15556,150000,7794197688018641,6493795319928326,4530525850906969
2,3254,15451,150000,7412850433208035,7908436452692604,2908070220045639
2,3270,15470,150000,8823138745437930,7591842037018906,1077835386508925
2,3468,15725,150000,8873157491888594,3879899101074125,3818710160851634
2,3252,15895,150000,2866306523026435,2327741533002861,7421919338793333
2,3281,15335,150000,8188575010925476,4198737821369952,6151717268781692
2,3485,20388,150000,2475331864048049,8904107216302762,4929547103250681
2,3294,15638,150000,4831789016701083,518498163995776,5183231988351034
2,3270,15559,150000,5056179041600646,7759827369184391,5024917504515958
2,3431,15499,150000,5500462709782160,7529385673149330,336994663105827
2,3293,15442,150000,5834168850064168,5993536028066450,1425566716463338
2,3253,15457,150000,4973884842734765,7725105250809443,817871717195289
2,3345,19221,150000,7889541810208193,1920750624249541,2664670967100495
2,3252,15671,150000,5156228108558568,1984617500876005,1406822633141979
2,3250,15368,150000,163817642829383,3496862742226663,8240342597256260
2,3454,15710,150000,4973917087318399,280580984245978,1372018732494667
2,3250,15732,150000,6509934018076867,113394018861571,5609643076916211
2,3251,15320,150000,501771223132313,2005535035606207,3306326845603644
2,3359,15475,150000,2141250500153315,3493045249386373,4236375466265180
2,3266,15632,150000,4323206232729344,6083431065050363,7975079594263970
2,3303,15886,150000,5736241847978380,215134326064910,2513579646632430
2,3322,15884,150000,3324585471108362,6562081945885426,8020716529879539
2,3275,15711,150000,213172834745028,8497260020911169,4331237009784342
2,3269,15763,150000,1966100131306824,622899708987046,4350187786078943
2,3290,15869,150000,2176842043841532,2556109229985964,2774616808199033
2,3250,15560,150000,7784467459141549,8752250649323194,702029948313891
