elapsed.ps,repeats.n,param.array.map
30280,100000,map<literal;integer>[3]
30204,100000,map<literal;integer>[3]
30360,100000,map<literal;integer>[3]
35409,100000,map<literal;integer>[3]
38543,100000,map<literal;integer>[3]
38981,100000,map<literal;integer>[3]
40341,100000,map<literal;integer>[3]
38355,100000,map<literal;integer>[3]
37992,100000,map<literal;integer>[3]
37424,100000,map<literal;integer>[3]
40954,100000,map<literal;integer>[3]
38915,100000,map<literal;integer>[3]
41986,100000,map<literal;integer>[3]
42369,100000,map<literal;integer>[3]
42269,100000,map<literal;integer>[3]
42047,100000,map<literal;integer>[3]
41066,100000,map<literal;integer>[3]
39067,100000,map<literal;integer>[3]
32434,100000,map<literal;integer>[3]
33158,100000,map<literal;integer>[3]
30967,100000,map<literal;integer>[3]
30600,100000,map<literal;integer>[3]
31056,100000,map<literal;integer>[3]
30411,100000,map<literal;integer>[3]
30256,100000,map<literal;integer>[3]
30375,100000,map<literal;integer>[3]
30750,100000,map<literal;integer>[3]
30160,100000,map<literal;integer>[3]
30855,100000,map<literal;integer>[3]
37780,100000,map<literal;integer>[3]
37109,100000,map<literal;integer>[3]
39689,100000,map<literal;integer>[3]
35166,100000,map<literal;integer>[3]
30030,100000,map<literal;integer>[3]
30521,100000,map<literal;integer>[3]
30620,100000,map<literal;integer>[3]
30674,100000,map<literal;integer>[3]
30936,100000,map<literal;integer>[3]
30991,100000,map<literal;integer>[3]
37701,100000,map<literal;integer>[3]
30743,100000,map<literal;integer>[3]
29636,100000,map<literal;integer>[3]
31498,100000,map<literal;integer>[3]
32706,100000,map<literal;integer>[3]
32559,100000,map<literal;integer>[3]
35411,100000,map<literal;integer>[3]
31308,100000,map<literal;integer>[3]
30016,100000,map<literal;integer>[3]
31731,100000,map<literal;integer>[3]
32627,100000,map<literal;integer>[3]
30602,100000,map<literal;integer>[3]
30305,100000,map<literal;integer>[3]
31382,100000,map<literal;integer>[3]
31456,100000,map<literal;integer>[3]
30471,100000,map<literal;integer>[3]
30495,100000,map<literal;integer>[3]
30756,100000,map<literal;integer>[3]
30166,100000,map<literal;integer>[3]
31347,100000,map<literal;integer>[3]
33533,100000,map<literal;integer>[3]
30417,100000,map<literal;integer>[3]
30612,100000,map<literal;integer>[3]
33066,100000,map<literal;integer>[3]
32562,100000,map<literal;integer>[3]
31547,100000,map<literal;integer>[3]
30216,100000,map<literal;integer>[3]
31248,100000,map<literal;integer>[3]
31251,100000,map<literal;integer>[3]
33213,100000,map<literal;integer>[3]
34924,100000,map<literal;integer>[3]
31032,100000,map<literal;integer>[3]
31140,100000,map<literal;integer>[3]
30054,100000,map<literal;integer>[3]
31047,100000,map<literal;integer>[3]
30498,100000,map<literal;integer>[3]
30631,100000,map<literal;integer>[3]
30951,100000,map<literal;integer>[3]
30649,100000,map<literal;integer>[3]
30514,100000,map<literal;integer>[3]
35974,100000,map<literal;integer>[3]
32812,100000,map<literal;integer>[3]
31308,100000,map<literal;integer>[3]
30527,100000,map<literal;integer>[3]
32067,100000,map<literal;integer>[3]
33366,100000,map<literal;integer>[3]
30399,100000,map<literal;integer>[3]
32487,100000,map<literal;integer>[3]
