runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3270,71440,250000,8206994898002877,7773570308064572,1984068119803081
1,3302,73763,250000,4098190482270220,522496303594674,8296734546567486
1,3288,85288,250000,7127484152499848,4844820258765030,3260806105807412
1,3293,72338,250000,7441204119021658,7579546599692487,4308893529299614
1,3305,78521,250000,5710582357658744,6806380739264960,4132445843127017
1,3503,78613,250000,1054311516667156,7224076785440933,5560109469281086
1,3385,72768,250000,3374986494858811,6058845230092274,6377663811495156
1,3248,69704,250000,3044950401260546,3548424083268423,3073531988549551
1,3481,73504,250000,544712665193817,1267211905870639,5728724473692343
1,3369,76643,250000,1200941694546784,7883524395190194,2780795513352897
1,3298,72328,250000,7336324747691832,4225648750711480,4089427604386470
1,3265,80646,250000,4806577336090345,8177353701661036,6218615117143418
1,3245,77121,250000,177597212720587,4053507606141937,7967469746435692
1,3283,71774,250000,6409150927023544,3591201458700016,5604659954332329
1,3334,71459,250000,6060852519658320,8469527440810341,8856058086397559
1,3347,89477,250000,7312551016129245,3749802444404065,2838969076830761
1,3302,72059,250000,8810967686699515,8720237637206849,6276946650095388
1,3296,74055,250000,3170971872066594,5307714840834413,4505415568168938
1,3298,73728,250000,6736577322722762,4476266034549009,4782618885395327
1,3293,71513,250000,5658619721092446,3098407403479878,5051619601281716
1,3288,71714,250000,4159298942266854,3912835952283008,639966146455098
1,3316,87255,250000,1915164312909399,3306500682999724,1790525687677433
1,3277,73329,250000,2567933403616213,644864026440046,1149307484729095
1,3304,73046,250000,2756220571816504,58899001192489,5972038122581610
1,3429,73743,250000,3460989107040985,3101818786703907,6165896349692232
1,3374,83918,250000,3488826416269569,3658004375487412,5319327041124147
1,3293,73165,250000,1005600738644240,4944594808700814,6827158359704146
1,3251,83755,250000,3577725937888782,6482271786009521,3918458599101092
1,3339,77093,250000,3966665014423942,3344422294829913,8647114931849442
1,3329,83902,250000,3896362548357948,8871349709323329,2081798961726031
1,3316,72777,250000,5862694917080576,2677699488431305,4479786224581612
1,3369,71785,250000,7611834055896413,2662334084685880,4128759358410551
1,3327,73880,250000,6590993492471162,4259743833624929,2896821894170149
1,3380,72150,250000,8264918921173468,600911184623537,1226290153818184
1,3511,75921,250000,6339343952276571,3759069083888015,6183792005572860
1,3306,74681,250000,7863980457097953,2380915251271185,8271858926433288
1,3295,71740,250000,8579577218881025,4910507912947289,5099290069526943
1,3333,70503,250000,8823210104744674,5992086619804150,1966995170300641
1,3312,74185,250000,2336258837496147,3114557833992123,8396871503122218
1,3356,71059,250000,1581272838541588,1831196312657049,1359024553526506
1,3288,70583,250000,4583698234723211,4402826614555570,5477461392236952
1,3381,73788,250000,6484534642952326,1666677131523395,1723331544125100
1,3477,70642,250000,8799734058005418,645864682317935,5814663665332570
1,3281,71349,250000,5616682277005408,7151850142910800,1781950425171979
1,3368,72101,250000,1872762459267601,2237119790346390,7453412100939657
1,3290,71342,250000,3250937597026403,347758106000732,7282789851126063
1,3245,69406,250000,6045638351963532,4618378689916467,8721623904147708
1,3293,71542,250000,7765206613301861,3526707161611093,2419432374404634
1,3253,71052,250000,8918810698529035,5870104607257631,6843986680908939
1,3273,74475,250000,1733952751677986,1649455509058435,3184506134642019
1,3322,71465,250000,1156767819629477,2841963087151445,829427281752815
1,3424,71547,250000,1250045540501924,5005402889702867,6804672313578276
1,3336,74460,250000,7401775009726567,3038064689573366,481971947631468
1,3274,70159,250000,919120793492972,6194337070316571,1746826275856391
1,3279,74161,250000,1024856123412282,2973929966989208,1885870831140248
1,3358,73076,250000,1341150209322907,5654063293001510,1646861349715796
1,3296,72111,250000,4992646534891569,3447783042290685,5815516666117937
1,3278,79934,250000,4311864124086135,4593371549118491,4330672984030078
1,3271,69642,250000,6652969213104293,1001080143693351,136410349842077
1,3357,81502,250000,7161545613638029,1121457788086333,5445642362253564
1,3291,73027,250000,1276739157278553,6708106362168001,1216101469651850
1,3278,79384,250000,1013449566112818,6689069489332143,6284928740921507
1,3309,69043,250000,2302766592694826,894791221946691,1425684148927448
1,3337,78843,250000,4080078656081192,1264895559482892,446124828333644
1,3313,77729,250000,8013189524021667,3670602018535647,5042164681062109
1,3296,77125,250000,5619704297122777,5045433413778089,6304189542302412
1,3321,69585,250000,5621100742487674,2930634201529786,7645823055911364
1,3361,72857,250000,8478747626844387,4330963190252949,8075242960056710
1,3344,68852,250000,6166276837589850,2724180281872254,208291385827795
1,3559,79123,250000,5481452800623571,4546721435907335,972693124970590
1,3280,69720,250000,5094767263619955,3409587892836110,8869099938020987
1,3266,76707,250000,5069436079953743,8130231057509706,2972631115721699
1,3305,71767,250000,7980272122721847,5614149298571725,5585837945737790
