runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3324,58542,250000,2186674793687490,1687513233606054,5035215116731286
1,3314,56777,250000,6864086136357305,1194731325079618,3438266542643982
1,3291,58044,250000,4703859553832008,871691976835537,3576512062098834
1,3311,62282,250000,2215192638644093,7968920040363338,1560393754681106
1,3401,62966,250000,4055914147972980,3469406987975128,402620051060793
1,3288,55089,250000,5571224101210939,5700278888588077,632413173210634
1,3273,52752,250000,4583937554328364,1483601084703098,3476943899789352
1,3246,55261,250000,392514192966020,4332661874063437,1808286739222685
1,3280,56338,250000,2889797351301786,7048797774145484,4956116300769791
1,3274,50714,250000,788732943287572,8795143652239498,5489113017321533
1,3480,52237,250000,7048011823180021,1006575656884472,7504171868623282
1,3294,51619,250000,2854602363593233,2591523166840924,7183606082090761
1,3288,60681,250000,8251694694871395,2592643839949340,215542348997316
1,3375,57988,250000,4060048085659772,6839448183351827,4034985927588787
1,3311,55398,250000,6164586922657333,2174608837122498,4742450191958100
1,3301,58729,250000,7725991856041884,5276577195283652,5376133425064106
1,3502,61736,250000,6604672553242262,999841781419939,828141631678967
1,3386,56031,250000,5439083094667192,6588147958233463,8666486992430519
1,3324,54449,250000,2772617624261007,7198214415736406,4596764329325891
1,3343,59391,250000,2314496571293919,2928678209525098,3494462694067855
1,3273,55828,250000,5243700689661385,2745964471845607,3332667608278803
1,3278,51644,250000,2538526273151117,1604324503555116,5003547745096456
1,3322,63126,250000,7257496891992192,14519530543922,3753794120395831
1,3401,58637,250000,2401918503248293,298033689120037,2514892561029468
1,3309,67413,250000,7569350070430484,6296639268534292,8561204853132641
1,3453,55354,250000,8311652766129260,6229967066744284,5459100658470528
1,3407,57926,250000,346807198319185,939756788882063,8851260057837604
1,3324,56235,250000,1460808696689961,7743304885241538,8448095052632606
1,3294,59188,250000,291140291353756,8747594575141086,8749382950705784
1,3320,54537,250000,527483218660221,4333650694318168,4014564393244434
1,3455,53491,250000,612171601928562,7611604353767771,4596034889827054
1,3282,51748,250000,5555306178674407,2314643144699260,7687847433889483
1,3302,53496,250000,1450142713594415,5680811169924619,7287662449343208
1,3310,53662,250000,8780106208103602,2506637647227329,6604979633756264
1,3356,57331,250000,6750945615685538,4331755918048848,578010686574439
1,3532,63478,250000,5313016847595573,8207659832270767,8543990116074963
1,3461,55895,250000,2719988015931164,3287028107296222,1121567639358153
1,3408,56590,250000,5015274882162734,8328935858984330,8889085824628255
1,3394,57179,250000,1503564549691645,315002783929487,5859768465953417
1,3325,57177,250000,7160192701765137,1055055266015080,5143554916062417
1,3481,54278,250000,2274732742041176,8051674183257405,1745903619444471
1,3392,58238,250000,3935734863096415,8873709509555140,6814867222360259
1,3406,57136,250000,2354224148968903,3400125796180655,7142448661626322
1,3436,52926,250000,469458742211378,6034579088035623,7725563597410734
1,3461,52735,250000,7195694612727402,3552118456424818,5176416519314454
1,3367,52752,250000,5564908500627877,5609599753501604,2875109349253475
1,3542,54474,250000,7857582969304860,4210525488644297,4557935779903619
1,3359,54174,250000,2064814423464145,4595384698727400,3433611092452874
1,3360,60051,250000,8078335900848149,8369363385238338,3317021623754666
1,3355,64822,250000,1394820121240975,7588151846720034,5691743976416349
1,3298,57730,250000,4039680724547021,6538823291376636,8005700043195316
1,3368,57264,250000,2647133433364674,668403034803792,3489848816745333
1,3324,56975,250000,4492005429982793,3985807131072939,7565401674079205
1,3471,60204,250000,734448214377268,6660152273311002,6893206516172452
1,3393,56280,250000,1742043183994535,5805840354359514,5944186453845334
1,3377,55848,250000,8034085449082855,2027906953754200,1229519358340500
1,3384,52532,250000,7695541949990125,1874791505543877,6099542507137756
1,3292,57442,250000,3734316545562401,1455022949154617,3824834054323489
1,3401,55821,250000,1235844774103267,5953214516073095,965318143222136
1,3306,56263,250000,1173466180847511,4720160999435694,5646971122537856
1,3288,55607,250000,1612933517822268,1678750128010665,328210800815865
1,3379,55842,250000,1355560287510748,8261562054177437,1869947126226096
1,3386,56554,250000,7003359168733607,5117204088142600,4038951840134208
1,3401,54486,250000,7886323921013893,7041394305878238,5017466919761178
1,3329,52940,250000,8775376127233834,4929862997883123,4825063785765941
1,3284,56915,250000,5226691464137148,1687216428349240,3923565785375494
1,3287,66911,250000,1477804763161984,751777389301787,5282801005442135
1,3270,55780,250000,2372309506239485,7409686404119901,5101384304810926
1,3275,53998,250000,7458728542311429,6140505164942809,199961955956303
1,3296,54277,250000,2848211654850256,444271481823107,6872239467299294
1,3274,54166,250000,6522028515705626,2801325249851350,988806563044615
1,3301,54653,250000,8943568609580826,6084009965479364,7050884398770192
1,3351,57349,250000,5555184273148256,7052610154996896,8383406489178745
1,3330,55007,250000,2844386186857017,8075694021037896,1929389341203396
1,3347,52540,250000,7361044922097769,830270908777671,8969163812254455
1,3354,51452,250000,6000349267888617,7438557965087314,6345673610985787
1,3344,56854,250000,1846101964194107,4065567351079984,594989563689136
1,3327,59416,250000,4137451166205489,3175697975977415,6247357093790799
1,3314,54393,250000,8518863419162422,1141275672908257,5009518598648920
1,3293,54251,250000,7465973584406202,5917641679902395,452396829776828
1,3273,56249,250000,4530947349008657,5459527661360733,693752791311584
1,3279,54964,250000,6740255968541596,4830540621306847,2947338872612698
1,3303,57531,250000,5664474761631313,5356776533395321,2404837475950759
1,3276,53886,250000,7792368799413929,8699898043885984,381639065707542
1,3297,58894,250000,5095475391654218,6232294497199992,6506462182158253
1,3282,54411,250000,1282728394412591,1002465475354373,469287044110932
1,3273,56989,250000,4313103864795842,3407906465659882,6762345647369873
1,3275,57085,250000,3940020373404054,1559130570368154,8506099979031678
1,3276,57079,250000,6412804440347601,7717250056445658,4152324682150945
1,3282,53541,250000,3526478894923419,1508441430550114,5838022888848243
1,3281,52508,250000,816583622023157,8268806445817935,5522610463210787
1,3271,51920,250000,4629244070036899,479183097609663,381204180102678
1,3273,52307,250000,2377809432568968,5722050757147673,3669214106479997
1,3281,51581,250000,5429829839623600,5226644427786182,3890849246553052
1,3306,54728,250000,6676979398811440,3879279784467241,5876704308775051
1,3281,55161,250000,2777652165075606,3440968635845233,4917380781021416
1,3429,54003,250000,2377539567595716,8973098451591690,6239601405613245
1,3421,53330,250000,4166474484785003,1605340417842867,3478963033477058
1,3277,52786,250000,5362112045746252,7909094100068522,7181170670975119
1,3418,52615,250000,2994509115510250,8900537193441214,4481052699582888
2,3438,56091,250000,8059626046364886,6228993530803291,183717220464570
2,3320,56334,250000,2561478128067597,1353121879866412,2729149752655612
2,3339,54974,250000,7611917237276279,1653626512891011,6846230663409353
