runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3495,26396,250000,2671309927800331,4759925182893252,5577849487702888
1,3415,26013,250000,3764630197410295,8053882162148686,7962412443996464
1,3360,26682,250000,4233946196687238,3732852308793696,2687691267893726
1,3399,26512,250000,5807458800473419,8148055917988526,8293476728404244
1,3446,26517,250000,1940003291685297,957583324707463,2667275968553962
1,3470,31368,250000,5628177667698109,3941366783009522,6998871460724801
1,3383,26266,250000,5001764388724959,247352698954723,7399620460711478
1,3428,26128,250000,1823742118441016,6968095778367313,8258448358694896
1,3360,26574,250000,4937892653027708,1220994753031969,3640982359447515
1,3473,26129,250000,4881654341403160,7839739330639213,4082490660914901
1,3491,26271,250000,5711723750493064,2279380443364238,7318995661039603
1,3406,26179,250000,4844054423283091,1620093796490789,6216431180231574
1,3467,26268,250000,7209114022542624,6223865212375726,8564342508653976
1,3408,26212,250000,7646684249115749,1318416605867116,5865844491936079
1,3561,26009,250000,3274432476384850,7132190118623542,2342457831836472
1,3446,26093,250000,6706684467624428,8979120155719100,255381007794931
1,3423,25944,250000,1597059459304407,3271847256607469,2494029656669665
1,3380,26024,250000,1073319476979289,1990966002292954,1205495756576355
1,3413,26056,250000,478973396382363,6594811090291685,5656430191525582
1,3431,25982,250000,8269208258629951,5927071252064392,1367985028426748
1,3452,26353,250000,3561583225901545,7154230671210694,36077043628784
1,3410,25996,250000,448985596713789,949555542296960,3120506433127308
1,3410,26062,250000,8915245034332058,6386484165985946,192501513293136
1,3424,26170,250000,3357490350557266,8123189299339607,2574292575393224
1,3386,26090,250000,6260219994915462,4039101458944932,5952438250596256
1,3456,26168,250000,8487859839960985,5858082448014944,3692289548107163
1,3576,26177,250000,7218632089197219,270963939674003,7353978955452421
1,3481,26346,250000,1631993603950904,399721594661367,331325841885890
1,3388,25896,250000,1109960728004939,7340244758089739,3235723781731568
1,3387,26070,250000,3030868556825995,601773495455992,7896743194015870
1,3463,26186,250000,2270401058066326,482329890704507,4517079661331325
1,3395,26302,250000,2030325478085121,7715534285511529,5458664612239329
1,3392,26384,250000,6629180040048922,64487345540080,5568769731547697
1,3427,26339,250000,5024345740464769,5612366216086634,8534219344333162
1,3379,26270,250000,2592825505282346,8830477660568653,7693634703167893
1,3443,26199,250000,357308273894779,1300770463961452,2071438906346369
1,3392,26274,250000,5714602516001325,3175605372843219,6905410303085978
1,3378,26224,250000,546190697074291,6314510664252011,217704746030169
1,3363,26414,250000,4971546404295716,5744992920844657,4199633338943432
1,3389,26372,250000,3722488884472735,1077308169745644,683880373413033
