runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3443,20269,250000,8868563899645249,5126445325548174,4513454327857291
1,3373,20179,250000,3987350576078639,1146174607038081,4502316363697917
1,3716,20279,250000,6006606620698588,1003565593053591,1305640585763200
1,3423,20215,250000,5066866673701224,8630654004389822,5177816323475830
1,3388,20379,250000,8201352778052126,2219358910126804,4212009317756714
1,3405,20213,250000,3545595797656052,6693103594780955,2975860501284572
1,3463,20466,250000,4126458053744846,8074672209227010,8174081920093531
1,3508,20277,250000,6063448334082854,5511425894995155,251933817032509
1,3393,20313,250000,310224348245496,8820800567973584,1682314916485233
1,3531,20350,250000,5923070642018481,2003170098209116,2924193949531521
1,3386,20565,250000,5561512532941808,6380034583597347,6113574736094151
1,3411,20584,250000,3838982596851347,4693567959545755,1522713529255654
1,3469,20385,250000,5698360844489286,494458478883547,4765831090317469
1,3509,20432,250000,7193017068637703,8980551585341681,8287805533454681
1,3418,20485,250000,1785219117149632,4049410994227132,3147766086565010
1,3499,20572,250000,7340003383766954,4656596911148455,5528346780693022
1,3572,20275,250000,1900200482566143,5040031323801594,5086478005545406
1,3393,20332,250000,8108104487307257,5407403430660028,4715372830142138
1,3387,20458,250000,7100225900558770,231126872729395,6679993010696882
1,3510,20367,250000,6578650798435321,2648774150825565,7653728152583613
1,3398,20463,250000,8078242141287851,4266628560522029,1912178026636370
1,3465,20390,250000,7385659145356682,5055434274759168,2217207874675239
1,3461,20606,250000,4261189367429978,1865886084233512,7483842820092072
1,3466,20517,250000,6678693810490983,2197369730533805,3537099076819208
1,3458,20391,250000,5469931454413099,3813003786030617,3951660608849724
1,3364,20430,250000,3802102492636278,2939674690677021,976700769591584
1,3469,20522,250000,2077612317120829,3720183481566699,2358141765953345
1,3458,20481,250000,6870609535319450,5657023034568209,514398650643022
1,3380,20626,250000,5170960288759746,2393151069508493,6174820080434950
1,3411,20349,250000,4855894137339112,6503852678726892,5583981979764671
1,3393,20390,250000,2809653277432373,4586860259866610,6156943655325781
1,3381,20457,250000,4730825418760015,4659245025240433,8939057649805454
1,3450,20431,250000,663956115112820,1826645061493094,3719479379966981
1,3387,20365,250000,7389731355925832,5697551783369598,6063109289426165
1,3463,20404,250000,4249112807560663,3094987342632323,8511848428720905
1,3423,20486,250000,6121498460068328,3091623254140740,1145945227965725
1,3461,20358,250000,7469514995588723,4192740301761643,4881736590486856
1,3417,20346,250000,7690830791264985,4670054274609836,6859827731580153
1,3517,20352,250000,965391491635987,4752528286966264,6131310629208422
1,3460,21638,250000,3838176971615302,7141022527700299,411175109246863
1,3420,21099,250000,5832018290103157,2044894879764974,1357541795002308
1,3444,21449,250000,937815302002083,8029652854784217,2774218630376743
1,3467,21477,250000,557053547191547,1187027296956366,448595652627996
1,3360,21815,250000,5206808116284627,8592492988392707,8986217715991456
1,3554,21326,250000,2663000378910559,461281783208050,5009868992234693
1,3497,21422,250000,1865236270119497,6295783490802101,5030268278385743
1,3412,20361,250000,4658311567401810,1294626543164988,6622649681906796
1,3432,20289,250000,5563085921210868,8754112029457581,3178538185561804
1,3440,20321,250000,3916059565812553,1744217009849502,7329382279234512
1,3360,20390,250000,458563059347313,4623664225783697,6501012983772384
1,3389,20302,250000,4429025115934594,6132434287069631,5286563653724312
1,3397,20241,250000,7907280546092276,765937061947185,8815671555864222
1,3386,20381,250000,3262107467717101,6578629758775220,7844740287148115
1,3418,20264,250000,4596124350374094,1133597199830360,4755368320583173
1,3405,20285,250000,2069867652988598,6633859669067290,8594178918282000
1,3366,20299,250000,6211773931814376,3302222443224996,7299743819900804
1,3401,20227,250000,3123019557518857,6668016038376073,4093795878064597
1,3393,20207,250000,2487144458393576,468508048130675,5743128898084956
1,3361,20510,250000,8876711627204650,7357282549520965,7087894987281147
1,3387,20223,250000,2846137491846569,8686835108037236,3419167701318533
1,3448,20247,250000,8463621177478756,6569040699398272,2899957519904731
1,3360,20253,250000,4803497540152277,7124764245581070,6668386218706900
1,3485,20297,250000,6264778677000074,514363920793768,3761222599025814
1,3477,20320,250000,1936388014577477,5119493411323642,2319641517907018
1,3453,20380,250000,6912795349616960,427027366466795,5280966748238555
1,3455,20306,250000,6720568722726950,2918724739260795,1783942197386364
1,3412,20304,250000,6554140492333517,1501376481085373,7546335003384897
1,3383,20335,250000,5327448690248218,702695311870101,7440811365080592
1,3428,20224,250000,3451934680282255,8811168714626903,127991784786505
1,3395,20172,250000,6170222392599250,8034656909192824,7777313052386353
1,3403,22014,250000,7665135869175755,1133005241410347,2244515902521909
1,3430,20313,250000,6982751302015138,1179110127689401,4560033926991218
1,3401,20192,250000,5379839578635853,5983043452080134,1116398221884036
1,3745,20856,250000,254040967284576,3032442098871317,5164121868832166
1,3422,20325,250000,373590608980164,3162418221715075,4137617724556484
1,3478,21776,250000,70072487253686,1888556804283215,521334987547294
1,3418,20742,250000,3564706566256369,8044924338604319,8732683856427401
1,3416,20520,250000,4365628605132486,5092363275570805,5514213881981182
1,3459,21412,250000,7505553685611972,8060853761383617,6428675690262808
1,3381,21157,250000,7961598342204224,4743270288818886,241234579324157
1,3551,20620,250000,4835713469912560,976111968676382,3292053290018025
1,3411,20558,250000,3971385397856957,1203020449611206,4197122835685989
1,3432,21309,250000,5968655856454254,535162980031994,619476754037447
1,3390,20432,250000,7036255627875784,8546684350056307,2220321081557353
1,3477,20391,250000,7691874976788688,48901366238213,2886733792553472
1,3427,21041,250000,5795950042078694,7819223874204889,8083167167407544
1,3410,21567,250000,8428072153592121,6998634960943606,399285218880113
1,3389,21196,250000,7906483557217348,4019257867756870,7216940808543699
1,3462,21357,250000,2515715103375470,6596708945890331,6749013272973234
1,3414,21230,250000,2328798855454019,5887080974211734,273240354391910
1,3471,21674,250000,2734363045400725,5535718488755555,1931323706840080
1,3462,21231,250000,279215789267178,6970409904867899,2893342760279001
1,3450,21027,250000,2348258716769098,3756357558663587,2089500962656561
1,3366,21304,250000,2585931811149817,3757499461421878,5708682137682651
1,3361,20327,250000,6686627126398796,7770506259922565,5371852283752427
1,3501,20190,250000,585837450982817,5349363184115069,5993339632653919
1,3460,20642,250000,5818259335149707,6073581214094801,4243623039008502
1,3368,21429,250000,2661722079490225,1822651283043439,2475322852238996
1,3484,21148,250000,881537428657571,6366322128384689,3561363552077025
1,3397,21110,250000,5172974751513653,635687072270329,3724436950116672
2,4736,18187,250000,5128076681836070,6588963252578052,5246669650536920
2,3907,17929,250000,1615252781933864,2035120436317583,2128040021265424
2,4576,18199,250000,4778795698916271,2919021397066372,6474010859839007
2,4823,17979,250000,1836972577729970,1580115072012858,4705795232158024
2,4316,18150,250000,448935239978710,4951511059867737,724138246255182
2,3910,17939,250000,2854099276846765,883440873544943,7840454439076747
2,4876,18095,250000,635805084402731,8880220296256327,2935088309071653
2,3905,18110,250000,5928606831310069,5213159601183657,1541965560367643
2,3900,18154,250000,8397247529581074,6253756779785548,4684145903708076
2,4204,18230,250000,7545800459561093,8086849194547724,3168615587397647
2,3987,18100,250000,6416227191893406,8178573099520313,3486981858093044
2,3948,18098,250000,3095559975516027,4895590677837801,1786967552869591
2,3896,18053,250000,6028943368969132,8217873033000769,2536766054604343
2,4642,18290,250000,7922373337410014,4375698920894377,7164259726372594
2,4035,17966,250000,7563420755435212,2439634482101375,1456397348408760
2,3966,18062,250000,3770836968225212,7540299461801452,4442678603052059
2,3915,18038,250000,5269169499496637,5513946378059581,6222750012268631
2,4624,18084,250000,8508769886682824,5542275790566376,4470113838653951
2,4456,18087,250000,1453058227604386,8406751344733975,7773352007017339
2,4791,17995,250000,7293852347198575,1990234103952596,486095524028154
2,3899,18031,250000,416855121259221,4896517534988963,7184416399405938
2,3911,18258,250000,2889498579476502,1420597493946238,3708069681711412
2,3982,17874,250000,5449265202891514,6549139520077725,8503337071278711
2,3961,17953,250000,1383665415943228,5658276336367403,3051020774843554
2,3911,19109,250000,374183789641554,5828595353779551,2129315520564377
2,4068,18125,250000,6824862422499265,5060566381447218,8225626421856210
2,3899,18148,250000,3398790139689435,2148674977579978,8517957314468937
2,3905,18290,250000,662652976915987,6108093215969533,2414054099921144
2,4588,18254,250000,1781477883767335,5500250511121098,2340377773186961
2,3908,18276,250000,790258490263947,7509859103291787,2554339417315046
2,4711,18295,250000,44461061311482,1747966865114117,8978282010972630
2,4223,18012,250000,2205630984789189,3330857061752678,7920144715980874
2,4509,18024,250000,5833373946807714,3162625802167209,2319926931428535
2,3910,18137,250000,2170909407925401,8439652880680916,5695460155666579
2,3915,18394,250000,3005007233532760,6672984435619551,328668474494049
2,4576,18286,250000,3132111811866637,8672613666855582,2629497856086004
2,3907,18344,250000,6740868918409029,2408178659195495,6832381323838600
