runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer,param.b.integer,param.c.integer
1,3361,88759,250000,7814737312640951,5717412883999550,8547289044511779
1,3513,85836,250000,4486257298625776,3843104008106133,2015315224172884
1,3373,88066,250000,3297875931034902,3930858329850130,7314710164888827
1,3550,87735,250000,8274730655936954,102616324061851,981795776831583
1,3449,89710,250000,2099287511716598,675910192076094,2258189712909387
1,3453,87705,250000,3488201248410882,8048872740536887,5739780259627335
1,3498,85333,250000,7277158605651176,5031958151235764,7729370353780108
1,3434,87696,250000,8212169566482888,577695044042304,7915370774110470
1,3360,88878,250000,4144419103390870,6556845965980395,3621811576268847
1,3422,87610,250000,3564435451433194,6018910210415514,7256620384271131
1,3399,87515,250000,6737652669578458,698120739000596,6541282224495376
1,3384,90024,250000,5884025919051096,8860974769414636,4110605960494036
1,3408,87720,250000,1291100013861306,3067296864797089,3829163878897151
1,3593,86146,250000,7503758179145115,6535651959043037,1223403077369374
1,3486,84417,250000,4122728175964787,6691391940978576,6361255695451670
1,3417,88201,250000,4434417805331827,5231096467261959,5572307303690642
1,3497,85192,250000,8472936446765370,5221712820626199,8041511016528415
1,3490,86331,250000,7006507102770591,1249553096358183,1180329239375458
1,3482,86650,250000,1299322219820481,2277003831103279,2297232123766410
1,3360,85144,250000,581683539738593,2991505442588844,1543110558142811
1,3478,88232,250000,8713500454314134,5696976681382065,6505150709430842
1,3404,86488,250000,1684538234132968,2928236885595150,2247415062253452
1,3520,86408,250000,5999243668293267,1323824461679898,8086412779645959
1,3394,87713,250000,5084193119326871,3228226191124355,7591628449337209
1,3436,86126,250000,3848766953664846,5979678765179326,5981574570453613
1,3465,87498,250000,2028358891568995,6359807953017897,5676559234648732
1,3415,84893,250000,5080667191865017,1822388983800658,3738790562245945
1,3403,90377,250000,2787609428417273,8406754524475343,6169856976384127
1,3476,87582,250000,7300409750944298,3542434878010325,5252338197986950
1,3430,87255,250000,7010696811654666,3077017106328105,2848754775356238
1,3431,84512,250000,3695488370728790,580310705452182,7953882548311068
1,3397,87653,250000,5862324910308613,5874383392115664,8838930253303089
1,3492,86735,250000,7828866841637630,8718351178288646,3452715417974822
1,3391,85282,250000,8514947632424548,4360923860192516,3110704840471818
1,3539,89276,250000,7045808020909368,850487270862284,3406322140968624
1,3524,86358,250000,3908183710899140,6193197684828100,4274313452995655
1,4942,84860,250000,1867835272322655,4823846263298498,2619310728637065
1,3493,89269,250000,7682462286353421,2126134595857297,6992784486610325
1,3451,85127,250000,3288301480505400,3694544547751302,8953241552307019
1,3447,89445,250000,6106455207808370,3833021756935563,2981666692145709
1,3489,85216,250000,4229629680421044,6843179027307131,8066781057767989
1,3493,87651,250000,4128186782170028,1540975953790449,3229921891490383
1,3399,84794,250000,366537541880616,2153532526207323,5633799446364528
1,3445,86792,250000,5331572786063451,2209578572670735,309212742494642
1,3399,85043,250000,4188919055101174,3585669800163922,1583451004570173
1,3398,88827,250000,5358945225007723,6861051321428218,8898089541199635
1,3397,85193,250000,1219772134991091,7597274367518399,5473709669258793
1,3392,86451,250000,4753134284631670,8135716871883805,3157956381733938
1,3490,84596,250000,3869226792102480,6037304478217056,2373936376717882
1,3391,86220,250000,1251098060976124,1444335603950625,3833666776343337
1,3393,84817,250000,5123120493459697,2720367488060369,4554218731972744
1,3440,87867,250000,5992894220022279,1889455160332399,2844690378299741
1,3416,84460,250000,8265499724568624,3011986263419166,8251428181474984
1,3406,89787,250000,5966838875873867,849149085198002,7957513294224970
1,3398,84248,250000,7283037552147587,956487587489295,3958085927452020
1,3482,86646,250000,1252090301279812,8549019771857861,1589896378367436
1,3404,85146,250000,7484433686365591,2109202275707527,5038203590256878
1,3375,86964,250000,4964952470806506,255849835744321,6809538291642789
1,3423,84461,250000,2321971683696693,5760899979626154,6386266663861941
1,3491,88627,250000,8081609072312679,3507332903686835,1603884149046850
1,3441,85290,250000,954791130474347,5395991640383553,4067396457561214
1,3478,87765,250000,3606320240827796,6264143569378649,92700486243155
1,3417,84492,250000,4590869952326967,4919770252916221,1016739108141802
1,3459,86673,250000,8697684101900466,2653043789990357,8556670473686425
1,3502,84031,250000,5819413360884771,483952135484693,6904456977793079
1,3567,86631,250000,1348622955511606,1721219936440522,3692802489992654
1,3426,84327,250000,3701261320565660,3869943348759690,370115349966412
1,3363,88350,250000,7051093722457458,8895919391635440,7592578108816548
1,3486,85221,250000,2300599208687259,6701595436554166,2408206265599117
1,3392,87124,250000,1815957241835938,2387977553902244,3277550875766440
1,3425,84761,250000,1745200490010211,6260895434373298,1961494954985782
1,3431,86573,250000,6757890899371242,6539400772847262,4825682938181527
1,3490,88035,250000,1735496227555854,8418698770682428,8517094380901042
1,3437,88190,250000,8389669052565946,2782186909094277,3867733996145541
1,3446,89112,250000,5513718762989722,311238133661805,3110338942996866
1,3411,87376,250000,4100067283602676,4548401467900790,8373453159434856
1,3428,87261,250000,2065657882002983,2815557204541651,5950095341964581
1,3435,87264,250000,8894185863808083,5727421606171001,1041672944791440
1,3459,89638,250000,1392595101033584,4725378978386886,1436289066805134
1,3414,88024,250000,1265920860200508,8574729791155857,8589939803212326
1,3421,87160,250000,1047143041207744,4696542063302778,270602278793948
1,3448,90165,250000,2401246833695439,6011750329338604,5610463651229174
1,3522,85932,250000,2846214321612273,8574853058527051,6199080583043686
1,3398,89321,250000,3287770742639348,4591181452397855,5372684953620079
1,3495,85203,250000,5214110422102294,7439098543950131,3665795765319096
1,3405,87594,250000,3760614162899384,4115007879811001,8997880326977431
1,3392,88213,250000,4277098344035624,2349524150120950,5116183596374888
1,3436,85970,250000,1674191606600722,3486479755768337,1739223973762627
1,3503,86388,250000,6153048910250006,2051359336770235,3850989670081350
