runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3338,828407,10000
1,3257,848184,10000
1,3262,888215,10000
1,3263,783829,10000
1,3272,787557,10000
1,3261,761165,10000
1,3261,784321,10000
1,3707,784901,10000
1,3262,749918,10000
1,3260,745824,10000
1,3257,752031,10000
1,3256,745333,10000
1,3262,851332,10000
1,3260,749461,10000
1,3265,747760,10000
1,3258,744802,10000
1,3256,741627,10000
1,3252,744879,10000
1,3257,746672,10000
1,3260,789784,10000
1,3263,758568,10000
1,3258,821344,10000
1,3257,756465,10000
1,3260,779939,10000
1,3257,788398,10000
1,4124,812576,10000
1,3262,789719,10000
1,3254,757659,10000
1,3257,755767,10000
1,3257,756903,10000
1,3258,824371,10000
1,3256,806818,10000
1,3258,817039,10000
1,3255,890135,10000
1,3271,855908,10000
1,3257,813056,10000
1,3265,787202,10000
1,3261,762702,10000
1,3257,771281,10000
1,3257,780611,10000
1,3257,795899,10000
1,3259,807934,10000
1,3262,795510,10000
1,3456,771317,10000
1,3261,765671,10000
1,3257,749676,10000
1,3270,762746,10000
1,3297,767596,10000
1,3261,762422,10000
1,3259,777373,10000
1,3261,775894,10000
1,3258,790949,10000
1,3261,793154,10000
1,3261,792620,10000
1,3261,783899,10000
1,3261,808580,10000
1,3262,804141,10000
1,3260,777986,10000
1,3261,978231,10000
1,3259,774515,10000
1,3291,774335,10000
1,3263,763605,10000
1,3343,954998,10000
1,3256,747853,10000
1,3856,749502,10000
1,3261,749441,10000
1,3263,752190,10000
1,3291,764064,10000
1,3262,748147,10000
1,3268,753878,10000
1,3257,743001,10000
1,3260,747571,10000
1,3261,749133,10000
1,3713,753681,10000
1,3263,753829,10000
1,3267,748570,10000
1,3897,780501,10000
1,3262,754657,10000
1,3269,753430,10000
1,4042,754614,10000
1,3263,753958,10000
1,3258,744965,10000
1,3262,803860,10000
1,3257,770769,10000
1,3281,797148,10000
1,3649,770761,10000
1,3265,809016,10000
1,3263,914122,10000
1,3788,745562,10000
1,3280,753824,10000
1,3262,756156,10000
1,3260,775624,10000
1,3261,751981,10000
1,3260,752287,10000
1,3880,829138,10000
1,3258,774304,10000
1,3261,800473,10000
1,3260,787998,10000
1,3261,784252,10000
1,3284,815464,10000
1,4224,792800,10000
1,3817,1165793,10000
1,3302,1117871,10000
1,3989,1110736,10000
1,3262,751092,10000
1,3253,751250,10000
1,4231,751871,10000
1,3308,1124248,10000
1,3291,1119366,10000
1,3298,1078877,10000
1,3341,1133614,10000
1,3295,1117654,10000
1,3289,1089663,10000
1,3258,748473,10000
1,3282,750529,10000
1,3263,790226,10000
1,3265,754701,10000
1,3255,753050,10000
1,3261,759957,10000
1,3262,752222,10000
1,3262,751892,10000
1,3868,748483,10000
1,3253,749949,10000
1,3257,767560,10000
1,3275,748838,10000
1,3258,755225,10000
1,3253,794358,10000
1,3853,769009,10000
1,3253,958891,10000
1,3260,1155886,10000
1,3265,745620,10000
1,3253,952861,10000
1,3256,755481,10000
1,3256,750515,10000
1,3256,821984,10000
1,3261,852372,10000
1,3260,763005,10000
1,3255,950769,10000
1,3260,760318,10000
1,4063,767854,10000
1,3292,976701,10000
1,3255,749200,10000
1,3254,752474,10000
1,3322,813149,10000
1,3252,748570,10000
1,4027,744124,10000
1,3325,789980,10000
1,3255,744986,10000
1,3261,747150,10000
1,3262,748990,10000
1,3295,747497,10000
1,4030,779109,10000
1,3263,750433,10000
1,3253,751927,10000
1,3282,795859,10000
1,3255,766777,10000
1,3260,829988,10000
