runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3536,50201,50000
1,4563,50174,50000
1,3498,51821,50000
1,3514,62465,50000
1,3712,45507,50000
1,3608,55868,50000
1,3543,48708,50000
1,4558,50850,50000
1,3647,48055,50000
1,3624,51581,50000
1,4085,45641,50000
1,3491,48834,50000
1,3602,54439,50000
1,4336,50824,50000
1,3574,49095,50000
1,3697,51394,50000
1,4032,53663,50000
1,4057,52090,50000
1,3501,45614,50000
1,4232,43842,50000
1,3516,47109,50000
1,3546,49239,50000
1,4070,46195,50000
1,3491,45473,50000
1,3489,44891,50000
1,4128,45690,50000
1,3459,44726,50000
1,3484,45478,50000
1,3935,46317,50000
1,3535,45722,50000
1,3462,49134,50000
1,4702,50141,50000
1,3531,51118,50000
1,3459,46927,50000
1,3579,45701,50000
1,3466,50780,50000
1,3492,54862,50000
1,3755,50694,50000
1,3429,51414,50000
1,3434,46055,50000
1,3720,43978,50000
1,3459,45992,50000
1,3533,43857,50000
1,4562,50847,50000
1,3494,55651,50000
1,3461,51156,50000
1,3606,45286,50000
1,3491,47622,50000
1,3485,46285,50000
1,4440,45096,50000
1,3436,50851,50000
1,3434,45622,50000
1,3745,46271,50000
1,3448,47902,50000
1,3594,44803,50000
1,4668,52068,50000
1,3863,50668,50000
1,3578,51152,50000
1,4163,53567,50000
1,3569,58165,50000
1,3518,48172,50000
1,4253,46100,50000
1,3488,45060,50000
1,3434,44292,50000
1,3656,50169,50000
1,3974,51315,50000
1,3510,46804,50000
1,4226,47663,50000
1,3832,49452,50000
1,3656,54146,50000
1,3625,49589,50000
1,4036,54511,50000
1,3547,45961,50000
1,4147,52236,50000
1,3484,56064,50000
1,3581,50972,50000
1,3703,56146,50000
1,4449,52768,50000
1,3602,50278,50000
1,4634,45115,50000
1,3491,44460,50000
1,3635,62888,50000
1,3866,45710,50000
1,3515,48765,50000
1,3661,46142,50000
1,3507,47743,50000
1,3511,47790,50000
1,3599,47012,50000
1,3598,48520,50000
1,3719,51657,50000
1,3572,48185,50000
1,4644,49694,50000
1,4102,51192,50000
1,3606,44657,50000
1,3641,67467,50000
1,3644,62136,50000
1,3766,48382,50000
1,4529,44736,50000
1,4296,47736,50000
1,3588,48066,50000
2,3698,49737,50000
2,4221,52137,50000
2,3584,52462,50000
2,3593,54313,50000
2,3614,54194,50000
2,3545,49025,50000
2,4455,53245,50000
2,3544,51857,50000
2,3552,48306,50000
2,3636,49230,50000
2,3537,50853,50000
2,3511,54142,50000
2,3541,51903,50000
2,3674,53697,50000
2,3626,47389,50000
2,4152,54660,50000
2,3622,50360,50000
2,3679,51303,50000
2,3697,51643,50000
2,3631,49326,50000
2,3611,48579,50000
2,4353,54241,50000
2,3667,56197,50000
2,3724,55653,50000
2,4385,48901,50000
2,3557,49688,50000
2,3552,48699,50000
2,3563,50435,50000
2,3589,48868,50000
2,3598,53735,50000
2,4512,56940,50000
2,3550,48979,50000
2,3553,49942,50000
2,4601,50758,50000
2,3556,49247,50000
2,3522,52227,50000
2,4506,52783,50000
2,3634,52638,50000
2,3636,52589,50000
2,4448,52727,50000
2,3712,49750,50000
2,3642,49418,50000
2,4836,51259,50000
2,3648,51827,50000
2,3621,47893,50000
2,3548,47803,50000
2,3592,52463,50000
2,3623,56095,50000
2,5518,53901,50000
2,3653,54245,50000
2,3623,53427,50000
2,3781,54681,50000
2,3597,52358,50000
2,3599,53553,50000
2,5157,48943,50000
2,3614,50629,50000
2,3573,49703,50000
2,3747,48189,50000
2,3615,47691,50000
2,3582,50834,50000
2,4262,53043,50000
2,3541,49781,50000
2,3572,48176,50000
2,4006,51969,50000
2,3572,53126,50000
2,3634,59790,50000
2,3574,59731,50000
2,3536,50999,50000
2,3551,48657,50000
2,4003,53654,50000
2,3578,54295,50000
2,3554,60852,50000
2,5105,46471,50000
2,3512,46521,50000
2,3496,46539,50000
2,3717,50684,50000
2,3496,50905,50000
2,3536,50974,50000
2,4658,48910,50000
2,3734,49742,50000
2,3810,47858,50000
2,3935,49360,50000
2,3519,48059,50000
2,3594,48128,50000
2,4424,48191,50000
2,3665,50046,50000
2,3581,47721,50000
2,3639,50630,50000
2,3615,48173,50000
2,3557,47992,50000
2,3600,49215,50000
2,3615,50414,50000
2,3982,53114,50000
2,3689,47863,50000
2,3625,53818,50000
2,3710,50238,50000
2,3584,51533,50000
2,3652,52268,50000
2,4078,49318,50000
2,4186,49116,50000
3,3670,58062,50000
3,3728,64580,50000
3,3518,48726,50000
3,3934,52549,50000
3,3776,52575,50000
3,3559,62330,50000
3,3560,48193,50000
3,3692,62705,50000
3,3557,48603,50000
3,3675,46213,50000
3,3704,46603,50000
3,3646,55038,50000
3,3588,47504,50000
3,3825,51533,50000
3,3568,55246,50000
3,3772,54834,50000
3,4427,48051,50000
3,4290,49662,50000
3,3568,55360,50000
3,3729,48666,50000
3,3708,49595,50000
3,3574,56785,50000
3,4363,56799,50000
3,3696,48886,50000
3,3679,48669,50000
3,3702,50165,50000
3,3688,44980,50000
3,3535,50308,50000
3,4350,50576,50000
3,3594,53601,50000
3,3664,52068,50000
3,4737,52622,50000
3,3611,49801,50000
3,4823,48780,50000
3,3758,59736,50000
3,3621,65235,50000
3,4296,52578,50000
3,4214,56904,50000
3,4217,53511,50000
3,3542,46509,50000
3,3735,47278,50000
3,3570,49836,50000
3,3538,53829,50000
3,3780,47789,50000
3,3590,57613,50000
3,3705,54935,50000
3,3863,51284,50000
3,3692,47469,50000
3,3665,50413,50000
3,4275,51068,50000
3,3673,59544,50000
3,3659,50921,50000
3,4424,49491,50000
3,3722,49323,50000
3,3767,47397,50000
3,3713,53937,50000
3,3799,55288,50000
3,3588,46925,50000
3,4144,45737,50000
3,3671,48609,50000
3,3616,50252,50000
3,3659,51532,50000
3,3569,48477,50000
3,3641,47389,50000
3,3688,49475,50000
3,3892,51362,50000
3,3929,48635,50000
3,3741,50547,50000
3,3578,51202,50000
3,3570,52159,50000
3,3657,54164,50000
3,3599,53836,50000
3,3686,49355,50000
3,3835,47854,50000
3,3573,46394,50000
3,3561,53534,50000
3,4371,60825,50000
3,3665,57401,50000
3,3631,45926,50000
3,3974,46780,50000
3,3637,49701,50000
3,3703,50418,50000
3,4420,51575,50000
3,3643,61130,50000
3,3971,48135,50000
3,3682,50712,50000
3,3611,49424,50000
3,3696,47857,50000
3,3735,49625,50000
3,3980,55331,50000
3,3701,63545,50000
3,4121,47611,50000
3,3614,48366,50000
3,3739,50238,50000
3,3920,58041,50000
3,3672,50477,50000
3,3629,47549,50000
3,4349,52611,50000
3,3580,46025,50000
3,3603,48515,50000
4,3883,56409,50000
4,3883,58361,50000
4,4393,52291,50000
4,3883,54883,50000
4,3901,55960,50000
4,4057,56145,50000
4,3883,52575,50000
4,3882,55441,50000
4,4034,54256,50000
4,3959,55926,50000
4,3883,54491,50000
4,4384,55553,50000
4,3893,54653,50000
4,3904,54716,50000
4,4173,53857,50000
4,3949,57202,50000
4,3883,54913,50000
4,4414,53685,50000
4,3883,54321,50000
4,3883,55575,50000
4,4006,53393,50000
4,4005,55037,50000
4,3883,53532,50000
4,4399,57107,50000
4,3928,54956,50000
4,3900,54566,50000
4,4004,55165,50000
4,4310,55165,50000
4,3883,54889,50000
4,4426,54917,50000
4,3883,55727,50000
4,3893,59157,50000
4,4252,58144,50000
4,3882,58402,50000
4,3882,54531,50000
4,4657,55699,50000
4,3892,55162,50000
4,3896,56005,50000
4,4112,55167,50000
4,3882,56374,50000
4,3883,55183,50000
4,4333,52604,50000
4,4015,56801,50000
4,3930,55047,50000
4,4043,52428,50000
4,3883,53619,50000
4,3882,55653,50000
4,4447,54403,50000
4,3896,57130,50000
4,3890,55189,50000
4,3882,53453,50000
4,3883,54097,50000
4,3882,55579,50000
4,4408,54573,50000
4,3885,56793,50000
4,3890,57319,50000
4,4119,57065,50000
4,3883,55743,50000
4,3884,56785,50000
4,4539,55210,50000
4,3882,54574,50000
4,3891,58167,50000
4,3922,56694,50000
4,4931,55465,50000
4,3883,58169,50000
4,3882,55975,50000
4,3883,51440,50000
4,3912,53896,50000
4,4119,49700,50000
4,3882,56250,50000
4,3883,54502,50000
4,4426,55801,50000
4,3887,55406,50000
4,3882,55410,50000
4,4145,52802,50000
4,3882,57659,50000
4,3920,54566,50000
4,4378,53354,50000
4,3883,54745,50000
4,3882,55890,50000
4,4099,53266,50000
4,3883,57154,50000
4,3897,54648,50000
4,4323,56164,50000
4,3883,55796,50000
4,3882,55303,50000
4,3884,61796,50000
4,3883,56533,50000
4,3883,54613,50000
4,3883,56668,50000
4,3882,55771,50000
4,3883,55025,50000
4,4014,52961,50000
4,3893,54264,50000
4,3909,54935,50000
4,4357,54155,50000
4,3883,53747,50000
4,3883,55054,50000
4,4103,53207,50000
4,3883,56755,50000
5,4628,75444,50000
5,4616,73520,50000
5,5743,68947,50000
5,4509,81167,50000
5,4548,73874,50000
5,5558,84658,50000
5,4616,76177,50000
5,4554,78517,50000
5,5455,81281,50000
5,4507,80010,50000
5,4639,84457,50000
5,4587,85485,50000
5,4546,80879,50000
5,4571,78615,50000
5,6060,70550,50000
5,4522,75678,50000
5,4473,80097,50000
5,5279,76018,50000
5,4567,73056,50000
5,4507,80066,50000
5,4587,70900,50000
5,4440,74102,50000
5,4514,82927,50000
5,5274,74286,50000
5,5075,86435,50000
5,4516,77623,50000
5,4626,66608,50000
5,4501,139101,50000
5,4555,83352,50000
5,4383,79655,50000
5,4507,75632,50000
5,4668,73285,50000
5,4549,64228,50000
5,4553,69545,50000
5,4468,72947,50000
5,4594,82510,50000
5,4518,73150,50000
5,4535,83401,50000
5,6408,73575,50000
5,6047,72541,50000
5,4630,125884,50000
5,4810,87848,50000
5,4536,79554,50000
5,4567,73392,50000
5,4671,89686,50000
5,4463,73076,50000
5,4608,70386,50000
5,5440,84019,50000
5,5856,81886,50000
5,4547,76387,50000
5,4619,80648,50000
5,4572,83035,50000
5,4617,73050,50000
5,4533,95091,50000
5,4885,80219,50000
5,4578,73171,50000
5,5732,71231,50000
5,4642,78117,50000
5,4512,65604,50000
5,4901,75609,50000
5,5294,81271,50000
5,4583,72991,50000
5,4828,71419,50000
5,4532,73572,50000
5,4586,77415,50000
5,4545,79022,50000
5,4821,74706,50000
5,4580,68114,50000
5,5833,80458,50000
5,4533,70598,50000
5,4533,80442,50000
5,4970,76324,50000
5,5731,79098,50000
5,4954,86714,50000
5,4723,90344,50000
5,4517,82646,50000
5,4560,91183,50000
5,5094,63600,50000
5,4584,63045,50000
5,4587,80918,50000
5,5753,86231,50000
5,4530,70467,50000
5,4701,80173,50000
5,5033,77279,50000
5,4506,67140,50000
5,4693,76873,50000
5,5669,82994,50000
5,5959,93095,50000
5,4681,75543,50000
5,4653,82420,50000
5,4654,76146,50000
5,4620,94489,50000
5,4592,84662,50000
5,4581,76642,50000
5,4535,77655,50000
5,4657,81476,50000
5,4550,67270,50000
5,4552,71794,50000
5,4601,71919,50000
5,4636,68012,50000
6,3721,57658,50000
6,4446,57566,50000
6,3775,69973,50000
6,3775,53817,50000
6,4013,56236,50000
6,3751,55771,50000
6,3672,50110,50000
6,3736,51090,50000
6,4300,66932,50000
6,3780,49806,50000
6,4837,56592,50000
6,3719,51784,50000
6,3682,52155,50000
6,5621,48846,50000
6,3783,68316,50000
6,3732,51787,50000
6,3912,56640,50000
6,3748,56201,50000
6,3829,58029,50000
6,5305,55637,50000
6,3673,52956,50000
6,4153,58905,50000
6,3745,58361,50000
6,3789,55465,50000
6,3779,53943,50000
6,4856,54703,50000
6,3758,64938,50000
6,4178,58811,50000
6,3919,59129,50000
6,3868,59061,50000
6,3948,56174,50000
6,5755,58701,50000
6,3782,49202,50000
6,3682,49234,50000
6,3770,69266,50000
6,4194,55777,50000
6,3750,55983,50000
6,4909,53155,50000
6,3856,68286,50000
6,3755,60985,50000
6,3810,56058,50000
6,3642,56134,50000
6,3785,52685,50000
6,4652,56255,50000
6,3649,58450,50000
6,3740,53741,50000
6,4969,56154,50000
6,3776,70465,50000
6,3842,66164,50000
6,5230,62905,50000
6,3795,55767,50000
6,3772,54515,50000
6,4507,49990,50000
6,3673,55862,50000
6,4238,56736,50000
6,5811,56531,50000
6,4486,59387,50000
6,3837,60470,50000
6,3729,49648,50000
6,3965,55718,50000
6,3749,55540,50000
6,3823,51172,50000
6,3854,51088,50000
6,3728,49703,50000
6,3733,60439,50000
6,3829,68116,50000
6,3905,69133,50000
6,3700,63321,50000
6,4273,55310,50000
6,4004,60929,50000
6,3817,51732,50000
6,3869,72467,50000
6,3716,49285,50000
6,3818,74883,50000
6,3888,61667,50000
6,3986,52968,50000
6,3950,69710,50000
6,3727,59055,50000
6,3826,54562,50000
6,5050,49642,50000
6,3909,55834,50000
6,4072,58735,50000
6,5405,55945,50000
6,3833,61346,50000
6,3838,50064,50000
6,4761,65861,50000
6,3776,51365,50000
6,3924,57525,50000
6,3903,54013,50000
6,3891,73251,50000
6,3880,60628,50000
6,4716,62843,50000
6,3816,51393,50000
6,3838,52402,50000
6,4946,53127,50000
6,4224,49636,50000
6,3746,52550,50000
6,5309,50088,50000
6,3740,52292,50000
6,3683,54690,50000
7,3937,63361,50000
7,3950,64781,50000
7,3918,59516,50000
7,3909,62284,50000
7,3886,62577,50000
7,3883,60153,50000
7,3882,71685,50000
7,3914,66067,50000
7,4046,58035,50000
7,3909,64231,50000
7,3985,57277,50000
7,3883,58680,50000
7,4099,65232,50000
7,3884,63497,50000
7,4066,65150,50000
7,4302,73069,50000
7,3882,54229,50000
7,4039,59229,50000
7,3998,58231,50000
7,4359,59478,50000
7,3964,58071,50000
7,3990,58480,50000
7,4062,57925,50000
7,3947,57584,50000
7,3884,56603,50000
7,3943,57536,50000
7,3882,57882,50000
7,3882,55675,50000
7,3884,57274,50000
7,3895,52922,50000
7,3884,61886,50000
7,3883,61671,50000
7,4853,68989,50000
7,3961,56970,50000
7,3931,56935,50000
7,3884,57673,50000
7,3883,57626,50000
7,4051,58266,50000
7,3882,57950,50000
7,3882,59193,50000
7,3883,58352,50000
7,4853,63862,50000
7,3945,57416,50000
7,3882,57802,50000
7,3882,55699,50000
7,3882,57367,50000
7,3981,56685,50000
7,4962,60506,50000
7,3882,56656,50000
7,3883,58990,50000
7,3883,55956,50000
7,3883,60724,50000
7,3882,60473,50000
7,3930,64895,50000
7,4367,66098,50000
7,3985,75941,50000
7,3882,52303,50000
7,3883,63585,50000
7,3883,60539,50000
7,3883,56307,50000
7,3987,77854,50000
7,4301,60866,50000
7,3885,58592,50000
7,3919,77034,50000
7,4322,64767,50000
7,3882,53526,50000
7,3883,58670,50000
7,3913,54429,50000
