runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,4073,48519,50000
1,3607,50656,50000
1,3603,49091,50000
1,3675,53484,50000
1,3536,48118,50000
1,3634,48351,50000
1,3727,47636,50000
1,3588,54510,50000
1,3565,52897,50000
1,4063,52407,50000
1,3637,51010,50000
1,3579,55294,50000
1,4190,56509,50000
1,3647,57043,50000
1,3825,48668,50000
1,4623,48550,50000
1,3638,68038,50000
1,4006,55337,50000
1,3690,48393,50000
1,3522,52107,50000
1,3571,50759,50000
1,4449,54534,50000
1,3612,54621,50000
1,3645,56390,50000
1,3737,56902,50000
1,3668,56818,50000
1,3620,48651,50000
1,4507,58172,50000
1,3497,48030,50000
1,3473,50322,50000
1,3531,52483,50000
1,3612,49900,50000
1,3590,55540,50000
1,3531,56305,50000
1,3701,55344,50000
1,3542,57979,50000
1,3519,50040,50000
1,3660,50388,50000
1,3565,55198,50000
1,3608,50349,50000
1,3484,48268,50000
1,3577,52721,50000
1,3498,53298,50000
1,4351,47488,50000
1,3562,49391,50000
1,3573,50750,50000
1,3459,46226,50000
1,3559,53962,50000
1,3516,54144,50000
1,3601,54763,50000
1,3460,49413,50000
1,3640,59125,50000
1,3607,58160,50000
1,3643,56677,50000
1,3522,52750,50000
1,3570,51898,50000
1,3650,54459,50000
1,4831,52434,50000
1,3583,53736,50000
1,3625,57475,50000
1,3665,52284,50000
1,3637,57224,50000
1,3550,60125,50000
1,4350,55514,50000
1,3702,52912,50000
1,3655,59074,50000
1,3963,51800,50000
1,3533,55102,50000
1,3524,51800,50000
1,5127,52628,50000
1,3559,47062,50000
1,3490,56423,50000
1,3554,68451,50000
1,3509,54261,50000
1,4229,49956,50000
1,3589,60184,50000
1,3588,54132,50000
1,3635,55949,50000
1,3494,49991,50000
1,3545,49550,50000
1,3652,51355,50000
1,3516,52932,50000
1,3512,50822,50000
1,3542,53846,50000
1,3558,55292,50000
1,3521,58323,50000
1,3686,52092,50000
1,3537,58910,50000
1,3503,56379,50000
1,3616,50363,50000
1,3527,52441,50000
1,3510,50445,50000
1,3563,52881,50000
1,4512,49974,50000
1,3557,53362,50000
1,3518,51840,50000
1,3670,51364,50000
1,3588,52816,50000
1,4081,47379,50000
1,4151,52892,50000
2,3604,54986,50000
2,3667,50722,50000
2,4529,49690,50000
2,3537,49502,50000
2,3685,53551,50000
2,3777,49865,50000
2,3565,50897,50000
2,3713,51400,50000
2,4787,51542,50000
2,3515,51102,50000
2,3545,50864,50000
2,4691,49775,50000
2,3507,50631,50000
2,3472,47717,50000
2,4470,50408,50000
2,3575,53787,50000
2,4094,52842,50000
2,3678,53469,50000
2,3606,50020,50000
2,3546,49357,50000
2,4297,48896,50000
2,3528,50684,50000
2,3499,47200,50000
2,4410,48315,50000
2,3521,50227,50000
2,3631,51855,50000
2,3604,53566,50000
2,3622,50897,50000
2,3567,48792,50000
2,3995,48601,50000
2,3544,49249,50000
2,3565,52653,50000
2,4647,53746,50000
2,3794,49319,50000
2,3647,47578,50000
2,3654,50719,50000
2,3583,50277,50000
2,3605,48529,50000
2,4399,59224,50000
2,3536,53550,50000
2,3536,53240,50000
2,4124,49858,50000
2,3605,52615,50000
2,3510,52107,50000
2,4227,49717,50000
2,3496,51746,50000
2,3501,48184,50000
2,3676,50806,50000
2,3604,53195,50000
2,3719,53358,50000
2,4754,71520,50000
2,4519,60715,50000
2,3846,56672,50000
2,4268,49651,50000
2,3663,56206,50000
2,3692,52214,50000
2,4225,50870,50000
2,3573,50861,50000
2,3608,55660,50000
2,4130,55402,50000
2,3738,52946,50000
2,3647,55540,50000
2,4654,57219,50000
2,3698,51067,50000
2,4021,55974,50000
2,3519,57502,50000
2,3570,52467,50000
2,3524,54808,50000
2,3632,55629,50000
2,3485,46369,50000
2,3653,47573,50000
2,3590,64637,50000
2,3688,56261,50000
