runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3552,42790,50000
1,3531,45117,50000
1,3684,39876,50000
1,3594,41156,50000
1,3995,41445,50000
1,3550,45572,50000
1,3547,42679,50000
1,3558,42558,50000
1,4022,40023,50000
1,3515,41836,50000
1,3553,42975,50000
1,4586,40728,50000
1,3538,40285,50000
1,3514,43526,50000
1,3510,42876,50000
1,3594,43582,50000
1,4056,44384,50000
1,3634,44565,50000
1,3638,44588,50000
1,3618,45040,50000
1,3627,45528,50000
1,3550,56352,50000
1,3537,43409,50000
1,3527,45188,50000
1,3537,41444,50000
1,4222,48043,50000
1,3685,57889,50000
1,3524,44484,50000
1,3941,45964,50000
1,3650,46056,50000
1,3510,43423,50000
1,3971,42726,50000
1,4182,51900,50000
1,3908,42849,50000
1,3623,42906,50000
1,3562,43456,50000
1,3643,43950,50000
1,3658,44391,50000
1,3528,43166,50000
1,4220,42185,50000
1,4228,41804,50000
1,3510,44787,50000
1,3510,41276,50000
1,3664,62750,50000
1,4398,44036,50000
1,3651,49661,50000
1,3712,42876,50000
1,3616,45594,50000
1,3590,48717,50000
1,3981,45197,50000
1,4141,48028,50000
1,3579,42921,50000
1,3581,44892,50000
1,4656,39284,50000
1,3562,50406,50000
1,3549,51720,50000
1,3809,43939,50000
1,4149,46208,50000
1,3570,44397,50000
1,4611,48366,50000
1,3580,52508,50000
1,4088,57340,50000
1,4424,43157,50000
1,3699,43307,50000
1,3574,51275,50000
1,4544,55229,50000
1,3521,52890,50000
1,3678,46422,50000
1,4303,50875,50000
1,4133,44801,50000
1,3785,62672,50000
1,3750,47842,50000
1,3622,43150,50000
1,3510,44113,50000
1,3548,45257,50000
1,3598,46373,50000
1,3670,56284,50000
1,4793,54828,50000
1,3615,56321,50000
1,3614,42587,50000
1,3678,40065,50000
1,3571,47130,50000
1,3680,50776,50000
1,4254,40229,50000
1,3631,56299,50000
1,3732,42464,50000
1,4061,41597,50000
1,3569,44545,50000
1,3517,43311,50000
1,4863,42381,50000
1,3634,40797,50000
1,3588,40600,50000
1,3544,40828,50000
1,3621,50111,50000
1,3573,43883,50000
1,4369,43724,50000
1,3934,42778,50000
1,3651,43183,50000
1,3894,41502,50000
1,3692,39516,50000
2,3768,50266,50000
2,3727,44059,50000
2,3669,44665,50000
2,3693,49653,50000
2,3578,50810,50000
2,3671,53407,50000
2,3566,43134,50000
2,3512,43738,50000
2,3583,53859,50000
2,3694,50147,50000
2,3718,49019,50000
2,3673,50351,50000
2,3700,47140,50000
2,3541,44221,50000
2,3654,53651,50000
2,3557,54053,50000
2,4838,57721,50000
2,3617,50448,50000
2,3640,46024,50000
2,3654,43198,50000
2,3616,61130,50000
2,3698,43542,50000
2,3734,46361,50000
2,3559,47624,50000
2,3550,53503,50000
2,3837,49198,50000
2,3539,48436,50000
2,4208,49014,50000
2,3708,46590,50000
2,3543,48121,50000
2,3780,48093,50000
2,3642,51444,50000
2,3595,49802,50000
2,3510,49687,50000
2,4478,48796,50000
2,3652,43912,50000
2,3569,42939,50000
2,3678,57314,50000
2,3557,40069,50000
2,3582,44902,50000
2,4282,43170,50000
2,3510,46323,50000
2,4047,46382,50000
2,3668,41978,50000
2,3600,46099,50000
2,3601,41560,50000
2,3607,52235,50000
2,3643,45528,50000
2,3663,49141,50000
2,3620,46794,50000
2,3617,44750,50000
2,4090,47126,50000
2,3641,43348,50000
2,3617,46295,50000
2,3626,54292,50000
2,3576,56887,50000
2,3602,45187,50000
2,3634,43896,50000
2,3756,61365,50000
2,4401,44673,50000
2,3595,54968,50000
2,3594,41324,50000
2,3672,52278,50000
2,3561,42523,50000
2,3536,44779,50000
2,3589,54945,50000
2,3671,45019,50000
2,3537,41361,50000
2,3684,53249,50000
2,3767,49522,50000
2,3600,54789,50000
2,3686,57616,50000
2,3707,53229,50000
2,4199,43485,50000
2,3858,57185,50000
2,3796,45826,50000
2,3677,44733,50000
2,3642,44234,50000
2,3764,48046,50000
2,4178,43282,50000
2,3608,44408,50000
2,3681,56065,50000
2,3737,43719,50000
2,3766,55885,50000
2,3743,58043,50000
2,4864,41818,50000
2,3571,41772,50000
2,3747,44662,50000
2,3636,44386,50000
2,3572,43369,50000
2,3656,48143,50000
2,3667,42376,50000
2,3615,42906,50000
2,3574,43223,50000
2,3652,44979,50000
2,3646,53937,50000
2,3722,54084,50000
2,3695,41757,50000
2,3484,44022,50000
2,3722,63730,50000
3,3562,45430,50000
3,3565,43288,50000
3,3733,41931,50000
3,3564,44066,50000
3,3649,43213,50000
3,4147,42583,50000
3,3558,41836,50000
3,3536,41551,50000
3,3676,46350,50000
3,3539,40754,50000
3,3511,39982,50000
3,4103,43790,50000
3,3482,39575,50000
3,3484,42160,50000
3,3703,38920,50000
3,3585,44975,50000
3,3510,40518,50000
3,4088,40031,50000
