runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n
1,3495,53734,50000
1,3621,56932,50000
1,3434,48147,50000
1,3459,47557,50000
1,3408,46805,50000
1,3446,50176,50000
1,3417,48879,50000
1,3670,58701,50000
1,3802,47958,50000
1,3442,45329,50000
1,3479,51308,50000
1,3457,49437,50000
1,3447,47930,50000
1,3512,47543,50000
1,3604,53439,50000
1,3589,52431,50000
1,3472,51978,50000
1,3588,53161,50000
1,3642,51401,50000
1,3613,54352,50000
1,3497,49259,50000
1,3612,56949,50000
1,3493,52091,50000
1,3660,55345,50000
1,3484,52116,50000
1,3443,56537,50000
1,3515,51765,50000
1,3540,55009,50000
1,3436,55405,50000
1,4584,56962,50000
1,3997,48869,50000
1,3392,51340,50000
1,3497,51453,50000
1,3473,51840,50000
1,3470,48723,50000
1,3527,48664,50000
1,3482,54806,50000
1,3485,49867,50000
1,3514,47081,50000
1,3428,46504,50000
1,3473,56681,50000
1,3510,57370,50000
1,3566,52867,50000
1,3461,50280,50000
1,4027,54168,50000
1,3661,54058,50000
1,3497,53989,50000
1,3454,46190,50000
1,3566,53846,50000
1,3446,46675,50000
1,3770,46994,50000
1,3459,46906,50000
1,3592,46534,50000
1,3589,57892,50000
1,3432,51158,50000
1,3608,53657,50000
1,3519,53681,50000
1,3397,52967,50000
1,3638,56498,50000
1,3612,54225,50000
1,3429,45809,50000
1,3628,50377,50000
1,3465,49271,50000
1,3564,46197,50000
1,3505,46522,50000
1,3797,46468,50000
1,4275,51927,50000
1,3595,46167,50000
1,3424,54699,50000
1,3689,54297,50000
1,3692,52757,50000
1,3388,53747,50000
1,3530,51937,50000
1,3876,47891,50000
1,3458,58979,50000
1,3967,57482,50000
1,4060,63272,50000
1,3499,48904,50000
1,4225,54227,50000
1,3538,55602,50000
1,3460,54015,50000
1,3515,47822,50000
1,4462,45926,50000
1,3506,48670,50000
1,3481,47100,50000
1,3573,47865,50000
1,3516,46790,50000
1,3410,47682,50000
1,3663,47938,50000
1,3456,55110,50000
1,3412,53689,50000
1,3374,46530,50000
1,3348,46243,50000
1,3352,46313,50000
1,3422,49023,50000
1,3419,50736,50000
1,3377,44753,50000
1,4351,53693,50000
1,3378,47214,50000
1,3334,44318,50000
2,3450,53187,50000
2,3475,44486,50000
2,3500,45455,50000
2,3407,48647,50000
2,3439,45749,50000
2,3469,47028,50000
2,3551,45320,50000
2,3386,45299,50000
2,3610,47631,50000
2,3648,49354,50000
2,3459,45477,50000
2,3410,46027,50000
2,3637,49327,50000
2,3780,48072,50000
