runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.hex.hexstring
1,3926,56678,50000,HexString(d2dc88)
1,3509,58058,50000,HexString(fdbaa3)
1,3413,56637,50000,HexString(8042da)
1,3562,60501,50000,HexString(7dbb53)
1,3444,58023,50000,HexString(28f894)
1,3385,57084,50000,HexString(5e786b)
1,4068,58774,50000,HexString(ed4ed4)
1,3429,62437,50000,HexString(a6e5c6)
1,3409,55826,50000,HexString(732266)
1,3419,79372,50000,HexString(70e7a1)
1,3499,59610,50000,HexString(240c2f)
1,3434,55960,50000,HexString(613b28)
1,3436,57264,50000,HexString(dc77e8)
1,3386,62668,50000,HexString(259bba)
1,3518,68197,50000,HexString(464594)
1,3537,54214,50000,HexString(0d874d)
1,3348,59035,50000,HexString(1060f8)
1,3442,61120,50000,HexString(c8303c)
1,3631,74465,50000,HexString(9d56bf)
1,3452,64934,50000,HexString(c796e8)
1,4052,56317,50000,HexString(b52b04)
1,3992,57425,50000,HexString(f5b3e7)
1,3462,58236,50000,HexString(670051)
1,3468,59566,50000,HexString(cf9c77)
1,4015,56781,50000,HexString(1a5141)
1,3921,57795,50000,HexString(e5e595)
1,3513,54572,50000,HexString(875590)
1,4133,55971,50000,HexString(1e3fcd)
1,3468,62252,50000,HexString(40b786)
1,3488,58551,50000,HexString(3a9055)
1,3563,59052,50000,HexString(4ab9d8)
1,3482,67650,50000,HexString(32ce7f)
1,3445,61411,50000,HexString(157dc5)
1,3637,56130,50000,HexString(c92144)
1,3434,58425,50000,HexString(ebbc85)
1,3405,60045,50000,HexString(ab3b43)
1,4208,59985,50000,HexString(3b591c)
1,3490,67420,50000,HexString(9ec0a9)
1,3559,62193,50000,HexString(103198)
1,3972,63789,50000,HexString(4fb8c8)
1,3362,56085,50000,HexString(a6c1e6)
1,3490,61273,50000,HexString(7e899d)
1,3569,65949,50000,HexString(6414a2)
1,3505,64980,50000,HexString(8bfe1f)
1,3375,69037,50000,HexString(a8ea16)
1,4182,58326,50000,HexString(9f7303)
1,3407,61407,50000,HexString(5a12cd)
1,3535,61403,50000,HexString(e07e0d)
1,4089,55994,50000,HexString(649077)
1,3385,58356,50000,HexString(c9d925)
1,3451,57384,50000,HexString(a0c155)
1,4303,59148,50000,HexString(7dcf62)
1,3487,59013,50000,HexString(074ba3)
1,3524,58875,50000,HexString(2abe1c)
1,4194,59755,50000,HexString(98496b)
1,3556,60177,50000,HexString(c0d7ba)
1,3482,65850,50000,HexString(536af9)
1,3650,60275,50000,HexString(2d8c8f)
1,3386,57483,50000,HexString(bcba7d)
1,3483,64538,50000,HexString(e3304a)
1,4031,63030,50000,HexString(50644d)
1,3491,60772,50000,HexString(c63821)
1,3459,57197,50000,HexString(69db70)
1,3593,56562,50000,HexString(236fd0)
1,3411,62531,50000,HexString(f6e531)
1,3480,64532,50000,HexString(a6e5f3)
1,3745,60829,50000,HexString(1591a9)
1,4018,62088,50000,HexString(4babb1)
1,3460,63548,50000,HexString(4f41a9)
